username,follower,following,favorite,tweets
alfian_ay,211,214,594,37957
canc_ers,317,456,942,19991
lenoydew,306,160,5877,15929
chyntw_,822,263,774,54754
stttopp,385,262,798,17818
savirapu,505,272,4093,16906
gorjesparkle,345,242,408,1357
hasinanr,344,297,977,6640
latifanajla__,107,119,684,1592
dyeah13,293,243,2323,17535
aliencuk,78,50,4354,2090
detiaferlian,825,260,12,3095
putriyuniardi,681,386,1623,67782
fildzahanais,148,441,4774,3525
imfnia,448,382,596,9199
stephanieayuu,725,123,40,15563
farahmhdyyh,96,126,1307,1754
rizkaaulia,719,401,668,67888
viragutubela,218,203,2777,3074
kimsatgat2,62,189,37921,15132
rizol_rizal,380,645,87,8771
mautongue,1197,323,706,51108
fanirchm27,875,524,193,62865
rallyanta,333,308,184,8323
yuliawafa,178,116,225,11809
zulijanis,27,177,10243,2220
haluhaluclubbb,337,484,3000,24056
nauli_permata,60,129,76,1950
erickdidudidu,1048,845,3954,20106
achadianrani,293,246,881,28257
juliandennis1,625,363,22590,19286
t_gooners16,195,205,624,8649
ichatarina,272,180,1206,20593
rizka_christian,1956,58,86,88611
okyranda,419,540,178,9900
evaxevi,444,269,1594,9118
bettyindahr,31,194,982,3771
micinsassae,214,165,1361,4705
indahastikas,316,246,291,24373
selftalker,272,191,741,13561
ussiiyy,1456,583,20749,170117
abcdenjiii,225,216,604,8913
ekahanda,531,822,312,30496
puten_hijau,301,346,1398,2924
naddyadw,410,385,296,13028
wydyudi_,592,164,174,3687
nysmonworld,34,72,1496,1846
afidazkyy,487,263,374,2547
iqbalpaz,464,457,11565,14894
gabriielle_l,675,494,362,15156
nadyaulfahn,443,605,596,12032
astikhairunnisa,581,477,3346,34883
dwiahkam,367,206,104,8699
tastyducky,36,193,2129,2514
ghias_yusuf,298,245,283,4216
darna17,310,265,173,6965
daranagas,111,350,153,1658
jooshpn,492,132,850,4272
azwardfauzan,83,128,17,2180
dzakimadhani,172,138,717,1536
alfrisadivaw,105,110,4746,1164
idrisg8,309,1355,1171,20486
arangkecap,107,158,189,2583
chandnidevi,568,511,22466,127479
pocagurii,188,260,5658,8846
ysyni,259,586,1919,10867
yudkuswar,279,351,6827,30363
joabaldo,225,103,637,16065
pujaypujilpuu,419,133,11347,9690
maulanariandi,535,745,322,44313
vnyriany,392,332,9880,5419
awwlltl,336,426,784,7014
anakyangtangkas,494,649,26546,19585
nisable23,245,605,4580,6649
akuuuberuang,93,175,19435,2900
kokocrvnch,345,847,3270,21538
fia_lutfiazhari,659,312,5285,26062
marisahafsyah94,565,461,959,14772
oziechonky,203,341,849,4957
rzqmentari,443,429,1114,15174
introperti,382,124,355,9070
lerinarin,538,464,4293,69980
imadamii,264,323,682,2835
g1tsy,87,201,216,3130
kerakteloorr,469,509,14110,54338
dellapj_,776,477,456,26969
adlfynf,311,260,330,16634
erisyaeris,398,282,464,19397
miftahulilma10,239,265,335,1906
alaaini1,68,155,54,4044
ociirosiana,449,308,527,14817
jollajoly,259,310,1592,10132
vnessapatricia,409,295,153,10565
elzr13,220,165,854,6146
rarraayu,369,237,1773,18848
deliahndt,459,298,1508,34390
bananamilxxx,769,257,13552,79660
cipipiw,298,364,35534,3648
anggycaa,419,163,8949,7834
rissaafh,143,101,372,1244
nadihng,322,258,837,28470
punyauname,382,573,621,11117
nggitw,160,298,278,3831
destandriyani,2434,532,39077,147785
saccharinande,197,378,1442,3760
sora_alxean,143,213,794,22393
kepikbesar,277,218,480,6163
rafitaasr,369,119,223,17083
i_frankenstein,440,331,88,13539
alaniafitri,290,263,658,5526
yokozka,207,179,1460,7565
bukandove,52,97,3518,2009
silmiotmiot,341,251,369,18145
metinaayu_,1163,496,1408,7005
elidoff,219,305,2850,9254
denokdhena,486,631,1470,50846
dheaniranabila,645,426,1426,12464
ki_cuu,208,137,129,11993
v3isvthree,850,897,4372,46660
heyhestyy,669,279,1157,48816
timutiimuti,482,418,202,14566
rvghalif,328,147,102,5153
trisawardanis,237,204,5554,3750
zyoslin,124,136,538,3942
munawaroh_mona,1379,1287,524,12232
febbyjulietta,29,121,370,3270
hkawilarangg,653,529,989,11455
mellahae,325,187,19047,49375
ptorianns,44,317,5242,1216
a2lir,88,208,927,6072
lilstep95,2010,201,1085,6477
oneperson01_,181,472,59330,7896
nurulainiii,926,290,646,33285
diniheryani,504,271,135,27481
apdesti_,114,160,1431,4295
rahmatfathoni,234,261,4,4238
nadiadjibran,718,360,608,18990
tiaraindhprmt,182,173,107,5351
inkafbrn,2046,547,725,76355
ervhans,78,771,206,2105
andiniayu,292,502,920,6224
emanggemeshin,105,158,3935,1968
ejakulasi_,5385,480,4410,58610
ariefpopoh,165,203,158,6026
gramelt,369,320,1487,25421
gebiyaeputri,240,223,553,3188
astrifaj,500,249,266,9383
alitapuspa_,89,224,559,2092
fitrisip,262,158,111,10214
yusrinasmarani,451,289,311,19578
abdee,141,7,0,2391
almostbeyours,558,829,5641,20510
ursnflwr_,455,459,56,5106
novitakurniap,424,290,1022,13021
alfinalfinn,91,305,18735,5748
