username,created_at,text
Abdee,2021-06-07 15:11:08,Operasi Perburuan Teroris di Kawasan TNLL Berakibat Objek Wisata Ditutup dan Hambat Program Konservasi https://t.co/oqgohZWkRJ https://t.co/6BS46PaNh3
Abdee,2021-06-07 15:11:06,Komunitas Motor dan Penggiat Alam Bebas di Touna Kolaborasi Tanam Mangrove https://t.co/sWWTNCmlMb https://t.co/oPb2vnz3eQ
Abdee,2021-06-07 15:11:03,"Pandemi Covid-19, Bawaslu Sulteng Menginovasi Koperasi Konvensional ke Virtual https://t.co/HLgc8HcEF1 https://t.co/neAWbAOS83"
Abdee,2021-06-06 15:07:09,Geliat Peringatan Hari Lingkungan Hidup Sedunia di Pesisir Teluk Tomini Parigi Moutong https://t.co/zmFMQVeHj3 https://t.co/sTIpgSDgkT
Abdee,2021-06-06 15:07:06,Kelompok KUPS asal Alitupu Belajar Pascapanen Kopi di Dombu https://t.co/G5YBXDXW9a https://t.co/SRQtwCWCke
Abdee,2021-06-06 15:07:04,"Tengah Pendemi, Kalla Grup Luncurkan Toyota Raize di Palu https://t.co/RXEfupAi4n https://t.co/LZuGBvIkyh"
Abdee,2021-06-05 11:59:04,"Tuduh Mahasiswa Minta Uang ke BWSS II, Oknum Akitivis Dilapor ke Polda Gorontalo https://t.co/JUaqHmBEkB https://t.co/QiKOYTLbgP"
Abdee,2021-06-05 08:58:33,"DPD KNPI Morowali dan Balut Resmi Dibekukan, Ada Apa? https://t.co/MbFq9sh7rb https://t.co/HGQczcesVG"
Abdee,2021-06-05 05:57:04,12 Anak Terima Penghargaan Lomba Melukis Bertema Covid-19 dari Forest Programme III https://t.co/szmKSuPwhO https://t.co/nY8KlnSfAP
Abdee,2021-06-04 09:00:03,Rival “MAN” Himran Daur Ulang Lagu Legendaris Vose Sakaya https://t.co/B4e6rr3eZB https://t.co/kPGbrsRbj4
