username,created_at,text
Adamumemo,2021-03-26 04:40:29,The City of Bones and Dreams! Damn that sounds interesting af https://t.co/F83ypUyS1X
Adamumemo,2021-03-26 04:35:46,"Anjir gw bakal nawarin fotoin mereka berdua, can you imagine how fun as a person they are? LOL https://t.co/6a2uRyPpx7"
Adamumemo,2021-03-26 04:32:32,https://t.co/Ov7Z68QMwZ https://t.co/DzAjmxtegr
Adamumemo,2021-03-25 04:50:24,@ferddrew Anyone has the link to the full video?
Adamumemo,2021-03-24 05:05:43,@Acisah Society emang gitu bikin idup ribet
Adamumemo,2021-03-24 04:33:24,Levi while swirling in the air https://t.co/9KNGk6yLV2 https://t.co/bBcjxnJWpX
Adamumemo,2021-03-23 02:09:01,@levileti Aku gabakal bisaaaa hahahaha paati abis selesai baca 1 pasti contemplating dulu
Adamumemo,2021-03-22 07:09:11,He did a god's work for us all 🤣 https://t.co/K1a6BCZuwd
Adamumemo,2021-03-22 06:44:27,HAHAHHA ELON MUSK HAHAHA PINTER DAN KAYA HAHAHAHA ELON MUSK https://t.co/p4Thhx64ZK
Adamumemo,2021-03-21 04:56:01,@enongaps Bisa dongs kan ibukota memang warbiasah
Adamumemo,2021-03-21 04:46:40,"Yg bilang ""nikah malah dibikin ribet"" itu idiot. Dengan ini org yg ""asal"" nikah bisa di saring biar neken keluarga miskin baru atau generasi² sandwich lagi. Dengan peraturan kayak gini org yg bener² ""siap"" nikah berhak menikah https://t.co/PM3MHgNpOz"
Adamumemo,2021-03-21 04:25:58,"@ridwanhr @nrmchynt Gua ga setuju, selama kita mampu dan kita bisa membuat diri sendiri puas dan bisa membeli yg kita inginkan menjadi sebuah achievement, it's great to do that. Selama tidak mengganggu, merugikan, mencelakai org lain"
Adamumemo,2021-03-21 04:20:25,@fialuth Imi soundtrack nya charlie's angels bukan si
Adamumemo,2021-03-21 04:15:22,@fialuth https://t.co/Hf92HIlI1u
Adamumemo,2021-03-19 13:47:12,@patyET Wkwkwk https://t.co/1MwPPyBVHR
Adamumemo,2021-03-18 11:58:21,@ceceandpearl1 Life imitates art ✨
Adamumemo,2021-03-18 11:43:38,@hisfavblonde @txtdarigajelas You are missing one sentence to complete the syahadat tho
Adamumemo,2021-03-18 09:36:15,@yamspaceboy @memefess Familia buah buahan dong?
Adamumemo,2021-03-18 09:09:10,@GatorsDaily On today's menu gator matcha flavor
Adamumemo,2021-03-18 09:07:59,"Direbus biasa aja jd 10rebu, full package gini mah jd gocap wkwkwkwkwk https://t.co/giJp1lVqeH"
Adamumemo,2021-03-18 09:00:41,@fialuth Tp otak pintarnya kan cuma pengen berdiskusi dg sang istri tercinta :'D *paling Wkwkwkkwkwwk
Adamumemo,2021-03-18 08:53:32,@fialuth Pak habibie be like: https://t.co/YINmZ3yjNH
Adamumemo,2021-03-18 04:36:10,What a dream 😂 https://t.co/RSw0xIiCIY
Adamumemo,2021-03-18 03:51:42,"Gak kaget mbah, uwong berseragam opo gak jek ttep menungso, podo podo isok berbuat buruk. Seng nggarai kaget lho kok yo jek ket saiki kepek e https://t.co/5uQdNywI5t"
Adamumemo,2021-03-18 03:43:30,@esanuryanasma @Rendybully Wkwkwkwkwkwkkwkwk Ancen kuotane sitik iku terus pendaftar sebelum² e wes persiapan wes gercep
Adamumemo,2021-03-18 03:33:21,@NOTASLIMBOY Lah itu kan padinya masih ijo mas ya belum bisa di panen 🤪 wkwkkwkw
Adamumemo,2021-03-18 03:28:30,@masteriqro6 Laki dong kalo soleh?
Adamumemo,2021-03-18 03:27:35,@masteriqro6 https://t.co/G8xHTUP6CH
