username,created_at,text
Agustinurfika,2021-06-09 15:11:04,@langitlangit98 @EviyantiNaingg1 @tiffanyalvh @obi Ala ala wkwk
Agustinurfika,2021-06-07 19:06:14,Apa karena namanya sicepat halu jadi tu paket halu aje gitu ga nyampe nyampe??? Mana baru beli lagi barang milihnya sama pula sicepat halu cuma krn gratis ongkir harga emg ga pernah boong ga lg lg deh
Agustinurfika,2021-06-07 19:00:50,Setelah kemarin bingung nyari paket ada dmn waktu di lacak udh diterima keluarga padahal gaada yg nerima eh taunya disimpen di jendela tanpa konfirmasi dulu lewat chat WA kek atau telfon kek skrg ni paket ga nyampe2 dari tgl 5 huft @sicepat_ekspres https://t.co/UY03FPezOk
Agustinurfika,2021-02-16 01:14:07,"Cita2 mau olahraga tp jam segini ngantuk lg, dahlah."
Agustinurfika,2021-02-15 21:48:01,Selalu dah selalu laper subuh2 gini 😥
Agustinurfika,2021-02-01 07:58:07,@faneexo Malesnya kenapasiii wkwk padahal aku mah paling gabisa klo ga ke kamer
Agustinurfika,2020-12-24 03:04:17,@faneexo @langitlangit98 @bobiiobi Sad bgt tiap kalian di grt aku di jkt..........
Agustinurfika,2020-07-28 17:56:03,@langitlangit98 Sama bgt udh bruntusan ga jelas knp kulitnya kering bgt 😭
Agustinurfika,2020-05-31 10:44:23,Ya allah kesel bgt knp ya ni org satu selalu ngegampangin segala hal
Agustinurfika,2020-05-29 10:21:18,@muhammadilmanh Happy birthday a ilmaann! 🥳🤹‍♂️
Agustinurfika,2020-05-25 20:20:03,Begadang lg dong maaf kulitku 😢
Agustinurfika,2020-05-25 15:46:01,Bosen bgt sumpah
Agustinurfika,2020-05-24 07:59:44,@Bimberss Ari a bima ih wkwk
Agustinurfika,2020-05-23 23:15:18,Boleh ga lebaran skrg tidur lagi aja krn gatau harus ngapain wkwk
Agustinurfika,2020-05-23 09:47:21,Pls ngaca dlu sebelum bnyk bacot
Agustinurfika,2020-05-22 16:21:35,"Begadang lg setelah sekian lama, zibuk zekali huftt"
Agustinurfika,2020-05-22 08:13:36,@bobiiobi Terus yejin sama jongki biar tukeran kapten ya bi wkwkwk
Agustinurfika,2020-05-22 00:15:35,@faneexo Kalo aku sih abis saur ga pernah tidur lg jadi auto ngantuk malemnya nii 👌
Agustinurfika,2020-05-20 09:09:34,@Bimberss Basic bgt ya a wkwk
Agustinurfika,2020-05-20 07:02:22,"Makanan yg enak bisa beli di grt apaan ya, kebanyakan jajan kopi sama boba ampe bosen"
Agustinurfika,2020-05-19 13:50:04,@faneexo Aku udh 2 minggu ga begadang jd manusia sehat lagi jam 9 malem dah tdr wkwkwk
Agustinurfika,2020-05-19 12:48:21,Sebel bgt sama obat alergi selalu bikin ngantuk 😫
Agustinurfika,2020-05-18 08:05:26,@bobiiobi Cara tau jumlah yg akan datangnya gmn ya..
Agustinurfika,2020-05-09 10:30:45,@JNECare min cek dm dong
Agustinurfika,2020-05-05 21:22:08,@faneexo Gumushnaaa 🥺
Agustinurfika,2020-04-30 00:52:12,Daritd ngebacot panjang di ig story scnd acc tp akhirnya di delete krn mikir apaan sih ga jls -_-
Agustinurfika,2020-04-29 20:54:29,"Nahan2 diri biar ga keluar rmh atau ke bdg lg krn bosen bgt di rmh, eh tp msh ada aja org yg update nongkrong ngopi di luar 😠"
Agustinurfika,2020-04-29 20:50:55,Pgn pake makeup tp gatau mau pergi kemana ☹
Agustinurfika,2020-04-27 09:53:48,"Tiap bikin es buah pas bagian motong buah naga selalu nyanyi dalem hati ""ular naga panjangnya bkn kepalang"" knp dah :("
Agustinurfika,2020-04-26 22:57:36,"Benci bgt klo mau dapet tiba2 jerawat bejibun, bekasnya itu loh betah bgt"
Agustinurfika,2020-04-26 20:39:06,@Rezca_ Sebel bgtt pgn cepet beres ini corona pgn mainnnn :(
Agustinurfika,2020-04-26 19:49:39,Dikira lawakan kali ya
Agustinurfika,2020-04-26 19:49:11,Aneh bgt sama grt yg udh tau ada pasien positif kena corona tp masih rame masih seneng keluar rumah masih seneng nongkrong rame2 even cuma dpn rumah
Agustinurfika,2020-04-22 13:36:55,@bobiiobi @faneexo @langitlangit98 Buset sampe satu kampung di isolasi 😨
Agustinurfika,2020-04-22 07:23:46,Doi kebanyakan nonton nessie judge 🤦‍♀️ tp gue tetep ngehargain kok pendapat org2 yg percaya klo itu konspirasi sip dah saluttt w sama u u semwa
Agustinurfika,2020-04-22 07:21:20,"Jauh sebelum corona semakin meningkat di ind, gue udh pernah debat ga jelas soal konspirasi corona sama ryo dmn si ryo percaya klo itu semua sebuah konspirasi..."
Agustinurfika,2020-04-22 07:20:18,"Well gue baca judulnya aja udah males nonton, besok2 DBD konspirasi, tifus konspirasi, cacar konspirasi, mencret konspirasi 🤷‍♀️"
Agustinurfika,2020-04-22 07:17:51,Lagi rame soal konspirasi corona gara2 youtubenya omded
Agustinurfika,2020-04-17 07:44:31,Psbb berlaku juga gasi di grt?
Agustinurfika,2020-04-04 11:08:52,"@bobiiobi Iya ya keren jg doi, kok bisa dia dlu mau sama aku yg b bgt ini? Wkwkwk kyknya aku penyesalan terbesar dia ya bi 🤪"
Agustinurfika,2020-04-04 10:48:02,"@bobiiobi Jarang buka twitter skrg mulai aktif lg krn gabut, lalu liat ini bi wkwkwkwkw mantan aku yg bersahabat sama km??"
Agustinurfika,2020-04-04 07:25:56,@compilcated_ @IndiHome Parahsii emg ya sygnya cuma indihome yg bisa nyampe rmh huhu
Agustinurfika,2020-04-04 06:12:23,"Ok jadi udah pasang nih @IndiHome di rumah, udah bayar juga dari 2 hari yg lalu. Tapi sampe skrg belum aktif juga, katanya sih krn bnyk yg mau pasang jg. Emgnya gitu ya? Di bdg aku pasang sehari langsung aktif kok hufttttttt 😔😔😔"
Agustinurfika,2020-04-04 06:10:16,@Myriansyah92 @IndiHome Bukan kak
Agustinurfika,2020-03-31 06:34:41,"Lagi #dirumahaja tapi gabut bgt tanpa wifi, mau pake @IndiHome udh daftar udh dateng orgnya buat survey tp blg jaringannya penuh, ada solusi katanya udh ada yg ga pake dan bisa pasang eh tapi sampe skrg ga di pasang pasang tuh 😒"
Agustinurfika,2019-10-10 21:35:26,Come see what I’m selling on Carousell: https://t.co/GX8OZW3nB0 #carousell @carousell_id https://t.co/2rDGO72xhh
Agustinurfika,2019-03-13 22:11:54,Kek berasa separuh idup ada yg ilang kagak bisa buka ig... https://t.co/zLdAePWLXZ
Agustinurfika,2019-01-29 02:19:31,Gemeshhh bangeett pengen punya :( https://t.co/gD01weVJGv
Agustinurfika,2019-01-16 19:30:34,@mohrobiris @faneexo @Ptrdshmbng Tunggu aku nanti sabtu eaaaa
Agustinurfika,2019-01-15 21:55:13,@Ptrdshmbng @andihiyat @mohrobiris @faneexo Ngumpul nongkrongnya aja dulu yg ekspetasi mulu wkwk
Agustinurfika,2018-11-28 12:21:03,"SUKABUMI SAE IS COMING! Come and join us! We’ll bring the party to you! Our main event will be held on Desember 1st, 2018 at 1PM in Gedung Sate, Bandung, East Java #CopywritingKM40MC1 #1502164381 https://t.co/g27VZ1I4Iq"
Agustinurfika,2018-11-24 09:26:39,"#wujudkeunplaraSAE merupakan campaign Sukabumi SAE, karena kami ingin membuat pelabuhan ratu menjadi lebih indah seperti sedia kala dgn memberikan bantuan berupa tempat sampah di wilayah pantai pelabuhan ratu. Ayo sama-sama sukseskan dan dukung gerakan kami. #CopyWritingKM40MC1 https://t.co/mmtFJbpxDm"
Agustinurfika,2017-06-03 14:35:12,@mohrobiris Jangan lupa untuk support lagi siapapun yg mau kasih surprise ke aku eaa
Agustinurfika,2016-09-08 02:56:09,HARI INI Final Pemilihan Duta Bahasa Pelajar Jawa Barat 2016 yang dilaksanakan di Hotel Harris Citylink. … [pic] — https://t.co/fU6djot8kh
Agustinurfika,2016-08-03 03:31:48,"Makasih robi dan tiffany nyempetin keluar malem nemenin a ferry… (w/ Mohammad Robi, Ferry, &amp; Muhamad) [pic] — https://t.co/GqO0nxqauD"
Agustinurfika,2016-07-01 05:16:16,Tigin diri Pinunji Surti Nastiti Saha nu bakal diistrenan panggentos kang Isnat sareng teh Ashry… [pic] — https://t.co/QA7CFxyqLR
Agustinurfika,2016-04-11 13:14:53,"Selamat ulang tahun aa sayang, semoga jadi pribadi yg lebih baik, jadi contoh yg baik juga… (w/ Nuriko) [pic] — https://t.co/igalCoXoEr"
Agustinurfika,2015-12-20 10:38:06,Surga kecilku💞 (with Nurul and Nuriko at Kamojang Green Hotel &amp; Resort) [pic] — https://t.co/TcBWxiNogS
Agustinurfika,2015-12-19 07:02:41,"Happy wedding teh intan &amp; kang rivo! 💕💕💕 (with Rivo, Intan, and @mokagarut at Graha Intan Balarea) [pic] — https://t.co/wqYaQXAHSy"
Agustinurfika,2015-10-16 07:14:11,Hello akang teteh keluarga Merdeka 91! #prideofmerdeka91 open pre-order lohhh dari tanggal… (w/ Yogi) [pic] — https://t.co/0Ink34pF33
Agustinurfika,2015-06-22 11:46:23,Assalamuallaikum masyarakat Garut yg ingin berbagi di bulan Ramadhan ayo ikut berpartisipasi bisa… https://t.co/obeA0pMO4p
Agustinurfika,2015-05-30 12:55:27,"🐽🐽 (with Rama Ibrahim, Dzilan, and 3 others at @deanclom) — https://t.co/NluAoqNKLe"
Agustinurfika,2015-05-29 05:54:37,"Pibesdey a ilman! (with Denindra, Muhammad, and 2 others at MENUME) — https://t.co/hC5Ja8QoPI"
Agustinurfika,2015-04-16 02:14:11,Hi adik-adik SMP/MTS di seluruh Kab.Garut sudah pada daftar SAS belum nih hari ini? Ayo ikuti dan… [pic] — https://t.co/hnEtgNyjw0
Agustinurfika,2015-02-16 01:07:01,"Wilujeng Milangkala Garut ka 202, Tata Tengtrem Kertalaharja. Garut Intan Pangirutan, Aman, Nyaman dan… http://t.co/9vZ0plDlTS"
Agustinurfika,2015-01-29 11:04:36,Rindu adalah cara baik untuk membuat yg dirindu makin jadi mempesona - Pidi Baiq http://t.co/jxf9HIXmfU
Agustinurfika,2015-01-24 02:22:25,Ada yg pengen banget diucapin happy birthday nih terus difoto beserta kue imutnya dan ga lupa… (w/ Putri) [pic] — https://t.co/lvkO5ZywXN
Agustinurfika,2015-01-24 02:13:40,Happy sweet17 my sugar honey honey no more caption to describe how much I love you ❤ http://t.co/dBFjdR6UFC
Agustinurfika,2015-01-14 13:17:07,Ayo tamasya jelajahi Garut! http://t.co/2C7EEDAoct
Agustinurfika,2015-01-11 04:46:22,"Let the sea wash all the pain, tears, hopeless, and all the bullshit things that I do for you. http://t.co/W6ojy44YXu"
Agustinurfika,2014-12-29 15:21:36,@ivonapriyanti iya masa ath aku harus cerita di sosmed kan galucu atuh yaaa :(
Agustinurfika,2014-12-29 11:54:30,@ivonapriyanti aaaaaa sama kyk aku yaaa :(
Agustinurfika,2014-12-28 02:17:26,"Berasa anak kecil lagi haha (with Nurul, Satrya , and Nuriko at Taman Air Sabda Alam Hotel &amp; Resort) — https://t.co/leKHMnG3SY"
Agustinurfika,2014-12-27 07:01:19,"@ivonapriyanti oh dude, i miss u so dude :("
Agustinurfika,2014-12-25 04:23:58,Merry Christmas for both of you @ivonapriyanti @Ptrdshmbng have a joyful Xmas!
Agustinurfika,2014-12-20 03:13:27,"Seminar bareng master cinta. Tips-tips cantik dari master cinta : 1.… (w/ Fiqri, Panca, &amp; Wafa at SMAN 1 Garut) — https://t.co/GLFADXIhp1"
Agustinurfika,2014-12-11 06:27:22,"Efek uas dan nafsu tak terhentikan we need… (w/ Muhammad Fajar, Panca, &amp; Salmaisya at R.M Padang Bungo Tanjung) — https://t.co/K1rmWeee63"
Agustinurfika,2014-12-07 09:39:43,"With Saffhira Nuriklima, pradita tiara, and 5 others at Prambanan Sleman — https://t.co/Mlih3JFzVd"
Agustinurfika,2014-12-07 02:13:20,With Duta Wisata Garut 2014 at Museum Gunung Api Merapi — https://t.co/HbiGjfuSYP
Agustinurfika,2014-12-03 00:24:26,Barakallah it's your turn! Happy sweet seventeen imoooonkuuu many happy return yaaa ih udh… (w/ Rismaya) [pic] — https://t.co/2bkzfFyxMX
Agustinurfika,2014-12-01 01:15:52,Happy birthday sweet girl mbreeee! Semoga apa yg di semogakan terkabul aamiin haha ngga bisa… (w/ Bresika) [pic] — https://t.co/dOoNBXK8YJ
Agustinurfika,2014-11-04 13:11:14,Cause if you want to keep me and if you really need me you gotta… ♫ Love Me Harder by Ariana Grande &amp; The Weeknd — https://t.co/GV3GJDIpBW
Agustinurfika,2014-11-01 01:36:42,Happy Halloween! Muka kita lebih serem daripada hantu setan jahanam bukan? ✌ http://t.co/riHWd4EMp5
Agustinurfika,2014-10-25 11:48:14,nemenin anak gaul garut (with Bella at SOLARIA RESTAURANT) — https://t.co/w1fqriaDFe
Agustinurfika,2014-10-20 07:25:14,"part-time lover, full time bestfriend ✌ http://t.co/ZK02t9ThKw"
Agustinurfika,2014-10-19 03:18:14,I can't access my line account because the new update rrrr so kindly add the new one 'nurfikagustin' if you need me ✌
Agustinurfika,2014-10-18 12:37:02,"With @RoadBoys70, Ilham , and 9 others at @toastngopi — https://t.co/2LI9cZpfkV"
Agustinurfika,2014-09-26 09:44:27,Hi guys kindly visit and follow @toastngopi feel the taste! http://t.co/DzLG5RQhfk
Agustinurfika,2014-09-12 09:04:34,With @ajuy_joy at De Wisdom - Wisata Domba Garut [pic] — https://t.co/y2ZhQbIwHI
Agustinurfika,2014-09-06 15:15:59,With @rismayaKH at Mr.komot Cake And Coffe Shop [pic] — https://t.co/9LRdg0EQbz
Agustinurfika,2014-09-06 12:38:41,"With @ajuy_joy, @Ririenoviaanty, and 6 others at Dokugaku Ramen — https://t.co/Nf945lBWAb"
Agustinurfika,2014-09-05 13:06:53,Friday night http://t.co/6GTGjIZ2qp
Agustinurfika,2014-08-20 02:28:49,Happy graduation sist❤ (with @akunurulpermata and @nurikoBP at Isola Resort) — https://t.co/VdX6EkaIky
Agustinurfika,2014-08-19 14:38:10,With @akunurulpermata at Cipaku Villa — https://t.co/9G2UwU3xXH
Agustinurfika,2014-08-14 02:28:14,Hi kiky! Selamat ulang tahun ya teman sepermainanku doa yang terbaik buat kiky❤… (w/ @rizky_kristanti) [pic] — https://t.co/1D2ll3fXWB
Agustinurfika,2014-08-05 04:01:29,@indahsrip indah cantikku selamat ulang tahun yaa doa yang terbaik buat kamu ❤ kapan nih kita ke pizza hut tea? hehe
Agustinurfika,2014-08-04 12:20:58,@reviwRRT makasih yaaa revi hihi
Agustinurfika,2014-08-04 12:15:43,"ah kalian masih sempet kasih surprise hihi makasih yaaa buat… (w/ @SNfiraaaaa, @raakapratamaa, &amp; 5 others) [pic] — https://t.co/9zbfgC5bs8"
Agustinurfika,2014-08-04 10:03:13,"the next journey niatnya ngilangin… (w/ Rivo, @MAandriann, &amp; 8 others at Charly Karaoke Swiss Van Java Garut) — https://t.co/KKgkEQ4YQV"
Agustinurfika,2014-08-03 14:20:29,@faneexo tiffanykuuu makasih yaaa aamiin yaRab❤ ih kok ngomong gitu
Agustinurfika,2014-08-03 13:29:57,@sintyawwlatifah aamiin makasih ya cantik :)
Agustinurfika,2014-08-03 13:29:17,@MFHfahmi aamiin makasih yaa mi ;)
Agustinurfika,2014-08-03 13:16:30,@Ceuk_Aldo hatur nuhun paldooo aamiin hoho
Agustinurfika,2014-08-03 13:12:09,@salmaulianisa makasih adik cantik aamiin yaa
Agustinurfika,2014-08-03 13:10:39,@anrfdllh makasih yaa cantik aamiin :)
Agustinurfika,2014-08-03 12:26:52,@ErvinaMegaP makasih cantik aamiin hihi :)
Agustinurfika,2014-08-03 12:22:05,@ASNzihaaan makasih zihan aamiin yaRab
Agustinurfika,2014-08-03 12:19:59,@indahsrip makasih cantik aamiin yaRab
Agustinurfika,2014-08-03 12:19:14,@viramahriva thank you hihi
Agustinurfika,2014-08-03 12:06:59,@AlyaHasnaM hihi alyakuuuu makasiih syg muah
Agustinurfika,2014-08-03 09:10:00,@desrirhy makasiiih cantikku hihi
Agustinurfika,2014-08-03 09:09:41,@FadlanR_ makasiiih padlan! meni jahat haha
Agustinurfika,2014-08-03 09:08:52,@Anisamelinda11 makasiiih ya cantik hihi aamiin yaRab
Agustinurfika,2014-08-03 04:00:26,Aku baru bangun tidur belum mandi ada kalian hihi me love you guys! (with @ajuy_joy and @RoadBoys70) [pic] — https://t.co/uDwvlnB3Ke
Agustinurfika,2014-08-03 03:49:18,@FitripitiH hihi pitiiii me love you ❤
Agustinurfika,2014-08-03 03:48:25,@oppunnirs mamamiakuuu yg paling lucu suaranya makasiih ya aamiin ❤
Agustinurfika,2014-08-03 03:47:49,@carinnaagatha ah carinku makasiih yaa aamiin yaRab buat semua doanya ❤
Agustinurfika,2014-08-03 03:47:16,@rachmaindira dirakuuuu makasih yaaa aamiin ❤
Agustinurfika,2014-08-03 03:46:08,@Agniarestu makasih cantikku aamiin ❤
Agustinurfika,2014-08-03 03:45:35,@RoadBoys70 aamiin makasih akew petet hehe makasih surprisenya juga hoho!
Agustinurfika,2014-08-02 15:58:10,@MinsMC13 gemaaaaa hatur nuhun nya kasep jadi bisa dibuka skrg :p
Agustinurfika,2014-08-02 15:14:25,"@MinsMC13 aya wae neng atuh bukan jang, nanti cek dm mau minta tolong"
Agustinurfika,2014-08-02 14:58:42,@carinnaagatha cariiiin sudah ya hehe
Agustinurfika,2014-08-02 14:57:28,And finally I can open my twitter again!!!!! Mulai sekarang harus dicatet semua password sosmed
Agustinurfika,2014-07-31 01:47:06,"Jembatan sasak gantung sumedang, dekat rumah nenekku. http://t.co/IbZeIGdI8N"
Agustinurfika,2014-07-27 07:04:07,Buka bersama mokagarut lotta love for you guys ❤ http://t.co/u9U0xz458r
Agustinurfika,2014-07-20 05:37:31,"You don't need a lot of money, honey you don't have to play no… ♫ Tattooed Heart by Ariana Grande (w/ @ajuy_joy) — https://t.co/c6X1j57ZwO"
Agustinurfika,2014-07-18 16:34:06,"Buka bersama dan reuni 3 generasi SMPN 1 Garut.… (w/ @imaniagustina, Rahmalia, &amp; 2 others at SMPN 1 Garut) [pic] — https://t.co/pY6deSrAEj"
Agustinurfika,2014-07-17 11:27:15,"Buka puasa dan… (w/ Rivo, @ferrymaulanna, &amp; 4 others at Kampung Sumber Alam Resor Air Panas Gunung Guntur) — https://t.co/egFIf2s0KG"
Agustinurfika,2014-07-14 11:19:32,"Merapat sekaligus buka bersama tak… (w/ @ferrymaulanna, @syifadaviaa, &amp; 3 others at Komplek Cempaka Indah) — https://t.co/VRWjsg420o"
Agustinurfika,2014-07-14 06:21:07,"Wengi unjuk kabisa, manquer ce moment. http://t.co/PWcEZpXd7m"
Agustinurfika,2014-07-09 11:03:15,Selamat berbuka puasa rais akew petet yg besok mau ke… (w/ @ajuy_joy &amp; @RoadBoys70 at Warung kopi mang ucup) — https://t.co/Js04e8TPAm
Agustinurfika,2014-07-09 04:15:28,Who hasn't done a crazy boring traffic jam selfie? http://t.co/5zZOA2yZxJ
Agustinurfika,2014-07-08 04:46:09,"Selfie bareng hello kitty nih, lucu banget kan. (with @ajuy_joy) [pic] — https://t.co/8842ci4TwL"
Agustinurfika,2014-07-06 09:15:24,Playlist wajib yes ♫ A Sky Full of Stars by @coldplay (with @ajuy_joy) — https://t.co/e3CzBiKZ6n
Agustinurfika,2014-07-02 13:45:54,"Hari keempat, tetap semangat ya! (with @ferrymaulanna) [pic] — https://t.co/QkbtceBjIw"
Agustinurfika,2014-06-25 02:41:18,@maulidauni uun selamat ulang tahun yaaa semoga dan semakin lebih baik makin cantik makin pinter ❤
Agustinurfika,2014-06-24 17:14:34,I had so much fun with my sister and ajuy today! Lotta love ❤ sleep tight guys (with @akunurulpermata and @ajuy_joy)
Agustinurfika,2014-06-24 17:10:29,@MinsMC13 apa atuh gemaaaa
Agustinurfika,2014-06-19 15:12:39,Sweet time with sweet people ❤ http://t.co/vnUXSSZEYK
Agustinurfika,2014-06-16 15:44:14,I hope that I could still surprise you in the following year that you're gonna live in. Love you to… http://t.co/G4YeTVWTwZ
Agustinurfika,2014-06-15 04:41:48,With @akunurulpermata and @ajuy_joy at Mr.Komot House Of Choco And Cheese — https://t.co/cPN542G9Kl
Agustinurfika,2014-06-13 05:08:26,"When you say you love me, know I love you more. And when you say you need me, know I… ♫ Adore You by @MileyCyrus — https://t.co/DchjyM4yx6"
Agustinurfika,2014-06-11 13:48:52,@Trihanditama ikiiii selamat ulang tahun! Sukses terus yaaa ;)
Agustinurfika,2014-06-11 13:47:04,@raakapratamaa udh daftar belum? Belum. Ok. Fine.
Agustinurfika,2014-06-11 13:15:41,"Whaaat pendaftaran apa? ""@raakapratamaa: @NZtata ta pendaftaran udah d tutup yaaa -___-"""
Agustinurfika,2014-06-11 00:03:26,Hari terakhir uas yeay! Semangat yaya @ajuy_joy ❤
Agustinurfika,2014-06-10 11:59:18,Uas masih satu hari lagi sih tapi ya gpp lah hihi (at Balubur Town Square) — https://t.co/8c95O8SKNt
Agustinurfika,2014-06-10 08:18:35,"There is no fear now, let go and just be free, I will love you unconditionally ♫ Unconditionally by @katyperry — https://t.co/BkI6AkaFcW"
Agustinurfika,2014-06-10 04:00:42,"Oh this is our silly face, and stupid, and clumsy, and grumpy, and we don't care http://t.co/oZI8GAaovu"
Agustinurfika,2014-06-09 07:56:53,The painter on my canvas world http://t.co/PcvsAtMnI0
Agustinurfika,2014-06-08 23:53:43,@raakapratamaa yakali aku inget hohoho
Agustinurfika,2014-06-08 16:05:44,@raakapratamaa oya kapan cerita ttg toxic people ka? aku lupa seinget aku sih yg berhubungan sama kamu ya cuma event tgl 16 nnt :(
Agustinurfika,2014-06-08 15:40:39,@raakapratamaa not available ah link nya berarti ga direstuin sama tab aku.
Agustinurfika,2014-06-08 15:36:28,@raakapratamaa dibuka jgn linknya? berbahaya ngga? haha
Agustinurfika,2014-06-08 15:12:34,@raakapratamaa ih keren siapa si toxic people itu?
Agustinurfika,2014-06-08 13:29:00,@salmaulianisa udah yaa
Agustinurfika,2014-06-08 07:49:52,With @akunurulpermata and @ajuy_joy at Rumah Makan Laila Cisurupan — https://t.co/62N4wv8PCU
Agustinurfika,2014-06-08 05:39:37,Teman teman setiaku haha terimakasih yaaa @hansyuhakus @RoadBoys70 @ilham_bego @ajuy_joy ❤ http://t.co/Sgxvdz7k5D
Agustinurfika,2014-06-06 15:52:05,"Kadang org yg selalu ada buat kamu belum tentu tulus, pasti pgn dapet balesan atau sekedar ""hargain dong"". Ya manusia sih"
Agustinurfika,2014-06-04 23:16:18,Semangat hari pertama ukk nya yaya @ajuy_joy ❤
Agustinurfika,2014-06-04 07:35:11,@NZtata besok insya allah ya kalo ngga sibuk ngapalin hehe ada info tilate terbaru udh tau blm?
Agustinurfika,2014-06-04 07:17:35,"@NZtata sama kangeeeen nanti hangout yu ngomongin yg event tgl 16, makasih cantikku ❤"
Agustinurfika,2014-06-04 02:20:26,"Like I'm the only one that you'll ever love, like I'm the only one who knows your heart ♫ Only Girl by @rihanna — https://t.co/KWVmk7fuY9"
Agustinurfika,2014-06-04 00:52:30,@MFHfahmi udah ya
Agustinurfika,2014-06-03 12:50:55,Kalian kaka kaka yang terhebat ❤ (with @akunurulpermata and Nuriko) [pic] — https://t.co/ifJv176cSL
Agustinurfika,2014-06-03 12:22:19,Alhamdulillah terimakasih semua atas doa dan dukungannya :) http://t.co/qqHBTC4pWB
Agustinurfika,2014-06-03 05:37:01,@Kikynungki hehe makasih yaaaaa mba kiky kangen nih maen ke garut dong
Agustinurfika,2014-06-03 05:36:17,@agnesalzenass hatur nuhun pisan teh
Agustinurfika,2014-06-03 01:45:08,@Imntfinethnks makasih ya indah ;;)
Agustinurfika,2014-05-31 12:39:27,With @akunurulpermata and @ajuy_joy at Warung Pasta Mang Ucup — https://t.co/nnzFljiUxh
Agustinurfika,2014-05-31 10:32:57,Manusia ini udh ganteng maen drumnya kece max ngga salah dan… (w/ Mohammad Robi &amp; Wafa at Studio Alamana) [pic] — https://t.co/fJhtUkHfDY
Agustinurfika,2014-05-30 18:12:35,"Ngga sabar pengen cepet2 semua hutang tugas sekolah beres, ukk tenang dan ketemu liburaaaaan."
Agustinurfika,2014-05-29 12:07:15,With @shaillayassie and @bllshfra at Pujasega Resto — https://t.co/ORq0sLxc23
Agustinurfika,2014-05-26 14:27:59,Pengen bgt bsk hari libur ke sekolah latihan bareng tilate ke studio ngerjain tugas senbud jajan kuliner bareng rrrrrr
Agustinurfika,2014-05-26 11:49:28,"Bosen itu krn cape, cape itu krn bosen, jadi ya intinya cape sama bosen deh. Ya gitu lah descriptionnya"
Agustinurfika,2014-05-25 13:34:45,"Ah ngiler liat makanan bertebaran di path serasa baru pulang dari pedalaman, skrg nunggu… (w/ @akunurulpermata) — https://t.co/ziY5IiSXEG"
Agustinurfika,2014-05-25 10:02:57,Sampurasun! Dukung saya untuk menjadi mojang kameumeut kab.garut 2014 dengan cara ketik MOKA (spasi)… [pic] — https://t.co/dxVeOQeLkk
Agustinurfika,2014-05-23 12:55:23,"sok sing seueur aa ngasms na :p ""@nurikoBP: MOKA (spasi) NURFIKA """
Agustinurfika,2014-05-22 02:50:10,Late breakfast (at SMAN 1 GARUT) [pic] — https://t.co/lAMppcoFaG
Agustinurfika,2014-05-21 00:09:30,In love with this violin but it's so hard to play hoho. I still go nuts to drum! http://t.co/stpTD4lSoy
Agustinurfika,2014-05-16 23:41:43,"A very happy birthday to this girl, enjoy being 16 dear @wafawahyunir ❤ http://t.co/1oqXaTf5Dj"
Agustinurfika,2014-05-15 05:08:09,"Tongsis-ing gagal, tilate. (with Wafa, Putrida, and 3 others) [pic] — https://t.co/q0A5wvGmHv"
