username,created_at,text
Betyratih,2021-06-13 08:01:03,@harinityass aku juga gak tahu sih jawabannya kalau pertanyaannya gitu 😶
Betyratih,2021-06-13 07:58:23,@harinityass kukira....
Betyratih,2021-06-13 07:57:10,@harinityass adudududu
Betyratih,2021-06-11 12:35:55,"@selalurabu iya, makasiiih hen ☺☺☺"
Betyratih,2021-06-11 11:49:12,"Selamat bertambah usia, semoga selalu sehat. Kita samaan ultahnya ☺ https://t.co/db68MnI0RQ"
Betyratih,2021-06-11 07:16:28,@rozaruspita thank youuu ☺😁
Betyratih,2021-06-11 01:41:06,No hitung-hitung kalori hari ini 🔥
Betyratih,2021-06-03 02:56:08,@Bryan_Ahwan @missiinyun @makmummasjid bukan desa mas? masuknya ke Kecamatan Widodaren
Betyratih,2021-05-31 11:09:31,"Wow unexpected, good job Haeyoon&amp;Yuju 💗💗 https://t.co/r3ST0T4nAw"
Betyratih,2021-05-23 08:40:56,@harinityass noted!!
Betyratih,2021-05-23 07:08:18,@harinityass eh kepikiran mau pindah ke situ juga 😁
Betyratih,2021-05-22 10:26:06,"Setelah baca twit ini, kayaknya mau pindah bank aja lah 😶 https://t.co/SLfEg9sknf"
Betyratih,2021-05-16 09:58:05,@harinityass lho besok dah mulai masuk??
Betyratih,2021-05-11 16:16:03,"@nafisalfisalma @WidasSatyo semoga selalu sehat dan bahagia ya mbak sama anaknya, semoga Allah juga selalu memberkahi 🌸"
Betyratih,2021-05-04 14:26:56,"Ngetawain diri sendiri yang selalu mikir bakalan dapat yang dimau, asalkan berdo'a dan berusaha 🙂 https://t.co/NHsKb8BW9i"
Betyratih,2021-05-03 20:27:37,@harinityass *aku gak baca twit ini*
Betyratih,2021-04-28 11:37:24,"Random banget. Tadi pas tidur siang mimpi jadi member SUJU, tapi ngobrolnya malah sama Yunho TVXQ. Lah"
Betyratih,2021-04-27 04:53:11,😭😭😭😭😭😭😭 https://t.co/lNzWZ1DMme
Betyratih,2021-04-26 10:13:33,"Pengaruh usia kayaknya, lebih suka dengerin ini daripada title tracknya https://t.co/MykFLcuNp5"
Betyratih,2021-04-22 12:46:32,why so cute 😂 https://t.co/DLXWRx71nD
Betyratih,2021-04-20 02:00:55,Dah comeback september bareng SNSD aja https://t.co/WYNGAmIptG
Betyratih,2021-04-17 08:52:26,Baru tahu Dawon cover Lovesick Girls. Sukaa💜💜💜 https://t.co/Untx2Zf5nO
Betyratih,2021-04-16 03:16:20,@theseoulstory @tikaayuf @SF9official @ATEEZofficial @Stray_Kids SF9 🔥🔥🔥🔥🔥🔥🔥🔥🔥
Betyratih,2021-04-13 07:12:40,"@harinityass hahahahaha bener, pengen nambah terus"
Betyratih,2021-04-13 06:59:46,@harinityass Sop+tempe goreng+sambal bawang enak banget sumpah
Betyratih,2021-04-12 12:18:11,@harinityass @destyrtna jangan kasih kendor bun!!
Betyratih,2021-04-12 08:46:35,"@harinityass @destyrtna lebay banget gaksih, mung perkara ganti nomor ya Allah 🤬"
Betyratih,2021-04-12 02:36:14,Kenapa jadi beneran kayak drakor gini???
Betyratih,2021-04-11 12:40:50,"Chani kayak aku kalo diajakin olahraga, pengen tidur aja 😭 https://t.co/mdMObSZ05P"
Betyratih,2021-04-08 01:23:27,Kangen https://t.co/rdnKDZcCfI
Betyratih,2021-04-06 00:11:43,"@harinityass iya bun. skrg kalo pengen minum manis, minumnya sesruput aja 😭😭"
Betyratih,2021-04-05 08:21:53,@harinityass bisa yok bisaaa
Betyratih,2021-03-30 03:26:11,@rozaruspita SABAAR SABAAAAR
Betyratih,2021-03-28 08:28:17,"Self love itu penting, tapi jangan lupa sadar diri juga."
Betyratih,2021-03-27 05:17:28,😊😊 https://t.co/TZ9bImRhbB
Betyratih,2021-03-25 13:06:04,Jiung ganteng amaaat https://t.co/EYciesOhi8
Betyratih,2021-03-25 10:05:04,"Pasti dia gak mau, makanya tak simpan sendiri. Hah malah diperjelas lagi."
Betyratih,2021-03-25 08:14:07,Astaghfirullah dari pagi foto ini sliweran di tl 🧐🧐 https://t.co/DMK9sETMwa
Betyratih,2021-03-24 09:11:22,"Ya siapa sih yang gak pengin jadi orang yang good looking? Tapi kalau ternyata dengan segala usaha hasilnya gak good good banget, ya bisa apa selain nerima?!"
Betyratih,2021-03-17 13:20:20,"Pas bagian ini aku ketawa mas 😂 Inget dulu MU main pasti sering menang, tapi semenjak SAF pensiun lebih sering sabar lihat performa MU yg labil. Terima kasih ilmunya Mas Widas, threadnya bermanfaat sekali👌 https://t.co/kDniCw6Gf7"
Betyratih,2021-03-17 12:37:28,*balik koreksi lembar ujian siswa*
Betyratih,2021-03-17 12:36:04,"3 bulan menuju 30, belum berkutat dengan menyiapkan bekal untuk suami atau mengganti popok anak."
Betyratih,2021-03-11 12:52:45,Akhirnya makan mie ayam 1 mangkok juga 😭
Betyratih,2021-03-06 10:54:49,@destyrtna smga cepat sembuh bapaknya desty ((((cantik)))
Betyratih,2021-03-06 07:14:48,@destyrtna hei koe sakit???
Betyratih,2021-02-24 02:49:36,Sumpah baru sekarang aku lihat berita idol dating malah ketawa 😂😂 https://t.co/Le3gtlT7wH
Betyratih,2021-02-21 10:43:26,waaahhh 🔥🔥 https://t.co/ycLHcnRsC0
Betyratih,2021-02-18 09:17:47,Waaaahhhhh https://t.co/AO9Q4ZyY5k
Betyratih,2021-02-17 15:36:37,@KCON_official #CNBLUE
Betyratih,2021-02-17 03:32:09,💙 https://t.co/6lQoVdZkPc
Betyratih,2021-02-11 10:10:03,"@harinityass huum, sama guling 🙂🙂🙂"
Betyratih,2021-02-11 08:35:49,@harinityass kayaknya gara2 ujan terus bun
Betyratih,2021-02-06 10:05:48,@ateyass @destyrtna aku pun....
Betyratih,2021-02-05 00:45:28,@ateyass @detikcom GAK!!!
Betyratih,2021-02-04 02:42:52,@ateyass @detikcom saya konfirmasi ke yg bersangkutan dulu bun
Betyratih,2021-02-02 07:07:42,@ateyass tapi aku gak ikhlas 😭
Betyratih,2021-02-02 07:07:15,"@ateyass tlg segera dm saudari tyas, jangan nunggu besok"
Betyratih,2021-01-27 07:30:02,@ateyass siapeee??
Betyratih,2021-01-25 04:39:26,"Pelajaran hidup memang bisa didapat dari mana saja. Twit ini mengajarkan bahwa optimis itu harus, jumawa jangan 🙂 https://t.co/KxfO3HNJSs"
Betyratih,2021-01-25 02:48:11,Lagu-lagunya bagus semua 💗 https://t.co/gyDMR67San
Betyratih,2021-01-24 14:02:17,Dari tadi nyari titik koordinat keributan gak ketemu-ketemu😑
Betyratih,2021-01-24 04:21:40,YASSSS https://t.co/JFgeT14bEV
Betyratih,2021-01-21 13:17:57,Haru ya 😂😂 https://t.co/as250xuuTB
Betyratih,2021-01-21 04:11:35,@ateyass tolong bantuannya dong pihak berwenang !
Betyratih,2021-01-21 03:21:53,"@ateyass iya bun, tapi kok ya sampe jam segini belum keliatan, keburu habis harinya"
Betyratih,2021-01-20 14:09:45,"@rozaruspita Eh gatau, aku malah ga paham"
Betyratih,2021-01-20 09:58:23,Senyum-senyum sendiri lihat IG story Herjunot Ali 😊😊
Betyratih,2021-01-20 08:08:30,my baby chaerin https://t.co/O6qsRQUosc
Betyratih,2021-01-20 08:08:12,gemesss https://t.co/xccW35aaXo
Betyratih,2021-01-16 11:15:46,ya Allah 😭😭😂😂 https://t.co/iYhfbcCFRb
Betyratih,2021-01-14 07:12:59,Waaaaahhhh https://t.co/BGkn54adeG
Betyratih,2021-01-14 02:16:48,One of my sources of happiness #11년된_스토리_고마워_씨엔블루 #과거현재미래_씨엔블루와_함께 https://t.co/nti0XRp0EJ
Betyratih,2021-01-11 07:34:52,@destyrtna aamiin ya Allah ❤
Betyratih,2021-01-11 07:00:00,"@destyrtna kayane iyo des. bener sih, wis takut, iki tambah takut"
Betyratih,2021-01-11 06:57:27,@destyrtna mulai hari ini tempatku juga des
Betyratih,2021-01-06 13:32:17,91-liner tos duluu https://t.co/E7ORPkCJSD
Betyratih,2021-01-05 02:29:12,terharu banget baca repliesnya ❤ https://t.co/P8l5BrvKxE
Betyratih,2020-12-30 12:50:31,"Sering terjadi kalau habis puasa, pasti udah ngerencanain besok beli makanan macam-macam 🙂"
Betyratih,2020-12-26 14:53:22,"iya, rumahku bkn kota kok. iya, aku lebih suka di rumah dibanding jln2. iya, aku lebih milih menghindari kumpul2 daripada nantinya tertular covid dan nyusahin keluarga/org2 terdekat. iya, aku gak suka kamu selalu nyepelein pendapatku soal pentingnya jaga diri saat pandemi gini."
Betyratih,2020-12-26 11:15:43,"@ateyass baru pertama juga ya sis, over jadinya ya 😂"
Betyratih,2020-12-26 09:41:18,"@ateyass diawali dengan kepleset, ah elah 😌😌😌"
Betyratih,2020-12-12 13:35:37,@rozaruspita i love youuu
