username,created_at,text
ClarisaHasya,2021-06-07 01:40:24,Me all the time https://t.co/XsuOBSyumq
ClarisaHasya,2021-06-07 01:39:10,@quokkaretjeh Nikah sama diri sendiri💖
ClarisaHasya,2021-06-07 01:25:15,Isi story ig org nikahan semua yaa
ClarisaHasya,2021-06-05 00:46:57,@Cathrynna Lah itu lanjutan hunger games?
ClarisaHasya,2021-06-05 00:40:24,hehe bener jg https://t.co/kPoFeMZhfL
ClarisaHasya,2021-05-31 03:08:24,@Cathrynna SAMAAAAAA
ClarisaHasya,2021-05-31 02:55:47,@zamzfz Waduh skip mi wkwk
ClarisaHasya,2021-05-28 13:16:35,Trus bangun deh. Sekian
ClarisaHasya,2021-05-28 13:16:34,Abis kembali ke dunia nyata tuh kita sama temen yg lain2 prepare gitu wkkwkw. Buat mengatasi hal kaya tadi terjadi lagi
ClarisaHasya,2021-05-28 13:16:34,Nah si mas2nya minta maaf ke ibu nya. Trus tiba2 kembali ke keadaan semula. Trustrus kan selama di dunia lain tuh kita berdua mulu ya. Trus jadi deket gt sama masnya. HAHAHHAHA
ClarisaHasya,2021-05-28 13:16:33,Ya kaya alice in borderland gt lah hahaha. Abis itu kita berdua kaya survive ceilah. Yaa keliling2 sambil bingung kobisa gini. Trs aku gangerti gmn tiba2 ada ibu2 yg marah gt. Aneh
ClarisaHasya,2021-05-28 13:16:33,Trus aneh bgt kan yah. Akhirnya aku cek story ig. Ko story yg aku buat brg temen2 lain ko gaadaa. Ko aneh gitu tiba2 masuk ke dunia lain
ClarisaHasya,2021-05-28 13:16:32,"Trs akhirnya aing iyain weh. Trs dtg ke booth baju nya gitu. NAH tiba2 aneh pas aku keluar dari booth bajunya tuh gaada org samasekali. Jd tinggal berdua, aku sama mas nya"
ClarisaHasya,2021-05-28 13:16:32,Trus tiba2 ada mas2 yg nawarin bajju gt. GANTENG BGT HAHHAHAHA TOLONKKK. Trs disitu akuteh malu2 gt yah. Kek aduh ganteng tp malu hahhahhaha
ClarisaHasya,2021-05-28 13:16:32,Jadi ceritanya aku da 2 temen aku lagi jalan2 di mall gitu. Nah trus kita lagi duduk2 gtkan. Nah di mall kan biasanya suka ada yg jualan baju di tengah2 mall gt. Ngerti kan yah hahaha
ClarisaHasya,2021-05-28 13:16:31,Mimpi random lagi check
ClarisaHasya,2021-05-25 05:49:13,@zahrahalfirdaus @Cathrynna Aku ngerjain sendiri. Tapi ga beres. Sisa 1 nomer. Trus aku bangun:(
ClarisaHasya,2021-05-24 13:35:23,@Cathrynna Gaada yg kasi contekan:( aku minta ajarin ke umi. Aneh bgt asli
ClarisaHasya,2021-05-24 13:34:53,@zamzfz ENGGAA :(( sad bgtt. Di mimpi aku mikir keras sampe baca2 buku nanya ke temen hahahaha aneh bgt
ClarisaHasya,2021-05-24 01:07:15,Mimpiku random bgt. Lagi kelas pas sma. Ternyata sda pr kimia. Dan cuma aku doang yg belom ngerjain. Jadi ngebut ngerjainnya dehh. TRUS DI MIMPI AKU MIKIR buat ngerjain. Aneh bgt
ClarisaHasya,2021-05-21 15:04:32,@luvtoscaa Hah? Stay safe tikaa
ClarisaHasya,2021-05-21 15:02:00,@FOODFESS2 Chatime roasted milktea topping grassjelly Mango greentea / lychee greentea topping aloevera
ClarisaHasya,2021-05-21 09:49:07,Ingin menjadi kucing
ClarisaHasya,2021-05-19 13:51:44,"Kenapaya kalo mati listrik, sinyal jg keganggu heran"
ClarisaHasya,2021-05-18 05:36:45,"👩‍🦳(nene) : ""ka minta masker dong"" 👩(aku) : ""ini banyak dibawah (ngasi masker duckbill)"" 👩‍🦳 : ""ko ini sih"" 👩 : ""lah trus apa?"" 👩‍🦳 : ""masker yg bikin glowing ka"" 👩 : 😑😑😑😑😑"
ClarisaHasya,2021-05-18 05:25:58,Kaget tiba2 dapet kuota kemendikbud
ClarisaHasya,2021-05-17 09:33:58,@FOODFESS2 Oh tentu level 0
ClarisaHasya,2021-05-10 13:25:54,@Cathrynna @VenomMovie Wuiii asiiiiqqq
ClarisaHasya,2021-05-06 22:35:55,@turtletearr Yang paket 50gb ituu riq
ClarisaHasya,2021-05-05 15:32:42,Kalian packaging bekas skincare atau makeup langsung dibuang aja atau dikemanain gitu? Soalnya lucu banget packagingnya tapi sayang kalo dibuang begitu aja
ClarisaHasya,2021-05-04 02:35:30,@1998treasure Ah masa
ClarisaHasya,2021-05-03 15:54:25,Mls bgt review paper😭
ClarisaHasya,2021-05-03 15:49:45,Dicariin deg2an. Ga dicariin juga deg2an😌 https://t.co/OOI8gAunri
ClarisaHasya,2021-05-02 18:25:55,@HoqAckerman Gabole
ClarisaHasya,2021-05-02 18:22:46,@HoqAckerman Enggggaaaa😭😭
ClarisaHasya,2021-05-02 17:27:42,Tiap semester selalu ngeluh pengen liburan 🙃
ClarisaHasya,2021-04-28 16:07:58,@collegemenfess Analisis Algoritma @quokkaretjeh
ClarisaHasya,2021-04-25 17:28:09,Hariini ku hanya rebahan saja 🙃
