username,created_at,text
Dannytandean,2021-03-26 19:55:14,"Serba salah emang ni. 😂😂 Pernah gw jawabnya agak sakit dikit pas mau MB, trus kata pasiennya ""yah, mending jangan bilang dok. Saya jd takut"" Zzzzzzzzz https://t.co/8jt0dBm3VR"
Dannytandean,2021-03-24 08:24:55,"@rahmatulhayati Coba pake apps indriver kak, bisa nego2 sm drivernya. Tapi kekurangannya harus pake cash. Wkw"
Dannytandean,2021-03-24 08:21:42,@rahmatulhayati Busway to the rescue 👍
Dannytandean,2021-03-24 07:44:24,"Excited bgt masa2 itu, tp abis itu terseok2 kuliahnya. Wkwk https://t.co/s1y08dLiZg"
Dannytandean,2021-03-22 16:09:55,@rahmatulhayati Woalaa. Deg-degan banget sih kalo gitu. Semoga cepet kempes absesnyaa 🤲🤲🤲🤲 semangaat kakk
Dannytandean,2021-03-22 16:02:37,"Persaingan sengit antara WGM Irene dan Dewa Kipas mengajarkan gw bahwa blunder itu ternyata bahasa inggris, kirain indonesia. Wwkwkk"
Dannytandean,2021-03-22 15:56:28,"@rahmatulhayati Wow. Cepet banget yaa, jadi abis itu gimana ka??"
Dannytandean,2021-03-22 13:05:51,@rahmatulhayati Abses apikalis jd abses submandibula secepet itu kak??!
Dannytandean,2021-03-19 12:51:01,"@trikurniadew Mungkin karena pada dirumah aja, jd bau jigong pun tak masalah. Wkwwkwk"
Dannytandean,2021-03-19 09:50:28,@rahmatulhayati https://t.co/lzvByrsDQF
Dannytandean,2021-03-19 09:27:34,@rahmatulhayati Tren karies 📈📈📈
Dannytandean,2021-03-19 07:55:52,🤦‍♂️ https://t.co/tLfesfwtGH
Dannytandean,2021-03-18 16:02:36,"@tariintan_ Uwiw, pejuang bta sejati https://t.co/uqDgs22HN1"
Dannytandean,2021-03-17 15:34:06,Yok semangat yok https://t.co/A9GYQfMoN0
Dannytandean,2021-03-17 10:42:29,"Same vibe, selalu dikira orang manado. Wkwk https://t.co/brooBdkSgf"
Dannytandean,2021-03-16 18:48:37,@veda96_ Mwehehehhe baru kejadian ye
Dannytandean,2021-03-14 15:42:09,@trissadiva Ngakak. Gw juga diginiin
Dannytandean,2021-03-08 12:15:34,"@betabelatrix Wkwkwkwk dighosting dpjp, rupanya lg sembunyi maen ml :)"
Dannytandean,2021-03-08 11:13:59,@trikurniadew Wkwkwkwk. Terus gimana akhirnya? Ketemu ga?
Dannytandean,2021-03-08 10:58:23,@tariintan_ https://t.co/47Xv1Syybe
Dannytandean,2021-03-08 09:00:58,@rahmatulhayati NAH INI https://t.co/tXq9HH1Jn1
Dannytandean,2021-03-08 08:55:56,"@rahmatulhayati Apalagi yg tinggal insersi, trus ilang gitu aja :))))"
Dannytandean,2021-03-07 10:16:43,Ngga ada yg menandingi dighosting pasien prostho :) https://t.co/5YVNJzOe3U
