username,created_at,text
Dyeah13,2021-03-28 10:56:23,Mau bangett tapi pake kebaya at least hihi. Biar gue pake kebaya gak cuma buat wisuda aja 😂 https://t.co/pJtajVepsd
Dyeah13,2021-03-27 04:36:58,@elisawah Ada yg jual ngga sih kak di sana? 😅
Dyeah13,2021-03-27 04:15:48,"Bisa2nya gue lupa muka tapi inget nama. Selama chat, sok asik aja gue sama junior cewek ini 😂"
Dyeah13,2021-03-26 12:33:19,Bakso seafood nya Lawson enak bgtt ya Allah :') Pantesan rame yg beli.
Dyeah13,2021-03-24 13:56:28,"@aan__ @asaibrahim Dok, knp sih 😂"
Dyeah13,2021-03-24 13:26:55,@juz10bie Me too! AAMIIN for us
Dyeah13,2021-03-24 13:26:38,"""Kak Dyah pulang bareng ga?"" she asked. ""Bolehbolehh wkwk,"" jawabku. Mayan hemat ongkos 😂"
Dyeah13,2021-03-23 14:45:50,Senyam-senyum &amp; cekikikan karna baca novel is one of the best moodboosters! 😂😝😚❤
Dyeah13,2021-03-22 15:14:49,Weird Genius x Rimar keren bangeeets 😍
Dyeah13,2021-03-22 11:26:33,Sad truth :') https://t.co/p0hnTRy04h
Dyeah13,2021-03-21 14:53:36,Heavy https://t.co/jRZR4Ska6j
Dyeah13,2021-03-20 17:23:23,King of the match lagi! Makin disayang Zizou 😌
Dyeah13,2021-03-20 15:46:23,Baginda Benz gacorrr uhuy
Dyeah13,2021-03-20 04:00:14,😂 https://t.co/EBtBxIuvqQ
Dyeah13,2021-03-19 15:04:35,@espisangij0 Lohhh samaan sist 😂 Nasi is life wakaka
Dyeah13,2021-03-18 13:49:56,@espisangij0 Us cheering on ourself every day
Dyeah13,2021-03-17 11:17:02,@hrdbacot Bagus deh mincot hashtag barunya! Keep it up 👌
Dyeah13,2021-03-16 17:15:32,@___ausy Wii cara apply nya gimana tuh Syy?
Dyeah13,2021-03-14 15:30:41,"Udah lama gak dibagongin novel wattpad on going, eh hari ini kena 😒"
Dyeah13,2021-03-14 10:04:47,@putipyu Cantikk heheh
Dyeah13,2021-03-13 17:09:48,Alhamdulillah gak jadi sakit kepala @realmadrid
Dyeah13,2021-03-08 11:00:04,"Tiap ditawarin nebeng motor meski cuma sampe stasiun, selalu bilang, ""Terserah, kalo kamu gpp,"" Yg penting gue gak minta/maksa, trus dikasih enak gak nolak dong 😂"
Dyeah13,2021-03-07 18:20:18,"This will be interesting on all leagues, right? @FaisalRsyd https://t.co/iPmTxQKjri"
Dyeah13,2021-03-07 17:15:17,"Ketiduran bentar, pas melek udah menit 80. Alhamdulillah untung gak kalah"
Dyeah13,2021-03-07 16:26:08,"Ngantukkk, gue tinggal tidur juga nih tim"
Dyeah13,2021-03-07 15:33:51,Baru ulangtahun udah bikin emosi @realmadrid. Mau ngomong kasar
Dyeah13,2021-03-07 15:17:47,El derbi Madrileño #HalaMadrid!
Dyeah13,2021-03-07 10:28:29,"@FajarAlviaan happy bday, a! Bahagia &amp; sehat selaluuu aamiin 🎉💪😁"
Dyeah13,2021-03-06 14:07:13,@avvadis Mereka percaya kamu gak bakal cepu kali 😂
Dyeah13,2021-03-06 08:57:41,"Selamat ulangtahun yg ke-119, salah satu berkah di hidupku, sayangku, yg suka bikin aku pusing juga kesal tapi tetap aja cinta. I can never thank God enough for you @realmadrid 💕💕💕 #HalaMadridYNadaMas"
Dyeah13,2021-03-05 01:13:10,@nonecrushy Aahh makasih! :')😘 Hahaha *ge er
