username,created_at,text
Gebiyaeputri,2021-06-03 23:43:20,@gittoys Interview salah satu Professor tim penemu 5G ga git? Orang Indo juga
Gebiyaeputri,2021-05-30 13:11:59,"It can be done, if steady. Consistence. It's only trust building. Tell the trust It's works! If you do it well this nations fly *ngopas optimisme juang para akademisi"
Gebiyaeputri,2021-05-28 23:38:37,"Surga dunia itu bukan pemandangan, bukan duit, bukan rumah, bukan pasangan, tapi ada dihati ~~~~ jleb🥲"
Gebiyaeputri,2021-05-12 08:56:46,@gittoys idealist vs realistis🥲
Gebiyaeputri,2021-05-11 10:21:54,Dunia biii !! Dunia biii !! Alhamdulillah masih ada kawan-kawan yang ingatkan ini cuma dunia. Ini cuma fana
Gebiyaeputri,2021-05-11 10:19:55,Takut ketika kok pulang ke rumah ortu bisa bahagia tapi ingat pulang kampung beneran yang literally pulang kampung belum siap. Bahkan takut banget ga punya bekal apa-apa
Gebiyaeputri,2021-05-11 10:14:35,"Sejak SMA mengikrarkan diri jadi anak nomaden. Tiap mau pulang kampung rasanya bahagia banget. Mau naik pesawat atau bis tetap ada perasaan deg-degan, senang tapi takut juga"
Gebiyaeputri,2021-05-06 03:13:34,"Don’t do likers-ship, focus on your value, do leadership - Gita Wirjawan"
Gebiyaeputri,2021-05-05 06:22:06,"Kita tidak dituntut menjadi orang baik, tapi kita dituntut jadi versi terbaik diri kita ~ 23 Ramadan 1442H"
Gebiyaeputri,2021-04-26 14:48:24,"Yang halal itu jelas, yang haram itu jelas, diantaranya ada yang samar-samar. Siapa yang meninggalkan yang samar-samar itu, dia telah menyelamatkan agamanya Nasehat yang jadi bahan renungan beberapa bulan ini"
Gebiyaeputri,2021-04-26 14:46:37,Halal dan Thayyib - Boleh lagi baik
Gebiyaeputri,2021-04-23 15:57:50,@gittoys Deg-degan ga jelas nungguin jam 3 besok git😖
Gebiyaeputri,2021-04-17 12:02:37,@Kemenparekraf Agendakan papa online kapan main ke Istano Basa Pagaruyuang yuk min
Gebiyaeputri,2021-04-17 11:17:41,"""Kenapa Anda mudik? Me : 1. Tunaikan tugas negara as #tourismambassador 2. Bantu papa online promosikan pariwisata Sumbar😅 *ceritanya masih dan selalu berdedikasi sebagai Uni Tanah Datar ahaha Yukk main ke Istano Basa Pagaruyuang! Tetap dengan protokol ya! https://t.co/fbKpzZzGbe"
Gebiyaeputri,2021-04-17 11:03:33,"Masalah itu punya soulmate, namanya solusi *analoginya ringan, tapi tetap jleb🥲"
Gebiyaeputri,2021-04-17 10:47:08,Apapun yang meleset tidak akan menimpamu Dan... Apa yang menimpamu tidak akan meleset Jleb dalam banget ~renungan sore ini
Gebiyaeputri,2021-04-09 07:08:43,@mizatikhair2 *pukpukpuk
Gebiyaeputri,2021-04-06 00:22:22,"Terinsipirasi dari postingan mas dosen yang setiap ketemu selalu ngucapin ""selamat ulang tahun geby!"" Dan ketemunya dalam seminggu bisa berkali-kali LOL"
Gebiyaeputri,2021-04-06 00:21:50,Bicaralah dengan hati Bicaralah dengan hati-hati Bicaralah dari hati ke hati Hingga bicara tidak diperlukan lagi
Gebiyaeputri,2021-04-05 10:15:19,"Ketidaktahuan anda, bukan berarti sesuatu itu tidak ada ~renungan sore ini"
Gebiyaeputri,2021-04-04 14:27:29,@sukasukalinda Heboh banget lin di bahas dimana-mana sama pakar pula. Semangat ya nak intern! Pelajaran sangat berharga
Gebiyaeputri,2021-04-04 14:23:09,"Patah untuk bertumbuh, perlu juga dipatahin biar makin on fire #Mondayvibes"
Gebiyaeputri,2021-04-03 15:08:09,Tembok besar antara laki-laki dan perempuan adalah EGO - littbro 2021 Me : Oh jadi itu alasan kamu susah banget kompak sama kembaran sendiri yang beda jenis kelamin gitu? Littlebro : ANDA BENAR!
Gebiyaeputri,2021-03-27 16:10:34,Semoga aku dan kamu bisa sejiwa kacamata. Mohon kerjasamanya 🙏
Gebiyaeputri,2021-03-27 16:09:32,Tapi merasa bersalah dan terkesan sombong ketika tau-tau ketemu orang yg kenal. Tapi karena limit liatnya ga keliatan sama sekali😧 Apalagi kalau yang ketemu itu guru sendiri. Merasa jadi murid tidak berterima kasih
Gebiyaeputri,2021-03-27 16:04:04,"Mata minus ga pake kacamata pula. Kadang sangat bersyukur mata minus, biar ga liat aneh-aneh. Apalagi kalau nemu orang kelainan suka liatin anu nya😑 Ga kebayang stres nya temen yg Jadi korban😧"
Gebiyaeputri,2021-03-26 02:08:52,"Kurang dari 12 jam, silaturrahmi effect MasyaAllah, tabarakallah #JumatBerkah"
Gebiyaeputri,2021-03-25 15:10:30,Gentle = yang bisa di apresiasi untuk diri sendiri😌
Gebiyaeputri,2021-03-25 15:03:15,"Muka mana muka, udah ga tau lagi taro dimana. Ketika perduniaan maksa HARUS nurunin ego. Demi ga mau merusak rekor-rekor #fwb yang udah berumur beberapa dekade 🥲"
Gebiyaeputri,2021-03-25 03:29:16,"@HijraniS mantap, dalam rangka hari?"
Gebiyaeputri,2021-03-23 09:22:32,@igatikah hijrah ke startup kuy ga
Gebiyaeputri,2021-03-23 06:32:46,@sei_napa SNMPTN = faktor L*
Gebiyaeputri,2021-03-21 12:14:02,"@gittoys setuju git! Skripsi bahas nikah muda masih ngefek sampai sekarang. Suka kesel sama yang pamer2 keuwuan nikah muda. Bukan iri, tapi orang yang ga paham yg ada malah pengen ngebet 😑😑"
Gebiyaeputri,2021-03-19 10:56:38,@ismailfahmi ijin buat dibaca2 pak🙏🏼
Gebiyaeputri,2021-03-18 16:07:29,"Baiklah, emang harus kembali banyak-banyak bergaul sama dede gemesh sebagai aset bangsa Indonesia kelak pdkt ke generasi mereka adalah PR nya🥲"
Gebiyaeputri,2021-03-18 15:59:17,Tapi yang punya keterbatasan biaya dan prasarana jauh lebih banyak. Mirisnya disitu
Gebiyaeputri,2021-03-18 15:58:16,"4 jam riset dan kepoin seputar education scholarship consultant, sampai lupa waktu. Nemu mulai dari yang seumur toge sampai setengah abad, mulai dari Indonesia punya sampai top dunia sebenarnya banyak banget yang antusias dan pengen ngejar pendidikan setinggi-tingginya"
Gebiyaeputri,2021-03-15 00:14:20,Obrolan sama salah satu kakak kelas https://t.co/6xmw9m3tXs Semoga bibit-bibit unggul yang bercita-cita jadi abdi negara percaya dirilah dan persiapkan diri sebaik mungkin sekalipun ga punya faktor U dan orang dalam. #abdinegara #indonesian
Gebiyaeputri,2021-03-15 00:09:25,"Cuma masukan aja sih, perlu angkat angle-angle semacam ini. Ga menutup mata, masih banyak yang percaya untuk jadi abdi negara harus siapin duit dulu, cari orang dalam dulu. Tapi yang benaran lolos tanpa faktor U dan orang dalam juga banyak!! @humas_akpol @DivHumas_Polri"
Gebiyaeputri,2021-03-15 00:03:44,"Dulu pernah nyoba ikutan tes trus ada temen yang anak pejabat. Waktu di Paskibra liat banget doi jebol ke nasional karena faktor U dan ortunya. Tapi waktu jumpa lagi di tes akpol, mau bapaknya siapa, doi purna Paskibra nasional lah kalau ga masuk kualifikasi ya tetap ga lolos"
Gebiyaeputri,2021-03-14 23:58:26,"Why? Perlu ambil angle-angle calon si abdi negara. Sebenarnya banyakkkkk banget yang mau jadi abdi negara, tapi udah malas duluan karena image jadi abdi negara harus berduit dan punya orang dalam. Kan sayang banyak bibit-bibit unggul akhirnya ga jadi maju #abdinegara"
Gebiyaeputri,2021-03-14 23:54:51,"Kalau dimaksimalkan bisa jadi momentum softselling bangun image dan persepsi. Misalkan, ""jadi abdi negara tentara/polisi itu transparan dan bersih ga melulu KKN"". Misalkan lho #abdinegara #indonesia"
Gebiyaeputri,2021-03-14 23:49:49,Tayangan kemarin itu cukup bagus soal sepak terjang tentara Indonesia di Internasional. Cuma kurang aja dibagian proses rekrutmen calon-calon abdi negara #abdinegara #indonesia
