username,created_at,text
IndrasZLaila,2021-02-21 14:04:31,@Allysmg_ Kulkasnya msh bagus berarti soalnya masih dingin 🐹
IndrasZLaila,2020-09-15 11:44:10,@putri_nadhifah Baca tok aja ikut kenyang put 😂😂
IndrasZLaila,2020-09-03 15:16:12,@andihiyat Hehehe
IndrasZLaila,2020-07-26 14:19:14,@Allysmg_ Purapura gapaham itu lebih kejam daripada tidak purapura
IndrasZLaila,2020-07-26 13:39:36,"@Allysmg_ ""Lha gimana kan menyesuaikan dengan siapa aku ke mall"" 😌"
IndrasZLaila,2020-07-21 04:21:09,@Allysmg_ 😏😏😏 Semoga emotku sudah mewakilkan
IndrasZLaila,2020-07-21 04:08:40,@Allysmg_ Banyakan toxicnya apa finefinenya nih?
IndrasZLaila,2020-07-12 11:03:24,@Allysmg_ Wkwk malah jadi sesi konseling 😭😭
IndrasZLaila,2020-06-23 01:48:02,@Allysmg_ Yg indah indah boleh deh
IndrasZLaila,2020-06-22 23:44:26,@Allysmg_ Ada yg marah sampe puncak gemilang cahaya nih
IndrasZLaila,2020-05-27 02:59:36,@yaelahcan Lha iya to
IndrasZLaila,2020-05-22 14:29:22,@allysamega Dibajak atau asli dari hati?
IndrasZLaila,2020-05-20 14:08:59,@miffauziah Sabar ya mif. Mencoba suasana baru 😀
IndrasZLaila,2020-03-27 12:58:58,@CandraWidyasari Coba gantian beli minuman can
IndrasZLaila,2020-03-22 04:54:44,@allysamega Wah capa nicchhh
IndrasZLaila,2020-03-22 02:09:18,@allysamega @riojohan Bukan aku lho
IndrasZLaila,2020-03-20 05:03:25,@riojohan @allysamega
IndrasZLaila,2020-03-17 16:07:28,@bayu_joo Pekewuh bilamana berjumpa dengan orangnya
IndrasZLaila,2020-03-17 15:36:06,@Rimadnss Alhamdulillah sehat rim. Gmn kabarmu? Stay safe too rim. Sedia sabun selalu😁😁
IndrasZLaila,2020-03-16 11:40:47,@Rimadnss Tidak terasa sudah bertahun2 tdk berjumpa ya rim 😂😂
IndrasZLaila,2020-03-15 01:36:25,@Rimadnss Selamat bertambah tua rim 😊
IndrasZLaila,2020-03-15 00:53:28,@icvbear Mbas (mbak dan mas) 😂😂😂
IndrasZLaila,2020-02-01 10:53:12,@allysamega Seneng ya chat sm aku?
IndrasZLaila,2020-01-06 13:30:39,@allysamega Gajian tinggal menghitung hari kurleb 24 hari lagi 😊😊
IndrasZLaila,2019-12-27 04:22:04,@allysamega @ohmybeautybank Suka wadahnya 😍😍
IndrasZLaila,2019-12-22 02:22:20,Ternyata grogi membuat mules mules gimana gitu hehehe
IndrasZLaila,2019-12-10 04:04:24,@daraprayoga_ Wkwk pikiran ini muncul kalo sedang tidak menginginkan sesuatu utk dibeli
IndrasZLaila,2019-12-02 06:43:00,@CandraWidyasari Wkwk iyak iyak iyak
IndrasZLaila,2019-12-02 05:26:08,@CandraWidyasari A snowmannn
IndrasZLaila,2019-12-02 04:27:49,@allysamega Astaghfirullah al adzim Astaghfirullah al adzim
IndrasZLaila,2019-11-30 15:30:37,@indrawidjaya Kirain tutorial ngobatin hidung mampet karena umbelen
IndrasZLaila,2019-11-16 15:08:47,@allysamega Emotnya melok melok aku ik
IndrasZLaila,2019-11-16 14:18:41,Ternyata bosen juga membahas hal yg sama berulang ulang ☺☺
IndrasZLaila,2019-11-02 07:35:49,@allysamega @Sandblazt Dah kuritwit 😂😂
IndrasZLaila,2019-10-23 10:50:14,@andihiyat @allysamega ninuninuninu
IndrasZLaila,2019-10-19 05:38:43,@raditatika Wah dit selamatt akhire nganggo toga wkwk
IndrasZLaila,2019-10-19 04:48:47,@monicahaps Selamatt atas gelar barunya monn 🎓🎓🎓
IndrasZLaila,2019-10-14 14:00:23,@CandraWidyasari Yg bisa jadi punggung 😂
IndrasZLaila,2019-10-14 07:40:39,@CandraWidyasari Mashoookkk ndraa
IndrasZLaila,2019-10-07 10:22:35,@wiranagara Curhat teross
IndrasZLaila,2019-10-01 14:08:30,@CandraWidyasari Boleh dijelaskan can? Bacut penasaran wkwk
IndrasZLaila,2019-09-27 11:32:10,Terkadang ingin seperti teman temanku yg sesantuy itu ketika menghadapi suatu ketidakpahaman yg seharusnya benar benar dipahami~~~~~~~~
IndrasZLaila,2019-09-26 15:14:24,@wiranagara Tiyetiyetiye
IndrasZLaila,2019-08-13 02:29:15,"@allysamega Mending kata ""seperti""nya dihapus aja mbak. Tidak efektif"
IndrasZLaila,2019-08-03 16:20:55,Nyatanya pernah jahat pada waktunya. Skakmat memang ada. Penyesalan tidak terkira. Lalu tidak bisa apa apa
IndrasZLaila,2019-07-20 11:56:26,@dhevatriya Wkwk eh ada dheva
IndrasZLaila,2019-07-20 04:47:43,Ternyata rindu bisa menyebabkan sendu😌😌
IndrasZLaila,2019-07-17 01:58:17,@allysamega Give away yg diadakan ✅
IndrasZLaila,2019-07-08 10:43:19,@allysamega Beliin mbakk 😍😍😍
IndrasZLaila,2019-07-06 13:37:55,Nyatanya terbiasa bersama lalu tidak bersama sangat tidak terbiasa
IndrasZLaila,2019-06-26 15:20:56,@monicahaps Tawangmangu mon
