username,created_at,text
Januarrmdhn,2021-06-04 13:08:35,"@intaniaayuu @SekotengBangkok 😮 kaget, baru tau mereka ada twitternya"
Januarrmdhn,2021-06-04 12:40:04,@nurulfadhlh @dildul2705 Rahmatuallah nuy
Januarrmdhn,2021-05-29 14:04:00,@camillaazyati @gunturhomesick @satriajatnikaaa Semangat mas guntur!
Januarrmdhn,2021-05-18 14:15:59,"Overjoyed-nya Stevie wonder lagu ke 2 favorite setelah San Francisconya sun rai, okey mantaap"
Januarrmdhn,2021-05-15 10:57:07,@intandwin @dildul2705 Boboran itu apa?
Januarrmdhn,2021-05-15 10:54:41,@nadaalyeah NAAAT SERU BANGET! 😂
Januarrmdhn,2021-05-14 13:10:36,@_lisdafebri Aaminn
Januarrmdhn,2021-05-14 08:12:50,@_lisdafebri Taunya kroto...
Januarrmdhn,2021-05-14 03:33:01,"@andaraijanina Aaminn ya Allah makasih teh Ana! Selamat lebaran juga yaa, sehat selalu!"
Januarrmdhn,2021-05-14 02:10:41,Kemarin kita kasih reward dulu sedikit biar makin semangat plus dibuatin menu recommend dari ka kinan buat mas januar biar mood di perjalanannya bagus katanya hehehe https://t.co/RQnk6fxaYT
Januarrmdhn,2021-05-14 01:55:27,"Ga apa apa ya jan, insaallah apa yang lagi dikerjakan sekarang pasti bisa jadi hal yang baik dikemudian hari aamiinn"
Januarrmdhn,2021-05-14 01:53:15,"Baru sadar waktu sampe Jakarta lagi, saking bahagia dan rasain momen lebarannya ga sempet foto foto sama ibu dan keluarga karena jam 10 pagi udah harus berangkat lagi ke Jakarta"
Januarrmdhn,2021-05-13 14:45:46,@ferdiriva Sehat selalu ibu dan bapak dan untuk mas-nya semoga dilimpahkan rezekimu berkali-lipat aaminn
Januarrmdhn,2021-04-30 13:59:47,"Tuhan kalo memang belum waktunya tercapai insyaallah hamba sabar, tapi kalo udah waktunya tercapai semoga sat set sat setnya gak banyak"
Januarrmdhn,2021-04-23 08:29:59,@dendenRCM @Satprawira19 Happy birthday bang sat 🙌🏻🙌🏻 😂
Januarrmdhn,2021-04-18 04:47:08,https://t.co/LbkUDtYHry
Januarrmdhn,2021-04-17 08:58:19,Subhanaallah bagus pisan
Januarrmdhn,2021-04-17 08:53:56,Baru tau borma dago punya spot yang kaya gini https://t.co/oGrV91JytP
Januarrmdhn,2021-04-16 13:23:37,@xxmar0on Stasiun akhirnya medan atau rantau prapat nih pasti?🤭✌🏻
Januarrmdhn,2021-04-16 13:18:17,@ituapaanya @faisaldaus
Januarrmdhn,2021-04-07 15:44:46,https://t.co/FBcuFhAo4f
Januarrmdhn,2021-04-03 10:04:09,@intandwin Semangat bro Intan!
Januarrmdhn,2021-04-01 13:44:53,@destianardewi Iya insaallah disampaikan ya
Januarrmdhn,2021-04-01 13:30:59,"@destianardewi Sudah saya isi yaa, insaallah ikhlas semangat skripsiannya!"
Januarrmdhn,2021-04-01 02:45:08,@alikaikell Yuhuu mantap semangat ikell!
Januarrmdhn,2021-03-21 00:31:23,"@jahdurs Kalo gue pindah dinasan ke Bekasi, workout bareng gue yu mas! Butuh banget partner ini duhh"
Januarrmdhn,2021-03-19 14:58:44,@jiemiardian Cocok nih mas jiemi sama pembahasannya https://t.co/PGyD0dFZvp
Januarrmdhn,2021-03-12 23:53:45,@salmooun Beneran enak ko monn 😋
Januarrmdhn,2021-03-12 23:52:59,"@intaniaayuu 8,9/10 👌"
Januarrmdhn,2021-03-12 12:50:50,Pemandangan lari sore hari ini cakeeppp https://t.co/hJMgpsSRbg
Januarrmdhn,2021-03-12 12:48:50,@intaniaayuu Iyaa betul
Januarrmdhn,2021-03-12 08:55:47,https://t.co/4HYLi6go7F
Januarrmdhn,2021-02-25 03:48:29,"@keipuan Semangat ipu, kamu keren!"
Januarrmdhn,2021-02-22 15:43:20,"Teruntuk bapak-bapak petugas lapangan yang kemarin dan hari ini sedang betulkan perbaikan rel kereta api, sudah saya titipkan doa malam ini agar selalu di lindungi dan disehatkan fisiknya. Terima kasih banyak dari saya salah satu petugas yang ada distasiun 🙏 https://t.co/987v2VeRAd"
Januarrmdhn,2021-02-22 14:36:21,@malikahnajibah Tetep semangat mba Malikah dan semoga sehat selalu
Januarrmdhn,2021-02-20 04:32:16,"@BPJSTKinfo sudah beres mas Aji, matur nuwun."
Januarrmdhn,2021-02-17 10:57:24,Lucuu 😂 https://t.co/7GBNokA7yJ
Januarrmdhn,2021-02-17 07:43:38,Alhamdulillah ya Allah hatur nuhun
Januarrmdhn,2021-02-08 02:52:17,Ibuuuu 😑😂 https://t.co/imcZLNla2Q
Januarrmdhn,2021-01-26 02:45:27,@NeldaNoer Naha jadi urg nu kudu gawe sih? -semesta
Januarrmdhn,2021-01-22 04:43:44,@manresham Aamiinn!
Januarrmdhn,2021-01-09 06:42:48,@NeldaNoer 💙💙💙💙
Januarrmdhn,2021-01-03 09:07:44,@ernykurnia14 @hrdbacot @intandwin @intaniaayuu
Januarrmdhn,2021-01-03 08:54:19,@spoicysows Terima kasih ka Salma! Sehat selalu yaa!
Januarrmdhn,2021-01-03 08:54:03,@unxpctdfriend Thank youu al! Bahagia selalu yaa!
Januarrmdhn,2021-01-03 08:53:29,@Quraishal Thank you qur! Sehat selalu untukmu dan keluargamu yaa!
Januarrmdhn,2021-01-03 01:04:10,"@gitapspita Terima kasihh gitt, sehat selalu untukmu dan keluarga yaa!"
Januarrmdhn,2021-01-03 01:03:40,"@iyaknpa Hahaha terima kasih teh ucapannya, sehat selalu untukmu dan keluarga yaa!"
Januarrmdhn,2021-01-02 23:48:02,@yzyangel @chiashit 😂😂😂
Januarrmdhn,2021-01-02 23:47:09,Bahagia. https://t.co/KXoN2PIQ3J
Januarrmdhn,2021-01-02 23:45:50,https://t.co/Ti5TSJQIXv
Januarrmdhn,2020-12-30 02:54:42,@finasept Lifeboat perahu penyelamatan teh Fin
Januarrmdhn,2020-12-29 16:17:47,"Pada akhirnya semua orang akan naik sekocinya terlebih dahulu baru ulurkan tangan untuk bantu orang selanjutnya, gitukan cara kerjanya?"
Januarrmdhn,2020-12-26 22:20:15,Subhanaallah ✨ https://t.co/gkuGINItRA
Januarrmdhn,2020-12-14 03:42:35,"@karirfess Sms/chat dulu abis itu telfon, sopan koo"
Januarrmdhn,2020-12-13 14:11:52,https://t.co/a3tVx64hBl
Januarrmdhn,2020-12-13 14:09:21,"Dapet pengalaman baru buat coba driving dan diajarin langsung sama ahlinya, ya kan des? 😂 @destiayuus https://t.co/fQG3Yj6vHw"
Januarrmdhn,2020-12-13 14:05:58,"Ini orangnya Sintia dan Desti, kemarin harusnya ada Afwan cuma ga bisa ikut hari itu https://t.co/clD5SQipVa"
Januarrmdhn,2020-12-13 14:04:30,"Kemarin waktu di Bandung ketemu temen kecil cerita pengalaman hidup dan ga disangka-sangka dapet jawaban dari pertanyaan yang dicari akhir-akhir ini, alhamdulillah baru dapet ""ngeuh""nya dari silaturahimi."
Januarrmdhn,2020-12-04 08:21:14,@firlyft Gokilll semangat Firlyyy!
Januarrmdhn,2020-11-24 14:18:32,Tegak tegak Januar ei tegak tegak
Januarrmdhn,2020-11-23 12:43:08,@farhanriedha Berisik domlah gelut weh ah derr
Januarrmdhn,2020-11-23 12:42:20,@aurorachmanida Ah kamu mah marah marah aja
Januarrmdhn,2020-11-23 11:52:22,https://t.co/HaYwtaD0UD
