username,created_at,text
JulianDennis1,2021-03-28 16:27:18,@rillyanisa Bintang dihati bupos 😆
JulianDennis1,2021-03-28 11:36:38,@fandey_ Gas keun nayahh
JulianDennis1,2021-03-28 11:14:10,Sore kan. https://t.co/9kfuUYheZp
JulianDennis1,2021-03-26 05:14:16,Semoga lancar CJ Feed &amp; Care 🎉 https://t.co/4xq1rkBShP
JulianDennis1,2021-03-25 12:46:11,@rillyanisa Sedingin kalau kamu lagi ngambek hahaha
JulianDennis1,2021-03-24 22:10:45,Go go Six Stinky Cats Gang 🐱🔥 https://t.co/cRIQQ9hD3y
JulianDennis1,2021-03-24 22:05:34,@rillyanisa Sedingin apa?
JulianDennis1,2021-03-23 12:34:22,4 people followed me // automatically checked by https://t.co/Btj3GTdALr
JulianDennis1,2021-03-22 15:34:54,@andewok Paja tu baliak?
JulianDennis1,2021-03-22 12:34:00,@andewok Hahaha gas
JulianDennis1,2021-03-21 12:13:59,@fandey_ Amoy ndk ikuik nay? Ado acara MB ndk dalam waktu dekat?
JulianDennis1,2021-03-21 12:01:20,@fandey_ Sama siapa di sana nay?
JulianDennis1,2021-03-21 08:35:05,@ulat_bulu_bulu 😂😂😂
JulianDennis1,2021-03-21 08:02:56,Hahahaha😂😂😂😂 https://t.co/vhlJO0QOiB
JulianDennis1,2021-03-20 15:25:09,@mitaaakiki Haha iyaa kira2 begitulah yaa😂
JulianDennis1,2021-03-20 15:18:16,@mitaaakiki Haha unisex ya 😂😂
JulianDennis1,2021-03-20 15:14:02,"@mitaaakiki Haha iya ki, mirip bgt soalnya tp anaknya jantan"
JulianDennis1,2021-03-20 13:41:05,"Ica dan anaknya, aci haha https://t.co/of7n9x9U0Z"
JulianDennis1,2021-03-19 12:08:19,@fandey_ Alhamdulillah. Jadi otco darimana aja?
JulianDennis1,2021-03-18 09:30:19,"Hey Megan, hope you are fine 🙏 Greenting from Indonesia https://t.co/IOZlMCsQLJ"
JulianDennis1,2021-03-16 11:33:40,@tetensuryana Gas ten
JulianDennis1,2021-03-15 22:13:04,@etyyyyyy___ Ngapo tu tiii
JulianDennis1,2021-03-15 11:17:37,"Babu, piring aku kosong nih. 🤣 https://t.co/Ni7GYjFZI5"
JulianDennis1,2021-03-15 07:13:10,@fandey_ Alah dicari didakek kosan se dulu naya?
JulianDennis1,2021-03-14 16:24:15,2 people followed me // automatically checked by https://t.co/Btj3GTdALr
JulianDennis1,2021-03-14 14:02:59,@tetensuryana Memulai di jkt ten
JulianDennis1,2021-03-14 11:50:22,Bismillah
JulianDennis1,2021-03-14 09:45:43,@nabillaquerida Jutek taruih mah. Ndk lo amuah di gendong do
JulianDennis1,2021-03-14 00:02:22,@nabillaquerida Alang 🐱
JulianDennis1,2021-03-12 17:28:11,Baa menurut kawan ko? Ahli pakar segala pakar @fariidmuhammad https://t.co/Q8uG0Npqj0
JulianDennis1,2021-03-12 06:03:52,@Yollanda_aW @fandey_ Nasi kapau se lah kakk
JulianDennis1,2021-03-12 05:18:50,@fandey_ Remas apa remes hahaha
JulianDennis1,2021-03-11 16:22:42,Hahahaha true https://t.co/2FRcldvxXF
JulianDennis1,2021-03-11 16:01:26,@andewok Jumat info nyo ndri. Tunggu hasil bos diskusi saml hrd jo korea nyo
JulianDennis1,2021-03-11 15:58:39,2 people followed me // automatically checked by https://t.co/Btj3GTdALr
JulianDennis1,2021-03-11 15:51:10,@andewok Haa tu suai bana mah ndri hahaha
JulianDennis1,2021-03-11 11:28:59,@SyedAzamBukhar1 @falasteen47 Fucking true
JulianDennis1,2021-03-11 04:26:27,#IsraMiraj1442H https://t.co/s4XBWXv8cr
JulianDennis1,2021-03-10 16:39:31,@rillyanisa Haha lah nampak bana bu poss
JulianDennis1,2021-03-10 16:39:09,@tetensuryana Haha siap teen
JulianDennis1,2021-03-10 14:42:35,@AriSyafyendra Haha jadih met. Tapaso rasonyo
JulianDennis1,2021-03-10 13:33:22,"@rillyanisa Haha percuma nyo bu pos. Santuang bana mangecek, logat ndk bakal ilang haha"
JulianDennis1,2021-03-10 13:29:08,"@rillyanisa Haha lo gua, ambyarrr"
JulianDennis1,2021-03-10 13:22:07,Ndeh maleh pindah ka jkt
JulianDennis1,2021-03-10 08:10:37,"@DonPurrleone @SixStinkyCats Hail Leader, Hail Don Purleone. 🔥🐱"
JulianDennis1,2021-03-10 07:48:02,TDWP - Born to Lose https://t.co/NvUWsyfYFq
JulianDennis1,2021-03-08 11:19:54,Call me Oyen Lion 🤣🦁 https://t.co/T70giDvwYo
JulianDennis1,2021-03-08 11:15:05,@werynovita Selamanyaa
JulianDennis1,2021-03-07 12:28:00,✊✊ https://t.co/UOJWAN4KFK https://t.co/jRSK5xcIMl
JulianDennis1,2021-03-07 11:43:15,@hyozeerazz @ulat_bulu_bulu @SaveVidBot
JulianDennis1,2021-03-07 11:12:42,@hyozeerazz @ulat_bulu_bulu Hahahaha😂😂
JulianDennis1,2021-03-07 06:52:47,Not now ereen hahaha https://t.co/nuDN3Mwt0a
JulianDennis1,2021-03-07 04:33:42,Keringetan juga habis bersih² kosan
JulianDennis1,2021-03-06 16:26:58,@qeefkeni Bikin nayaaaa @fandey_
JulianDennis1,2021-03-06 16:26:32,@eqnrzli Buat saja kak hahaha
JulianDennis1,2021-03-06 16:07:47,@dododid_ @fariidmuhammad buek mode ko rambuik ang rid. Ancak mah
