username,created_at,text
Juliepuspita01,2021-05-27 12:40:43,@SamJourdan_ @sukunashaman @sukweinsteiger Emg bener kok. Tobat ngapain tunggu pasangan yg tepat. Tobat mah tobat aja. Iya klo nanti jodoh nya pasangan lah klo jodoh nya kematian??
Juliepuspita01,2021-05-24 13:52:34,@zarryhendrik 44
Juliepuspita01,2021-05-15 14:32:26,@piduls_ @radenrauf 1000 tahun
Juliepuspita01,2021-04-28 11:40:55,@mas_recruiter Semoga aku dapet kerjaan yg jauh lebih baik. Menjadi versi diri yg lebih baik dari sebelumnya. Punya hub erat dgn shbt &amp; keluarga. Dipermudah untuk ktm jodoh&amp; pernikahan. Aamiin
Juliepuspita01,2021-04-03 06:45:29,"@senjatanuklir Paham sih kenapa kita harus perbaiki diri dulu pelan"" , sebelum disatukan tuhan"
Juliepuspita01,2021-03-25 11:36:21,@imamamrullahhh @ladazaa @jumintenkoplak Orang Bodoh
Juliepuspita01,2021-03-04 12:29:00,@GilangHamidy Gua juga pernah daftar. Dan disuruh isi form yg kyk gini wkwk
Juliepuspita01,2021-03-04 03:21:36,@hanmula https://t.co/4u7y3HS4nM
Juliepuspita01,2021-03-02 06:51:57,"@CharmingDevilll @margarebelle @tonibagusp @rouletteess Smp-sma pake nokia😂 Klo mau browsing lbh enak ke warnet. Soalnya hp nya bkn hp mahal &amp; gk kyk android wkwk. Hp buat dengerin radio, maen game, sms-an"
Juliepuspita01,2021-02-23 11:46:03,"@disyarinda Uk, oxford, king college london, imperial college london, ambil bioteknologi"
Juliepuspita01,2021-02-22 11:47:02,@hanmula Tweetnya realistis
Juliepuspita01,2021-02-18 14:27:01,Mo nangessss
Juliepuspita01,2021-02-17 13:49:06,"@hrdbacot Klo cuma dia doang. Yg laen dirayain. Apalagi misal ada tradisi, setiapkaryawan yg ultah dirayain. Normal sih. Pastinya overthinking. Bukan baper. Mikirnya apa mereka diem"" muka dua. Kerja klo lingkungan gk nyaman jg gk enak."
Juliepuspita01,2021-02-17 13:28:53,"@masasikamu Intinya sama"" ada gk enaknya. Kerja tp kyk dikerjain juga beban"
Juliepuspita01,2021-02-16 09:39:24,"@subtanyarl Bodo ah. Kalo kata spongebob, aku jelek dan aku banggaaaa wkwk"
Juliepuspita01,2021-02-10 14:02:12,@praaatttt @karirfess Sudah nder 😊
Juliepuspita01,2021-02-06 14:03:46,@karirfess Mauu
Juliepuspita01,2021-02-04 13:22:29,@tubirfess Selama sekolah dr tk-sma gk pernah ada paksaan. Waktu smp masih pada pake rok pendek (2006-2009). Sma boleh pke rok pendek/panjang. Siswi muslim boleh hijab/gk hijab.
Juliepuspita01,2021-02-02 13:06:13,"@mrs_geebae @firmannazis @mbak_enji @rykarlsen Bisa aja dia gk sempet ngomong maaf, atau tolong. Mngkn karena gugup, bingung, atau buru""."
Juliepuspita01,2021-02-02 13:00:10,@tr4veldysy @rykarlsen Namanya lg merantau di negeri org. Ya wajarlah seneng ketemu org se-negara. Tinggal jawab ramah aja apa salahnya. Siapa tau nti lo ketemu lg dan butuh org itu hahaha. Sapa tau 😂
Juliepuspita01,2021-02-02 11:38:54,@ribonk Nah ada yg menyuarakan pemikiran ternyata
Juliepuspita01,2021-01-31 14:52:14,I feel so lonely
Juliepuspita01,2021-01-28 15:05:29,Fuck
Juliepuspita01,2021-01-28 12:01:56,"@cowmeh @aquariangalz Pengen bgt bisa kek gini. Gua gini"" aja😧"
Juliepuspita01,2021-01-24 05:57:32,@omindrapratama @pandji Awas perhatikan kesehatan mental
Juliepuspita01,2021-01-18 22:38:41,@ferdiriva @SaveVidBot
Juliepuspita01,2021-01-12 16:04:05,"@kucingcandy @yourtigerlily_ @skinchemically Mngkn temennya gk peka. Lain kali tulis aja boleh dimakan, tapi jgn diabisin yaa."
Juliepuspita01,2021-01-07 14:00:33,"London,london, ingin ku kesanaa...."
Juliepuspita01,2021-01-06 10:22:24,I am 26 y.o now 😊
Juliepuspita01,2021-01-02 06:44:04,@squidwardfess Shja??
Juliepuspita01,2021-01-01 12:15:28,"@9GAG Netflix, success, marriage Aameen😁"
Juliepuspita01,2020-12-31 12:01:32,Alhamdulillah. Hujannn
Juliepuspita01,2020-12-30 12:38:46,@memefess Aku ngehalu pen kyk harry potter
Juliepuspita01,2020-12-27 10:48:48,@ntsana_ Bbf. Pas kelas 1 sma 😂
Juliepuspita01,2020-12-26 13:51:01,@orilookstore 31 Desember
Juliepuspita01,2020-12-24 05:45:49,@collegemenfess Chat sender yg kedua kurang sopan. Apa gua yg kaku ?? Wkwk
Juliepuspita01,2020-12-22 09:43:52,@ms_sitindjak @hrdbacot Aku. Tapi speaking ku jelek
Juliepuspita01,2020-12-17 22:56:08,@karirfess Aku mauu
Juliepuspita01,2020-12-10 03:39:29,@daddysgurl2112 @bintangemon Bunda eva. Biar adil aku coblos semuanya😆
Juliepuspita01,2020-12-08 04:16:14,"@rifkisnugraha @ROktaaaa @fandyaguz @tepigaris @gsidharta @lKlTAl_ Astrazeneca , moderna?"
Juliepuspita01,2020-12-06 13:35:10,"@karirfess Kampus ecek""? Wooowwwww. Sombong amat. Lo alumni mit? Harvard? Yale?"
Juliepuspita01,2020-12-06 13:23:46,@PMI_DKI_Jakarta #salingbantu
Juliepuspita01,2020-12-06 13:22:55,@PMI_DKI_Jakarta #salingbantu
Juliepuspita01,2020-11-25 05:17:21,@radenrauf Range rover apa gk mercy😂
Juliepuspita01,2020-11-25 05:02:19,@collegemenfess Trus gmana kabarnya org yg kuliah di inggris ngambil matematika?
Juliepuspita01,2020-11-24 07:48:30,@karirfess Mau dong. Please
Juliepuspita01,2020-11-05 13:12:06,@karirfess Mau dong kakak. Please DM me 😊
Juliepuspita01,2020-11-03 13:06:28,@_doraredre Dan tidak lupa saudara ipar yang baik hehe
Juliepuspita01,2020-11-01 12:47:30,"@tubirfess Bagaimanapun dendam selalu bawa energi negatif. Gua sendiri kerasa negatifnya mereka berdua. Gua, adek, mbk"" dan ibu gua kadang stress meskipun bukan urusan kita."
Juliepuspita01,2020-10-29 13:18:18,@uniqloindonesia Maka itu pengen bgt punya koleksi uniqlo UT-Peanuts. Tp skrg maunya yg warna biru hehe #UniqloIndonesia #UniqloLifewear
Juliepuspita01,2020-10-29 13:16:02,@uniqloindonesia inget snoopy jadi kangen masa kecil. Dulu pnya kaus snoopy yg dibeli buat idul fitri di padanin sama celana wearpack. Suka bgt outfit itu pas kecil. Masih jelas kaus nya wrna putih ada gmbr kaktus trus snoopy nya pake sombrero.
