username,created_at,text
Lulufrdni,2021-06-07 13:34:11,Ga ngerti lagi deh gue
Lulufrdni,2021-06-06 17:03:02,"Udh tau gw moody-an apa apa mau nya di iya in, sekali udh iya tp tbtb engga siapa yg ga lgsg bt gak tu"
Lulufrdni,2021-06-02 15:44:18,Esempe keras bgt anjir hahaa https://t.co/ypsOou4Yw5
Lulufrdni,2021-06-02 13:50:13,"Dulu pernah di-bully karna ayah ibu pisah, smp kls 8 naik kls 9 tepat nya dan itu masih gw inget bgt kata2 nya ""ih lo lebih milih ayah lo, surga kan di ibu dasar anak gatau diri"" sakit ga? Gw mana mau itu terjadi ckckck lucu ya kdg kalo inget ituuu https://t.co/Yc7VwDds7c"
Lulufrdni,2021-05-28 14:14:31,Hwek
Lulufrdni,2021-05-25 13:53:13,🤪😏
Lulufrdni,2021-05-24 16:43:06,"Nah kalo mau tindakan, harus di bius kan, tapi ga total karna op kecil kan yg setengah badan aja, kalo yg seluruh badan karna lg hamil takut dede kenapa2 didalem, bolak balik ke spesialis obgyn , spesialis bedah, spesialis anestesi , karna bingung mau di anestesi nya berbahaya/ga"
Lulufrdni,2021-05-24 16:36:58,"Dulu sebelum di diagnosa abses payudara kek ada benjolan gt, lama lama sakit diteken, trs lgsg ke RS mana lg hamil adek 8 bln udh mo brojol yekannn, lgsg USG mamae kl buat payudara trs ternyata ada bbrp benjolan gt daannn hrs di tindak op kecil"
Lulufrdni,2021-05-24 16:33:08,Takutttt bgt ada sesuatuuu nya diperut:( ada ada ajaaa yaallahhhhhh
Lulufrdni,2021-05-24 16:30:20,"Berharap gapernah sakit lg setelah itu, skg malah mens lebih dr seminggu yg ga pernah kejadian sebelum nya , trus perut bawah suka sakit pulaaaa ih gmn gw ga suggest sihhhhhh"
Lulufrdni,2021-05-24 16:29:16,Sakit yg paling sakit yang rasanya mo mati abses payudara. Kek luka trus pake bh gimana si keteken gt anjir sakit bgt woeeeeee
Lulufrdni,2021-05-19 17:54:46,Makaseeeehhhhhhh
Lulufrdni,2021-04-28 17:40:42,Seru bgt :((((
Lulufrdni,2021-04-27 11:42:43,Ngakak
Lulufrdni,2021-04-25 16:33:48,Heeeehhhhhhhh
Lulufrdni,2021-04-15 18:17:05,Iseng
Lulufrdni,2021-04-12 12:55:47,"Kualitas seseorang dinilai saat kita jatuh ada, susah senang ada ,itu bener banget. Ini lagi jatuh malah ditinggalin. Bener2 toxic circle iniiiiihhhh ✨"
Lulufrdni,2021-04-12 04:54:47,Lucu ya. Stalk Instagram gw buat jatohin gw. Ternyata banyak yang kepo buat jatohin dalam sekejap. Terimakasih!! Semoga Tuhan membalas
Lulufrdni,2021-04-12 01:53:07,Goblok bgt
Lulufrdni,2021-04-11 15:14:05,Capek akutu
Lulufrdni,2021-03-29 13:43:30,Gak akan ikhlas smp kapanpun
Lulufrdni,2021-03-24 05:57:30,Lapor polisi apa emg karna org biasa cuma di BAP doang?
Lulufrdni,2021-03-24 05:57:12,"Ditipu ratusan juta bener2 jleb bgt , yaallah katanya 5 tahun pertama emg banyak cobaan nya tp aku udh ngelewatin smua😭😭"
Lulufrdni,2021-03-24 05:55:04,H-3 annive pernikahan malah dapet musibah sebesar ini yaarabb 😭
Lulufrdni,2021-03-03 05:41:45,Ngantuk tp laper huhu mager syekali sayaaaaa
Lulufrdni,2021-03-02 05:29:10,Hwek
Lulufrdni,2021-02-18 16:30:06,Pelakor bakal dipelakorin lg ga si wkwkwkw brngsek bgt ya
Lulufrdni,2021-02-17 19:54:44,Masih belum bisa selflove diri sendiri kl kaya gini ceritanya
Lulufrdni,2021-02-16 05:38:21,"Memasuki tahun ke 5 pernikahan, kata orang 5 tahun pertama banyak cobaan nya, 2 karakter manusia jadi satu."
Lulufrdni,2021-02-11 11:28:12,Yabodo
Lulufrdni,2021-02-10 04:38:35,Tiap hari bingung mikir mau gofood apaan 😂😂😂😂ampe bosyen
Lulufrdni,2021-02-10 02:49:27,Mahalan sepatu istri dibanding sepatu suami check 😂😂😂😂
Lulufrdni,2021-02-06 16:14:03,Gaga mie 100 🤣
Lulufrdni,2021-02-06 06:12:30,Aku tim dokter Richard yaah
Lulufrdni,2021-02-05 18:59:29,Ga ngaca diri apa gimana dah
Lulufrdni,2021-02-05 18:55:01,Ada tamu bukannya di senengin malah di bikin mumet
Lulufrdni,2021-02-05 18:54:40,"Gimana ga diperlakukan semena mena sama orang lain, dia nya aja sikapnya begituuu"
Lulufrdni,2021-02-05 16:49:00,Buka sosmed isinya ttg perselingkuhan doang bikin mood gaenak &amp; overthinking
Lulufrdni,2021-02-05 04:35:01,Orang Gilak ya
Lulufrdni,2021-01-29 02:15:26,Yaah udh pagi aja 🙄
Lulufrdni,2021-01-25 15:56:16,Apa gw doang yg ga tau viensboys 😂😅
Lulufrdni,2021-01-25 15:55:57,Mittttt en grittttt wkwkwk
Lulufrdni,2021-01-25 15:38:03,Selama hamil gapernah lebih dari 55 pdhllllll 😂 malah susah gemuk nya dr dulu tp kemaren syokkkkk bgt abis kb tbtb timbangan udh 58 ajaaaa😅😅😅
Lulufrdni,2021-01-25 15:35:01,Otw 60kg bgt ini 😂😭😅
