username,created_at,text
Naddyadw,2021-03-28 02:22:59,Jellybean?!
Naddyadw,2021-03-27 15:44:03,🥴😩
Naddyadw,2021-03-27 14:02:18,@RizeOT7addict Handsome nerd
Naddyadw,2021-03-27 11:53:16,@jinsbtsgif @BTS_twt Bon soirée😶
Naddyadw,2021-03-27 11:45:48,"Calculating how many times it take for assisting, with the day left, when the preceptors only giving their corrections every 1 or 2 weeks🙂"
Naddyadw,2021-03-27 01:34:07,"Since today I saw it everywhere already entering spring weather, so im gonna play Spring Day to get myself emotional😌🌸"
Naddyadw,2021-03-26 16:28:05,Ngeri ngeri.
Naddyadw,2021-03-26 15:40:36,"Yes benul. Jd jan kebanyakan mikir masa depan gitu ye, ntar malah overthinking. Trs insecure, malah gajadi2 akhirnya diem ditempat:) https://t.co/YtlgiTXYvZ"
Naddyadw,2021-03-26 15:29:16,"Ketika suasana dah mulai kembali spt semula, dg keadaan fisik yg ga sama kaya semula."
Naddyadw,2021-03-26 07:09:03,"Iyaa bener, rasanya kaya kehilangan banyak temen sekaligus ((which the friends here from all the actors lol)) https://t.co/gGNfzuclMC"
Naddyadw,2021-03-26 00:11:31,@ardiinoera Wkwk yo soale wes ga perlu begadang2 meneh😂
Naddyadw,2021-03-25 14:20:28,"@ardiinoera Iya Noer, jaga kesehatan baek2 ya:)😂"
Naddyadw,2021-03-25 09:56:13,@xnnymoon Whut.. ngeri😟
Naddyadw,2021-03-25 09:55:07,Mianha mianhae hajima..
Naddyadw,2021-03-25 08:40:46,"""You know you got my heart I told you from the start"" this line being broken autoplay button in my brain."
Naddyadw,2021-03-25 03:21:09,🤤💙 https://t.co/jXf39153dM
Naddyadw,2021-03-25 03:19:55,Sksksks seru kekna. https://t.co/wyhtdfQ0TX
Naddyadw,2021-03-24 23:25:03,@salsns Wkwk mangats2
Naddyadw,2021-03-24 15:15:09,@salsns Wiih meh rencana lanjut?
Naddyadw,2021-03-24 15:13:41,@xnnymoon 😂💜
Naddyadw,2021-03-24 08:22:12,You're my celebrity🎶
Naddyadw,2021-03-24 08:00:16,Manisnya🥺 https://t.co/fputg8V6WC
Naddyadw,2021-03-24 07:56:56,@xnnymoon Iki semacam love poem?😂
Naddyadw,2021-03-24 02:24:05,Barbie Lisa💛
Naddyadw,2021-03-23 23:57:35,@jin_harem Detective cast would be fit him well I can't😭
Naddyadw,2021-03-23 23:56:12,@keshimusic Can't wait!!
Naddyadw,2021-03-23 14:13:32,Mixed feelings.
Naddyadw,2021-03-23 11:37:34,@cindyclrmnda @SasihNawang 😍gercep emang😍
Naddyadw,2021-03-23 11:15:16,Too much 'what if' ..
