username,created_at,text
Ni,2021-05-27 22:44:59,@iotwatch The independent bookshop Housmans near Kings Cross station (since 1959) have a good selection of climate breakdown books and zines. Better than your average bookshop.
Ni,2021-05-16 09:57:31,@PaulDJohnston BTW... Do the embodied energy/carbon math with the tech solutions. Especially now that the UK electricity grid is rapidly decarbonising. The results might surprise you. 😉
Ni,2021-05-16 09:50:22,@PaulDJohnston Insulate! (with natural materials) #NegaWatts 🏡
Ni,2021-04-07 10:55:52,💚Great Britain’s electricity system has greenest day ever over Easter #renewable #green #energy https://t.co/B9GxE0odm7
Ni,2021-03-21 19:51:38,@PaulDJohnston Search for VJ sites/software. For example: https://t.co/5OX9sOg4OG
Ni,2021-03-10 10:20:03,💚 Tough new rules aim to make electrical goods last longer #repair #RightToRepair https://t.co/TIDyFQ4jwT
Ni,2021-02-15 11:28:03,💚 Zedify launches zero-emission parcel delivery hub in Bristol #transport #cargobike https://t.co/ISTbIidwWC
Ni,2021-02-13 10:39:07,@TheArduinoGuy Paradiddle... Flam! 🥁😁
Ni,2021-02-03 14:31:38,@PaulDJohnston Heat people not places 😉 https://t.co/kzZYhYZPD1
Ni,2021-02-03 10:55:38,@PaulDJohnston Have you factored in the rapid decarbonisation of the UK electricity grid (136gCO2e/kWh and falling - source SAP 10.1) versus the embodied energy of on site solar PV plus batteries? (https://t.co/ZppdzOia8K). 🤔
Ni,2021-02-01 10:53:34,💚👉 UK electricity from renewables outpaces gas and coal power https://t.co/XvjrPFlRfO
Ni,2021-01-27 11:05:35,https://t.co/wxY1xJ2pfN
Ni,2021-01-27 11:03:47,UN global climate poll: ‘The people’s voice is clear – they (we) want action’ https://t.co/bOVNUjqGNT
Ni,2021-01-26 15:26:10,@HEARTCommGroup there’s also 👉 @LeanDictionary
Ni,2021-01-26 15:21:26,⁦@HEARTCommGroup⁩ Essential reading 👉 💚LEAN LOGIC - A DICTIONARY for the FUTURE and HOW to SURVIVE IT https://t.co/DOdz1kUdtK
Ni,2021-01-24 14:13:44,💚 Trophobiosis. 👉 A forgotten classic of agroecological science - FREE ebook #Permaculture #Food #Health https://t.co/yeiDhaVLTR
Ni,2021-01-22 12:04:12,Low-tech QR codes fulfil the promises of higher-tech RFID tags... https://t.co/u9hMF9zQJP
Ni,2021-01-21 22:38:42,💚 -&gt; Wild lynx could be reintroduced into Scottish Highlands #rewilding https://t.co/ktuw1ONFyU
Ni,2021-01-19 17:37:22,💚🌱It's Seed Week! -&gt; Plotting the future: the ‘seed guardians’ bringing variety to UK gardens #SeedWeek #SeedSovereignty https://t.co/p705ZquHIn
Ni,2021-01-01 00:04:52,Happy New Year everyone! 🎉
Ni,2020-12-30 09:30:54,Storm Bella helps Great Britain set new record for wind power generation #renewable #energy #windpower https://t.co/j6mCfkYrTj
Ni,2020-12-22 22:20:01,💚 Windfarms in Great Britain break record for clean power generation https://t.co/tKfKVd3p4n #renewable #energytransition #energy
Ni,2020-12-21 17:23:59,Yuletide greetings everyone!🎄✨🌙
Ni,2020-12-16 13:27:43,🌳🌳🌳👏 https://t.co/vsiFn7pTFc
Ni,2020-11-29 16:15:51,Permaculture is a framework for creating resilient low-impact lifestyles. 🌳☀️♻️ #permaculture #definition #resilience
Ni,2020-11-29 16:08:29,Enjoying this celebration of David Fleming's legacy... #Fleming10YearsOn #LeanLogic https://t.co/IETZ4iBLKf
Ni,2020-11-24 17:47:43,@Earthworks_ @HertsCareAwards Well done! 👏🎉
Ni,2020-11-16 21:54:17,@PaulDJohnston @Channel4 Your new hobby?📺😁
Ni,2020-11-05 18:11:48,Samhain greetings! 🍃🌙✨🔥
Ni,2020-10-27 15:33:49,UK grid electricity (136 gCO2e/kWh) is now cleaner than mains gas (210 gCO2e/kWh). (Data source: SAP 10.1) ⚡️🟢
Ni,2020-10-26 15:00:38,Absolutely!💚-&gt; Electric goods 'should have repairability rating' #repair #transitionTowns #GreenRecovery https://t.co/ilRWIp1oCG
Ni,2020-10-21 14:22:46,I Am Greta - In Cinemas Now #ClimateCrisis https://t.co/RaAI858QI4
Ni,2020-10-17 11:17:17,"Check out ""Global Permayouth Festival October 2020"" #permaculture #festival https://t.co/jwwnbvV8vc"
Ni,2020-10-09 16:52:49,How Regenerative Agriculture curbs climate change 💚🌎#ForestGardens #Permaculture #RegenerativeAgriculture #ClimateChange #Regeneration https://t.co/kMHKpI9PTS
Ni,2020-10-07 09:27:38,Kiss the Ground! 💚🌍 https://t.co/YJ19CGk1mo
Ni,2020-10-02 11:31:49,👏-&gt; Cambridge University to divest from fossil fuels by 2030 💚 https://t.co/DT6tDlYH8H
Ni,2020-09-26 12:16:57,@PaulDJohnston I doubt therefore I tweet ... 😉 https://t.co/lO2dAxSsBu
Ni,2020-09-23 15:44:46,"CYMATICS: Science Vs. Music - Nigel Stanford.😎🎶🎞️ ✨""Everything owes it's existence solely and completely to sound."" (Dr. Hans Jenny)✨ #cymatics #resonance #music https://t.co/UuLcf8zNLl"
Ni,2020-09-22 10:02:19,@PaulDJohnston Have you read economist Dr David Fleming's 'end of growth' wisdom? https://t.co/m1vKkhBwWD
Ni,2020-09-21 15:34:19,Permaculture is a framework for creating low-impact lifestyles. 🌳☀️♻️ #permaculture #definition
Ni,2020-09-07 19:35:14,54.4C (130F) 🌎! #ClimateChange
Ni,2020-08-25 11:27:19,How coronavirus has led to a UK boom in community food growing 🌱🥕 #community #gardening #TransitionTowns #Permaculture #local #food #health https://t.co/XMuywifWFn
Ni,2020-08-16 15:56:07,💚 UK bike co-ops help cyclists get back in the saddle 🚲 #transport #cycling #cooperatives #LeanLogic #TransitionTowns https://t.co/oaHzJHCyxE
Ni,2020-08-12 15:51:11,@BBBStAlbans #BuildBackLocal https://t.co/SOHcz7OS7U
Ni,2020-08-11 14:59:59,Interest in allotments soars in England during coronavirus pandemic 💚🌱🌍 #transitionTowns #food #localism #leanLogic #gardening https://t.co/vXoMzdRiKM
Ni,2020-08-09 14:49:04,"If you live in the Dacorum district, checkout the council's 'Climate Change and Sustainability' website and fill in their ten minute survey.💚🌍 #ClimateChange #Sustainability #Dacorum #Tring #Berkhamsted #transitionTowns #cycling #Food https://t.co/JzUZipIzfY"
Ni,2020-08-09 14:35:11,Another productive morning for the permaculture gardening club at the Tring Community Food Garden.☀️ Harvested some super-organic veg for supper too!🥬😋 #permaculture #tring #transitionTowns #food #gardens #forestGardens https://t.co/Tf6cCkytBq
Ni,2020-07-28 14:10:17,"🚲👍👏-&gt; 'Fix your bike' vouchers launch, as cycling to be prescribed on NHS #transport #bicycle #nowtopias #healthylifestyle https://t.co/IIw1p6IJXD"
Ni,2020-07-18 11:35:03,💚-&gt; 'Big Red BEV' - a waste vegetable oil powered home for Permaculture artists. #Permaculture #nowtopias #bigredbev https://t.co/flMg9sxfM9
Ni,2020-07-08 13:24:59,@PaulDJohnston ✨https://t.co/8clo7cwbYI
Ni,2020-06-29 15:08:03,@BBCFoodProg I would like to see more local food forest gardens https://t.co/Le8bOSShig #ForestGardens #food
Ni,2020-06-25 11:11:12,Hypericum perforatum (St John's wort) day 🌻✨☀️ #herb #herbal https://t.co/QTZNKU16xH
Ni,2020-06-21 21:38:44,'Build Back Local' 💚🌍 #BuildBackLocal #WorldLocalizationDay
Ni,2020-06-21 10:40:14,Solstice greetings ✨☀🌻
Ni,2020-06-17 14:43:27,@robintransition No flushing plumes from a composting toilet. 😉
Ni,2020-06-17 14:31:16,🚴📦 #cooperatives #BuildBackBetter 👏 -&gt; Reclaiming Work: The Cycle Couriers Subverting The Gig Economy https://t.co/YnMVoWJfbt
Ni,2020-06-13 17:53:24,🌳🌿🌱 Fast-growing mini-forests spring up in Europe to aid climate #forestGardens https://t.co/dE2nJpeQJI
Ni,2020-06-11 18:26:13,@PaulDJohnston @business Their renewable generators will be a distributed system too. ☀️⚡️👍
Ni,2020-06-11 15:19:59,"@PaulDJohnston 🌍 With climate system breakdown there's ""no normal""."
Ni,2020-06-10 18:34:07,"#BuildBackBetter 💚 EF Schumacher's ""Small is beautiful"" - an economic idea that has sadly been forgotten | Madeleine Bunting https://t.co/Gb2YxumFSJ"
Ni,2020-06-09 10:18:14,👍👏 -&gt; Britain goes coal free as renewables edge out fossil fuels https://t.co/eC2BjZyxCx
Ni,2020-06-02 09:23:18,@PaulDJohnston ✨ -&gt; https://t.co/mdjBcdWFcu
Ni,2020-06-01 19:02:56,@PaulDJohnston 🚲Go low-tech😉-&gt; https://t.co/L4PTe2bvNX
Ni,2020-06-01 09:12:28,🚲⚡ e-bikes could slash transport emissions and get Britons back to work #BuildBackBetter https://t.co/lUApaaws9s
Ni,2020-05-30 11:04:43,Conventional versus Ecological Farming | A son teaches his father #agroecology #permaculture https://t.co/EsMOC68yDM
Ni,2020-05-26 14:54:52,Wow! 💚 -&gt; Permaculture Mandala Garden Rise Costa Rica #permaculture #garden https://t.co/AUqPFukwAs
Ni,2020-05-23 09:28:04,🌻🐝 Woman chalks path plant names on lockdown walks. #pesticidefreetowns https://t.co/6uOEijy0wL
Ni,2020-05-16 19:27:17,The end of plastic? New plant-based bottles will degrade in a year https://t.co/SRr6PPxqZG
Ni,2020-05-16 08:06:26,💚🌍 #BuildBackBetter https://t.co/CM7QSjbsuP
