username,created_at,text
NopiyNovi,2021-06-12 10:09:51,Sariawan di lidah 🤢
NopiyNovi,2021-06-09 05:48:42,Juni produktif semangat yok bisa yok!
NopiyNovi,2021-06-07 16:01:37,Selalu banyak cara Tuhan untuk menghadirkan hal-hal tak terduga di hidup ini.
NopiyNovi,2021-06-06 14:26:14,@ikosihombing Siapa?
NopiyNovi,2021-06-06 04:16:58,"Harta , tahta , ...... Siapakah dia ?"
NopiyNovi,2021-05-28 09:11:08,"Cowok bawain mawar udh biasa, tapi cowok yg tiba-tiba kerumah bawain aglonema itu baru luar biasa wkwk"
NopiyNovi,2021-05-18 09:47:57,@kapitulis Cari Pasangan Nggak Susah. Alias susah banget padahal.
NopiyNovi,2021-05-17 11:36:41,Terkadang ada beberapa hal dalam hidup yang emang cukup di hehe-in aja.
NopiyNovi,2021-05-14 12:29:07,"Ketika aku merasa lebih banyak salahnya, dan orang lain tersebut malahan mohon maaf lahir bathin disitulah aku merasa hmm gimana gitu."
NopiyNovi,2021-05-13 14:01:24,“🙏” ini tuh emot mohon maaf lahir batin atau kode minta THR sih?
NopiyNovi,2021-05-13 04:52:52,"Buat keluarga, yaudah gpp kalo ga ngasi THR tapi tolong jangan nanya-nanyain hal” yg aneh” yaaa. Sekian terima kasih."
NopiyNovi,2021-05-13 03:21:13,Kalo udah mohon maap lahir bathin abis itu jangan ngulangin salah lagi yaa.
NopiyNovi,2021-05-12 09:50:37,@jek___ Pengen liat video pas lagi nangis ny dong 🥺
NopiyNovi,2021-05-11 06:03:09,Selamat 10 tahun ❤️ https://t.co/xtzw1ZBmA4
NopiyNovi,2021-05-09 20:43:26,@jek___ Bismillah bang minta THR :( yok bisa yok transfer aku yok
NopiyNovi,2021-05-05 00:23:10,"Hari rabu tanggal lima, hei kamu yuk hidup bersama. Canda kamu."
NopiyNovi,2021-05-04 15:59:27,Pura-pura gapapa tuh emang gapapa sih sebenernya. Jadi yaudah gapapa yaa gapapa.
NopiyNovi,2021-05-02 04:51:39,@Widino Cangkang ketupat menjadi saksi kesedihan ya mas 🥺
NopiyNovi,2021-05-02 03:12:22,Wkwkwkwk 😭😭😭😭 https://t.co/fKa4chzWoY
NopiyNovi,2021-04-30 23:01:02,Haha hihi hehe tau tau udah bulan Mei.
NopiyNovi,2021-04-29 22:31:11,"Keseringan dalam hidup aku: Sesuatu yg bener-bener diharapkan terkadang kayak semakin dijauhkan, coba kalo biasa-biasa aj bahkan ga terpikirkan bisa jadi tau-tau tuh muncul dan jadi rejeki ga terduga."
NopiyNovi,2021-04-29 11:37:50,"Tiba-tiba di video call dan dikabarin kalo ditransferin duit buat THR lebaran katanya, makasih mas. Berkah menjadi adek bungsu makin lama terasa kuat juga efeknya."
NopiyNovi,2021-04-28 09:25:27,"Cukup kerja keras babi ngepet yg boleh dijadikan panutan, kelakuan jangan."
NopiyNovi,2021-04-26 14:45:05,"Beneran gatau sensasi sahur dibangunin pasangan tuh kek gimana sih? penasaran pengen tau, tapi lebih penasaran lagi pasangan aku ntar siapa yaa? Canda pasangan."
NopiyNovi,2021-04-26 13:57:22,Nahan haus dan lapar di bulan ramadhan ga ad apa apa nya dibanding nahan sabar ngadapin IndiHome.
NopiyNovi,2021-04-21 11:43:33,Baperan &gt; laperan
NopiyNovi,2021-04-16 04:48:20,Setiap siang kamar aku kedatangan ponakan buat numpang makan dan minum dong makan siang katanya biar puasa nya kuat. Oke baik ~
