username,created_at,text
Okyranda,2021-03-05 12:25:26,Tojeng #WandaVisionFinale
Okyranda,2021-02-27 23:31:32,Rompi oren tojeng 😶
Okyranda,2021-02-27 13:46:29,@urbanthoughts11 @SupirPete2 halo masa depan kota2 besar indonesia
Okyranda,2021-02-27 04:16:12,Tradisi tendel-tendel ta sprti itu ji mmng 🤧
Okyranda,2021-02-27 03:59:33,@autoass baby pink bang @YBRAP
Okyranda,2021-02-24 15:54:00,“tu wa ga mpat” Demi apa sy baru taunya udah sangat telat sekaliii ini 👾
Okyranda,2021-02-02 12:16:02,Terkagum kagum sm kuli lokal yg shalat wajibnya d masjid terus~
Okyranda,2021-01-31 05:44:20,Masih kepikiran fasad samping yg panjangnya hampir 190m cuman dbuat lurus! Padahal spacenya msh banyak! 190m LURUS! Estetikanya dmana? 🙃
Okyranda,2021-01-29 11:01:30,@Daeng_Info helaho
Okyranda,2021-01-25 15:07:04,Hmm~
Okyranda,2021-01-22 12:34:16,@sthnl gmna mau login ulang kak ? aplikasi kebuka aja ngk bisa 😅
Okyranda,2021-01-22 12:30:50,@bukanacik eeh iyaa musim hujan pade Perusahaan apa kak d bulukumba ?
Okyranda,2021-01-22 12:21:50,@bukanacik Terdampar kak ? 😅 Setiap weekend psti k tanjung bira
Okyranda,2021-01-22 12:18:44,@bukanacik @makemac @Telkomsel iya jg si 😅 Asli bugis tp domisili Makassar..kakak org makassar ?
Okyranda,2021-01-22 12:09:48,@justforfun1108 @makemac semoga 😁
Okyranda,2021-01-22 12:06:23,@bukanacik @makemac @Telkomsel 2 Hari terakhir udh DM telkomsel tp saran2 dari telkomsel msh ngk ngaruh jg 🙃
Okyranda,2021-01-22 09:05:52,Tolong di tolong kak @makemac udah 3 hari apps my telkomsel crash trus..udah coba reinstall bbrapa kali tp msh ttp ngk bisa kebuka 😭 https://t.co/ye4uPYlFjc
Okyranda,2021-01-08 01:55:00,nasihat si embul 😆 cc @tirta_hudhi https://t.co/okEzhkyi9n
Okyranda,2021-01-06 12:42:25,"Baru sj ngobrol sm seorng buruh yg super rajin, ngomongin soal anaknya katanya dari umur 1 bulan d ksh minum susu kental manis Sakit hati cuy dgrnya 💔 Mana dia ngomongnya sambil ketawa2 lagi 😭"
Okyranda,2020-12-19 13:22:33,@omhao @DuniaKuli wehh rapihhh sekalihhh malihhh
Okyranda,2020-12-09 05:15:57,Happy Birthday pak prof @VerymuchOn sehat sukses selalu 🤘🏻
Okyranda,2020-11-30 03:00:49,@rizkidwika Cuaca lagi hujan2nya 🤤 https://t.co/10vuGLAgas
Okyranda,2020-11-29 00:26:40,betapa ngefeknya tanda panah njir 😂 https://t.co/JpptVDXMDe
Okyranda,2020-11-28 04:20:57,@rizkidwika @susipudjiastuti saat pandemi 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️
Okyranda,2020-11-27 09:50:11,shit ~
Okyranda,2020-11-18 09:44:11,Wattunnami~ Demi kau dan si buah hati 🥰
Okyranda,2020-11-15 14:06:10,@mondododo Gaya arsitektur yg kak mande terapkan setiap ngedesain rumah apa kak ?
Okyranda,2020-11-08 00:12:38,https://t.co/hGZx7ghWF4 https://t.co/WbFkjyxctJ
Okyranda,2020-11-05 00:42:54,Love this colour scene https://t.co/XVQRlt1Azj
Okyranda,2020-10-26 05:50:11,Presiden Negera Republik Indonesia 2018: Cabut Izin Pembangunan Investor Asing (Swasta) di Kawasan Taman Nasional Pulau Komodo - Tandatangani Petisi! https://t.co/VrZQhYqsJx via @ChangeOrg_ID
Okyranda,2020-10-21 13:40:41,coba dgr suaranya om @RAllsize_ kata anak muda skrg “suaranya sopan bgt masuk kuping” 😂 https://t.co/fenXmO9jwj
Okyranda,2020-10-20 12:57:51,“Harta - Tahta - Hanya Titipan” 🖖🏻
Okyranda,2020-10-05 15:37:33,"Yakin, Allah punya rencana terbaik bagi negara ini."
Okyranda,2020-09-18 14:00:11,@Adhit_Android Top 10 org terkaya di dunia blum ada apa2nya d banding fir’aun
Okyranda,2020-09-11 10:44:02,@sadness_loop “Menang lomba fotografi dari adobe tp pake adobe bajakan” Sebuah prinsip kejujuran yg langka! Salah dikit bs melayang tuh USD 6000 🙈 Btw pengalaman yg sangat luar biasa mas 👏🏻
Okyranda,2020-09-03 11:21:29,Nothing to lose~
Okyranda,2020-08-26 12:31:23,@SupirPete2 Sansironya anak lorong ka sm podium VVIP (Pos Ronda) 😅 https://t.co/REF4TN6TNN
Okyranda,2020-08-25 12:08:25,@raisa6690 Saat hubungan kita tidak memerlukan lagi Bahasa Kalbu 🤓
Okyranda,2020-08-16 23:43:16,Alhamdulillah #dirgahayuindonesia All is Well~
Okyranda,2020-08-16 15:23:59,@KemenPU Adminnya jg semoga sehat selalu~
Okyranda,2020-08-15 10:56:59,"@KemenPU Kurang dari setahun mengabdi di Kementerian PUPR, sbg warga biasa sy merasa beruntung pernah berpapasan dan melihat langsung beliau di Gedung Kementerian PUPR. Beberapa menit melihat dari jarak yg cukup dekat sosok yg sangat sederhana dan menyenangkan hati. Sehat selalu Pak Bas~"
Okyranda,2020-08-07 03:30:58,@ridwanhr Trendingkan #JimnyChallenge bwang
