username,created_at,text
Penguntitkmvrt,2021-06-13 02:54:01,Mencari penghidupan
Penguntitkmvrt,2021-06-11 21:06:38,Kamarku yang kurenov susah payah 😭
Penguntitkmvrt,2021-06-11 21:06:20,Jadi nyesel kakak cepet nikah. Cepet bikim rumah sana hus hus pergi dari kamarku 😭
Penguntitkmvrt,2021-06-11 21:05:39,Sebel bgt kamarku diclaim kakak ipar :( emak juga kan deal nya ngasih meja rias bukan kamar 😭 jadi males pulang kalo kaya gini 😭
Penguntitkmvrt,2021-06-11 21:04:11,"Sing nek pikiranku saiki adalah bukan pengen cepet rabi, tapi pengen cepet sugih nduwe omah dewe :("
Penguntitkmvrt,2021-06-11 14:19:32,Jawabanmu cukup membuatku ragu.
Penguntitkmvrt,2021-06-11 11:53:02,Nek moro pas butuh duit tok konco po uduk ya?
Penguntitkmvrt,2021-06-11 06:27:28,@FOODFESS2 Iya enaknya nambah tapi kalorinya juga haha
Penguntitkmvrt,2021-06-10 11:39:14,Bersyukur banget dikasi jiwa yang sekuat ini. Tahan banting dan ga gampang insecure. Allah baik banget. I luv myself 💕
Penguntitkmvrt,2021-06-10 00:28:43,Tidak terlalu banyak ndasmu https://t.co/wqn3XvgeZI
Penguntitkmvrt,2021-06-10 00:27:58,"Yang lagi viral kok kaya terlalu berlebihan ya memuja-muja idolanya? :"""
Penguntitkmvrt,2021-06-09 10:14:48,Pasca interview langsung ngerasa bego bat :(
Penguntitkmvrt,2021-06-06 10:26:31,"Pas pulkam kemaren hampir tiap ketemu tetangga/sodara pasti pada bilang ""kok kurus?"" dengan nada yg seolah menyayangkan. Oiiii asal lo tau gue udah stop diet demi apapun. Noh porsi makan gue porsi kuli skrg. Emg udah nyesuaiin kali 😭"
Penguntitkmvrt,2021-06-04 15:47:14,Mayonessss kenapa kamu enak banget :(
Penguntitkmvrt,2021-06-04 03:48:11,Lakukan opo sing mok senengi. Gak usah peduli omongane wong. Rung tentu sing ra seneng koe luwih apik teko koe. Selama sing mbok lakoni bener dan nggawe koe hepi gasno ae.
Penguntitkmvrt,2021-06-04 03:47:08,Mosok insinyur karo wong sing b aja sih ah..
Penguntitkmvrt,2021-06-02 00:34:37,"Mimpi kalo lupa jadwal ujian, jadinya gaikut ujian bbrp matkul karena teledor. Pas bangun dan sadar.. Lah iyak gw kan udah kaga sekola wkwk."
Penguntitkmvrt,2021-06-01 08:23:10,Bgzt nangis gak selese2 liat video Nanda Ardya
Penguntitkmvrt,2021-05-31 08:41:57,Liat bocoran instastory klosfren yg lg viral w jadi takut nikah bazeng.
Penguntitkmvrt,2021-05-30 23:53:37,Pan lu mau ga ama gua? HAHAHAHAH
