username,created_at,text
Prialitaf,2021-03-28 15:59:12,"@cstaaaaar Nurut ko bistu langsung pulang, tapi kalo ga di chat ga pulang wkwkwkwkwk 🤣🤣🤣"
Prialitaf,2021-03-28 15:40:13,Jangan pacaran dulu 😭 https://t.co/Y4lwiaww3a
Prialitaf,2021-03-26 17:16:31,@anna_lathifa Gileeeeegile
Prialitaf,2021-03-24 10:59:06,@anna_lathifa @balprash Wkwkwk na tolonglah
Prialitaf,2021-03-24 08:30:17,"Bener2 ye adsnya instagram peka bener, padahal cuma ngeklik iklan begituan sekali, langsung semuanya muncul iklan2 serupa, kan jadi mupeng"
Prialitaf,2021-03-23 12:45:43,Yok bisa yok https://t.co/AVcGeH0GcV
Prialitaf,2021-03-17 12:16:11,Kalo udah tua: - kondangan date Mon maap tiap minggu kerjaannya kondangan doang https://t.co/HR7SCHivkJ
Prialitaf,2021-03-17 12:09:42,@nsprytn Neng resign?
Prialitaf,2021-03-17 01:06:30,"First Kdrama: 49 days Last Kdrama: Love alarm 2 Best Kdrama: Repply 1988, 1997, Hospital Playlist, dll banyak Worst Kdrama: gaada semuanya bagus wkwk https://t.co/iX6zjSEPn9"
Prialitaf,2021-03-14 00:47:36,"Gaada angin gaada ujan gaada omongan apa2an bapak tetiba bilang ""Fi nanti souvenirnya taneman yg kecil2 aja tuh di pot2in"" Laaaah si bapak ngapa tiba2 mikir begituan wkwk"
Prialitaf,2021-03-10 08:05:54,@elenamarliani Coba aja dulu kali aja ada yang nyantol
Prialitaf,2021-03-09 16:08:44,@elenamarliani Minta kenalin sama anaknya temen mama atuh kalo mau tahun ini mah gitu bilangnya len wkwk
Prialitaf,2021-03-09 12:05:25,"Sepertinya sedang memasuki hormon hormon mau dapet bawaannya kesel mulu, pantesan tadi si @cstaaaaar bad mood wkwk"
Prialitaf,2021-03-09 11:55:20,@cstaaaaar @subtanyarl Besok soto
Prialitaf,2021-03-09 07:52:57,"@FFOODFESS Dangak-an kepala mu 45 derajat, terus toastnya diangkat dimasukan ke mulut langsung lep deh"
Prialitaf,2021-03-09 07:39:48,"@FFOODFESS Jco BSD Square gaada bread talknya, sok diborong"
Prialitaf,2021-03-08 10:45:51,@anna_lathifa Begadang jangan begadang kalai tiada artinya~~~
Prialitaf,2021-03-08 10:43:09,"@Diwanioctaviani Wkwkwkwk selow bund, lu si kaga reply2 di grup"
Prialitaf,2021-03-07 01:32:28,"Udah gabisa tidur, digantungin gini jadi apa engga kondangannya, tempat buat maen masih bingung heran akumah"
Prialitaf,2021-03-06 23:43:18,@anna_lathifa WKWKWK bangunin teroooosss
Prialitaf,2021-03-06 22:54:48,"@anna_lathifa Tidur 1 jam doang, abis subuh biasanya w tidur lagi, ini gabisa wkwk emg kopinya strong bgt na melebihi tuku ama kopken"
Prialitaf,2021-03-06 22:50:54,"@anna_lathifa Wkwk gatau sih na, tapi biasanya langsung tepar kalo abis aktvitas keluar, nah ini kaga bisa tidur padahal badan cape"
Prialitaf,2021-03-06 19:45:03,@KuntoAjiW Adem banget dengerin mazkun nyanyi ini
Prialitaf,2021-03-06 18:55:01,Kopi kedua yang bikin gabisa tidur = kopi nako :)))))
Prialitaf,2021-03-05 14:52:05,"Kenapa sih pake segala tergoda beli sd card ga ori, bisa dipake sih tapi file hasil mindahinnya jadi crash semua, untung udah di backup ke laptop dulu 😭"
Prialitaf,2021-03-05 12:14:31,"@cstaaaaar Siganteng, dah liat akuu di ignya yeon seok tadi sianggg wkwk"
Prialitaf,2021-03-04 12:32:10,@cstaaaaar Tabok nih
Prialitaf,2021-03-04 12:29:36,@cstaaaaar @RacunBelanja Ingin cuma yg itemnya udh gaada ukuran w 😭
Prialitaf,2021-03-04 11:53:05,@RacunBelanja Tang jiniso @cstaaaaar
Prialitaf,2021-03-04 10:51:08,@RacunBelanja Ketinggalan :(
Prialitaf,2021-03-03 21:38:01,@elenamarliani Ihiyyy mantap nih
Prialitaf,2021-03-03 11:19:03,@RacunBelanja Share &amp; Dapatkan 7X Gratis Ongkir hingga Voucher Diskon s/d 35RB di Murah Lebay! #ShopeeMurahLebayDiskon35RB https://t.co/fNmNYQwPEb
Prialitaf,2021-03-03 08:27:41,"@anna_lathifa Udah sist kata sellernya sih lagi ditanya ke pihak ekpedisi, gw gayakin dah bakalan dikirim balik barangnya 😂"
Prialitaf,2021-03-03 08:03:09,"Baru kali ini barang w ada yg kurang pas beli di shopee entah ga dikirim sama sellernya entah ilang di ekspedisi, ya ga seberapa sih tapi mayan juga kan 💔💔💔"
Prialitaf,2021-03-02 12:58:49,"Shopee express tuh gimana ya sistem buat kurirnya, kemarin ada kurir yg nganter sampe jam 11 malem, untung w masi bangun, tadi ada lagi yg nganter jam setengah 8 lewat, terus kan nelfon pas nyampe rumah w panik karna paketnya masih banyak yg belum dianter, kasian tuh tapi gimana"
Prialitaf,2021-02-28 16:25:44,@elenamarliani @aaddiinnii @anna_lathifa GAAAAASSSSSS
Prialitaf,2021-02-28 16:16:46,@kdrama_menfess Nih kesukaannya @ocean_qq6
Prialitaf,2021-02-28 06:24:07,@cstaaaaar Si Jojo enak bener yak
Prialitaf,2021-02-27 22:37:19,@thomas_arvino @VICE_ID Terngakak sih
Prialitaf,2021-02-26 16:10:33,"Kalo Jojo gamau sama Hye-Yong, Hye-Yong sama aku ajalah 😭 https://t.co/HO2z34L92V"
Prialitaf,2021-02-22 13:53:17,"@aaddiinnii @anna_lathifa @elenamarliani Pasti sih, tapi kali aja ada yang memendam perasaan tapi ga berani bilang wkwk"
Prialitaf,2021-02-22 13:00:22,@MISSARAP Coba buat @anna_lathifa @aaddiinnii @elenamarliani dicoba triknya
Prialitaf,2021-02-15 14:02:18,@anna_lathifa Mantheppp kalo lagi butuh yang perih2
Prialitaf,2021-02-15 12:17:38,Espresso + lemon = maag https://t.co/viA4HOsK1Z
Prialitaf,2021-02-15 12:14:18,@desyaprynti Ternyata dia masih abg
Prialitaf,2021-02-15 05:08:26,Ada levi di sekolahku @desyaprynti https://t.co/wDkiT9SjVv
Prialitaf,2021-02-14 12:42:23,"Salfok sama rumahnya Lara, nyaman banget kayanya https://t.co/yiCZi2ql5Z"
Prialitaf,2021-02-12 14:13:04,"Kim Ji Won sama Ji Chang Wook pas baikan ciuman mulu, tapi aku sukak liatnya wkwkwk"
Prialitaf,2021-02-12 09:29:00,@desyaprynti @subtanyarl Kuyla
Prialitaf,2021-02-11 09:24:07,"Bsd pawangnya kuat amat ya, di bsd terang ampe ada matahari, nyampe melati mas ujan deras banget"
Prialitaf,2021-02-10 23:55:41,@hrdbacot As always: sarapan biar kuat menjalani hari 💪
Prialitaf,2021-02-10 08:55:06,"Mamake anak pertama, bapake anak pertama. Gapernah denger dua2nya berantem berisik teriak2, tapi kalo lagi berantem pasti diem2an, atau w yg dijadiin perantara padahal kan bisa ngomong berdua langsung ((((: https://t.co/vgopQv5LdA"
Prialitaf,2021-02-10 08:46:01,"When you're try to sleep, but can't sleep~ Biasanya siang udah tepar pulang sekola, baru sadar tadi beli FM."
Prialitaf,2021-02-10 05:55:56,@aaddiinnii @dhinarachrian Pas banget akutu lagi makan ini wkwk
Prialitaf,2021-02-10 04:49:19,@aaddiinnii @dhinarachrian Mantap ga nih https://t.co/vgpAIIYE7o
