username,created_at,text
Rohanahrey,2021-04-23 10:42:11,@FOODFESS2 Pernah fess..
Rohanahrey,2021-03-25 23:30:52,"Ya gak bisa bohong juga sih,seolah-olah kaya moodbooster aja."
Rohanahrey,2020-11-23 10:50:56,Ujian hari ini masyallah ya bwank
Rohanahrey,2020-11-23 03:39:55,"Udah ngantri lama banget,pas ketemu sama dokternya eh judes amat. Semoga cepet umroh ya dok"
Rohanahrey,2020-11-22 01:27:52,Ini tenggorokan serasa banyak durinya:(
Rohanahrey,2020-11-20 06:03:07,@JetVeetlev Ilangin pake penghapus joyko
Rohanahrey,2020-11-20 05:59:31,@hendralm Pawang hujan cigana
Rohanahrey,2020-11-20 05:47:43,"Dikit-dikit sakit,dikit-dikit sayang"
Rohanahrey,2020-11-20 05:44:05,"Sakit kepala sama sakit hati,ya...sama-sama sakit"
Rohanahrey,2020-11-19 12:02:08,@Coodoik Ayolah buat story di twitter wkwkwkwk
Rohanahrey,2020-11-19 11:52:35,@tawakkaI Atuh mahal teuing 5000 mah:(
Rohanahrey,2020-11-19 11:43:53,@taiga_kagamii @Bandungfess Aya nu kurang mun can di sanguan mah
Rohanahrey,2020-11-18 08:37:53,"@helloYoji @HeyBudie Mana ada seneng,orang malah aku yg selalu kena😅"
Rohanahrey,2020-11-18 06:53:38,@helloYoji @HeyBudie Apa lagi sampe dorong² hahaha
Rohanahrey,2020-11-17 13:02:50,@SeptiaanJanuar @Bandungfess Rapika na hiji caina saleter :(
Rohanahrey,2020-11-17 13:01:36,"Jam segini masih banyak yg harus dikerjain, gak apa-apa lah itung-itung latihan jadi ibu rumah tangga"
Rohanahrey,2020-11-17 12:59:04,@SeptiaanJanuar @Bandungfess Make pewangi andalan cigana nepika menyeruak kitu mah
Rohanahrey,2020-11-17 12:56:43,@Bandungfess Mana yg softboi mutualan cik
Rohanahrey,2020-11-17 12:55:36,@catatan_kaar @Bandungfess Hijrah kamana tah?
Rohanahrey,2020-11-17 12:53:47,@SeptiaanJanuar @Bandungfess Lekboi teh nu kumaha cik?
Rohanahrey,2020-11-17 12:51:59,@busuniriyaaa @Bandungfess Kalem teh wkwkwk
Rohanahrey,2020-11-17 09:32:50,@damnitsisni Kan jadi bahagia kalau bucin sma org yg tepat wkwkwk
Rohanahrey,2020-11-17 09:31:25,@damnitsisni Langsung klepek klepek hahahaa
Rohanahrey,2020-11-17 09:30:18,@damnitsisni Omigut🤣🤣🤣 mas crush kau apakan temanku wkwkkw
Rohanahrey,2020-11-17 09:18:28,@damnitsisni Sempet pas libur kalau gk mager hahahaa
Rohanahrey,2020-11-17 09:07:43,@damnitsisni Yuk olahraga yuk...
Rohanahrey,2020-11-17 07:04:13,@JetVeetlev Sayang
Rohanahrey,2020-11-17 06:59:53,@Bandungfess Punten harideung kukuna euy nder https://t.co/tcz6iQUqQS
Rohanahrey,2020-11-17 01:16:55,"@bayu_joo Buat diri sendiri: Terimaksih sudah kuat dan sabar sampai sejauh ini,tetap berusaha dan bersyukur untuk hari ini,besok dan seterusnya karena hidup harus terus berlanjut."
Rohanahrey,2020-11-16 09:48:35,@HeyBudie Cuma bisa ngeliatin
Rohanahrey,2020-11-16 03:45:45,@Terasipanggang_ @Bandungfess 😂
Rohanahrey,2020-11-16 02:13:46,@tanpasiapa2 @Bandungfess Jamilah lewat jambatan runtuh
Rohanahrey,2020-11-16 01:56:13,"@zoldyckiw @Bandungfess Bebeja atuh,bisi diteang"
Rohanahrey,2020-11-16 01:49:38,@_silentmary Cape gabut wae nyak?
Rohanahrey,2020-11-16 01:47:27,@tanpasiapa2 @Bandungfess Hayu jajan a
Rohanahrey,2020-11-16 01:44:38,@montirmotor @Bandungfess Hayu atuh polow
Rohanahrey,2020-11-16 01:31:32,@Whatsadid Oh..... P E R N A H
Rohanahrey,2020-11-16 01:30:20,"@HeyBudie Ditanya ""mau apa?"" Jelas mau milikin kamu selamanya lah."
Rohanahrey,2020-11-16 01:28:10,@silumancacing @Bandungfess Sok terusken ayuena mh
Rohanahrey,2020-11-16 01:26:54,@Bandungfess Hayuk kita mutualan #BdgInLove https://t.co/ci0MHOTPEj
Rohanahrey,2020-11-16 01:25:39,@zoldyckiw @Bandungfess A helm na sabrahaan?
Rohanahrey,2020-11-16 01:10:49,@Bandungfess Hayang miluan #BdgInLove tapi lain orang bdg nderrrrr
Rohanahrey,2020-11-16 01:07:57,@silumancacing @Bandungfess Tah kitu atuh mang
Rohanahrey,2020-11-16 01:04:15,"@tawakkaI Becca itu udah sering masuk ke pressure test,dan dia lolos terus"
Rohanahrey,2020-11-16 00:16:40,@ebipatidolken @Bandungfess Ey naha sarua kitu
Rohanahrey,2020-11-16 00:06:55,@yunusmugia Nah ini salah satunya
Rohanahrey,2020-11-14 09:23:30,"@rizkyev Terakhir 2 tahun lalu😅,ngirimin berkas buat persyaratan tes"
Rohanahrey,2020-11-14 04:18:35,@damnitsisni Libur kerja gk?
Rohanahrey,2020-11-12 13:00:38,@FiersaBesari Dih. Cakep-cakep so cuek. Kan jadi penasaran
Rohanahrey,2020-11-11 01:28:53,@Iqbaleee14_ Jadi keinget lagi tuh
Rohanahrey,2020-11-10 03:31:39,@isnansayyidinaa Memang duit itu lebih licin
Rohanahrey,2020-11-10 01:14:36,@AlvandiSurya @FiersaBesari Mantap😂
Rohanahrey,2020-11-10 00:49:23,@bagol_egi @FiersaBesari Tetap jadi pahlawan walaupun kesiangan
Rohanahrey,2020-11-10 00:46:40,@yulinalogawati @FiersaBesari Ujung² nya tetep dibuang wkwkwk
Rohanahrey,2020-11-10 00:45:55,@AlvandiSurya @FiersaBesari Mau dong jadi bagian dlm perjuangannya😂
Rohanahrey,2020-11-10 00:39:02,"@FiersaBesari Selamat hari pahlawan untuk kalian para ""pejuang"" yang pernah berjuang namun akhirnya diduakan."
Rohanahrey,2020-11-09 09:51:16,"Niatnya abis pulang kerja langsung makan,terus lanjut ke tempat laundry. Faktanya abis makan nyender dikit,datanglah males dan keburu hujan.ok baik"
Rohanahrey,2020-11-04 10:30:24,@susantianjani95 Sok sok bayangin dulu😅
Rohanahrey,2020-11-04 10:29:15,@kichiw___ @Bandungfess Sangu goreng disanguan
Rohanahrey,2020-11-04 10:26:32,@susantianjani95 Iya ekspresi pup pas sembelit😂
Rohanahrey,2020-11-04 10:00:17,"Patah hatinya real,galaunya di twitter,dugemnya di tiktok. Sabisabi"
Rohanahrey,2020-11-04 09:57:40,"Olahraganya 2 hari yg lalu,pegel-pegelnya masih kerasa sampe sore ini. Cupu memang"
Rohanahrey,2020-11-04 09:56:04,@susantianjani95 Dia jga tau muka bangun tidur kmu kaya apa🤣
Rohanahrey,2020-11-04 05:01:01,"@susantianjani95 Jadi langsung mikir ""tau dari mana yaaaaa dia"" hahahaa"
Rohanahrey,2020-11-04 04:05:08,@susantianjani95 Dia lebih jago stalkingnya
Rohanahrey,2020-10-30 11:15:25,"Cuaca dingin,perut mules. Enggak pw banget sis"
Rohanahrey,2020-10-30 11:14:11,@kerabat_kerja Kenapa nih? Wey @dikakus_ @dikuyrock
Rohanahrey,2020-10-26 10:02:04,@appiw99 @sundastruggles @Bandungfess Wadaw
Rohanahrey,2020-10-23 02:26:35,@lovidinar https://t.co/ET63YrKPQk
Rohanahrey,2020-10-20 03:04:19,@thewindariana @widakiwid @dewisutrisno_ Satu frekuensi nih
Rohanahrey,2020-10-14 07:04:31,@andihiyat Samsung J1 mini cek...
Rohanahrey,2020-10-07 09:27:15,https://t.co/GGaH6cPljJ
Rohanahrey,2020-10-07 05:13:52,Salah jam keluar kandang🙈
Rohanahrey,2020-10-05 13:10:23,"@yaelahcan ""Sayang,mulai hari ini berangkat kerja bareng ya."" Halusinesyen..."
Rohanahrey,2020-10-05 12:22:45,@Anggitav_ @wiranagara Semakin hangat
Rohanahrey,2020-10-05 11:46:34,"@dwihandaanda Yiseo nyebelin kadang pengen nampol😄,tapi dia tetep brjuang buat presdir IC danbam👏"
Rohanahrey,2020-09-28 11:58:37,"Ku ingin nonton park seo joon tapi fd malah gk kebaca,kamvret"
Rohanahrey,2020-09-25 06:54:36,Sini jalan barengan~
Rohanahrey,2020-09-25 06:32:25,@Linduyyy @Adhitoopik Uhuk
Rohanahrey,2020-09-21 11:01:07,@vanesaprescila Ambyarrrr
Rohanahrey,2020-09-21 11:00:35,Here’s a show for you… Ospek Bikin Respect? Podcast DariTaDi Yu Ya Yukk https://t.co/meNioDS0hg
Rohanahrey,2020-09-20 13:57:07,@cursedkidd 5 tahun yg lalu wqwqwqwq
Rohanahrey,2020-09-19 22:01:23,@Iqbaleee14_ Bener hahaha
Rohanahrey,2020-09-19 12:57:17,@Iqbaleee14_ Cakepppp
Rohanahrey,2020-09-19 11:48:10,Teruntuk......
Rohanahrey,2020-09-17 05:50:09,@FiersaBesari Malah sama sekali gak ditanggepin
Rohanahrey,2020-09-16 11:39:02,Siap-siap nanti kalau udah ada pasangan https://t.co/lhfqZQ18AB
Rohanahrey,2020-09-16 10:22:17,Aku merasa udik ya allah
Rohanahrey,2020-09-15 12:24:43,"Datang satu,hilang satu."
Rohanahrey,2020-09-11 14:00:29,Hareudang
Rohanahrey,2020-09-11 13:49:26,@ntsana_ Ya allah boleh gak si jodohku yg ada di sebelah skat sana
Rohanahrey,2020-09-11 13:48:01,@Donnydpr_ Pura pura gak denger
Rohanahrey,2020-09-11 02:38:34,Mana tau nanti ke jogja https://t.co/YBhYxyCIwr
Rohanahrey,2020-09-11 02:37:05,@mcd_rz @Bandungfess Xal xal xalah terus
Rohanahrey,2020-09-08 13:11:28,"Ditertawakan karena sering makan di cafe? Maaf² nih ya kategori sering itu seminggu 3-4 kali atau mungkin bisa lebih. Ini tuh sebulan sekali aja udah mikir² dulu, enggak apa² aku gak minta duit sama kau."
Rohanahrey,2020-09-02 08:25:14,@yulinalogawati https://t.co/RFMbjS2q2I
Rohanahrey,2020-08-31 11:51:18,@isnansayyidinaa https://t.co/CTLe1eEKju
Rohanahrey,2020-08-29 12:45:03,"@FiersaBesari Ya udah enggak apa-apa,gak perlu dibuat ribet."
Rohanahrey,2020-08-29 07:09:06,@jangandengerin Pernah
Rohanahrey,2020-08-24 13:46:32,"Jangan mules dong,gak lucu nih udah pw leyeh-leyeh"
Rohanahrey,2020-08-24 13:14:25,@hipwee Hyung @FiersaBesari
Rohanahrey,2020-08-24 13:10:52,@SeptiaanJanuar @Bandungfess Pernah nyobaan kelek nyak?
Rohanahrey,2020-08-23 12:08:24,Tetap bersyucure
Rohanahrey,2020-08-21 13:59:58,@FiersaBesari Percuma cakep tapi gak ada akhlak
Rohanahrey,2020-08-20 11:46:08,@hendralm Masuk situ antri
Rohanahrey,2020-08-15 03:10:58,@GiaPratamaMD Selamat bertambah usia mr.Amr
Rohanahrey,2020-08-04 05:37:02,@aintyourtyppe Aku november nih
Rohanahrey,2020-07-27 02:51:22,@bagusharyobint4 Ceus
Rohanahrey,2020-07-21 11:59:05,@Bandungfess Jalan ninja jeng ngarudetken
Rohanahrey,2020-07-19 10:46:16,Kebanyakan liat yg ta'aruf nih🙈
Rohanahrey,2020-07-16 12:00:17,@briankhrisna Tapi tetap itu cuma mimpi bri
Rohanahrey,2020-07-16 10:35:18,Bissmillah https://t.co/3Aur1bRgy1
Rohanahrey,2020-07-15 13:24:12,"Tanya didoooooooo,cakep nih. Here’s a show for you… Kita Bertanya, Ditto Menjawab! Podcast DariTaDi Yu Ya Yukk https://t.co/NePx9irRW3"
Rohanahrey,2020-07-15 05:59:29,@DionMulya Lanjut makan
Rohanahrey,2020-07-12 11:02:56,Here’s a song for you… Menghapus Jejakmu by Bunga Citra Lestari https://t.co/X16MwzleB5
Rohanahrey,2020-07-11 12:31:25,Sabtu malem bareng paracetamol
Rohanahrey,2020-07-04 22:24:08,Minggu pagi godaan diskon yang maha dahsyat🙈
Rohanahrey,2020-07-02 10:44:19,@Bandungfess Kartu donor darah
Rohanahrey,2020-07-02 10:43:47,@alfidrmwn_ @Bandungfess Wah bahaya ieu
Rohanahrey,2020-06-30 22:52:53,"Sudah dipertengahan tahun 2020,tarik nafas dalam² nih"
Rohanahrey,2020-06-30 10:54:02,@Bandungfess Jauh kieu euy
Rohanahrey,2020-06-29 12:36:13,"Jadi cewek itu harus pinter dengan diajarin dan belajar sendiri. Mantep nih did @dittopercussion Here’s a show for you… Kuliah Oh Kuliah, Masa Terindah! Podcast DariTaDi Yu Ya Yukk https://t.co/89UtzVKJZ4"
Rohanahrey,2020-06-27 12:27:00,"@Bandungfess Hayu 4 deui langsung berangkat, eh tapi boong."
Rohanahrey,2020-06-27 10:30:38,@dewahoya 2015
Rohanahrey,2020-06-27 04:24:15,@FiersaBesari Selamat bung dan mba kroya
Rohanahrey,2020-06-26 11:20:24,@alvianozta Semangatttt
