username,created_at,text
Rotiisicoklat,2021-06-06 15:31:52,@nadlifehere cepet pesen gofut!!!
Rotiisicoklat,2021-06-05 16:34:34,23.34 https://t.co/1Sxvz14fAf
Rotiisicoklat,2021-05-22 14:52:54,@sideoforeo @Askrlfess @nadlifehere klo kiss nya sama singa sih ya berubah bund
Rotiisicoklat,2021-05-21 08:40:57,paguyuban ga suka arisan 😪
Rotiisicoklat,2021-05-20 16:23:11,hospital playlist emg ga pernah salah😭 https://t.co/T8sWQp2xlC
Rotiisicoklat,2021-05-19 10:25:51,sakit. https://t.co/GJWplVyWgl
Rotiisicoklat,2021-05-19 04:33:50,menjadikan semua hal sebagai pelajaran
Rotiisicoklat,2021-05-18 11:50:50,HAHAHA https://t.co/wLDPgMvgQc
Rotiisicoklat,2021-05-15 09:47:54,lebaran gini mah enaknya potong rambut hhhhh
Rotiisicoklat,2021-05-14 11:53:45,makan apa sih yang enak yaa
Rotiisicoklat,2021-05-12 15:52:44,@aeribase hm;( https://t.co/AbABneCqZ2
Rotiisicoklat,2021-05-12 02:42:24,@sideoforeo knp nes kang tauge???
Rotiisicoklat,2021-05-12 02:41:34,"awalan bocor, skrng dah hari terakhir bocor lg 😌😌"
Rotiisicoklat,2021-05-08 21:30:44,selamat tgl 9 taurus genk!! @mayahapsari09 semoga semoga semoga aamiin. selalu bahagia dan tetap waras kamay!!
Rotiisicoklat,2021-05-07 07:20:16,ihiyy https://t.co/PkUs8BqoCM
Rotiisicoklat,2021-05-06 23:39:59,"setelah dua bulan lebih cantenganku baru menunjukkan tanda tanda sembuh:"")"
Rotiisicoklat,2021-05-06 01:03:18,"mata kya di taroin tabung gas, berat bener"
Rotiisicoklat,2021-05-05 21:47:54,"Terkadang, kamu hanya butuh diam untuk dijadikan teman. Karena suara hanya bisa memuakkan."
Rotiisicoklat,2021-05-04 12:43:11,cinta. https://t.co/MevSoj6Ugh
Rotiisicoklat,2021-05-01 15:42:58,bukan kaleng kaleng.. https://t.co/29T9U5KLA5
Rotiisicoklat,2021-04-29 01:16:28,@bolu_banana minumannya lebih menggoda
Rotiisicoklat,2021-04-29 01:13:32,haid masih 2 minggu lg tp ko sakitnya udah dr skrng🥴😓
Rotiisicoklat,2021-04-28 07:43:31,@nadlifehere @bolu_banana 😭😭😭😭
Rotiisicoklat,2021-04-28 07:34:14,@nadlifehere @bolu_banana masa harus w yg up foto sama bias nad..
Rotiisicoklat,2021-04-28 00:36:59,@bolu_banana @nadlifehere sari roti ae sama susu coklat cap enak
Rotiisicoklat,2021-04-27 02:16:38,kenapa sakitnya kaya mau mens lg sih 🥴
Rotiisicoklat,2021-04-26 15:32:30,jeans 28 masi kegedean bgt tu masa w pake no 26 dah kaya nak bocil gasi
Rotiisicoklat,2021-04-25 12:02:26,@nadlifehere yah ada ada aja sih naddd;(( urut nadd
Rotiisicoklat,2021-04-25 03:32:01,"@nadlifehere ih ko bisaaa, ngebut ngebut?"
Rotiisicoklat,2021-04-25 03:30:52,@nadlifehere abis ngapain sih naddd
Rotiisicoklat,2021-04-24 16:19:34,ya allah... https://t.co/GyHxM9Ss4I
Rotiisicoklat,2021-04-22 16:17:37,bos babel ku syg https://t.co/PmZqddTTzG
Rotiisicoklat,2021-04-22 16:09:11,@meowwwsad @eka_neh lah aku kira amanda manopo
Rotiisicoklat,2021-04-20 15:42:37,sakit https://t.co/NSZv56bbQS
Rotiisicoklat,2021-04-15 05:16:32,@inesprb sun beras merah ena jg nes
Rotiisicoklat,2021-04-15 05:16:12,@NurulDS15 kira kira atuh nurul;((
Rotiisicoklat,2021-04-15 05:14:58,"memasuki usia melihat piring, gelas, panci sebagai benda benda yg lucu;("
Rotiisicoklat,2021-04-15 01:13:36,@meowwwsad otw cekkkk
Rotiisicoklat,2021-04-14 14:47:02,@meowwwsad klo di syopi beli di mana daa?
Rotiisicoklat,2021-04-14 14:33:28,@ainiSNM bsk ak nyari lg ahh 😅😅
Rotiisicoklat,2021-04-14 14:24:08,@NurulDS15 di bilang kamu yg kesiniiii wkwk
Rotiisicoklat,2021-04-14 13:01:00,@NurulDS15 kira kira atuh nurullll😭😭
Rotiisicoklat,2021-04-14 13:00:33,@ainiSNM bisa bisanya ak nyari nyusurin jalan ga ada satupun kang bubur sumsum;(
Rotiisicoklat,2021-04-14 10:46:24,mau bubur sumsum;(
Rotiisicoklat,2021-04-12 07:31:51,indosat nyebelin bgt klo lg kaya gini😡
Rotiisicoklat,2021-04-12 07:12:24,"ya allah;"""
Rotiisicoklat,2021-04-05 10:04:30,@meowwwsad ayo ngebutttt. makasih yaa sayangkuu🥰
Rotiisicoklat,2021-04-05 10:04:01,@tiadws katia cantikku terimakasih luvv
Rotiisicoklat,2021-04-05 10:03:48,"@mayahapsari09 makasih kamayyy, alhamdulillah lancarr 💞💞"
Rotiisicoklat,2021-04-05 10:03:27,@farhanlontong aamiin aamiin farhan!!! bahagia selalu
Rotiisicoklat,2021-04-05 10:02:55,@dindraa__ makasih sayang🥰
Rotiisicoklat,2021-04-05 10:02:39,@irvnzkria aamiin bang irv!! Terimakasih yaaahhh
Rotiisicoklat,2021-04-05 10:02:14,@adityaprmn__ ga gt donggg konsepnya;( btw makasih adit anak ganteng🥰
Rotiisicoklat,2021-04-03 23:25:43,Libur kerja ga kemana-mana. Nikah ah~ https://t.co/Np3Ol6mxmZ
Rotiisicoklat,2021-04-03 12:07:04,@nadiaaputeri AAMIIN YA ALLAH NADD!!
Rotiisicoklat,2021-04-03 06:38:18,@takeawaydinein huhu doain semoga cuacanya cerah trs yaa biiwww
Rotiisicoklat,2021-04-03 06:37:20,@takeawaydinein aaaakkk sini mbaarr.
Rotiisicoklat,2021-04-03 06:27:11,"Bismillah cerah atuh ya allah;"" https://t.co/cypHlzu5fp"
Rotiisicoklat,2021-04-02 00:37:24,@nurrrintann iya ka intannnnn hihihi🙈
Rotiisicoklat,2021-04-02 00:13:05,@mayahapsari09 mumpung libur kamay 😅
Rotiisicoklat,2021-04-01 23:57:33,Tendaku di dalam jaring😅 https://t.co/d38wMaf3Bc
Rotiisicoklat,2021-03-30 07:46:02,"@nadiaaputeri @inesprb temanan sama siapa aja ya bund, cuma yg cocok kan nda semuanya;"")"
Rotiisicoklat,2021-03-28 15:37:22,ni kepala klo ciptaan manusia udah ngebul yakin
Rotiisicoklat,2021-03-25 00:36:39,"tempat kecil mungil yang paling nyaman buat ngelamun, mikir, overthinking sampai nangis sesegukan bsk udah nggak gini lagi. jadi sedih🥺 harusnya kmren difoto sebelum barang2nya dikeluarin ya huhu https://t.co/NAglbNwDJQ"
Rotiisicoklat,2021-03-24 12:36:55,"@takeawaydinein iyaya mbar, ceunah shopee mau memilih kurir yg terbaik untuk pembelinya. Kan tau mana yg baik mana ngga kita sendiri ya;(("
Rotiisicoklat,2021-03-23 15:44:53,pinggang 🥴
Rotiisicoklat,2021-03-22 15:38:18,baru nyadar seharian ini blm makan
Rotiisicoklat,2021-03-20 00:31:32,@nadiaaputeri @inesprb w dah pingsan semalem naddd wkwk
Rotiisicoklat,2021-03-18 23:31:19,sakit bgt hati dengernya 🥺 https://t.co/s6NSaIcmWg
Rotiisicoklat,2021-03-18 11:25:19,aaaaaa https://t.co/3Cfgi8hfax
Rotiisicoklat,2021-03-16 13:41:05,berasa lg di vc😭 https://t.co/BEOKHx95E0
Rotiisicoklat,2021-03-15 13:32:24,khawatir terus tp gatau khawatirin apa
Rotiisicoklat,2021-03-13 20:32:06,@kangtahugorengg Selamat menempuh umur baru icut🥳🥳
Rotiisicoklat,2021-03-13 13:46:44,@abdzzikri ke pasar malem dong bang klo malming~~
Rotiisicoklat,2021-03-13 09:30:10,dua kali aja nih harian ini tiap pake baju nemu duit mulu di kantong 🤣
Rotiisicoklat,2021-03-12 13:27:45,alhamdulillah nyaa punya mua teh sabar bgt menghadapiku yg labil ini 🥺
Rotiisicoklat,2021-03-12 05:55:24,mending jglow atau msglow?
Rotiisicoklat,2021-03-12 00:36:14,terhitung 4 hari otakku di pakai mikir ekstra di luar kerjaan🤯
Rotiisicoklat,2021-03-11 13:07:00,tau ah pusing
Rotiisicoklat,2021-03-10 18:06:36,laper mau nasi kuning
Rotiisicoklat,2021-03-10 17:27:03,si baik @layzhang 💞
Rotiisicoklat,2021-03-09 01:14:42,gamau nolongin napa ka?? dari tgl 4 ga jalan2 @jntexpressid 😭😭😭 https://t.co/GFKhvCU9X4
Rotiisicoklat,2021-03-08 15:47:22,ngecas😭😭😭 https://t.co/dqjHcyim85
Rotiisicoklat,2021-03-07 02:22:12,"Estimasi sampai udah dari jumat min, skrng dah hari apaaa 😤 @jntexpressid https://t.co/6glYCoZefx"
Rotiisicoklat,2021-03-06 08:36:19,"@jntexpressid dari tanggal 4 ni ketahan di gudang, gmna dong min? https://t.co/MqPzBBiDte"
Rotiisicoklat,2021-03-05 12:15:45,lah 🤣 https://t.co/jgvxnEMk13
Rotiisicoklat,2021-03-04 05:57:41,panazzz
Rotiisicoklat,2021-03-01 00:18:59,punya muka teh kenapa cerahnya musiman ya😓
Rotiisicoklat,2021-02-28 11:54:48,kpn y https://t.co/qsVujFjN2S
Rotiisicoklat,2021-02-24 10:28:14,rusuh bet 🤣 https://t.co/VZjfJle5GY
Rotiisicoklat,2021-02-22 17:23:22,@nadiaaputeri di baris pertama w dah baca pake nada padahal._.
Rotiisicoklat,2021-02-22 01:18:59,ayanggg https://t.co/tP6FznTT8N
Rotiisicoklat,2021-02-21 12:13:27,"alasan knp aku super jarang cerita ke temen2~ karna klo temenku curhat jg, dia dah maafin cowonya, aku yg masih sebel🤣 https://t.co/Zq5pyWzFer"
Rotiisicoklat,2021-02-19 22:33:17,"ni air keran belom bersih grgr banjir, karang dah banjir lg bayee😌"
Rotiisicoklat,2021-02-19 22:32:10,😤😡 https://t.co/PatgTT9nOA
Rotiisicoklat,2021-02-18 14:53:04,"gausa klimis klimis da, gini aja dah cinta aku. https://t.co/WrEdbI8XET"
Rotiisicoklat,2021-02-18 12:04:44,🤣🤣 https://t.co/eCyl8UPbmA
Rotiisicoklat,2021-02-18 06:55:26,@dewiutaaari gemoyyy bgt ciiiiii💗💗💗
Rotiisicoklat,2021-02-16 16:18:26,mau retweet semilyar kali https://t.co/fC9qKBxqdb
Rotiisicoklat,2021-02-16 15:29:54,namanya indah sekali😭💗 https://t.co/ZP9vHiRtrq
Rotiisicoklat,2021-02-14 04:29:35,sayang 💗 https://t.co/HzAN0LiFQg
Rotiisicoklat,2021-02-13 20:38:05,hihiyyy axis si baik hati https://t.co/uBdTKV8pmw
Rotiisicoklat,2021-02-12 06:57:11,"kamu tidak usah, kamu kan arne 🤣🤣🤣 https://t.co/7lOqQc5R6D"
Rotiisicoklat,2021-02-11 14:57:54,headset mati sebelah tu yaaa 😡😭💔
Rotiisicoklat,2021-02-11 13:07:24,indosat teh kenapaaaa ak mau checkout gbisa bisa
Rotiisicoklat,2021-02-11 05:59:34,serem bgt ya allah 🥺 https://t.co/8APB67ow0t
Rotiisicoklat,2021-02-11 00:29:30,trending macam apa sih
Rotiisicoklat,2021-02-08 12:43:51,baca dengan satu tarikan napas bgt iniii https://t.co/FwpnOC3K7Y
Rotiisicoklat,2021-02-08 12:40:00,pengen mie ayam pinggir sawah
Rotiisicoklat,2021-02-08 03:55:37,CAKEP AMAT TULISANNN😭😭 https://t.co/jdfMcCHDkn
Rotiisicoklat,2021-02-07 15:30:05,@nadiaaputeri yg nyata mah ngurusin diri sendiri aja capeee 😅😅
Rotiisicoklat,2021-02-07 14:51:48,@nadiaaputeri ngurusin rumah tangga orang mulu ni kita yaaa bund 🤣
Rotiisicoklat,2021-02-07 14:21:01,si gantengg https://t.co/XfKefKbCHp
Rotiisicoklat,2021-02-07 12:52:18,males bat ngacaa ahh
Rotiisicoklat,2021-02-06 13:28:29,ya allah sampe lari lari😭😭😭
Rotiisicoklat,2021-02-06 13:18:18,"@serlywlndrs emggggggg, jd nangis muluu 😡😡😡"
Rotiisicoklat,2021-02-06 13:06:15,live report untuk nad yg gabisa streaming @nadiaaputeri https://t.co/0nH8ZhHVBS
Rotiisicoklat,2021-02-06 12:56:18,tiap saat dong pun. https://t.co/Zy6sCWh9ZV
Rotiisicoklat,2021-02-06 11:22:11,@rakyatdjelita bener bener bibit unggul;(
Rotiisicoklat,2021-02-06 11:12:49,@rakyatdjelita ko bisa ya ada org ganteng kek gt pusing bgtt
Rotiisicoklat,2021-02-05 16:52:51,(((Jembida))) 😭😭 https://t.co/to9YtFSDcm
Rotiisicoklat,2021-02-05 13:45:02,@rakyatdjelita tar coba ak wasap yaa
Rotiisicoklat,2021-02-05 13:38:14,@rakyatdjelita allahu umaaa 😓😓😓
Rotiisicoklat,2021-02-05 13:33:44,@rakyatdjelita coba di terawangggg https://t.co/PoFx7AjuT4
Rotiisicoklat,2021-02-05 13:28:54,elsa pake lipstik apaya..
