username,created_at,text
Strybycy,2021-06-08 13:04:04,Cukup sekali nonton. Gaberani sampe sekarang :) https://t.co/Qd1i8Qe1mK
Strybycy,2021-06-08 10:01:53,@Jihanabs HAHAHA SIAL
Strybycy,2021-06-06 18:27:06,Terus bos guahhhhh :)))( https://t.co/GAVJeBHMaW
Strybycy,2021-06-06 14:57:18,He's favorite https://t.co/MTBQeMBMy9
Strybycy,2021-06-06 14:11:40,Kayaaaak apa yah wkwkwkwkwk emang kenapa gitu kalo aku kok heboh?????
Strybycy,2021-06-06 10:52:36,"Duduk di smoking, pemandangannya pam kan. Lemessssh dong aku. Terus abi lewat abis nganter minuman eh ngomong— males ah gua ditikung pam. HAHAHAHAHA GEMES AMAATTTTT https://t.co/h30eNjA5D6"
Strybycy,2021-06-05 08:16:19,Iya.... Tapi kalo bisa sekalian ganteng kan lebih lebih lagi demage nya https://t.co/2JeESVruYm
Strybycy,2021-06-05 05:11:54,"Abangnya abi main ke speed, lalu pamit pulang— ""ko tumben ga bilang love u ke gue?"" — katanya. *nengok* LOVE U ""love u too, see ya di kosan"" AH GEMES AMAT?????"
Strybycy,2021-06-03 19:20:43,Thats why...... https://t.co/UpLp7y8KEm https://t.co/fv0sq0e4Y7
Strybycy,2021-05-28 15:49:31,Yaallah tiap hari makan ramen gmn yah.....
Strybycy,2021-05-28 15:02:25,"""bang ganteng ga pacarnya bela?"" ALLAHUAKBAR gua kudu gimana yah..... :)"
Strybycy,2021-05-28 02:55:51,Hari ini tadinya mau ke yoiko before shift— tapi aku takut usus buntu karna nge mie mulu. Supper kali yah????
Strybycy,2021-05-27 16:39:04,Kalo ini rumahnya barunya— Sore. Jepang cabang Fatmawati! Ngeramen sambil kejar kejaran sama MRT. No filter needed banget kalo main kesini sih. Kawa nya juaraaaak gaada obat. Naq bgt ngetik ini sambil ngiler :)))) https://t.co/TN2IpD4flc
Strybycy,2021-05-27 16:35:40,Setuju https://t.co/58bsOx3wNb
Strybycy,2021-05-27 16:35:25,"Aku— si lagi seneng ngeramen. Ada ramen enaq di Polim. Pasti suda tida asing lagi karna ruameee pol sih ini. Mika ramen di lapangan basket YPK. 27ribu ajah! Ramennya ngga aneh aneh, satu macem. Tapi nagih. Buka nya sore til midnite. Cobain!! https://t.co/FTXFEg4PgW"
Strybycy,2021-05-27 05:12:05,Tiba tiba ingin ke kebun binatang~
Strybycy,2021-05-26 15:20:12,HAAA GEMES BGTTT https://t.co/gV1CI7TIQl
Strybycy,2021-05-26 15:12:05,"Toilet speed kan depan depanan yah, kebetulan aku lagi ngaca. Sambil bersenandung— sometimes i wish that i could still call u mine~ taunya toilet depan aku gangga. Malu sih. Terus doi ngomong pula ke temenku —temen lo td nyanyiin lagu gue tau di toilet"" :)"
Strybycy,2021-05-26 12:42:34,"Dims kan lagi dipijetin sama bim yah, aku ngomong dong ""enak sih bi abis ini gua"" Eh disautin sama dims, ""sini bel sama gua aja, gua pijetin"" Terus dijawab— ""apaansi dims dih engga engga gaboleh nanti aja sama gua"" SIAPAN YG NGAJARIN SIH LUCU BENER?????"
Strybycy,2021-05-26 12:29:26,Ampun lah jejepangan fatmawati cipete polim blok m ini. Nambaaah mulu tiap hari
Strybycy,2021-05-25 23:21:04,@meyeszzz @inafai_ Tapi doi sagiq
Strybycy,2021-05-25 21:53:25,@calvinricc WKWKWKWK jangan dibacain dong
Strybycy,2021-05-25 16:24:37,Partner date nya yg blm ada bunda https://t.co/E7hlMTBuTq
Strybycy,2021-05-25 15:39:30,Huhuhu menemukan coffeeshop yg errday ada live music nya walaupun food beverage nya agak kureng &amp;rame pol tp gpp yg penting ada live musicnya. Healing :))))))
Strybycy,2021-05-25 02:52:46,"@inafai_ As simple as— segapenting apapun moment nya, ingetnya aku. https://t.co/lNfIe7rDwE"
Strybycy,2021-05-24 16:07:13,Lucu bgt plis jgn gini
Strybycy,2021-05-23 09:24:01,@calvinricc @luckymedusa Baru sadar banget username nyahhhh moms
Strybycy,2021-05-23 06:28:02,@luckymedusa Terussssh 3.0 donggg???
Strybycy,2021-05-22 13:41:47,@shitlicious Iseng ah #BiroJomblo https://t.co/9kLEpS4wKs
Strybycy,2021-05-22 13:38:13,@meyeszzz @zanedineadammm Besok ke polim plis pagian
Strybycy,2021-05-22 04:24:33,Dah lah ni kalo di speed kaga ada yg seger mah sambat mulu w pasti kerjaannya ngadepin tamu aneh aneh
Strybycy,2021-05-21 17:21:17,"I loovvveeee being dibutuhkan. Sesimpel nanya ""kaos apa kemeja ya?"""
Strybycy,2021-05-21 13:59:31,"Ngomong basbisbus wasweswos tida mempan tida didengar tapi kalo aku diem sambil ngeliatin langsung ""IYAIYAIYA OKE ENGGA DEH ENGGA"" ada apa dengan mu sobad"
Strybycy,2021-05-19 16:48:17,Harap orgorg yg suda punya pacar jangan coba coba mendekati ku nanti aku bingung
Strybycy,2021-05-19 11:50:42,@calvinricc Hahaha sabar yah kalian kalian
Strybycy,2021-05-19 11:15:19,@calvinricc Masi lemes aja ya doi ternyata
Strybycy,2021-05-19 05:19:51,"""temenin ke tempat si A ya besok, opening kedai kopi barunya"" is a love language"
Strybycy,2021-05-19 04:25:33,"""kita mentoknya kecepetan kayanya ya?"" abim, 22tahun —4 pagi, warkop."
Strybycy,2021-05-18 11:59:25,"""masi jam 11 kita makan mie ayam dulu kali ya"" begitulah ketika berangkat bareng manusia ter ontime se speed. —tapi enak bgt ni kawan kawan mie ayam depan total buah ampera! Tapi mayan antreeee~ https://t.co/T0w7U1eEbK"
Strybycy,2021-05-17 16:13:33,I dont wanna talk about it~ tiap hari
Strybycy,2021-05-17 15:00:16,Eeeh rumahnya bekasi. https://t.co/eVA9SxkvRG
Strybycy,2021-05-17 02:18:23,Playlist kerja hari ini. Karna semua team ku sedang cape capenya semua. Mangat yah kawan kawan https://t.co/UxJHw8xLOt
Strybycy,2021-05-16 14:41:17,"Udah lama ga dimodusin. Ga pdkt gitu. Gada text manis manis. Sekalinya ada ni sampe w tanya ""lo tuh lagi ngalus, ya?"" terus anaknya sebel. YAELAH BEELLLL katanya. :)"
Strybycy,2021-05-16 14:08:35,Speed sepagian aja 23juta stres dah gua.......
Strybycy,2021-05-16 11:57:50,Tahun pertama lebaran ngga sakit setelah 8tahun selalu sakit pas lebaran. Tapi sekarang meriang di h+4. Bersin bersin total. Yuuuuk sehat dulu speed lagi rame banget yuk
Strybycy,2021-05-16 11:38:39,"Temenku pernah bercanda —main main piso. Lalu aku bilang ""gasuka gua bercandaan lu, itu bahaya"" abis itu anaknya kerja kerja kerja terus nyamperin —maafin ya bel. Katanya. Aku bingung maaf knp, ternyata dia mikirin perkataanku. Sadar kita salah itu perlu. https://t.co/PZ1riadQaw"
Strybycy,2021-05-16 09:19:47,@dittameliaa Aku aku ka dit https://t.co/fSMe6razg0
Strybycy,2021-05-14 11:51:01,Belom makan baso sejak kemarin karena kerja rasanya lebaranku belom afdol
Strybycy,2021-05-14 11:50:30,Kebetulan yg aku suka alisnya udah tebel dan kumisnya tipis. Bonus bulu matanya lentik abis kalah aku https://t.co/5LZfLEPeYC
Strybycy,2021-05-14 02:57:15,"""daaah mas. Titip ya mba jagain abimanyu nya"" kata seorang pemuda kepadaku &amp;abim. —agak kasian sama ni anak karena selalu jadi inceran tante tante &amp;para lelaki"
Strybycy,2021-05-13 11:58:01,Asliiikkk https://t.co/oPz5Cgkj5n
Strybycy,2021-05-12 15:13:15,@calvinricc @BanyuSadewa Demi apa sih anjir
Strybycy,2021-05-12 15:09:41,@BanyuSadewa Buat anak piatwo nya juga bole kaka https://t.co/6lW4BUCksb
Strybycy,2021-05-12 15:02:48,@ulfanabila97 Ikuuuttt https://t.co/AnYLFktUjf
Strybycy,2021-05-12 15:00:49,@revinavt_ Yuhuuuu hereee~ https://t.co/ioFmdeqZBF
Strybycy,2021-05-12 05:45:23,Awoakakakak https://t.co/9dVIBn1R76
Strybycy,2021-05-11 09:55:28,@calvinricc Si mewahhhh
Strybycy,2021-05-11 03:18:19,@sukatertawaa_ AYOK AYOK AYOK butuh kan lu @priatama_adjie
Strybycy,2021-05-09 16:21:07,"""ati ati. Nanti malem aku chat ya"" is a love language https://t.co/ek8K6LQTMB"
Strybycy,2021-05-05 13:53:57,@calvinricc Samping lawless guyzzz
Strybycy,2021-05-05 02:14:14,@calvinricc Naq bgt kudu cobain
Strybycy,2021-05-04 16:09:21,@calvinricc PISANG DJAKARTA PLISSS
Strybycy,2021-05-04 16:08:58,@calvinricc Chilli oil aja bole ga sih???
Strybycy,2021-05-01 10:15:12,Yaallah w liat tangannya pam aja sayang
Strybycy,2021-05-01 09:29:42,Dia yg show off mulu gua yg cape liatnyah....
Strybycy,2021-05-01 09:05:55,@farisandani Siapa yang mau milih dia ya
