username,created_at,text
ViraGutubela,2021-03-11 15:29:39,@Hujandisenja Dirimu di Galaxy kah?
ViraGutubela,2021-03-09 15:14:55,"@melfera Ayo kita sudahi, kembali fokus kpd Kaesang,Feli, dan Tante Meilia 😂"
ViraGutubela,2021-03-05 15:31:29,"@melfera Semoga sehat selalu,mbaaa https://t.co/lFCddu2AIm"
ViraGutubela,2021-02-26 14:41:55,"@melfera Mbaaaaa 😍 ah, sudahlah"
ViraGutubela,2021-02-21 11:30:15,Semoga Allah memudahkan 🙏 https://t.co/6ANMxxC1Wo
ViraGutubela,2021-02-20 08:03:46,"@melfera Tempat mba,aman kan?"
ViraGutubela,2021-02-19 14:40:56,"@tsuroiya Mba @tsuroiya ,aman?"
ViraGutubela,2021-02-17 12:27:32,@kikiriskiana Lokasinya dimana?
ViraGutubela,2021-02-16 15:21:47,@indria_vitri @rehuellahangela Mengubah perspektif +62 ttg panti jompo yg msh PR banget
ViraGutubela,2021-02-16 12:13:48,"Terimakasih sdh mengingatkan, Bib 🙏 https://t.co/zP8iKyKZaR"
ViraGutubela,2021-02-15 12:25:03,"@melfera Tempting deh,mbaaa 😍"
ViraGutubela,2021-02-08 12:46:31,@sheque Shocking 💔 RIP Marthin Saba
ViraGutubela,2021-01-29 09:44:17,@Hujandisenja Bwahahahahahaha 😂😂😂😂😂
ViraGutubela,2020-12-30 11:35:55,"@melfera Hanya bisa berharap,mbaaa...jauuuhhh 😘"
ViraGutubela,2020-12-30 10:46:32,@melfera Mauuuuuuu 🥰
ViraGutubela,2020-12-29 05:05:40,"@tsuroiya Aku pernah beli ini,mbak.Tapi buatku rasanya beda dgn SQ, kacang nya pun beda."
ViraGutubela,2020-12-19 04:41:51,"@melfera Auto ngakak akutu,mbaaa 😂"
ViraGutubela,2020-12-15 14:54:40,"@pinotski Aku suka banget yang ini,Mas! 👏"
ViraGutubela,2020-12-12 14:42:13,@Hujandisenja Wilayah Galaxy bolehhhhhh 🤩
ViraGutubela,2020-12-11 00:02:13,@anisketels You look so pretty!🥰
ViraGutubela,2020-12-10 13:21:48,@Qodridio @Alviensaputraa @sheknowshoney Emberan 😂
ViraGutubela,2020-12-10 06:11:01,"@pinotski Ahhh,terimakasih Mas! Ada nama Oom Dwi Koen dan Papa disana 🥰"
ViraGutubela,2020-12-09 05:12:56,💛💛💛💛💛 https://t.co/q7aYWTvYEj
ViraGutubela,2020-12-09 04:36:50,@Hujandisenja Ga nolak 🙌
ViraGutubela,2020-12-07 14:05:15,"@rykarlsen Itu ikan peda nya dikucurin jeruk nipis,hasekkkk dahhh"
ViraGutubela,2020-12-07 14:04:35,@rykarlsen @blackcatnicken Cabe gendot 🌶️
ViraGutubela,2020-12-07 14:00:20,Pembelajaran https://t.co/V9BiwuFsr0
ViraGutubela,2020-12-07 13:57:20,@Denald Salahkan Suzzana yak 😂
ViraGutubela,2020-12-05 16:32:19,"@melfera Bersinar terus ya,cantik ✨"
ViraGutubela,2020-12-03 02:52:22,@melfera Ga asik banget deh anaknyaaaaa 😂
ViraGutubela,2020-11-30 13:10:59,@anisketels Chantique bolen nya 😍
ViraGutubela,2020-11-30 13:10:23,"@Denald Bahagia selalu, mbaaa 💐"
ViraGutubela,2020-11-29 10:29:52,Siniiiihhhhh aku temeninnnn https://t.co/NEQCnAbngu
ViraGutubela,2020-11-29 10:22:34,"@ranggavega Noaaahhh, Bude pengennn 😍"
ViraGutubela,2020-11-28 11:24:42,@rykarlsen Naituuu
ViraGutubela,2020-11-28 11:22:38,@melfera Canggih 😍
ViraGutubela,2020-11-28 11:20:16,@rykarlsen Makan siangnya Sop Konro kah? 😋
ViraGutubela,2020-11-28 11:16:10,@melfera Heraaaannnnn dweeeehhhhhh *samaan
ViraGutubela,2020-11-26 14:50:09,"@pinotski Di trolley bawa apa tu, Mas Pin?"
ViraGutubela,2020-11-26 14:44:37,"@Denald Aku pun suka liatnya, mba! 😍"
ViraGutubela,2020-11-26 14:43:01,Kali aja ditambahin teddy juga 😂 https://t.co/5whzZEjrn5
ViraGutubela,2020-11-26 14:40:47,@ranggavega Noaaaahhhhhhhh
ViraGutubela,2020-11-26 03:56:57,"@unilubis 3 th terakhir di Pekanbaru, mbaaa"
ViraGutubela,2020-11-25 08:40:31,@ritafauzh Msh bisa ga? Buat ngasih hadiah ke diri sendiri 😂
ViraGutubela,2020-11-25 08:39:03,@hhsahal @agkarim @ulil @tsuroiya @savicali Cendekiawan! 😍
ViraGutubela,2020-11-25 08:37:40,"@unilubis Ngiri deh, mbaaa. Di tempatku ga ada oncom juga leunca, perih..."
ViraGutubela,2020-11-25 05:14:57,"@Denald Biaya pengirimannya brp, mba?"
ViraGutubela,2020-11-24 04:53:38,"@melfera Aku tim kamu, mba! 👏"
ViraGutubela,2020-11-24 04:52:47,@Denald Love it! 😍
ViraGutubela,2020-11-23 13:26:19,@melfera Toss 🙌
ViraGutubela,2020-11-22 09:04:06,"@melfera Tos, mba! Parah nya adlh suamiku begitu 😅"
ViraGutubela,2020-11-21 13:16:36,"@rykarlsen Pengen makan bakso ga sih, bang? 😋"
ViraGutubela,2020-11-18 12:14:27,@rykarlsen Cantik yaaa ❤😏 seperti akuh 😄
