created_at,id_text,text
2021-03-19 12:32:52,1372888801886932998,zsjl whoa☺️✨
2021-03-18 06:32:57,1372435838676602883,"@zxc23h @cucunyapakahmad HAHA I'll look at both, thank you lovebirds💃🕺"
2021-03-18 05:32:48,1372420701311803397,"@zxc23h Recommend a good one, please"
2021-03-18 05:31:50,1372420457966628867,"RT @animetv_jp: JUJUTSU KAISEN Episode 23 this Friday! Only 2 episodes left!

✨More: https://t.co/c3aX8253Rf https://t.co/9XbOYuOmSo"
2021-03-17 13:29:59,1372178400836603905,weird :/
2021-03-16 12:27:19,1371800241347854340,@shakuntalalj victor valdes
2021-03-16 12:13:01,1371796643343831043,@shakuntalalj confucius
2021-03-16 11:37:46,1371787772785164289,"melekat di kepala, ga bisa ilang"
2021-03-16 11:37:34,1371787723233665024,history has been written by the victors
2021-03-15 13:04:34,1371447229920157700,query query let us hurry
2021-03-15 12:14:21,1371434591714570246,@animetv_jp Tas.. baca kan😂
2021-03-14 16:16:04,1371133034703953921,bro... https://t.co/ciUgKcmGmF
2021-03-14 12:02:07,1371069125326336003,fak😂 https://t.co/6paBsVIpQJ
2021-03-14 11:40:50,1371063768671604736,Sobat magang lagi hangat diperbincangkan
2021-03-12 14:06:14,1370375584186920966,keder input metrics ato dimension menyebabkan back pain🥴
2021-03-07 16:13:05,1368595568792985604,"138, then table scene https://t.co/BPB6BluYcr"
2021-03-07 10:19:37,1368506614571962368,RT @shitegoblin: https://t.co/IVX3ddbV4j https://t.co/CkjU1LGzk3
2021-03-07 05:14:25,1368429808867102720,adem https://t.co/1TsDozanOp
2021-03-03 10:43:52,1367063166912372740,@stefaniputris Kenapa msg dikit kak😌
2021-03-01 15:37:19,1366412241789100032,"Lelah bekerja tidur, lalu mimpinya okr🤡 https://t.co/lHFDwlhPUw"
2021-02-26 14:22:36,1365306272506015751,Kenapa kalo lagi ngomong sesuatu harus tiba-tiba ngilang dah🤷🏻‍♂️
2021-02-24 13:23:10,1364566539983196162,@zharifmz itu minjem aja kok☺️
2021-02-24 13:10:58,1364563471484952580,@zharifmz disuruh bikin tutup kotak tisu
2021-02-24 13:08:45,1364562913617317889,"we're just passengers on a bus, after all"
2021-02-22 12:43:41,1363831828424003584,@zharifmz @DiazResdya
2021-02-20 13:21:21,1363116531425505280,"kalo libur nyari kerjaan, kalo weekdays mau libur"
2021-02-20 08:59:46,1363050701492871173,@abyannaufalf sudah jelas👍
2021-02-19 20:39:14,1362864343679819777,@abyannaufalf byar byur diguyur hujan hati-hati sama flood
2021-02-19 00:15:32,1362556388824604672,"@smartfrencare tolong reply dm min, thank you"
2021-02-17 05:41:01,1361913521408143363,"niat diri mencuri start, tapi mana bisa😘"
2021-02-15 23:53:09,1361463592919343108,Red Swan is now on another level since tonight
2021-02-15 15:45:59,1361340991156801536,"@zh23ca Ah yez, I can feel the breeze🥶"
