username,created_at,text
achadianrani,2021-03-24 16:00:17,"Jd inget ondel ondel ngejengkang kesandung speakernya sendiri gara2 sibuk dadah2 ke bocah, di tengah jalan lagi wkwkwkwk https://t.co/FzDufKoJRx"
achadianrani,2021-03-22 11:15:43,@FaniBharBul Aokwowkok
achadianrani,2021-03-21 10:37:14,Dighosting mba mba sales inhouse perumahan https://t.co/6WzlLR8lA8
achadianrani,2021-03-21 10:29:36,"Mba rapun coba cuci muka dulu atuh, trus atmnya drpd dijilat mending digesek di toko bangunan buat benerin plafon 🙂 https://t.co/BHt7HQ3KnJ"
achadianrani,2021-03-21 10:25:20,Psikopat 🙂 https://t.co/8HPMktmxqX
achadianrani,2021-03-21 05:50:06,Arogan bgt lu jadi manusia. Gantian batang leher lu yg diinjek pak mul juga modar lu https://t.co/oHfi21im8n
achadianrani,2021-03-15 19:19:48,@memefess Virgoun
achadianrani,2021-03-15 16:51:17,Terawati https://t.co/5JjEjPxu7F
achadianrani,2021-03-15 16:49:49,Aokwowkwok https://t.co/IEMVpfLAsy https://t.co/Nlj0Xkjmib
achadianrani,2021-03-15 06:50:46,@asepsahrudin7 Dibales kaga mau
achadianrani,2021-03-13 12:36:15,Hakekok bunda https://t.co/MyPY5yU7j1
achadianrani,2021-03-12 10:23:21,https://t.co/dBDTMVJTBy https://t.co/L540mUCwPx
achadianrani,2021-03-11 16:47:58,"Jadi inget sm komentar penghulu di kecamatan waktu gue sm suami lagi pranikah, ditanya ke tiap pasangan yg dateng nantinya mau punya anak brp dan cuma gue dan suami yg jawab mau punya anak 1, lalu respon dia ""Kalo mati gapunya lagi"" 🙂 https://t.co/ebxBQ630om"
achadianrani,2021-03-10 11:37:30,Udah paling bener tanya zodiak https://t.co/PSzKSJ4EYH
achadianrani,2021-03-08 16:08:56,The one and only : Princess Consuella Banana Hammock https://t.co/w2VHsb3zRz https://t.co/vnGOyQPcW6
achadianrani,2021-03-07 14:54:10,Anjjj ngakak ampe nangis 😂😂😂😂😂😂 https://t.co/NYbJvPDcYH
achadianrani,2021-03-07 11:59:06,"Henri kepribadiannya udah pasti jujur, to the point dan tau apa yg dimau. Sedangkan satoru hidupnya klise, omongannua banyakan fafifu. https://t.co/jp6reIMqqE"
achadianrani,2021-03-04 11:33:26,Laki w banget ini sih wkwkwk https://t.co/DuCIDBRT4m
achadianrani,2021-03-04 11:29:27,Mana aja as long itu perannya si peter dinklage LOL https://t.co/Tk5HhRaqbQ
achadianrani,2021-03-02 12:57:56,Relate bgt asw https://t.co/ioLdhDqabC
achadianrani,2021-02-26 11:30:15,Wkwkwkwk https://t.co/zmSeQHVJXz
achadianrani,2021-02-26 11:04:19,@asepsahrudin7 Ati ati aje
achadianrani,2021-02-26 11:04:00,Semoga w masih waraZZZ
achadianrani,2021-02-26 04:31:41,Gatau ah elah pen nangis aja rasanya sama kerjaan
achadianrani,2021-02-21 19:49:22,"Dahlah bagusan juga main app anon, kaya miskin gak ketauan yg penting riboootttt https://t.co/jMmo1vGZq8"
achadianrani,2021-02-20 03:37:55,Seru njir https://t.co/ilcfWOTt7z
achadianrani,2021-02-17 10:15:54,https://t.co/QFV4GlGxgC https://t.co/MKCvrlBGv6
achadianrani,2021-02-11 16:48:19,"Me while watching ""Battle of the Bastards"" episode of GOT : https://t.co/Z55gM2jZpr"
achadianrani,2021-02-09 01:53:15,Inilah knp gue gamau uninstall twitter ampe kapanpun 🙃 https://t.co/9FJnJkvuWA
achadianrani,2021-02-08 05:33:00,Wkwkwkwkwkwk receh dah https://t.co/tclS87VwPJ
achadianrani,2021-02-06 14:33:58,Tangan w kek tukang poekoel
achadianrani,2021-02-05 05:40:17,@asepsahrudin7 Gua gebuk u
achadianrani,2021-02-05 04:48:52,Tanya umi kalsum lah njir @asepsahrudin7
achadianrani,2021-02-05 04:47:41,No one : Literally no one : Suami gua : https://t.co/Vcg9idWLgm
achadianrani,2021-02-04 17:28:45,Ikut take me out aja bang kalo cuma mau ngejejerin 10 perempuan. https://t.co/JinD6t7k9X
achadianrani,2021-02-01 12:03:31,@NetflixID Yg pertama re-watch berkali-kali https://t.co/grepSiuudF
achadianrani,2021-01-29 04:35:57,https://t.co/efvV3giAaT https://t.co/8Pp1yIKqPz
achadianrani,2021-01-28 18:06:25,"Legal di eiger kerjaanya enak bgt komen komenin yutub orang, gak disuruh ngedraft addendum https://t.co/Hp1XbXsHbZ"
achadianrani,2021-01-27 01:00:50,"Ayu tingting, is dat u?!? https://t.co/MqxTytx0KK"
achadianrani,2021-01-26 11:47:03,Mba ARTnya bilek : https://t.co/ZEnvlkGp5j https://t.co/9ysGmu4xgb
achadianrani,2021-01-26 11:39:28,Gak abis thinking 🙂 https://t.co/kjE3BKlUuv
achadianrani,2021-01-26 06:24:46,"Me after watching ""The Red Wedding"" episode of GOT : https://t.co/N7iNzxPDqf"
achadianrani,2021-01-25 03:37:00,"""Bagaikan mutiara bola matamu (bola, bola matamu).."" Anjrit otak gue isinya lirik ini mulu 🙃"
achadianrani,2021-01-24 04:15:08,Coba aja dalam seminggu hari minggu ujannya tuh ada 5
achadianrani,2021-01-22 03:23:16,@asepsahrudin7 WEEDing https://t.co/oUOdPy2tXd
achadianrani,2021-01-21 21:28:16,"Terima kasih telah menjadi teman tangis dan tawa. Teman berbagi. Teman sehidup semati. Selamat ulang tahun pernikahan, ebeb @asepsahrudin7 💖🥰 https://t.co/YxqhCqhJs8"
achadianrani,2021-01-20 05:07:10,Napasi lu ribut mulu kek mandra
achadianrani,2021-01-20 04:57:26,"@tubirfess Ya berarti lu bukan jodohnya dia. Gausah nyalah-nyalahin orang lain, lagian udah kejadian juga."
achadianrani,2021-01-14 09:14:54,Mo pulang. Mo tedur. https://t.co/DQFQKyr8yW
achadianrani,2021-01-14 08:16:35,Cupu banget gue baru ngemut nikotin pouch 10 menit lgsg palanya melayang. Dah lah kapok 🙃
achadianrani,2021-01-12 14:42:51,WKWKWKWK GEBLE https://t.co/71UHuUmpcJ
achadianrani,2021-01-12 12:30:15,"Aku mau begini sama @asepsahrudin7 , ada atau gaada anak pengennya sampe tua kemana-mana berdua begini 🥺💖 https://t.co/XEXZchVRaD"
achadianrani,2021-01-05 17:00:55,Ilang mood buat nonton apapun kecuali family guy
achadianrani,2021-01-04 04:14:37,Kurirnya udah sopan karena sebelum ngekritik elu dia minta maaf duluan. Sedangkan lu sebagai customer doyannya disembah emang. https://t.co/YE2wqSM9Pg
achadianrani,2021-01-03 11:30:21,Emang orang2 tangerang ni pada tolol bgt. Kejang kejang bgt kayaknya kalo gak ngeceng. Mana ada yg gak pake masker. Mana akun kek gini sengaja bgt promosiin tempat nongkrong 🖕🏻 https://t.co/2Sq8RaGmuo
achadianrani,2020-12-31 15:16:58,"Udah nyenyak nyenyak bobok dr jam stgh 9, tbtb pak rt dateng nganterin ransum dari pak lurss. Okelah w bangun. Trs mencoba tidur lg tp bocah bocah di luar malah masang petasan, HADEH. https://t.co/8K4EsmgnR8"
achadianrani,2020-12-31 07:20:22,Dih panik wkwkwk https://t.co/UC6FbtyDaX
achadianrani,2020-12-31 04:10:59,d-dimakan orang.... 😰 https://t.co/pTHJuR74YM
achadianrani,2020-12-30 10:29:26,@UCxUP Yg namanya asep emang aneh aneh dah kelakuannya ampun @asepsahrudin7
achadianrani,2020-12-28 10:54:53,Kangen makan indomie sama seblak sama geprek 🙃
achadianrani,2020-12-28 05:13:53,Gua kalo jd mas baju garis lgsg pengen joged keknya wkwk https://t.co/XSv7mo7yT9
achadianrani,2020-12-28 05:01:40,@asepsahrudin7 huhuhu loveeee 💕
achadianrani,2020-12-26 12:28:33,@asepsahrudin7 https://t.co/Qj3JvXIIba
achadianrani,2020-12-26 11:28:37,"Kata nyokap gue anggaplah ini cobaan 1 tahun pernikahan. Mungkin bener sih. Selama ini gue selalu dimanja suami, skrg dikasih kesempatan buat ngerawat suami sekaligus ngerawat rumah sendirian. Walaupun sbnrnya gk pengen dgn dikasih penyakit kyk gini. Tp gpp lah ladang pahala 🥺"
achadianrani,2020-12-26 11:26:15,"Gue cuma bisa berdoa aja dan bersiap diri apapun hasilnya nanti. Sedikit kecewa sih, karena blm mampu ngejaga diri. Ini jg jd pelajaran buat kita berdua supaya lebih waspada dan lebih peduli sama kesehatan kita berdua."
achadianrani,2020-12-26 11:21:06,Lagi2 suster dan dokter igd disana ngebantu nenangin gue dan laki gue kalo ini termasuk gejala ringan saja. Walaupun ttp ada indikasi covid sih. Setidaknya gue gak terlalu panik karena laki gue udh diijinin pulang juga.
achadianrani,2020-12-26 11:19:18,"Setelah 5 jaman di igd, hasil lab udh keluar. Ternyata bagus hasilnya. Rontgen cuma baru bisa liat potonya aja dr si dokter igd yg kasih. Hardcopy sm penjelasan rontgennya nanti bisa diambil sekalian sm hasil swab. Hasilnya paru paru laki gue memang sedikit berkabut."
achadianrani,2020-12-26 11:14:58,Tapi si bengek hyungg ini sempet sempetnya poto selfie anjirrrr @asepsahrudin7 wkwkwkwkwk https://t.co/uGjS5n9O6c
achadianrani,2020-12-26 11:14:08,"Gue mikirin gmn kalo kita berdua positif, langkah apa yg harus gue lakuin selanjutnya. Gmn kalo laki gue doang yg positif? Kita sempet nangis sih berdua, gak di rumah gak di igd pokoknya air mata ngembeng terus ngebayangin hal terburuk yg mesti kita jalanin nanti 😭😭😭"
achadianrani,2020-12-26 11:11:55,"Jadi dokter igdnya menyarankan stlh cek lab dan rontgen, akan dikasih obat dulu dan lebih baik isoman dulu di rumah sambil nunggu hasil swabnya keluar di hari selasa. Bbrp jam sambil nunggu hasil lab dan rontgennya keluar gue byk bengong pokoknya mikirrrrr terusss 😔"
achadianrani,2020-12-26 11:09:33,"Kita berdua dah kelar diswab, trs balik lg ke igd. Laki gue diminta buat cek darah dan rontgen. Tdnya pengen lgsg rawat inap aja tp ktnya gabisa, mungkin karena kita berdua udh termasuk suspect dan gabisa lgsg masuk kamar isolasi jg karena penuh."
achadianrani,2020-12-26 11:06:42,"Di swab pcr sumpah gaenak bgt 😭 idung gue kek bedarah dikit gitu dan sensasinya ampe skrg masih berasa di idung. Ya Allah setelah ini gue bener2 pengen protektif bgt sama diri sendiri kalo keluar2, karena gamau lagi di swab 😭😭😭😭"
achadianrani,2020-12-26 11:05:15,"Setelah wawancara kelar, trnyata udh ada petugas swab dgn baju apdnya lengkap udh nungguin. Kt susternya gue gk perlu nunggu smp jam 2, lgsg swab saat itu jg. Setelah itu baru laki gue. Gue iya2 aja, antara panik campur linglung campur mikirin laki gue jg yg msh bengek di igd😭"
achadianrani,2020-12-26 11:02:17,"Btw gue demen bgt sm pelayanannya itu rs, suster susternya gercep bgt dan proaktif. Stlh laki gue dibawa ke igd, gue diminta 1 suster untuk wawancara sblm pengambilan tes swab. Oiya laki gue ini sblmnya juga ada kontak sm temen kerjanya yg positif."
achadianrani,2020-12-26 10:59:17,"Akhirnya kita lgsg ngacir ke rs permata ibu, sempet baca spanduknya ktnya harus appointment dlu h-1. Tp pede aja nanya ke receptionist akhirnya bisa hari itu jg di jam 2 siang. Pas lg ngurusin administrasi laki w ngekuh gakuat krn nyesek bgt dan dia dilariin ke igd 😔"
achadianrani,2020-12-26 10:56:51,"Klimaksnya pagi ini laki gue ngeluh nyesek di dada. Gue pun juga tp gak nyesek bgt sih, masih ada stamina buat ngurusin rumah. Akhirnya kita berdua mutusin buat swab pagi ini jg. Sempet ke rs insan permata sesuai rujukin dokter gue, trnyata dia ngelayanim swab senin-jumat doang."
achadianrani,2020-12-26 10:55:05,Rabu malemnya gue demam lumayan tinggi. Kamisnya izin kerja dan gue lgsg ke dokter juga ditemenin laki gue. Doi masih lemes dan rada sumeng tp masih kuat ngejagain gue. Alhamdulillah jumatnya gue udh gk demam cuma nyisa lemes doang. Laki gue makin drop.
achadianrani,2020-12-26 10:52:56,"Selasa dia ke dokter dan izin kerja krn menggigil parah. Gue masih gpp tuh, masih kerja semangat bgt ngelarin laporan akhir taun. Pas rabu laki w udh gk demam cuma batuk, flu, mual dan sakit tenggorokan doang. Nah rabu sorenya gue mulai ngerasa gaenak badan. Pdhl abis makan enak."
