username,created_at,text
adityosusanto_,2021-06-10 12:37:12,"@GadgetGaul Gw tipe A, sih."
adityosusanto_,2021-06-10 11:48:02,@bertanyarl Samsung Galaxy A71. https://t.co/scQWHRKzH3
adityosusanto_,2021-06-10 11:42:53,"@pentolkuriya Lekas pulih, ya! 💪"
adityosusanto_,2021-06-09 06:34:42,🤣🤣🤣 https://t.co/FYBuqY0nDx
adityosusanto_,2021-06-09 06:29:10,"@Andykom_ @ImamSupriadiBPK Itu Scotty, anjir. 😭"
adityosusanto_,2021-06-09 02:18:28,"🙋: Dok, saya abis divaksin kok agak pusing ya? 🧕: Tadi pagi udah sarapan? 🙋: Udah, Dok. 🧕: Tidur cukup? 🙋: Cukup banget, Dok. 🧕: Udah cek saldo di rekening? 🙋: ..... https://t.co/jSPanNpzVY"
adityosusanto_,2021-06-09 01:24:59,Udah 2 hari si Angelo belum pulang-pulang.
adityosusanto_,2021-06-08 07:53:03,"Halo, min @myXLCare, ini XL dari kemarin lagi ada gangguan kah? Sampe kirim SMS aja gak bisa. https://t.co/ATP1iHfFCs"
adityosusanto_,2021-06-07 07:33:34,Coba baca komen²nya deh 🤣 https://t.co/yDCSNtCUid
adityosusanto_,2021-06-06 10:29:45,"Tiap beli sandal gak pernah awet kalo di rumah, dipakein orang dan gak pernah kembali. 😴"
adityosusanto_,2021-06-05 11:26:23,Akun-akun julid kayak gitu bisa-bisanya dapet centang biru.
adityosusanto_,2021-06-05 02:47:11,"Eh, serius? Sempet ikut beberapa kali webinarnya Ko Jul, gak nyangka aja sih kalo ini bener. 😱 https://t.co/R1PfogSNdt"
adityosusanto_,2021-06-02 12:37:50,"Setengah tersinari cahaya, setengahnya lagi masih tertutup awan. https://t.co/0Lat8TPILt"
adityosusanto_,2021-06-02 12:27:49,"Ganti gak, ya? Galau anjir."
adityosusanto_,2021-06-01 03:44:13,@TirtoID Siappp!
adityosusanto_,2021-05-31 08:49:01,View malemnya juga romantis. https://t.co/CgCoRsr88L
adityosusanto_,2021-05-31 07:10:38,"See you next time, Bajo! 🏝️ https://t.co/ivBjBCYX58"
adityosusanto_,2021-05-31 06:57:18,Semoga bisa menginap di sini lagi suatu saat nanti 🏝️ https://t.co/4PuI3osZmc https://t.co/Lef2bfGuUx
adityosusanto_,2021-05-30 11:53:40,"Hari terakhir di Labuan Bajo, besok siang terbang ke Bali. Gak berasa, njir."
adityosusanto_,2021-05-30 11:52:43,Anggap aja lagi di Santorini 😅 https://t.co/s3O9TMfW3e
adityosusanto_,2021-05-30 11:48:47,"@uzkyxo Minta Royal Canin, ya. 😂"
adityosusanto_,2021-05-30 06:02:49,"Wae Rebo, Flores, NTT. https://t.co/hzBSgwdW5t"
adityosusanto_,2021-05-30 06:01:31,"@uzkyxo Ada orang kok di rumah yang urus mereka, amaaan. Paling sampe rumah mereka langsung kayak anak bocah ketemu papanya 😅"
adityosusanto_,2021-05-28 08:21:43,Foraminifera ini yang bikin pantainya jadi berwarna pink. https://t.co/K6wYKJcfXv
adityosusanto_,2021-05-28 00:07:07,Good morning! https://t.co/dKUMPxhFPV
adityosusanto_,2021-05-26 22:49:45,Masih terdengar suara burung-burung 🕊️ https://t.co/xrzTo0tHUq
adityosusanto_,2021-05-26 16:09:56,Lagi cuti. https://t.co/1q031WL5LB
adityosusanto_,2021-05-26 10:56:47,Day #1 https://t.co/uXW6PWRIO3
adityosusanto_,2021-05-25 23:45:47,Udah sampe bandara dan kacamata ketinggalaaaaan 😤
adityosusanto_,2021-05-23 08:17:32,"Khilaf, banyak banget yang dibeli. 👉👈"
adityosusanto_,2021-05-20 08:28:42,@gwfauzan Sekarang 5k aja udah ngos-ngosan. Pengen kayak dulu lagi bisa long run tiap minggu minimal 10k. Hiks.
adityosusanto_,2021-05-15 22:03:40,"Bay, emak lo nonton tuh, Bay! 🤣 https://t.co/kiL0hDns2d"
adityosusanto_,2021-05-15 07:23:00,@ndorokakung Logat seperti ini nih yang dikangenin tiap kali pulkam ke Jogja. 😂
adityosusanto_,2021-05-13 04:36:59,Abis Lebaran badan ikut lebaran.
adityosusanto_,2021-05-13 03:26:32,Sugeng riyadi 🙏
adityosusanto_,2021-05-12 09:34:08,"Udah lama juga, ya. #MyTwitterAnniversary https://t.co/utt0C5BcMJ"
adityosusanto_,2021-05-11 15:46:47,@gwfauzan Njir diblender? 😳
adityosusanto_,2021-05-08 06:38:31,"Tri @satrioimami &amp; Ilham Ocay, cocok. https://t.co/f19I77B3Ck"
adityosusanto_,2021-05-03 22:32:01,"Senin, Selasa, Rabu, Kamis, Jum'at, Sabtu, Minggu, sampai ke Senin lagi full undangan bukber. Ntaps. 👉👈"
adityosusanto_,2021-05-02 10:17:02,"3 bulan, 3x ganti earphone. Gak tau itu pada nyelip atau ketinggalan di mana."
adityosusanto_,2021-04-29 15:10:29,@detikcom Gobl*k!
adityosusanto_,2021-04-29 15:06:39,Wanjerrr keren lu boi. https://t.co/0Ib1zXcaX4
adityosusanto_,2021-04-29 14:55:06,@kumparan https://t.co/GMaJFiSCTx
adityosusanto_,2021-04-29 14:20:05,"Tolonglah, manusia macam kayak gini jangan dipanggil ""Ustaz"". https://t.co/QWdBgeFL2h"
adityosusanto_,2021-04-29 14:18:50,Koplaaak 🤣 https://t.co/LRSu8eaHTt
adityosusanto_,2021-04-29 14:10:39,"@detikcom Hahaha, mamam! 🤣"
adityosusanto_,2021-04-28 04:28:23,@deristaaurina Gusti mboten sare~
adityosusanto_,2021-04-28 04:24:37,Bekerja keraslah sampai kamu dituduh pesugihan babi ngepet. https://t.co/kPFKAMI2uP
adityosusanto_,2021-04-22 02:29:25,"Dalam 2 minggu, 1 teman dan 2 tetangga berpulang. Semoga kematian bisa menjadi pengingat. https://t.co/DjyWHpj2sK"
adityosusanto_,2021-04-20 08:43:28,"Beberapa hari lalu kita masih chatan ya cong @bumbleShe, tapi kemarin Allah panggil elo lebih dulu. Elo udah gak ngerasain sakit lagi, elo perempuan hebat. Terima kasih sudah memberikan pelajaran tentang arti berjuang. RIP ☹️ https://t.co/ZH8qBkGzJS"
adityosusanto_,2021-04-20 04:23:35,@Strategi_Bisnis Wagelaseeeh
adityosusanto_,2021-04-20 04:19:36,"@detikcom Selasa, 11:19. https://t.co/AE7HgriRJO"
adityosusanto_,2021-04-20 04:15:16,@gwfauzan Ner uga. 😂
adityosusanto_,2021-04-20 04:12:27,"@gwfauzan Kwetiau enak kayaknya, Jan."
adityosusanto_,2021-04-20 02:31:11,"Demen banget sama lagunya ""Last Child - Menyerah"", pas liat short movie nya."
adityosusanto_,2021-04-19 03:23:08,Strap jam pake putus segala.
adityosusanto_,2021-04-16 18:56:07,"Gokil sih ini short movie ""Aku dan Mesin Waktu"" ngena banget. https://t.co/Kvx1wtgxf2"
adityosusanto_,2021-04-14 04:28:43,Yang sering terjadi di bulan Ramadhan. https://t.co/1Okgd7OHC6
adityosusanto_,2021-04-12 10:54:59,"@tabitatentacles Sugeng tindak, Mbah. Semoga damai di sisi-Nya. 💐"
adityosusanto_,2021-04-12 09:06:40,Tiba-tiba ramadhan.
adityosusanto_,2021-04-09 11:58:10,@ClashofClans Makin susaaah aje 🤣
adityosusanto_,2021-04-08 11:44:23,@lovebyvanilla Kalo ini yang nge-chat mantan 😂 https://t.co/lKOEY6CeFT
adityosusanto_,2021-04-07 02:54:42,"Tiap abis dicuci, besoknya hujan. 😅"
adityosusanto_,2021-04-05 23:27:31,😱😱 https://t.co/cVXQYyWJYw
adityosusanto_,2021-04-05 23:23:36,@detikcom https://t.co/tiTjVYJSoQ
adityosusanto_,2021-04-03 10:00:41,Adem. https://t.co/85CJzg84ZB
adityosusanto_,2021-04-02 14:43:33,Lagi di Purworejo dan hujan.
adityosusanto_,2021-04-01 05:42:13,"Gw sekalinya ditanyain sama emaknya mantan, yang ditanya ""kapan nikah?"" mulu. Padahal waktu itu pacaran baru sebulan 🤣 https://t.co/iUE2JdPt1n"
adityosusanto_,2021-04-01 03:50:25,"@evitanandaa @sadness_loop @Invisibleivn Iya, di A71 belum ada. :) https://t.co/v236uWIM5X"
adityosusanto_,2021-03-30 15:07:41,@detikcom https://t.co/aVIuaeCxhZ
adityosusanto_,2021-03-30 11:34:12,"Pripun niki, Gus @na_dirs? 😭 https://t.co/Yp7UpbmNNd"
adityosusanto_,2021-03-30 04:22:15,😂😂😂😂😂😂😂😂😂 https://t.co/WeUJE9R26O
adityosusanto_,2021-03-30 01:27:48,"@detikcom Stop main MiChat, bray @satrioimami. Gak kapok-kapok lo. 😂"
