created_at,id_text,text
2021-03-18 09:52:05,1372485955223883778,@BWFScore STOP ALL ENGLAND 2021!!!
2021-03-18 09:46:13,1372484475775422464,"@BadmintonTalk Min gak usah update aja min, masih sakit hati 😌"
2021-03-18 09:41:45,1372483352754806788,"@RudyRoedyanto Yok withdraw semua yok, bubar yok bubar 🤣"
2021-03-18 04:41:30,1372407792665956355,RT @stephaniezen: Mari kita bahas masalah kontingen INA yg DIPAKSA mundur dr All England 2021 ini. Biar pinter &amp; tau letak permasalahannya…
2021-03-18 04:38:22,1372407002530410502,"@_ameliawidy Kita yang jadi penonton aja sedih banget, gimana atletnya coba 😭😭😭😭😭"
2021-03-18 04:36:26,1372406518507655175,"RT @BadmintonTalk: Analisis Kasus Tim Indonesia di All England 2021 - A Thread

#YAE2021"
2021-03-18 04:01:44,1372397786872774656,RT @sistiiiw: Set up                                   Punchline https://t.co/SXpI9QF4tt
2021-03-18 03:59:46,1372397291617669120,"@kompascom Pak Kemenpora tolonglah seenggaknya berusaha dulu, jangan langsung pasrah gitu aja.

Ini sebenarnya aku… https://t.co/wcbuwavRsd"
2021-03-18 03:54:44,1372396024585543682,RT @CNNIndonesia: Dubes RI Akan Perjuangkan Nasib Tim Indonesia di All England https://t.co/uF1tkAixAD
2021-03-18 01:02:51,1372352767944134658,"@bwfmedia #BWFMustBeResponsible
#SaveINAAthletes
#SaveBadminton"
2021-03-18 00:07:59,1372338959196418050,"@K_DramaIndo Nyesek banget min, udah nunggu lama malah kek gini 😭😭😭😭"
2021-03-17 23:54:02,1372335449365082112,"Mantaapp ayo netijen indo lanjutkan!!!
#BWFMustBeResponsible
#SaveINAAthletes
#SaveBadminton https://t.co/bFxz33ndja"
2021-03-17 23:51:48,1372334885696798720,"@BadmintonTalk Event segede all england bisa2nya sampe kejadian kek gini, thailand lho kemarin lancar2 aja, gak ada drama 😌"
2021-03-17 23:49:29,1372334304886366211,@BadmintonTalk Dahlah bubaarr bubaaar 😭
2021-03-17 23:29:09,1372329188359774213,@INABadminton Siap2 aja akun bwf diserang netizen indo 🤭🙃
2021-03-17 23:28:51,1372329110958084099,"@INABadminton Yang cuma nonton aja ikut kesel lho, gimana atletnya 😭😭😭"
