username,created_at,text
afidazkyy,2021-03-27 04:59:40,@MFaizGhifari Wah lebih bagus lagii 😆
afidazkyy,2021-03-26 22:52:52,"@MFaizGhifari Kalau ditanya mana yg menarik, ya semuanya menarik ini, 😁 Jadiin 4 chapter keren sih pastii"
afidazkyy,2021-03-26 12:21:12,@aminarizqa Alfa deket rumah ku kemarin kemarin ada i mbaaa Apa jangan jangan udah ngga produksi lagi
afidazkyy,2021-03-26 09:44:02,Lemonilo pedas korea dicabein 😗 https://t.co/XcDrzYIiIc
afidazkyy,2021-03-25 16:56:27,"Buandel banget Udah tau ngga cocok minum kopi, masih aja ngeyel dengan alibi biar betah melek Kapok wes ngelu nggliyeng ngga karuan"
afidazkyy,2021-03-22 16:05:46,"Studi fiqh, pas presentasi berasa disidang sekelas, diawasi hakim ust muballigh awkwk https://t.co/w9GwDRghqn"
afidazkyy,2021-03-21 22:38:57,Tertampar 1000kali https://t.co/ffqQuMInXw
afidazkyy,2021-03-21 13:51:32,@adilatiwi Loh padahal aku berniat nampar diriku sendiri weee 😂😂
afidazkyy,2021-03-21 09:51:37,"@mlgcollegefess Sekali masak Tapi banyu e langsung diakehi Lek wes mendidih, banyu gawe kuah e disisihno, baru mie ne dilenokno panci"
afidazkyy,2021-03-20 14:39:31,Dikurangi santai santai nyaa
afidazkyy,2021-03-18 14:09:30,"@DietSantuy Yang jelas dia ngga jual sayur, soalnya pasar nya menurun drastis gara gara menghambat penurunan berat badan :')"
afidazkyy,2021-03-18 12:11:34,"Kok aku nangis liat upin ipin yang episode ""kain merah ipin"" Nangisnya ipin terngiang ngiang teros 😭"
afidazkyy,2021-03-16 09:27:18,@panjipdna Minggu ngarep paliing
afidazkyy,2021-03-16 08:34:08,@panjipdna Sempro a?
afidazkyy,2021-03-13 15:13:31,"Motivasi untuk menyelesaikan garapan : ""LEK SESOK MARI, OLEH MAM LEMONILO PEDAS KOREA!"" auto ngebut buanter 😆"
afidazkyy,2021-03-08 15:15:11,Tolooong duetnya Rimar-Anggi pecah paraaaah 😭
afidazkyy,2021-03-07 14:52:44,@sukaskincarean Dp whatsapp ku sekarang ini 😂 Dapet dr pinterest https://t.co/ZWVZTXvHhF
afidazkyy,2021-03-07 11:25:17,"Sing dislimurno si Zaki, Sing mrebes mili aku 😭"
afidazkyy,2021-03-07 00:54:44,Jajanan bermicin ini sungguh membuat sulit berhenti nyemil yah
afidazkyy,2021-03-06 07:40:41,"Akhirnya merasakan kembali sensasi ngantuk luar biasa ketika di tempat umum, wkwk. Kalau dulu justru sering. Malem kurang tidur, besoknya mulai aktifitas pagi pagi pol. Bahkan ketiduran di angkot kayak udah jadi rutinitas. Capek, tapi seru."
afidazkyy,2021-03-06 05:21:40,@panjipdna Aduh aku kebalap
afidazkyy,2021-03-06 00:25:42,Isuk isuk wes olahraga ngudek jenang 😂
afidazkyy,2021-03-05 10:32:03,Aduh ngga nolak ciloknya pak gitoo 😭 Susah berhenti nya 😭
afidazkyy,2021-03-05 07:23:31,Healaa ruepot 🤣
afidazkyy,2021-03-05 05:59:44,"Suwun, Ners. Aku tertapuk rasane 🙂 Yok iso yooook https://t.co/wrlQyhkWfO"
afidazkyy,2021-03-04 11:55:42,@prmtslsbila Pamela reif ya engap pol 😂 Sg lumayan masuk akal emi wong
afidazkyy,2021-03-04 06:57:33,@ElizabethSihom2 @asaibrahim Terimakasii ☺️ Semua orang jg hebat dgn caranya masing2 kok 😁
afidazkyy,2021-03-03 17:01:25,"@asaibrahim Ya buka file2 referensi di wps office, Sambil buka document juga buat ngetik skripsinya. Sekalian translate ke Arab, soalnya skripsi saya bhs Arab. Ribet sih, tapi alhamdulillah bisanya begini. Soalnya laptop udah dr semester lalu rusak, dan belum ada rejeki buat beli lagi hehe."
afidazkyy,2021-03-03 16:27:03,"@asaibrahim Dok, aku lagi ngerjain skripsi di HP, hehe."
afidazkyy,2021-03-03 01:52:49,Favoritooo 😍 https://t.co/ApFhobDq1A
afidazkyy,2021-03-03 00:30:39,"Udah paling bener ikutin ahli gizi, nutrisionist, yg bertahun2 berkecimpung di dunia pernutrisian. Pernah dulu, diet dgn cut kalori buanyak &amp; nguawur, ujung2nya malah banyak efek negatifnya. Bisa jg nonton @DietSantuy di yutub. Penjelasannya asik pol buat kaum awam kaya akuu https://t.co/SCwOVy5TaT"
afidazkyy,2021-03-02 10:28:04,"@GiaPratamaMD Terimakasih, dokter Gia. Aku yang nyaris mau nyerah, liat tweet ini jadi berasa dapet suntikan semangat. Nangis."
afidazkyy,2021-03-01 16:21:24,Pengen punya laptop sendiri :)
afidazkyy,2021-02-28 20:53:22,"Sahur pake lemonilo pedes korea Untung gapake nambah cabe, aslinya udah pedes pol, wkwk"
afidazkyy,2021-02-28 20:49:27,@alfinurhidayah_ Senasib deh wkk
afidazkyy,2021-02-28 02:18:22,@frhafbby Waa wes kurang tepak
afidazkyy,2021-02-28 02:08:36,"@frhafbby Gaono sg ngeterno aku biii Dan gaiso sepedaan dewe, melas 😂"
afidazkyy,2021-02-28 01:39:29,@tanpanamal Ya badrotiim
afidazkyy,2021-02-28 01:39:06,@frhafbby Engga bii D omah aku
afidazkyy,2021-02-27 18:05:01,"Nuturi awak e dewe bi laik : ""Sambat gapopo. Manusiawi. Pokok ndungone yo ojok sampek kendor. Sambat tok tapi lali nang pengeran e, tambah ngga nemu dalane tah."" Yo sambat, yo berusaha, yo ndungo. Yoyoyoooooo 😗"
afidazkyy,2021-02-27 17:02:26,@IbnuAnnas22 Yooook gas pol
afidazkyy,2021-02-27 16:41:53,Ayo fiiiiidd gaoleh malesss
