username,created_at,text
alfrisadivaw,2021-05-23 13:12:20,@alfahrezi23 @ricoFRustam kl omen mah naghpacking atuh
alfrisadivaw,2021-05-23 13:09:53,@alfahrezi23 @ricoFRustam idola tinggiin lg mzz
alfrisadivaw,2021-05-23 12:35:33,@alfahrezi23 @ricoFRustam skillnya fake emg
alfrisadivaw,2021-05-13 08:34:21,@alfahrezi23 ga.
alfrisadivaw,2021-05-01 16:01:22,@_ayylmfao mantap idola🙏🏻
alfrisadivaw,2021-01-07 17:36:32,@VigiYotus @nadhepp
alfrisadivaw,2020-12-14 17:16:54,@marisilahkann gws dinnnnn
alfrisadivaw,2020-12-04 02:59:35,bdg psbb deui?
alfrisadivaw,2020-11-21 09:09:17,@intinilmiri @alfahrezi23
alfrisadivaw,2020-11-20 02:40:09,@nadhepp sikecil mulai galau ya bund
alfrisadivaw,2020-11-17 03:46:11,@alfahrezi23 lu mimpi ngews di awan?
alfrisadivaw,2020-11-14 23:05:44,@prastiobs jd yg ini?
alfrisadivaw,2020-11-14 13:15:11,@prastiobs ya maap atuh
alfrisadivaw,2020-11-12 09:15:33,@raishaaprn @reactjslord @ricoFRustam year end party
alfrisadivaw,2020-11-12 08:21:21,@alfahrezi23 @ricoFRustam @raishaaprn yuk jinx
alfrisadivaw,2020-11-12 08:21:15,@reactjslord @ricoFRustam @raishaaprn yuk ki
alfrisadivaw,2020-11-12 05:28:40,@ricoFRustam @raishaaprn yok ah lgsg
alfrisadivaw,2020-11-11 21:26:15,@ricoFRustam @raishaaprn yuk akhir tahun ke kobe co
alfrisadivaw,2020-11-11 15:57:28,@raishaaprn racun trosss
alfrisadivaw,2020-11-11 15:15:47,dan bandung
alfrisadivaw,2020-11-05 07:20:49,@prastiobs pelajaran:)
alfrisadivaw,2020-11-04 06:08:17,@reactjslord @alfahrezi23 bang al skrg pokus di dunia model euy
alfrisadivaw,2020-11-01 14:38:22,@raishaaprn menarique
alfrisadivaw,2020-11-01 12:00:33,@nadhepp ditunggu
alfrisadivaw,2020-11-01 10:13:32,kgn jg y sm bdg-jgj
