username,created_at,text
aliencuk,2020-12-29 13:25:23,Terimakasih indihome #thnbaruathome https://t.co/F0qUPmlwfo
aliencuk,2020-12-29 13:24:49,@IndiHome Indihome baik #thnbaruathome
aliencuk,2020-12-26 13:31:12,TWITER TAI
aliencuk,2020-12-26 13:01:49,Indihome hebat #thnbaruathome https://t.co/rJhTzKCSXm
aliencuk,2020-12-26 12:58:28,@IndiHome Indihome baik #thnbaruathome
aliencuk,2020-12-26 05:31:33,Indihome baik #thnbaruathome https://t.co/qNihDwppyG
aliencuk,2020-12-26 05:29:56,@IndiHome Yuk aktifkan minipack indihome #thnbaruathome
aliencuk,2020-12-24 12:59:35,Indihome keren #thnbaruathome https://t.co/EpobFH7Z2I
aliencuk,2020-12-24 12:58:39,@IndiHome Indihome baik #thnbaruathome
aliencuk,2020-12-24 11:15:26,Beneran dong ternyata wuaaahhh mantep emang #EnzyHilman
aliencuk,2020-12-23 12:44:13,Indihome hebat #thnbaruathome https://t.co/woqJxN7VIp
aliencuk,2020-12-23 12:42:34,@IndiHome Wah makin betah aja dirumah #thnbaruathome
aliencuk,2020-12-23 08:28:52,Terimakasih indihome #thnbaruathome https://t.co/gd8WxLT56K
aliencuk,2020-12-23 08:27:07,@IndiHome Suka banget pakai indihome dirumah #thnbaruathome
aliencuk,2020-12-23 04:36:40,Indihome baik #thnbaruathome https://t.co/oHV2N1cicf
aliencuk,2020-12-23 04:33:39,@IndiHome Terimakasih indihome #thnbaruathome
aliencuk,2020-12-22 13:20:21,@IndiHome Wah ada diskon dari indihome #thnbaruathome
aliencuk,2020-12-02 12:04:50,@wulandita_ @collegemenfess PAKE ALM AJA
aliencuk,2020-12-02 12:03:01,JAL DISEKAREP WAE
aliencuk,2020-12-02 05:50:09,@wulandita_ UJI KOPETENSI
aliencuk,2020-12-02 03:09:25,@dnnnaila TAK JEMPUT DEH
aliencuk,2020-12-02 01:28:55,@dnnnaila SINI MAIN KERUMAH
aliencuk,2020-12-02 01:26:59,@dnnnaila @rurulistyana BERATI DIDOLE OJO NANG GUNUNG
aliencuk,2020-12-02 01:24:29,@dnnnaila @rurulistyana NANG ANDONG MONO ONO WARUNGE
aliencuk,2020-12-02 01:23:47,@julianamaulida8 KIRAIN NAWARIN
aliencuk,2020-12-01 14:11:08,"@wulandita_ APANYA,SINI CERITA"
aliencuk,2020-12-01 14:05:13,PANCEN KENYATAANE JANCUK TENAN
aliencuk,2020-12-01 14:01:13,@winddyav AKU RELA MENJADI BOODS
