username,created_at,text
alitapuspa_,2021-06-08 03:12:24,@rclnatasyaa anjir bener lagi wkwk
alitapuspa_,2021-06-08 03:08:36,"iyaweh, sekarang cuma liat beberapa di ig soalnya follow followan https://t.co/h1404Q6NCl"
alitapuspa_,2021-06-08 03:07:19,itu pake seifuku SnM emang tadi perform SnM? kesel wehh ketinggalann 😭
alitapuspa_,2021-06-07 13:18:37,"mau nonton RH tapi mallnya aga jauh, mana mau uas 😭"
alitapuspa_,2021-06-07 13:02:05,@9GAG tetangga masa gitu
alitapuspa_,2021-06-03 10:22:03,@kegblgnunfaedh emang uda paling bener yang dibilang richmond valentine
alitapuspa_,2021-05-30 06:01:18,"✨ FKM UNAIR Proudly Present⁣⁣ ✨ Public Health International Competition 2021⁣⁣ ⁣⁣Organize the following competitions: 📌 PAPER⁣⁣ 📌 ESSAY 📌 INFOGRAPHIC For further information, follow us on @phicunair #PHIC2021 #BEMFKMUNAIR2021 https://t.co/Dxe1rHGuF4"
alitapuspa_,2021-05-29 11:16:54,@Celine_JKT48 @gbiyel member baru yaa
alitapuspa_,2021-05-29 11:15:52,ini siapa tadi yang bilang tunas di balik juragannn 😭 https://t.co/cVcnvJB9uQ
alitapuspa_,2021-05-29 08:06:00,alias ditunggu fotonya ciii @Celine_JKT48
alitapuspa_,2021-05-29 08:05:17,ampun ci telin rambutnya lucu batsss
alitapuspa_,2021-05-27 06:18:23,@gabyJKT48 pasti di rumahnya gaada gayung love
alitapuspa_,2021-05-26 13:45:07,gue uda ngilang berapa lama sih sampe gatau kalo wotanet suspend 😢
alitapuspa_,2021-05-26 03:16:38,eh ini tanggal merah? yaelah kaga ada bedanya emang gaada kelas hari rabu
alitapuspa_,2021-05-24 13:14:50,"@kinalkinal kalo misal dokter bilangnya alergi makanan coba deh teh nulis apa aja yang dimakan dalam sehari, nah ntar dari situ bisa tau pas makan apa aja alerginya muncul"
alitapuspa_,2021-05-24 13:09:42,AAMIIN YA ALLAH https://t.co/gkhcxvjlVm
alitapuspa_,2021-05-24 13:06:50,@jeketimenfess mantab lah sikap ruku' nya sempurna wkwk
alitapuspa_,2021-05-14 09:21:52,@ifttttttttttt @FOODFESS2 ayo liburan besok ke sini aku anterin beli lontong kupan wkwk
alitapuspa_,2021-05-05 15:16:31,@Celine_JKT48 akhirnya punya tiktok juga ka ci celineeee
alitapuspa_,2021-04-28 07:54:07,ya kali ga daftar ML Competition @.valkyrie48 https://t.co/9OQffwy6h5
alitapuspa_,2021-04-28 07:53:32,yuk yang main #MobileLegends sama yang suka #cycling daftarrr https://t.co/22JSeLl3yI
alitapuspa_,2021-04-17 09:15:55,@Wotanet skip dulu bulan ini
alitapuspa_,2021-04-17 09:15:37,"lagi skip bgt weh, masa disuruh beli bawang daun malah yang kebeli bawang bombay"
alitapuspa_,2021-04-17 08:16:26,@desygenoveva_ A
alitapuspa_,2021-04-17 05:24:10,@desygenoveva_ A
alitapuspa_,2021-04-14 05:28:09,@Wotanet lah ngapa kapal kaporit aku masuk base ini wkwk
