username,created_at,text
almostbeyours,2021-06-07 15:27:47,"Tipe temen kalo bayar utang: (udah lama utang, baru inget buat bayar) https://t.co/ppMv0H0F2D"
almostbeyours,2021-06-07 07:14:17,"love bgttt sm temen2ku, meskipun cuma itu2 aja tp care bgt mo nangis🥺😭"
almostbeyours,2021-06-07 07:12:39,"""kan kalian baik2 aja kok tbtb gini? ""gaperna keliatan galau padahal ""kok udh gaperna upload foto berdua? ""kok ga cerita kalo udh putus? ""yakin ga butuh temen buat cerita? ""jadi dari kemaren2 galau sendirian?!?? ""gmn udah baik2 aja sekarang?"
almostbeyours,2021-06-05 10:33:38,untuk apa masih saja keras paksa apa yang sudah mati dari lama?
almostbeyours,2021-06-02 22:57:27,Dapet sunrise sepulang dari pasar it such a good thing to start my fuckin day☀️
almostbeyours,2021-05-12 17:26:38,"pala pusing bgt kirain migrain, ternyata emg stress banyak pikiran🤧 https://t.co/PldfTK3uAv"
almostbeyours,2021-05-12 14:22:34,balikin mood level nonton youtube virtual tour 360° alias kapan bisa beneran:(
almostbeyours,2021-05-09 14:40:43,@masgenkkk lirik lagu😤
almostbeyours,2021-05-09 07:54:58,we'll be fine today
almostbeyours,2021-04-19 17:07:00,overthinking sampe mau pecahhh🤯
almostbeyours,2021-04-11 22:26:53,"Akhirnya terwakilkan, dari aku yg sejauh ini memilih childfree🥺 https://t.co/AUmMTx4AK8"
almostbeyours,2021-03-30 12:17:27,@RacunBelanja Dalam sejarah dapet 700 koin😭👍🏻 https://t.co/0lJhGwFEZl
almostbeyours,2021-03-26 13:28:26,"broke, deep, down"
almostbeyours,2021-03-21 04:42:04,"@MoelaMoela25 @PamerSale_ Huaaa baru tau, kira2 kapan bisa dipake login lagi ya kak😭"
almostbeyours,2021-03-14 13:12:08,it's okay not to be okay
almostbeyours,2021-03-07 07:40:33,"Manusia bisa merencanakan, namun Tuhan adalah sebaik baiknya perencana☺️"
almostbeyours,2021-03-04 16:37:57,@ssoftboyyy biasalahhh~
almostbeyours,2021-03-04 04:36:57,"After all this year, how can i?"
almostbeyours,2021-03-03 17:49:38,khilaf bgt astaga🥲 https://t.co/l25YSXHfBY
almostbeyours,2021-02-27 16:47:49,"im so tired, i canttt😣"
almostbeyours,2021-02-09 18:14:01,"jelas2 udh dapet sms kalo failed, kok 20menit kemudian tbtb transaksi berhasil dan 2x pula sumpah ngeselin bgt telkomsel ini yaallahhh😡😡😡"
almostbeyours,2021-02-09 18:09:52,parahhh telkomsel malem2 bikin emosi😡🤯 cc @Telkomsel https://t.co/aXZ91e318Q
almostbeyours,2021-02-06 01:37:23,"@GAME_REFF tanaman baru nih, sirbal by notif ya!🥰🥰 https://t.co/suiuk5TxUw"
almostbeyours,2021-02-06 01:37:15,"@GAME_REFF tanaman baru nih, sirbal by notif ya!🥰🥰 https://t.co/suiuk5TxUw"
almostbeyours,2021-01-27 15:55:14,chaos
almostbeyours,2021-01-26 15:21:29,@tukangnyambat @JUALAN_BASE bisa dm kak?
almostbeyours,2021-01-26 15:15:42,@tukangnyambat @JUALAN_BASE dom mana kak?
almostbeyours,2021-01-26 12:55:51,lagi2 wib tokped kemarin😖 https://t.co/eJgbnIa1n0
almostbeyours,2021-01-09 13:59:49,totally sad
almostbeyours,2020-12-25 15:55:14,"berpaling ke tokped, grgr wib alias waktu indonesia bokek🙂 https://t.co/Vff3BpvTgz"
almostbeyours,2020-12-11 17:57:13,"12.12 dalam sejam cuma bisa nanem doang, shopee ngadi2 emg😤 https://t.co/PpNKSESaar"
almostbeyours,2020-11-24 15:05:44,@myvjas karena tempat beli kado kaoskaki lucu cuma di instagram @akilashop
almostbeyours,2020-11-24 14:54:39,hmm knp daridulu org2 sering tanya rekomendasi kado buat pacarnya ke aku ya🤔
almostbeyours,2020-11-23 04:03:32,"@Lovedessert24 @BERBURUSALE_ udah aku delete, makasiii"
almostbeyours,2020-11-23 03:47:19,@discountfess dapettt
almostbeyours,2020-11-22 02:38:21,@Esiapaasih @sbyfess amannn kan emg komedo e kecabut😭
almostbeyours,2020-11-12 10:56:18,@sbyfess rumah plastik ngagel
almostbeyours,2020-11-09 03:31:26,"@discountfess samaa nder, aku email cs jg ga membantu samsek jawabannya😥 https://t.co/u86xZYkj6a"
almostbeyours,2020-10-30 10:02:20,@liquidalveolar @sbyfess sapatau bisa di nego sis
almostbeyours,2020-10-30 09:54:09,"@sbyfess bisa dm, melayani les private jg nihh @liquidalveolar"
almostbeyours,2020-10-20 14:45:07,"@sbyfess aku jual nder, dm aja😗"
almostbeyours,2020-10-14 15:48:33,@nndeary @discountfess di sby susah bgt ga sih grgr kasirnya jutek2 dan ngegas semua😭
almostbeyours,2020-10-13 16:00:55,@Aririi__ @discountfess makasi infonya kak!!!
almostbeyours,2020-10-13 15:56:00,@biewhy @Aririi__ @discountfess samasama kakk
almostbeyours,2020-10-13 15:55:39,@Aririi__ @shooky903 @discountfess iyaaa kak makasi yaa tipsnya besok bakalan aku coba🥺
