username,created_at,text
ariantipp,2014-01-05 02:52:57,@Telkomsel MOHON BANTUANNYA-_-kenapa jaringan saya GSM bukan EDGE?tlg dibls.
ariantipp,2014-01-05 02:31:47,Labil
ariantipp,2014-01-05 02:31:25,"@simPATI kok bbm saya pending,terus twitter gak bisa, apa ada masalah?mohon infonya.thx"
ariantipp,2014-01-05 02:30:15,"@Telkomsel kok bbm saya pending,terus twitter gak bisa, apa ada masalah?mohon infonya.thx"
ariantipp,2013-11-30 03:22:07,Testt☺
ariantipp,2013-11-20 23:13:35,test☀
ariantipp,2013-11-20 10:34:24,astga-_-
ariantipp,2013-11-20 10:31:39,Testttt
ariantipp,2013-11-20 06:52:59,"Rt""@dwitasaridwita: Nggak ngerti lagi. Emang mungkin aku yang gak pernah penting di mata kamu, ya. :')"""
ariantipp,2013-11-19 23:49:50,"Rt""@dwitasaridwita: waktu kamu pergi, yang jelas aku gak perlu bilang gimana perasaanku. Yang pasti... aku remuk."""
ariantipp,2013-11-19 23:49:07,"Rt""@TheLifeDiaries: I'm sorry I didn't tell you I love you when I knew I did."""
ariantipp,2013-11-19 23:41:06,"Rt""@TheLifeDiaries: Head up, stay strong. Fake a smile, move on."""
ariantipp,2013-11-19 23:38:47,Testtt
ariantipp,2013-11-04 07:23:20,Tst
ariantipp,2013-11-04 02:28:25,"Rt""@SerbaSerbicoid: ★Tak perlu memikirkan dia yang seharusnya sudah kamu tinggalkan. Masih ada mereka yang lebih baik di depan sana.★"""
ariantipp,2013-11-04 02:27:40,"Rt""@SerbaSerbicoid: ♥Pria sejati itu memberi kepastian. Pria korban friendzone itu menunggu kepastian.♥"""
ariantipp,2013-11-04 02:24:15,"Rt""@SerbaSerbicoid: ★Terkadang, kehilangan mengajarkan arti sebuah kehadiran.★"""
ariantipp,2013-11-04 02:24:03,"RT""@SerbaSerbicoid: ♥Terkadang, seseorang tetap mencintai meski telah tersakiti karena terlanjur sayang.♥"""
ariantipp,2013-11-04 02:23:47,"Rt""@SerbaSerbicoid: ★Kegagalan mengajarkan arti kesuksesan sesunggunya. Kehilangan mengajarkan arti kebersamaan sesungguhnya.★"""
ariantipp,2013-11-04 02:21:03,"Rt""@NasehatSuper: Hanya karena melepaskan, bukan berarti tak menginginkan. ~ @.DedoDpassdpe"""
ariantipp,2013-11-04 02:19:39,"Rt""@NasehatSuper: Jangan diambil pusing, terkadang memang kita datang hanya untuk ditinggalkan. - @.soyidiyos"""
ariantipp,2013-11-04 02:18:56,"Rt""@NasehatSuper: Kamu buka yang TERBAIK baginya. Makanya dia putusin kamu. #SimpleTapiMenyakitkan ~ @Dewa_Klasik"""
ariantipp,2013-11-04 01:29:34,Hm:&amp;
ariantipp,2013-11-03 23:41:28,:&amp;
ariantipp,2013-11-03 23:10:48,Pagiiiiii
ariantipp,2013-11-03 01:43:21,Pagiiiiii
ariantipp,2013-11-02 11:40:29,yaallah kurang apo lah aku ni:( beruntunglah dapet yang cak aku ni dak terlalu banyak kendak:')
ariantipp,2013-11-02 11:39:21,"Emang nian aku ni dak pacak apoapo:') dak nyalahkenyo kalian tu nak marahmarah:"".tapi ado bates kuraso idak nak beteros,saket akuni&lt;/3"
ariantipp,2013-11-02 11:38:09,"Kurang apo sih aku ni, lah berusaha tapi tetep bae selalu dianggep katek☹"
ariantipp,2013-11-02 11:37:36,"Aku selalu barusaha buat ga bentak kalian tapi apa kalian yang malah buat aku kayak gini,capek tau:')"
ariantipp,2013-11-02 11:37:23,"Selalu sabar aku sama kalian, tolongla hargain."
ariantipp,2013-11-02 11:37:04,sabarsabarsabarrrrrr.
ariantipp,2013-11-02 07:44:35,Siangsiang☀
ariantipp,2013-11-01 16:55:18,Kamu nanti nyesel deh udah ninggalin orang yang bener-bener tulus sayang sama kamu☺
ariantipp,2013-11-01 16:53:36,iyaya bener:) ngapain sayang sama orang yang jelas-jelas ga sayang sama kita:')
ariantipp,2013-11-01 16:53:05,waktu itu banyak hal yang kamu bilang sama aku tapi ga ada satu pun yang kamu jalani~
ariantipp,2013-11-01 16:51:32,Sakitttt banget pas kamu perlahan mulai menjauh sampai akhirnya kamu beneran pergi&lt;/3
ariantipp,2013-11-01 16:50:22,biasanya jam-jam segini tu msh bbman sama kamu:')
ariantipp,2013-11-01 16:49:23,tuhan tolong aku ingin dirinya rindu padanya memikirkannya:')
ariantipp,2013-10-30 01:00:03,aku pergi karena aku merasa kamu semakin menjauh:')
ariantipp,2013-10-30 00:58:31,saat aku milih pergi kamu juga ga peduli kan?
ariantipp,2013-10-30 00:57:54,"bukannya kamu yang mulai yang buat aku kayak gini, mangkanya aku milih pegi."
ariantipp,2013-10-30 00:09:05,.....
ariantipp,2013-05-13 03:40:38,Testttt
ariantipp,2013-05-10 06:49:34,Sahabat bertopeng
ariantipp,2013-05-10 06:49:11,Siangg
ariantipp,2013-05-10 06:48:54,Test
ariantipp,2013-05-09 09:10:34,"Kamu mah emang gak pernah ngerti :' boroboro ngerti peka juga kagak :"""
ariantipp,2013-05-09 09:07:53,"Jangan gitulah :') aku juga manusia yang mesti dingertiin juga :' gak cuma kamu yang mau dingertiin, aku juga mau tau."
ariantipp,2013-05-09 09:06:53,"Kamu emang dari dulu gak ada perasaan :' Mau nya kamu terus yang selalu bahagia, gak pernah mikirin orang."
ariantipp,2013-05-08 04:48:55,Berharap kau kembali itu rasanya gak mungkin deh &lt;/3
ariantipp,2013-04-29 10:40:45,Kelakuan kamu yang aku gak suka.
ariantipp,2013-04-28 03:00:47,Lagi sakit pengen disayang
ariantipp,2013-04-27 00:44:34,Jangan seenaknya ngerendahin gue! Gak nyadar lo? Lo itu lebih rendah dr orang yg lo hina!
ariantipp,2013-04-25 05:36:58,Orang yang jelas jelas gak sayang sama kamu eh malah kamu perhatiin.
ariantipp,2013-04-25 05:35:41,Orang yang jelas jelas sayang tapi diabaikan!
ariantipp,2013-04-22 13:37:04,Ehh diam diam aku merhatiin kamu loh:') tapi kamunya sama sekali gak peduli.
ariantipp,2013-04-22 13:35:15,"Ternyata kamu masih suka sama mantan kamu, tuh buktinya kamu ngeRT twitan dia yg udah lama~"
ariantipp,2013-04-22 13:33:41,HeyGebetan?? Sampe kapan sih kamu kayak gini?? Gak pernah peka.
ariantipp,2013-04-22 13:32:36,YaAmpun--kangen sama kamu itu ngebatin bangett..sumpah dehh..
