username,created_at,text
artikakristi,2021-06-12 12:01:37,🥺 https://t.co/XItxM2QbHl
artikakristi,2021-06-12 01:43:23,"Weekend,, nonton Conan Edogawa di TV is a mood. Walo endingnya bete, krn cepet banget bersambungnya 😆"
artikakristi,2021-06-10 11:01:02,"@fausnina Nantikan ke-uwu-an mereka… Drama arumanis, ringan &amp; manis haha"
artikakristi,2021-06-10 10:53:25,@fausnina Nonton dramanya nggak? Cukup menghiburku nih 😆
artikakristi,2021-06-08 08:44:36,Nap nap nap … https://t.co/nL0jM2kLjq
artikakristi,2021-06-08 05:13:35,@fausnina Semoga ntar mampir di mimpimu 😆
artikakristi,2021-06-07 16:19:37,@fausnina Kiyowo banget ya… (pdhl blm nonton) 😊
artikakristi,2021-06-05 16:20:00,Ya seperti inilah juga aku mau “dikenal” ponakanku. Seseorang yg menyenangkan dgn memori-memori indah. Bukan tante yg nyebelin 😆 Terima kasih sudah menginspirasi.
artikakristi,2021-06-05 16:14:55,"Yg se-frekuensi, tak pernah nge-judge, yg gak pernah tanyak “kapan nikah” tapi selalu peduli “gimana kerjaan lancar, abot ora? sing kuat lan sabar” Om yg selalu nyambung klo cerita dunia-lain. Damai di surga Om Sri."
artikakristi,2021-06-05 16:14:54,"Tak terasa seribu hari sudah,, beliau meninggal. Om yang udah kayak temen; yg ngajarin aku monopoli, halma, catur; yg dlu ngajak aku ngapelin (calon) bulik; yg klo ketemu suruh nebak dulu rumus kimia; https://t.co/0uFfqBqTSW"
artikakristi,2021-06-04 11:41:44,"Ketika liat seseorang gak bisa senyum, kemudian liat casing HP nya disney. Gak jdi bete &gt;.&lt;"
artikakristi,2021-05-31 04:03:18,Jangan cuma 5D. Datang duduk diam dapat dus 😆
artikakristi,2021-05-30 12:15:26,"Hari minggu yg produktif di dunia nyata. Ngurus taneman, nyuci semua gorden, jahit2 yg perlu diperbaiki… Bener ya klo di rumah itu nyari kerjaan selalu ada ajaa 😂"
artikakristi,2021-05-26 23:26:17,"@fausnina Idih aku tuh bawang ya,, tanya orang rumah / Nad Nad Aku sedih dlu kmu bilang aku heartless, pdhl pas ntn dlu aku gak fokus. Mbuh drakor apa aku lali 😆 Yaa inget Geu Ru pas ditanya Namu tentang samchonnya, mungkin aku seperti itu 😎"
artikakristi,2021-05-26 23:22:00,"@elkagianda Iya sih,, kondisi langit mempengaruhi. Tadi makin malam makin cerah, tp dinikmati sendiri no foto2 😊 Masih WFH kah?"
artikakristi,2021-05-26 17:23:47,"Akhirnya kelar nonton Move to Heaven,, berakhir sia-sia skincare malem ini (nangis terus). Awalnya dari IG mbak Soo Young, kirain ini movie. Ternyata serial netflix &amp; sebagus itu. Kerja bagus, Han Geu Ru n tim. https://t.co/kTuJcUFzRA"
artikakristi,2021-05-26 13:14:07,"@elkagianda Woaa kamu melewatkan fenomena ini,, tapi pasti klo drakor dah kau babat habis semua 😊🥂"
artikakristi,2021-05-26 12:39:36,"@fausnina Oh bener juga,, atlet kesayangan. Tp aku malah ngebayangin Choi Minho"
artikakristi,2021-05-26 12:33:02,@fausnina Iya kemarin aku liat biografi dia. Main di Racket Boys ya?
artikakristi,2021-05-26 12:08:33,"Turut menyaksikan,, gerhana bulan total 🌖 Babe ke chapture 😊 Alam semesta sungguh luar biasa. https://t.co/KaRjZU0GEj"
artikakristi,2021-05-26 05:20:00,"Pas kerja, makan siang balik ke rumah. Giliran libur, malah penginnya jajan terus. Alasan : mumpung promo. Itadakimasu 🥂 https://t.co/8SW1XasHPl"
artikakristi,2021-05-26 03:48:40,Selamat Hari Raya Waisak. Semoga semua makhluk berbahagia.
artikakristi,2021-05-25 11:57:40,"Tokek makanannya apa sih? Semingguan ditemeni tokek, sejak itu kutak mendengar tikus lari-larian."
artikakristi,2021-05-24 09:30:20,@fausnina Biarkan aku selesaikan malam ini. Besok aku akan kembali seperti biasa.. Puk puk diriku 🥂
artikakristi,2021-05-22 15:56:27,Seiji Amasawa ❤️ https://t.co/CntNB07z3p
artikakristi,2021-05-20 04:22:34,@fausnina Apik to?
artikakristi,2021-05-19 04:39:15,Nom nom Klaten bersinar https://t.co/sQF3GWHwCN
artikakristi,2021-05-18 23:17:57,Dear yg tiap pagi nanya “mbak udah sarapan?” dan saya selalu jawab SUDAH 😊 https://t.co/E7ROciNLur
artikakristi,2021-05-16 07:15:51,Mampir nyeafood https://t.co/FR8qw0zWIi
