username,created_at,text
astikhairunnisa,2021-03-19 16:33:31,@everydayness_ @SaveVidBot
astikhairunnisa,2021-03-17 17:40:40,Kinda forget having a real life friend feels like lol
astikhairunnisa,2021-03-02 12:53:45,🥺🥺🥺🥺🥺 @adistyafn https://t.co/YsqBvawZks
astikhairunnisa,2021-03-01 11:06:44,"@_giezard @hanzology Iyapp bighit yg pasti aman cuma bighit ent, svt sama gf karena music distributornya kakao m makanya kena :("
astikhairunnisa,2021-03-01 10:28:11,@_giezard @hanzology Mana gue baru mulai suka Seventeen lagii dan lagunya ilang juga🥲🥲🥲
astikhairunnisa,2021-03-01 07:24:16,@_giezard Eh tapi ternyata gini dong wkwk https://t.co/7DKk0MWBqu
astikhairunnisa,2021-03-01 07:20:15,"@_giezard Lagi rame bgt di fanbase Army karena bbrp lagu member BTS yg duet sama artis dibawah naungan KakaoM jadi ilang lagunyaa kyk Eight – IU ft. Suga, Winter Flower – Younha ft. RM, dan rame juga karena GFriend kan skrg udah 1 label sama BTS"
astikhairunnisa,2021-03-01 07:16:12,@_giezard https://t.co/ustjF4CMMY
astikhairunnisa,2021-03-01 07:15:33,"@_giezard Jadi karena license lagu gfriend itu dibawah KakaoM yg juga punya afiliasi sama app streaming melon di Korea. Nah sejak Spotify masuk Korea itu, artis di bawah naungan KakaoM narik license lagu dari Spotify. Katanya sih supaya melon gak tersaingi gituu"
astikhairunnisa,2021-02-25 15:15:24,Sering bgt di rumah masih aja bisa kambuh bronkhitisnya🥲🥲🥲🥲🥲🥲
astikhairunnisa,2021-02-25 15:14:39,(not) welcome back my bronchitis🙄
astikhairunnisa,2021-02-24 02:58:47,BTS OT⁷ VOCALISTS😭 https://t.co/0OYhCaezWm
astikhairunnisa,2021-02-15 01:51:01,BALIKIN DUIT GUE YANG LU TIPU BGSTTTT @VOILAWR https://t.co/uGhKBU5qtO
astikhairunnisa,2021-02-14 04:52:54,@hanzology Aamiin😭
astikhairunnisa,2021-02-14 04:52:48,@_giezard Gak tau bingung😭 cuma bisa spill doang di twt
