username,created_at,text
astridvivianni,2021-03-22 13:37:18,@ikakarina Kealayan kita 🤣🤣🤣🤣🤣🤣 kubagi via dm ajah ini too alay 🤣🤣 tapi masi sering kubaca 😆
astridvivianni,2021-03-22 13:18:16,@ikakarina Lalu aku jadi keinget buku ini...masi inget ga ikaaaa??? Wkwkwk https://t.co/tIBHQDPpoj
astridvivianni,2021-03-09 00:55:42,@ditasuki andini 🤣🤣🤣 https://t.co/3Yy4PAJES1
astridvivianni,2021-03-08 03:22:14,..... https://t.co/hDgFrgFZim
astridvivianni,2021-03-04 10:59:11,@Ainixxxx Kenapaa???
astridvivianni,2021-02-26 02:07:29,@yoskhihyuk AAAAA Hey!!! Of course i won't forget you 😆😆 can you believe this? Finally Day6 will make a comeback ❤❤ I'm so excited 😆
astridvivianni,2021-02-26 02:01:43,Gilak!! No more badut badut club 🥳🥳🥳🥳 https://t.co/inw1QxJu9n
astridvivianni,2021-02-17 16:16:14,@YWN56 @indiswastika @ditasuki @smgfooduos @ivonaoliviera @stellastelli @agathaagathaa Lah iya di totem ingetnya muterin toko dan ambil duit di atm mandiri 😅
astridvivianni,2021-02-17 16:00:15,@indiswastika @ditasuki @smgfooduos @ivonaoliviera @stellastelli @agathaagathaa Wahahahahahaha masi inget aja 😂😂 iya kenapa aku lupa sama maros penyelamat anak kosan 😭👍👍
astridvivianni,2021-02-17 15:52:40,"@ditasuki @smgfooduos @ivonaoliviera @stellastelli @indiswastika @agathaagathaa SVJ yg tinggal kenangan :"") tempat beli segelas cappucino lalu jadi ga bisa tidur semaleman :"")"
astridvivianni,2021-02-17 15:43:39,@ditasuki @smgfooduos @ivonaoliviera @stellastelli @indiswastika @agathaagathaa Semoga kamu bisa tidur juga 😚
astridvivianni,2021-02-17 15:42:23,@smgfooduos @ivonaoliviera @ditasuki @stellastelli @indiswastika @agathaagathaa Nah!!!!!!! Akhirnya bisa tidur nyenyak
astridvivianni,2021-02-17 15:38:12,@smgfooduos Mie nges2!!! Markoni cak eco Pecel deket markoni cak eco (lupa namanya) Rice n shine RM Setya Mie dok dok di burjo yg entah lupa namanya juga Cilor maklor belakang kampus Tambahin ges @ivonaoliviera @ditasuki @stellastelli @indiswastika @agathaagathaa
astridvivianni,2021-01-23 01:03:12,@ditasuki Sebuah perjuangan untuk makan tteokbokki https://t.co/wKmw7OSZLm
astridvivianni,2021-01-23 01:01:22,@indiswastika @ditasuki Lho judule tteokbokki kok 🤔
astridvivianni,2021-01-22 15:46:43,@ditasuki Iki ceritane piye to? Dibuka trus mblayu2 sek baru diudek?
astridvivianni,2021-01-22 15:45:41,@ditasuki Iki tteokboki??
astridvivianni,2021-01-15 23:29:55,@ditasuki Betul itu 🤭🤭
astridvivianni,2021-01-15 22:37:45,@ditasuki Saengchu bapaknya anak2!!
astridvivianni,2021-01-15 22:37:09,Thanks God!!! I'm so gladdd 😭😭 Please be happy Ripley!! ❤❤ https://t.co/vIM7xUyHT7
astridvivianni,2020-12-06 10:21:30,Finally!!! 👍👍👍👍 https://t.co/VTYvQkqBBf
astridvivianni,2020-11-16 07:44:08,@indiswastika Wakanda https://t.co/KWTMENPlFD
astridvivianni,2020-11-16 07:25:56,@indiswastika Sama bapaknya anakmu?
astridvivianni,2020-11-16 06:17:29,@indiswastika Cih
astridvivianni,2020-11-16 03:58:23,@indiswastika Bapaknya kalo laper nendang2 juga ga?
astridvivianni,2020-11-08 16:22:03,ZOMBIE FOR BBP #MAMAVOTE #day6 https://t.co/hHeLo6rtPp
astridvivianni,2020-11-08 11:40:31,🥺🥺🥺 apa daya memang harus sering begadang https://t.co/jxowwDFoLl
astridvivianni,2020-11-02 13:24:37,No... https://t.co/3JEnPyOUd4
astridvivianni,2020-11-02 10:37:30,@indiswastika Itu kalo perjalanan ke Malang ya. Kalo ke jogja berarti Bakso Jogja~ 🤔 https://t.co/j3svTznquR
astridvivianni,2020-11-02 08:18:55,"@belkuskus Ih sama belll wahahaha parah sih ini seenak itu, tapi sambelnya pedes nampol perut masi panas rasanya 😅😅"
astridvivianni,2020-11-02 06:43:11,"Kalo naik kereta sukanya pesen pop mie, selain lebih muree (10rb ya mahal juga si) sensasi menyeruput kuah dan membuat pingin penumpang lain (karena bau semerbak pop mienya) itu tak tertandingi 😌😌 https://t.co/2j4CRe5bbx"
astridvivianni,2020-11-02 06:38:48,Ayam geprek JFC idolaque 😚
astridvivianni,2020-11-02 06:38:03,@mrsimantika Anna super random 🤣🤣 bangun2 capek ga sih kalo mimpi kayak gitu?
astridvivianni,2020-10-22 15:22:27,@YWN56 @indiswastika @lisanahu Masi kejauhann itu..mending ke denmark aja lebih deket...sebelum kudus malahan 😆
astridvivianni,2020-10-16 11:50:38,@belkuskus Berasa among us ya bel 😆
astridvivianni,2020-10-15 14:35:44,@indiswastika ?? 😢
astridvivianni,2020-10-10 02:35:46,@fel_nesa Sebentar ku perpisahan sama fans2ku dulu
astridvivianni,2020-10-09 15:45:32,@fel_nesa Take meee
astridvivianni,2020-10-07 08:47:03,"So many things to do, so little time 😵😵"
astridvivianni,2020-10-04 14:50:24,@fel_nesa Tapi cara untuk meningkatkan suudzon
astridvivianni,2020-10-01 12:45:21,@indiswastika Berapa emang suhunya ndi?
astridvivianni,2020-10-01 11:44:15,Eh bener banget 😂 https://t.co/0uPGOEslxY
astridvivianni,2020-09-29 12:38:17,Bener2 bikin ikut bahagia liatnya ☺☺👍👍 https://t.co/f3qF07hTKB
astridvivianni,2020-09-26 11:51:56,Ternyata ini yang disebut serangan sunset https://t.co/bUPSLGAGxF
astridvivianni,2020-09-26 11:42:56,Ternyata ini yang disebut serangan sunset https://t.co/KsIl1f4S1Z
astridvivianni,2020-09-23 06:12:54,@ditasuki Sukak banget lagunya!
astridvivianni,2020-09-23 05:49:20,@belkuskus @YWN56 Asal kalo dihack ga usah malem2 tiba2 nyuruh ke ibu kota sampe naik bis nglaju aja sih hahaha untung bisnya cuma nyerempet pembatas dikit 😒
astridvivianni,2020-09-23 04:30:40,@YWN56 @belkuskus Trus ntar dihack 🤣🤣🤭 teringat taun lalu
astridvivianni,2020-09-23 04:24:27,"@ivonaoliviera Nanti 10.10 ya biar gratis ongkir tanpa minimal belanja dari shopee, aku beli 1 😝"
astridvivianni,2020-09-23 03:24:55,Otw kulakan paku~~ https://t.co/Qe5Z3zMKTx
astridvivianni,2020-09-21 23:32:21,@Sina_tya @YWN56 @belkuskus Walah kok dadi ngelih 🤤🤤
astridvivianni,2020-09-21 18:16:23,"@belkuskus Malming sama minggu pagi sih selalu parah banget simpang lima, pasar bulu hadeh wajarlah ya semarang termasuk yg positifnya tinggi, mari pertahankan! 😊😊"
astridvivianni,2020-09-16 09:13:14,@ditasuki @RianEkkyP Iya juga sih....Halo semuanya David disini 🤣🤣 https://t.co/cstltggd8i
astridvivianni,2020-09-15 05:57:06,@ditasuki Aku jadi hakim garis aja boleh ya?
astridvivianni,2020-09-10 12:31:29,@indiswastika @YWN56 @qraxina Asem mukanya sherina masih sama kayk di petualangan sherina yaaa
astridvivianni,2020-09-10 03:33:02,@indiswastika https://t.co/g2j3mUO1kA
astridvivianni,2020-09-10 01:45:00,@indiswastika Apakah ini sesuatu yg kupikirkan?
astridvivianni,2020-09-09 15:09:38,@ditasuki Kan sudah bertanya kepada rumput yang bergoyang
astridvivianni,2020-09-09 15:05:26,@ditasuki Ayamnya masi enak kok 😊😊😊😊 harus dimakan supaya didoain yg baik2 sama ayamnya biar dia ga mati sia2 🐔🐔
astridvivianni,2020-09-08 04:40:01,@indiswastika @ditasuki Iya jangan marah marah lah ga bagus buat kesehatan 😊
astridvivianni,2020-09-08 01:20:57,@indiswastika @ditasuki Yang penting niatnya baik 😊😊
astridvivianni,2020-09-08 00:46:58,@ditasuki Dimaafin 😊😊 https://t.co/tq4DrKvE0P
