username,created_at,text
baksopangsitnya,2021-06-05 14:37:00,"@Shabillalhawra @Prillysupril Wakakakkaka kandani abot yoh,yang kita lalui berat gaes 🤣🤣🤣nek liyane kok nek bimbingan gampang yo 🤣🤣🤣"
baksopangsitnya,2021-06-05 14:16:55,@Shabillalhawra Abot abot 😅
baksopangsitnya,2021-06-04 05:27:00,"@Shabillalhawra Wakakakakkaka,jadi kangen ghibah sama kamu kan 😂😂😂"
baksopangsitnya,2021-06-04 05:19:15,"@Shabillalhawra Semakin membuatku ikhlas setelah membaca ini,kuat ya Allah 😢😩"
baksopangsitnya,2021-06-04 05:16:51,"Bagus sih,tp kok aku takut vertigo kumat karena tempat tinggi ya 🤣🤣🤣 https://t.co/AWIgkDTJHY"
baksopangsitnya,2021-06-04 05:15:53,"@Shabillalhawra Aku curiga begitu sih sebenernya wakakakkaak,kan aku jd mikir apa aku sudah ditolak oleh adeknya jd calon kakak ipar,atau sebenernya dia yg tidak menginginkan aku jd calon istri 🤣"
baksopangsitnya,2021-06-04 04:50:43,"@txtdrkaumbengek 27-29 biar puas dulu main sama jajannya,jadi kalo nikah mental udah siap kucurahkan untuk anak dan suami,tapi ga tau juga yang melamar aku duluan yang mana,jodoh atau kematian..."
baksopangsitnya,2021-06-04 04:47:16,"Tetiba mikir,IG aku udah ga di follow dia lagi yg alesannya adeknya yg mencet,jadi bersuudon kan aku,jangan jangan wanita yg lain ini bukan adeknya 🤔 Ya udah,rak popo insyaallah aku ikhlas mas 😌 https://t.co/Wmk0V4Gy9K"
baksopangsitnya,2021-06-04 04:39:50,"@jawafess Cewek bukan terapis ya,lagian terapis sama klien ga boleh punya hubungan😑"
baksopangsitnya,2021-06-01 02:26:31,@Shabillalhawra Banget itu duet mawutnya
baksopangsitnya,2021-05-31 23:10:10,"Kok aku pengen misuh weruh iki,heh bapak semoga anda nyicipi rasanya vertigo duet mau sama asam lambung. https://t.co/vNoq711kHg"
baksopangsitnya,2021-05-31 23:03:45,Jadi aku lahir premium dong? https://t.co/UuQnSpWYmQ
baksopangsitnya,2021-05-26 06:27:26,"@TrinityTraveler Dulu aku pas ilang indra penciuman beberapa minggu,tp ga sampe sebulan kayaknya,2-3minggu terus dari hallodok ngasih resep obat rhinos karena dicurigai sinus sih bukan kopid,alhamdulillah habis 10 kapsul balik lagi bisa nyium bau bau ..."
baksopangsitnya,2021-05-26 06:17:25,@FOODFESS2 Choco frappe terlove pokoknya
baksopangsitnya,2021-05-25 07:25:11,@dimasadltya @bmkg_semarang Emang kalo dangkal kenapa kak?aku ga paham
baksopangsitnya,2021-05-23 12:39:16,"Sebenernya besok vaksin dan jujur aja takut,tp setelah baca ini bismillah aja sehat sehat sehat https://t.co/l7r8csxvr3"
baksopangsitnya,2021-05-22 12:34:46,"Inilah kenapa kalo keluar kota aku milih cari aman dengan makan di tempat yg udah nyantumin harga atau tempat makan yg udah ada namanya,niat ngirit makan di warteg malah jd ngorot kan,sekalian lah kalo mahal makan yang enak sekalian 🙄 https://t.co/zqL3lgNMC1"
baksopangsitnya,2021-05-17 16:59:53,"@FOODFESS2 Duet maut tengah malam ini,hujan dan mie rebus 💕 https://t.co/TFdY2azqYQ"
baksopangsitnya,2021-05-17 16:56:55,Ga ada yang bisa ngalahin duet maut antara hujan dan mie rebus 💕
baksopangsitnya,2021-05-16 23:35:52,@rezapakeZ_ @jawafess Aku setuju 🤣🤣🤣
