username,created_at,text
detiaferlian,2021-03-22 12:40:07,my love❤ https://t.co/Pn7G7gomcr
detiaferlian,2021-03-22 12:31:17,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/8FeqP2fzHx
detiaferlian,2021-03-11 15:23:14,https://t.co/EAiWwMwEfZ
detiaferlian,2020-10-21 13:22:48,Waiting ..
detiaferlian,2020-09-19 14:21:23,gerah omg
detiaferlian,2020-08-27 02:57:29,i'm ain't fuckn stupid 😏
detiaferlian,2020-08-24 16:20:30,31 weeks makin aktif makin pinter masya allah tabarakallah
detiaferlian,2020-07-22 02:13:37,nah ini 😄 https://t.co/fFsmfF8yLR
detiaferlian,2020-07-19 13:59:28,@detikcom smh😮
detiaferlian,2020-07-15 02:40:22,dih.
detiaferlian,2020-07-07 00:57:09,"mulai sakit pinggang, alhamdulillah nikmat"
detiaferlian,2020-06-26 06:12:27,"jum'at barokah, alhamdulillah 😇"
detiaferlian,2020-06-11 16:12:11,mau nasi goreng dpn rs dr suyoto 😔
detiaferlian,2020-06-11 01:49:36,ko pusiiiiiiiiiiiiiing
detiaferlian,2020-06-10 08:15:12,kerjain dlu PR bucket list d simpen dlu 😴
detiaferlian,2020-06-02 05:10:38,@nciimelda yg penting bisa ngtwitt lg ceu 😁
detiaferlian,2020-06-02 04:52:09,"@nciimelda iya ceuu, wellcomeback yaa 😍"
detiaferlian,2020-06-02 04:39:23,hmmm
detiaferlian,2020-05-31 11:27:57,"3.5 thn pacaran ngerasa pnya sifat yg beda banget. udh nikah, eh kok sama eh kok mirip. jodoh itu cerminan mungkin bener yaa 😂"
detiaferlian,2020-05-30 11:53:54,@infosebel sarekeun ah geus teu beres 😂😂😂
detiaferlian,2020-05-30 11:46:24,@infosebel ieu mah olla ramlan dadang 😅
detiaferlian,2020-05-30 08:53:46,@ShopeeID mau B ajaaaaaa #shopeeSabtuSpesial
detiaferlian,2020-05-30 03:08:10,lemes lemes lemes 😩
detiaferlian,2020-03-16 17:18:21,serah luuuuuu
detiaferlian,2019-12-03 23:40:14,"sakit perut, perut sakit 😖"
detiaferlian,2019-09-29 15:01:34,pucing pala ucing
detiaferlian,2019-08-15 17:25:37,counting
detiaferlian,2019-08-15 14:25:43,kadang realistis itu perlu 😊
detiaferlian,2019-08-15 09:56:47,pucing pala ucing
detiaferlian,2019-06-22 15:17:49,tuh kan....
detiaferlian,2019-06-16 22:56:10,Day 1
detiaferlian,2019-06-15 12:47:36,"BB naik sedikit diare, naik sedikit demam ku lelah terus minumin madu penggemuk tp gini2 bae 😖"
detiaferlian,2019-06-05 16:39:44,"kebiasaan d kostan tidur subuh, skr d rumah melek sendirian 😒"
detiaferlian,2019-05-31 16:35:59,@ombul__ hallo kita berjumpa saat ngacapruk d twitter 😂
detiaferlian,2019-04-21 14:06:59,hayoh pakuat2 😣
detiaferlian,2019-01-11 12:28:51,losing something
detiaferlian,2019-01-06 16:37:22,"hari terburuk dari yg paling buruk, dumb af :("
detiaferlian,2018-12-24 12:17:26,tuh kan
detiaferlian,2018-12-13 14:11:37,masa kudu ngulang deui 😫
detiaferlian,2018-12-11 15:29:11,AKU JADI DUTA SHAMPOO LAIN ? HAHAHAHA
detiaferlian,2018-12-01 05:49:56,"giliran bisa plg cepet hujan, gusti gogoda 😩"
detiaferlian,2018-12-01 05:48:26,@AgungPadhika embung atuh gung hayang jd satusatunya dan d utamakan :(
detiaferlian,2018-11-30 17:01:23,@AgungPadhika hayang no wahid :(
detiaferlian,2018-11-30 15:29:34,"kan jam segini mah jagjag, huft"
detiaferlian,2018-11-30 15:27:50,@AgungPadhika ahoooooonnggggg
detiaferlian,2018-11-30 02:51:56,pagi lemes siang lemes sore lemes wktu tidur seger atulah da lain jetleg 😩
detiaferlian,2018-11-29 15:21:08,semoga lelahnya jd lillah 🙏
detiaferlian,2018-11-18 10:44:48,bulak balik dekok marimar lelah ah 😪
detiaferlian,2018-11-11 12:23:23,masih gw liatin.. bntr lg gw geplak palanya 😏
detiaferlian,2018-11-04 16:51:52,jika yg trbaik semoga d segerakan🙏
detiaferlian,2018-04-23 11:40:11,yaalloh nikmat 😰
detiaferlian,2018-04-12 12:58:28,udh yetiii https://t.co/psDCH36YUc
detiaferlian,2018-04-01 13:17:09,semua ada batasnya bukan ?
detiaferlian,2018-02-18 16:05:50,nyerah 🙌
detiaferlian,2018-01-31 07:41:22,😭😭😭
detiaferlian,2018-01-22 02:03:47,serasa d tampar tp nyadarin 😊
detiaferlian,2018-01-21 17:30:22,bismillah step by step tinggalin satu2 🙏
detiaferlian,2017-12-04 16:08:12,sometimes something better comes from bitter things 😊
detiaferlian,2017-09-24 13:35:00,"Lg tdr d tlponin udh bangun malah sibuk maen game, suekk😤"
detiaferlian,2017-09-22 02:49:19,rempong ye mba @Refika1001
detiaferlian,2017-09-21 17:09:09,kuat 🙏
detiaferlian,2017-09-20 01:46:15,@Refika1001 emberan mba 😂
detiaferlian,2017-09-19 23:16:01,@Refika1001 tmpat spam perasaan mba wkwk
detiaferlian,2017-09-13 16:37:43,think twice 🖕🏻🖕🏻🖕🏻
detiaferlian,2017-07-21 15:02:23,hehe
detiaferlian,2017-07-14 22:27:35,thankful every single day 😊
detiaferlian,2017-06-23 15:04:05,more than just a word
detiaferlian,2017-06-23 02:27:08,done with all this shit!!!
detiaferlian,2017-05-01 14:07:48,masih kurang tabah 😢
detiaferlian,2017-02-20 11:43:01,wak doyok goals 🙌 https://t.co/0bPimryoNo
detiaferlian,2017-02-15 10:02:17,kok najong ya 😅😅😅 https://t.co/HP1QxmlWjb
detiaferlian,2017-02-06 12:47:13,terimakasih para ukup ukup ku yg lucu cantik dan unccchhh 😗😙😚😘 makasih doanya makasih… https://t.co/QlXsPPgcDP
detiaferlian,2017-02-03 11:10:51,seraban mana tarang apa lampu ? 😅 https://t.co/TyBc2olqgm
detiaferlian,2017-02-02 14:09:56,buk ibuk syantiiieeek 🤗🤗🤗 @ Paris Van Java https://t.co/4bsFSB6elo
detiaferlian,2017-01-15 16:29:36,i have many problem in my life but my lip don't know that. they always smile -charlie chaplin https://t.co/bujXuHeUU3
detiaferlian,2016-11-18 05:42:55,whooop 🙋🙅🙍🙆🙎 refikaputri @tatamelitha @nurara wididwicitra… https://t.co/Q7sFgLHhgG
detiaferlian,2016-11-08 12:33:01,happy birtday my super duper woman 😘🎉🎊🎂🎈 wanita ini yg mengajarkan… https://t.co/821Li0HCAA
detiaferlian,2016-10-27 16:10:27,foto tanpa ngalis? saya tdk takut 💪 https://t.co/9U9TR4D4Ja
detiaferlian,2016-09-11 15:19:03,Jgn ujan2nan jgn mandi mlm jgn lupa makan jgn makan yg pedes jgn jgn jgn Kadang cerewetnya lebih dri emak2 but i love u so muchooo ❤
detiaferlian,2016-09-04 09:54:57,Masa masa gembala ini 😢 #repost (with Nilzon) [pic] — https://t.co/XhljHxAhEm
detiaferlian,2016-08-20 02:10:06,"Engga bisa marah lama2, payah !"
detiaferlian,2016-08-18 14:04:47,Kurang kurangin ya det
detiaferlian,2016-08-12 06:52:12,Sabar det sabarrrrrr🙀
detiaferlian,2016-08-12 06:49:08,Kancing coplok rrrr😤😠😬😡
detiaferlian,2016-08-12 06:48:10,Apa ya apa ?? 😝 @boaapemauw https://t.co/wHUcgEDZD6
detiaferlian,2016-08-07 14:52:53,Susah mikir jernih klo udh gini 😔
detiaferlian,2016-08-05 07:26:15,Fell like I'm a evil who kill themselves 😔
detiaferlian,2016-07-30 18:33:27,Complicated 😧
detiaferlian,2016-02-06 12:18:01,How about new hair cut ? 💇👩👆 (with Leni) [pic] — https://t.co/Ms1ds6Dkli
detiaferlian,2016-01-31 04:24:00,Minggu rasa senin (lagi) 😧 @ F.I.F Group Padalarang https://t.co/Kxz0XcbpYV
detiaferlian,2015-12-14 12:48:36,"Tgl brp ini aa""@ombul92: Hae Culeswati @ferli_detia kita ketemu dong hahahaaa https://t.co/vl2epGVn7P"""
detiaferlian,2015-12-07 02:00:00,Kerjaaan masih melongo aje
detiaferlian,2015-11-18 21:38:55,Nanya mulu ah pusing!
detiaferlian,2015-11-18 17:51:13,Bangke
detiaferlian,2015-11-16 08:33:03,Bentar lg beku ini gw 😖
detiaferlian,2015-11-16 07:09:51,Migraine
detiaferlian,2015-11-14 16:11:00,@YogaRgb69 maneh jgn suka ngasih2 no urng! 😬
detiaferlian,2015-11-12 19:12:46,Kamfang! Bkin ga bisa tdr lg 😤
detiaferlian,2015-11-12 15:36:02,Madafaka 😬
detiaferlian,2015-11-11 21:13:45,"Jam segini masih blm tdr, blm ngantuk, gini aja mulu tiap hari 😭 #edisinyampah"
detiaferlian,2015-11-10 14:02:42,Beach and sunset ! Need the both 🌴🌊🌅🏄🏊🍹👙 https://t.co/3Dqa4l3Xom
detiaferlian,2015-11-03 08:48:42,Just posted a photo https://t.co/8MN5sSwPBx
detiaferlian,2015-11-01 15:53:11,Dikit2 mewek haha bawaan period 😂
detiaferlian,2015-10-31 20:09:56,"Upssh😯 ""@abiifalsa: 😂😂😂 https://t.co/QzsB7wTv4J"""
detiaferlian,2015-10-31 19:51:47,Visca barca biar keliatannya lg streaming #FCBarcelona #GetafeFC
detiaferlian,2015-10-28 20:34:51,Nonton barca d time line (lagi) 😒😒😒
detiaferlian,2015-10-27 23:11:34,Wilujeng enjing gut pipel #rebonyunda 😚😊😀 https://t.co/pmxN9viiqW
detiaferlian,2015-10-26 11:39:13,"Tanpa efek muka kita hinyai, ewwhhhh 🙈 https://t.co/msh39PsfFk"
detiaferlian,2015-09-18 10:37:10,Maybe it's the answer of ur pray ! Ok I'm home
