username,created_at,text
dikmabelarosa,2021-06-13 05:56:43,"Thank you for starting 8 years ago @BTS_twt 🙂 Makasih @tokopedia beli handsanitizer, eh, kok ada foto babang2 nyelip. Untung iseng buka lipetan kardusnya, kalo ga, uda kebuang kayanya 🙂 https://t.co/9CO6emgsdJ"
dikmabelarosa,2021-06-13 05:50:50,@nataellacy Hahahaha
dikmabelarosa,2021-06-09 15:33:04,@EVAL_96 Best of luck!
dikmabelarosa,2021-06-09 15:31:40,"Gimana ceritanya subuh2 sarapan cereal semug, makan siang gaabis, malem nyemilin roti maryam jg gaabis"
dikmabelarosa,2021-06-09 04:56:47,@irfankresnadi Kyk share inpo di grup angkatan
dikmabelarosa,2021-06-08 04:08:52,"Ketemu pasien yg tahun, bulan, tanggal lahirnya sama https://t.co/61IVRWU4J6"
dikmabelarosa,2021-06-08 02:53:27,@tutugkinasih Kuping dengerin wkwk
dikmabelarosa,2021-06-04 03:00:17,Wish I could meet the doctor who help my mama too https://t.co/It8madA73S
dikmabelarosa,2021-06-04 02:55:58,@nataellacy Wkwk bener juga
dikmabelarosa,2021-06-02 23:25:44,"@RPP_4 Kmrn mau pake by.u jg tp ga yakin krn app based, kayanya kalo simpati gitu lebih stabil"
dikmabelarosa,2021-06-02 13:27:48,@RPP_4 Telkomsel
dikmabelarosa,2021-05-30 13:19:01,"Overcoming crisis atu2 ya nduk, you can do it yo"
dikmabelarosa,2021-05-30 10:35:52,K let's work on the weekend The internet connection : nope
dikmabelarosa,2021-05-27 06:17:27,@nataellacy Sad truth
dikmabelarosa,2021-05-27 06:13:07,@tutugkinasih Bukan krn profesinya tp mengapa temen gue yg cowo dg atribut sama dipanggil dok tp gue dipanggil dg panggilan beda gitu ya. Eala sekolahku kurang nggethu bekne hahaha
dikmabelarosa,2021-05-27 06:02:39,@tutugkinasih Drpd susi ya..
dikmabelarosa,2021-05-27 05:42:42,@nataellacy Gain money - spend money - gain more - spend - repeat Nabung kalo tobat
dikmabelarosa,2021-05-27 05:41:12,"@tutugkinasih Krn km sudah tua Kalo masih muda dipanggil dek, enak hati"
dikmabelarosa,2021-05-26 10:38:51,"Bangun2 kok takbiran dimana2, ternyata gerhana bulan..."
dikmabelarosa,2021-05-25 05:25:50,pms - dismenor - anemia - pms - dismenor - anemia - pms pms telat pms - dismenor - anemia - repeat
dikmabelarosa,2021-05-24 17:36:49,@nataellacy 🙋‍♀️
dikmabelarosa,2021-05-24 10:32:02,Orang indo presentasi pake Bahasa tp slidenya in English ❌ Orang UK presentasi pake English tp slidenya in Bahasa ✅
dikmabelarosa,2021-05-24 00:19:45,"Everyday life jadi tukang parkir pagi2. Modal 5% skill, 5% kekuatan, 90% kesabaran :)"
dikmabelarosa,2021-05-23 13:40:02,"Setelah nonton pengabdi setan, doanya minta dikasih waktu senggang di pagi menjelang siang - weekdays, kemudian duduk deket jendela, cemil2, ngobrol santai sm sodara. Perfect."
dikmabelarosa,2021-05-21 21:45:24,"@tutugkinasih @nataellacy Jgn disesatin temen gue, masa tar gue yg nyiram"
dikmabelarosa,2021-05-04 05:20:40,"RT with modification ""... soalnya aku, mamaku, mas2ku suka banget sama suaranya Mas Duta"" https://t.co/J4RJFcXnxx"
dikmabelarosa,2021-03-31 11:47:11,"the devices, the internet, the mood, they just don't work at the same time."
dikmabelarosa,2021-03-25 07:08:54,"untuk beliau2 yg sudah sampai waktunya tutup usia, al-fathihah"
dikmabelarosa,2021-03-25 07:08:53,"terakhir jaga setaun yg lalu, RJP 3 jam"
dikmabelarosa,2021-03-25 07:05:39,uda lama ga denger code blue
dikmabelarosa,2021-03-19 10:33:48,"Yang penting, bagaimana caranya pandemi sebagai masalah, menjadi maslahah. MasyaAllah. #kemuslimahanjumat #keju"
dikmabelarosa,2021-03-19 02:20:21,"@tutugkinasih Mau 1 ya YaAllah, kalau ngga, ngga mau"
dikmabelarosa,2021-03-19 02:19:35,Manusya memang makhluk yg suka PHP ya. Masih pagi udah kena 2x 🙃
