username,created_at,text
dwiahkam,2020-08-25 14:49:50,@BNI Menunggu sampai kapan kak?
dwiahkam,2020-08-24 23:12:32,https://t.co/jtqPa3njLM
dwiahkam,2020-08-24 16:55:09,@BNI cek DM ya min. Terima kasih
dwiahkam,2020-04-30 21:59:59,https://t.co/lkJGfMKoZY
dwiahkam,2020-03-22 02:50:29,#dirumahaja #drakoraja https://t.co/bbChFP0gIO
dwiahkam,2020-03-11 14:09:48,"Kalo udah hari rabu, badan mulai terasa rentek-renteknya."
dwiahkam,2020-02-15 16:33:13,Abis berapa piring coba https://t.co/qt1lUrAJab
dwiahkam,2020-02-14 00:06:59,Bismillah jumat barokah 😇
dwiahkam,2018-11-30 15:06:05,Lelah nunggu pengumuman
dwiahkam,2018-10-25 14:35:33,@oktarisky Liat jadwalnya dmn ta?
dwiahkam,2018-10-24 15:38:19,"Keluhannya cuma 1, obatnya dikasih 4 😢"
dwiahkam,2018-10-17 15:32:43,@alfarramugiana Haha gue aja seneng bisa liat temen gue apdet di twitter 😅😅
dwiahkam,2018-10-17 04:32:36,@ArifArifbud4 Jagoanku menang dong *ketawasombong
dwiahkam,2018-10-17 04:30:51,"@alfarramugiana Elu yg update, gue yg gangerti #yhaaaa"
dwiahkam,2018-10-17 04:29:38,Sabar yaaa https://t.co/nuaxXHbaUQ
dwiahkam,2018-10-16 10:35:23,Baru sekali latihan tangan langsung pegel-pegel :(
dwiahkam,2018-10-16 05:46:05,@ArifArifbud4 Gabisa main volly tapituh ;(
dwiahkam,2018-10-16 00:14:56,"Udah di suruh ikut volly, disuruh ikut gerak jalan juga. Mantep gasi akutu ;("
dwiahkam,2018-10-15 07:48:02,"Hujan, aku rindu ;("
dwiahkam,2018-10-15 07:46:21,@ArifArifbud4 Aku tambah 2 ribu yaa
dwiahkam,2018-10-14 13:56:30,@ArifArifbud4 Ganti aja ganti😂
dwiahkam,2018-10-14 08:45:58,"Mau ke gandul berasa mau ke bekasi, macet, panas, debu 😪"
dwiahkam,2018-09-25 10:38:20,@AnwarKhoiranwar Wkwk gue agak lupa ini cara balesnya gimana
dwiahkam,2018-09-25 09:25:54,Setelah bertahun-tahun tak disinggahi 😅😅
dwiahkam,2017-04-22 10:42:03,"cari yang ena ena (with Alfarra, Ihda, and 3 others at Sate Taichan Rawamangun) — https://t.co/LMn8bX7EV3"
dwiahkam,2017-02-06 07:02:45,panasnyaa ☂️🕶 (at @candiprambanan) — https://t.co/DexoGoxKhR
dwiahkam,2017-02-04 04:31:04,At Islamic Center Nusa Tenggara Barat — https://t.co/2hM0L43Q19
dwiahkam,2017-02-03 13:04:32,"good night lombok (with Syifa, Tri, and 5 others at Kedai Giyong , Lombok Barat) [pic] — https://t.co/LBNt7wtpLc"
dwiahkam,2017-02-03 02:38:35,Seminar Nasional 'Mengembangkan visi guru sebagai pelaku perubahan dan pendidik… (at Universitas Mataram) — https://t.co/RKFhkzSzGX
dwiahkam,2017-02-02 05:16:05,"last day (at Krisna ( Oleh"" Khas Bali)) — https://t.co/TjtkK0pjhV"
dwiahkam,2017-02-01 12:28:40,"With Alfarra, Ihda, and 2 others at Pantai Pandawa (Pandawa Beach) — https://t.co/pIANLJy5RD"
dwiahkam,2017-01-31 10:23:54,day 4 🛳 (at @gilimanukharb) — https://t.co/MJyZ9dBCd9
dwiahkam,2017-01-29 16:58:53,bed n bad !! 😴😔 (at Grand Batu Inn) — https://t.co/cftvWwtXCi
dwiahkam,2017-01-04 16:51:38,ph time [pic] — https://t.co/v00rZb7qHB
dwiahkam,2017-01-02 11:43:11,"ngumpul sama anak it (with Arif, Aisyah, and 2 others) [pic] — https://t.co/0h5wyBPKS8"
dwiahkam,2017-01-01 09:49:34,"meet up lucu (with luluk, Aisyah, and Fairuz at Mall Metropolitan Cileungsi) [pic] — https://t.co/caA89Qwn95"
dwiahkam,2016-12-28 07:04:04,meet up (at @baywalkmall_jkt) — https://t.co/iQ4WhyFXGa
dwiahkam,2016-12-18 09:24:32,"happy graduation my beps 😘😘 maafkan gabisa hadir di moment special kali… (w/ Mivtha, Rosie, &amp; Nur Khusnul) [pic] — https://t.co/22qdqOzuf3"
