username,created_at,text
effendisgurl,2021-06-12 07:50:31,"Lagi suka,”ko mirip si ini” ternyata emang orangnya…"
effendisgurl,2021-06-11 17:03:56,"Especially to my past, I do remember what you did but, like bruh I’m not hoping anything from you now. I will need you when I need you. Stop acting like you turned me into a better person bcs you left."
effendisgurl,2021-06-11 16:51:36,"I’m hating people in a clever way. I didn’t really hate them, just indifferent. I don’t even have much time to remember what they did. People thought I’m easily forgiving, but hell no I was just a forgetful person 🙂"
effendisgurl,2021-06-11 10:00:38,"I'm adapting Japanese, I hate when someone late but in real life, ""yaudah gapapa"""
effendisgurl,2021-06-10 11:57:31,Me during maghrib to isya : barusan kentut nggak ya?
effendisgurl,2021-06-09 21:14:28,"It has some procedures, it wouldn’t be just an “accident”"
effendisgurl,2021-06-09 15:13:04,"Pen beli cover hanger gantung harganya kaya gamasuk akal, mungkin murah si segitu tapi aku jadinya beli plastik mika gulungan 2m cuma 25rb doang. Fungsinya juga sama, it covers all of my clothes"
effendisgurl,2021-06-09 15:05:59,Demi apa kaget kirain besok Jumat :( gambar Raya ku belon beres huhu
effendisgurl,2021-06-09 05:38:04,"@sweetaffogato Lol no, just how my brother influence me"
effendisgurl,2021-06-08 12:16:47,"@sweetaffogato I have none, I don’t really want to cuma panasan aja ma doi wkwk"
effendisgurl,2021-06-08 11:36:35,If my brother got his first tatto I will get it also. He is my role model
effendisgurl,2021-06-08 09:37:20,@sebuahkeju Bukan main
effendisgurl,2021-06-08 09:00:52,@sebuahkeju Saya kan ibu nya
effendisgurl,2021-06-08 08:54:38,Constantly complain about how dark my living room sampe dumel kenapa rumah w kayak rumah pengabdi setan
effendisgurl,2021-06-06 11:27:39,Tiba tiba ujan gede dan mikir untung gak nyuci hari ini. Ehsiah abah keujanan :( Tonight I’m not sleeping with abah
effendisgurl,2021-06-06 07:57:52,I don’t have to explain what I have to do this that or not doing anything. Can you just respect little bit? I’m not doing any criminal
effendisgurl,2021-06-05 13:24:17,Who are you in the dark?
effendisgurl,2021-06-03 21:25:27,“You can sad but in a nice bedroom” is one of my attitude
effendisgurl,2021-06-02 22:14:23,I can see you’re tired of the acting
effendisgurl,2021-06-02 13:05:36,Impawsible
effendisgurl,2021-05-31 16:30:21,"Okay, what’s next? What’s another dangerous shit I have to face? Gak sih lina kalo naik level itu lebay banget. Punya masalah sama self confidence, gabisa pede dikit ngapa lin.."
effendisgurl,2021-05-29 17:46:50,"No matter how this bitj treated me, I'm still polite to her. Trus lu baiknya ke mahasiswa cowok doang, kok bisa siihhhhhhh"
effendisgurl,2021-05-29 17:09:05,"Terus adalagi, “‘Miss, eh gajadi” Asking other friends “what you wanna be when you grow up? That question doesn’t fit for miss lina, she already grow up and have a job” No, gurl. I’m still thinking about it 🥲"
effendisgurl,2021-05-29 17:05:03,"Another deep question from my student “Miss, temen miss banyak ngga?” Pertanyaan gampang tapi hitting my mental health so much"
effendisgurl,2021-05-25 12:05:03,"So soan bikin today list, tetep aja lupa buat nge ceklis"
effendisgurl,2021-05-23 08:05:29,kayanya kalo udah dapet yaudah ajagitu
effendisgurl,2021-05-21 19:26:53,"Wahh seru nih… sambil mikir, astaga mana ada waktu buat bikin birthday card. Mangat dong lina demi cuan"
effendisgurl,2021-05-21 03:29:04,Pernah cirambay saking baiknya dia dan sayang bgt kalo dia gabisa masuk surga karena belum nyebut kalimat syahadat. Tapi yaudahlah.. let it be
effendisgurl,2021-05-19 15:17:30,why does lizard sound weird? why do they even exist?
effendisgurl,2021-05-17 20:14:06,I don’t think I have to stare to my phone anymore
effendisgurl,2021-05-16 12:06:10,Apa banget mo nyari lagu aja ngetiknya global agenda :(
effendisgurl,2021-05-16 11:30:32,Hmm.. no wonder
effendisgurl,2021-05-16 09:10:48,"Melihat adab manusia manusia yang makin rusak aku jadi pengen bikin sekolahan aja, bayarnya ngga pake duit tapi etika dan tatakrama cukup."
effendisgurl,2021-05-15 13:46:17,"I worked very hard for myself. Emang org yang lu combaling tau kalo tengah malem w suka kebangun, tengah malem suka mikirin materi apa buat anak-anak, tengah malem masih kuliah. Sementara org yang lu saranin cuma kerja cukup buat bayar kosan &amp; rokoknya doang"
effendisgurl,2021-05-15 11:42:07,"I'm grateful still having science blood from my dad, so everything that happened in this world lately could make any sense to me"
effendisgurl,2021-05-14 21:08:33,@sebuahkeju Saya maunya yang itu tolong ya.
effendisgurl,2021-05-13 14:37:54,"gue ngga punya pacar sih, tapi kalo anti nikah juga ngga dong. growing up with somebody is the fun things to do!"
effendisgurl,2021-05-09 17:44:05,"@sebuahkeju Mo bobo dulu, mata aku udah pedih. Also bleeding lage :)"
effendisgurl,2021-05-09 17:31:23,"My brain when I only have 17hours more to deadline, ""beres-beres kamar enak kali ya"", ""ih pensil warna udah perlu diserut nih"", ""pengen maskeran"" , ""pingin ngerapiin isi lemari"", ""buka twitter dulu lah"""
effendisgurl,2021-05-09 03:48:11,"how could I explain ""lah"" to foreign people doesn't matter lah..."
effendisgurl,2021-05-08 11:08:09,That’s good thing being a teacher. Can I cry now :”) that’s just so cute 🥰
effendisgurl,2021-05-07 22:30:56,I’ve never heard someone missing me so much
effendisgurl,2021-05-07 03:27:16,@alvinresqy I want my kids only have these kind of modules
effendisgurl,2021-05-07 03:24:36,Can’t live without drinking milk!
effendisgurl,2021-05-05 05:48:40,Kenapa ya aku segede gini harus dan ingin terus minum susu. Kaya gaboleh luput dari pandanganku kotak susu tuh
effendisgurl,2021-05-04 23:35:08,That good friend who always checking either food or medicine that I took
effendisgurl,2021-05-04 14:17:14,@Brainofsteels Luvvv ✨
effendisgurl,2021-05-03 05:40:41,@sebuahkeju Mukucieee 😚
effendisgurl,2021-05-03 05:40:11,"Padahal bukan aku yang suda berumah tangga, tapi pengen aja tinggal sendiri gitu"
effendisgurl,2021-05-03 05:38:29,pengen beli rumah sendiri
effendisgurl,2021-05-01 02:35:46,@marsmstr Wkwkwkwk jahat emang 🤣🤣
effendisgurl,2021-04-30 18:04:37,"Kalo orang nanya, emang seburuk apa masakan Lina? Adik gue bilang, kayak makanan buat tawanan Jepang"
