username,created_at,text
egabetari,2021-06-12 07:01:09,"@abdillahrosyid cak sodik, semangat 💪 .. semoga cepat sehat, semoga cepat diangkat sakitnya, dan segera bisa beraktivitas kembali.. semangat 💪"
egabetari,2021-06-12 06:59:24,"@akarcerita sedangkan aku cuma mikir, ada dupe -nya nggak sih? .. karena kalau mahal dan tidak cocok, auto heartbroken :(("
egabetari,2021-06-11 11:47:48,"sebenernya masuk pesawat duluan bukan karena nyari tempat duduk, tapi nyari slot kabin buat naruh tas. jumlah tas/koper &gt; jumlah penumpang"
egabetari,2021-06-11 10:37:06,@ranabud ndang recook 😍 gaasss!!!
egabetari,2021-06-11 10:35:30,"@ranabud ini resep yg ku pake pas kita masak2 di rumah, mbook 😍"
egabetari,2021-06-10 10:29:21,@Dafriz1407 syiaaap 😁
egabetari,2021-06-10 10:08:32,gimana caranya pasang lampu downlight?
egabetari,2021-06-10 10:06:07,"@anisanrndh hai, chaa 🤗.. terima kasih doa untuk mas dan semangatnya buat aku.. kamu juga sehat2 terus ya, chaa 🤗"
egabetari,2021-06-08 13:35:09,@hanantyoWP @AngkasaPura_2 untuk rapid test di soetta ada jam kerjanya nggak??? atau bisa setiap saat?
egabetari,2021-06-08 13:33:35,@ARIFANINDRY pasangneee :((
egabetari,2021-06-08 13:33:16,@anggrekpuspa sek ya pesen oncom sek aku..
egabetari,2021-06-07 14:53:18,:) https://t.co/3ITPfJ2c7A
egabetari,2021-06-07 12:17:14,@anggrekpuspa yess 💪 tutor ganti gas import dari bogor 💪
egabetari,2021-06-07 12:16:43,@hudabojes yang ganti gas selalu mas suamik loh hudaaa
egabetari,2021-06-07 10:19:53,gimana caranya pasang gas?
egabetari,2021-06-06 06:34:40,"🤓: mbak juga ya jaga kesehatan mbak, aku cuman punya kakak satu aja soalnya sekarang 😁 . . I'll take care of him, mas 🤗"
egabetari,2021-06-03 02:27:22,dirasain aja kangen dan sedihnya. jangan di tahan. itu yang membuat dia tetap hidup ♥️
egabetari,2021-05-31 02:11:02,Surabaya akan selalu menjadi tempat kita bertemu ♥️
egabetari,2021-05-29 13:49:15,@Tetriana bunda teteeet 😭 amiiin Ya Allah 🤲🏼 insyaallah pelan2 kuat mengikhlaskan. terima kasih doanya dan semangatnya ♥️
egabetari,2021-05-28 23:28:05,"Dear all, terima kasih atas doa dan semangatnya untuk kami yang ditinggalkan. terima kasih atas doa, semangat, cinta, dan kasih untuk mas tiyan. salam sayang dari kami semua. ♥️"
