username,created_at,text
erickdidudidu,2021-03-26 11:33:29,@rgoestama The rinra makassar
erickdidudidu,2021-03-26 11:00:20,https://t.co/QNWNUkb3AW https://t.co/JQ1guE1oNq
erickdidudidu,2021-03-26 09:52:14,Lawan Persija kemarin mereka tak punya gelandang kreatif. Klok tidak cukup dan mampu diredam oleh Arfan yg bsok absen #PialaMenpora2021 #PSM
erickdidudidu,2021-03-26 09:48:25,"Menarik duel lini tengah esok. Tanpa arfan yg pulang kawin, bsok kita akan bertemu evan dimas yg kreatif serta adam alis.. plus maestro renan silva. #PialaMenpora2021 #psm"
erickdidudidu,2021-03-25 14:44:02,@cupanghiass Gimna?
erickdidudidu,2021-03-25 13:59:11,@cupanghiass Kiri
erickdidudidu,2021-03-23 16:58:03,@unitedarmyfc @ManUtd 2003. Fabien Barthez Ruud Van Nistelrooy
erickdidudidu,2021-03-23 07:52:44,"https://t.co/5Ey7lChedf Dimanapun itu, tak ada tempat untuk rasisme !!!"
erickdidudidu,2021-03-23 02:43:43,"@marcklok10 selamat pagi bro, adakah kopi"
erickdidudidu,2021-03-22 14:59:00,Pake CD berlubang... Nyempil terus cacooo 😂
erickdidudidu,2021-03-22 14:49:09,https://t.co/vrkSHn1UO6 Pas wanggai hantam klok diawal laga... Gue udah yakin bakalan melawan ini para lokalan... Eh alhamdulilah menang
erickdidudidu,2021-03-22 14:47:49,@jumardanm @SupirPete2 Di alibaba ato ebay
erickdidudidu,2021-03-21 18:07:21,@unitedarmyfc Berbagi link
erickdidudidu,2021-03-21 16:35:50,Baru kuingat saya ini 😀 bahaya klo bgitu... Bikin masalah baru https://t.co/hcscaVLNgi
erickdidudidu,2021-03-21 16:32:59,https://t.co/dNwQNikwKz Spirit 'siri na pacce'
erickdidudidu,2021-03-19 09:06:01,@ruhutsitompul SBY top
erickdidudidu,2021-03-19 09:03:13,"TP instruksikan PG kawal pembangunan std mattoanging, mantap TP semoga secepatnya Std GM Pare berbenah biar PSM Mainnya gak jauh2 amat dn berat diongkos"
erickdidudidu,2021-03-19 09:00:49,@evamoa @kampung_buku @thejimpe Saya ijin di antrian setelah bunda baca ya 🙏
erickdidudidu,2021-03-18 21:09:11,POGBOOOOOM !!!!!
erickdidudidu,2021-03-18 19:47:29,#StopAsianHate https://t.co/7CcnSlvL9z
erickdidudidu,2021-03-18 05:19:57,#stopallengland2021 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
erickdidudidu,2021-03-18 02:29:57,@bwfmedia NOT FAIR NOT FAIR NOT FAIR NOT FAIR 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨
erickdidudidu,2021-03-18 02:10:50,@bwfmedia @YonexAllEngland NOT FAIR
erickdidudidu,2021-03-18 02:10:29,@bwfmedia NOT FAIR ✊🏽
erickdidudidu,2021-03-17 16:34:12,@FUKADA0318 Happy birthday 🥳
erickdidudidu,2021-03-17 08:53:50,@mgfiratulistqmh Mbak fira semangat 💐
erickdidudidu,2021-03-17 08:50:32,@FUKADA0318 Arararaaa
erickdidudidu,2021-03-16 06:49:33,@hardiantisafri Mana saya tahu
erickdidudidu,2021-03-15 17:00:07,Seorang Legenda Hidup akan ke Makassar #PialaMenpora2021
erickdidudidu,2021-03-15 15:59:54,❤️ https://t.co/VY0Z3sxG8I
erickdidudidu,2021-03-11 09:40:00,@aryfuzza @SupirPete2 @aMrazing Bahahaha masih lama om 🙏
erickdidudidu,2021-03-10 11:17:15,@aMrazing Yang area Makassar Aku jualan kepiting olahan 😍🙏 https://t.co/q13mef0acn
erickdidudidu,2021-03-09 16:42:52,@hardiantisafri Ulangi saja wkwkkw
erickdidudidu,2021-03-09 16:39:28,@hardiantisafri BBF
erickdidudidu,2021-03-09 16:29:57,Ada ibu ibu gaes.. https://t.co/lGE9fvF3qf
erickdidudidu,2021-03-09 12:48:54,@suldgkulle Ngeri sudah vaksin langsung hujan2 pak pres 😍
erickdidudidu,2021-03-08 15:15:46,Persija Borneo Bhayangkara PSM
erickdidudidu,2021-03-08 15:08:39,@cupanghiass Mulesss
erickdidudidu,2021-03-08 02:26:57,@msaid_didu Gak mau dengar ya pak? https://t.co/LrEnCIO9en
erickdidudidu,2021-03-08 02:25:30,@iradiomakassar Sering jd korban dan pernah jadi pelaku 😂😂😂
erickdidudidu,2021-03-07 14:34:25,Punya segudang sayaaa wkwkkw https://t.co/aKKAMUXvZu
erickdidudidu,2021-03-06 23:58:05,Wadduh... Kemunduran https://t.co/Rsec3HOYX0
erickdidudidu,2021-03-06 13:07:40,Dari awal tahun pemain PSM keluar terusssss ... Gak ada masuk2 sebell ihhh
erickdidudidu,2021-03-05 10:33:31,Long Life The Queen https://t.co/TXtI3iIxCQ
erickdidudidu,2021-03-05 10:28:03,Kudeta #Demokrat Keinginan Penguasa ?
erickdidudidu,2021-03-03 03:38:48,@Daeng_Info Klo sirkuit balap banyak sih yg punya pribadi 😀
erickdidudidu,2021-03-03 00:12:38,@hardiantisafri @JohnMayer Mirpja klo gonrongka
erickdidudidu,2021-03-03 00:12:02,Dbarombong NA tdk mau lanjut Mattoanging diminta renovasi NA mau biking ulang dn sudah rata NA non aktif Kasian 2 Stadion
erickdidudidu,2021-03-03 00:08:51,@ekhanurulh Gak gitu juga caranya dik
erickdidudidu,2021-03-03 00:08:24,B117 UK mutation udah masuk Indonesia gaes.
erickdidudidu,2021-03-02 14:08:01,Bikin klub dan dikelola sama pendukung setan merah karena muak dengan pemilik MU skrng Glazer
erickdidudidu,2021-03-02 14:06:11,"FC United of Manchester, (FCUM) sebuah kesebelasan kecil yang didirikan oleh, dari dan untuk para pendukungnya."
erickdidudidu,2021-03-02 14:00:49,Suporter MU kecewa sama pemilik bikin klub sendiri dong nih klubnya @FCUnitedMcr
erickdidudidu,2021-02-27 17:00:56,"@Botsun @papankosong Gue juga pernah ditinggal nikah, beberpa thn kemudian gue balas dong"
erickdidudidu,2021-02-27 16:58:21,@dimasprakosooo Ineee kepiting didu adaji di grabfood/gofood https://t.co/ZdkeFe2CO0
