username,created_at,text
ferrafbryn,2021-06-13 06:32:32,Sedih bgt kucing gue abses. Nanahnya banyak bgttt :( besok langsung bawa ke puskeswan
ferrafbryn,2021-06-13 05:30:21,@yudickatif Efeknya setelah vaksin apa kak yud?
ferrafbryn,2021-06-13 05:27:13,"Setelah 48 jam sejak vaksin diberikan, yang gue rasain: -masih sakit di area bekas suntikan Alhamdulillah. Pulih dengan cepet."
ferrafbryn,2021-06-12 08:53:36,"Setelah 30 jam sejak vaksin diberikan, yang gue rasain: -mulai membaik (gak demam lagi) -tp pala agak cenut2 dikit tp gak separah tadi pagi -badan masih pegel2 -area yang disuntik masih sakit"
ferrafbryn,2021-06-11 21:39:38,"""Fer kok lu bisa dapet vaksin sih?"" Atau ""vaksin dimana?"" Jawaban gua: Ya bisa dong. Kenapa engga? Btw, karena gua ber-KTP DKI, jadi gua ikut program yang ini ya guyz 👇 Bisa ke puskesmas/rsud setempat. Kalo gua sih di puskesmas aja yang lebih deket. https://t.co/XTQBuvB2vK"
ferrafbryn,2021-06-11 21:36:26,"[Update] Setelah 18 jam dosis vaksin diberikan, yang gue rasain: -area yang disuntik bikin pegel2 dan sakit -pegel2 juga sebadan -demam (tapi gua masih bisa jalan dan melakukan aktivitas lainnya)"
ferrafbryn,2021-06-11 21:20:46,Dosis I diberikan pada tanggal 11 Juni 2021 sekitar pukul 10.15 WIB.
ferrafbryn,2021-06-11 21:19:49,I got vaccinated! #vaccinated #AstraZeneca https://t.co/3e2GjLS9mG
ferrafbryn,2021-06-10 16:27:28,Padahal besok gua vaksin. Tapi gak bisa tidur dah
ferrafbryn,2021-06-10 03:50:09,@cancuttt Wkwkwkw 😭
ferrafbryn,2021-06-09 16:07:58,"@alfansyaam WKWKWKWKW keren bgt yaa. Gua malah jd pengen kuliah lanjut studi s2 diluar negeri, pengen mendalami lebih sekalihus ngebandingin hukum di negara setempat dan di indonesia sendiri, jadi haus belajar gitu dah wkwkwk jiaakh"
ferrafbryn,2021-06-09 12:04:55,@anonbadut WKWKWKWKWK demi ampun🤣 niat bgt jd membuka kasus lama
ferrafbryn,2021-06-09 11:28:33,@yourpetsfess Wkwkwkw iya ya. Tp jd gemesz
ferrafbryn,2021-06-09 08:56:07,@srhryatii @hilmarch00 Mari kita pantau sama2😊
ferrafbryn,2021-06-09 08:17:25,@ohmybeautybank Cantik bgt kamuuu😭
ferrafbryn,2021-06-09 08:13:48,@cactuussssss @collegemenfess Wkwkwkwk
ferrafbryn,2021-06-08 00:48:04,@ohmybeautybank Klo dipuskesmas gretong. Klo mau di rs tapi yang RSUD yeee. Cuma 90rb per rahang (2019)
ferrafbryn,2021-06-07 16:07:35,@ZOO_FESS Kok pada bilang kek sapi sih? Menurut w lebih ke kayak anjing dalmatian
ferrafbryn,2021-06-07 05:46:09,@bluishpasta WKWKWKWKWKWKWK 🤣
ferrafbryn,2021-06-07 05:01:42,Bingung bgt mau makan siang tp liat2 grabfood menunya pada ayam semuaa😫😫
ferrafbryn,2021-06-06 08:41:03,@alvisptsr YaAllah kak iya bgt dah :( temen2 gua aja udh pada lamaran or tunangan dah
ferrafbryn,2021-06-03 15:18:25,"Serrruu bgt ya main twtr skrg soalnya liatin orang war atau debatin hal gak penting terus adanya SJW-SJW-an wkakwkakw. Tapi kok masih ada aja yg bilang ""Twitter gak seru dah"" 🤣🤣"
ferrafbryn,2021-06-03 15:12:36,"@JANGANSENTUHAQq Gua klo lagi liat ciwi hijabers pake baju kek begini selalu ngebatin ""Nih org apa udh gak ada baju lagi yaa jadi pake kek begitu"""
ferrafbryn,2021-06-03 12:00:19,@abcdefghijae6 Kurang doo bee doo sih ini
ferrafbryn,2021-06-03 11:05:44,@yourpetsfess Semoga rejeki sender terus mengalir lancar biar bisa terus membuat glow up mengnya ya 😁
ferrafbryn,2021-06-03 10:49:00,@hilmarch00 ANJROT. Sangat konsumtif ya buk wkwkw
ferrafbryn,2021-06-03 10:48:31,@eggrolllovers @hilmarch00 Wkwkwkw 🤣🤣🤣 gildas emang
ferrafbryn,2021-06-02 11:40:08,@lilnzi Wkwkwkww🤣🤣🤣
ferrafbryn,2021-06-01 05:10:29,@indrimlyn Wkwkwkw 🤣🤣
ferrafbryn,2021-05-31 06:04:04,@prwtall Yaampun kak wkwkwk. Aku aja yg cuma viu dan netflix udh ngerasa bangkrut wkwk Klo disney plus belinya sekalian yang ada buat paketan tsel jd gak rugi2 amat
ferrafbryn,2021-05-31 05:05:02,@daningpr Semangatt ayang
ferrafbryn,2021-05-30 22:25:31,@hilmarch00 Lu pasti gilakk dah wkwkw
ferrafbryn,2021-05-30 14:13:49,"Gua pake spaylater cuma bener2 buat barang yang gua butuhin doang, bukan barang yg gua pengen, dan kebetulan juga lagi gak megang uang buat bayar semuanya. Kalo ada uang buat bayar gua gak pake spaylater."
ferrafbryn,2021-05-30 14:10:59,"Selama kurleb jalan setengah tahun pake paylater ini, alhamdulillah masih kekontrol (versi gua). https://t.co/BpyuiKJ4Gk"
ferrafbryn,2021-05-30 14:09:33,@Askrlfess Astagfirullah sender kamu konsumtif sekali😭 yukk bisa yukk kontrol nafsu buat lirik2 syopi.
ferrafbryn,2021-05-30 13:45:00,Tapi kok bisa ya orang2 pada seenaknya parkir mobil dipinggir jalan yang jelas2 ada plang dilarang stop dan dilarang parkir... Bener2 gak habis pikir...
ferrafbryn,2021-05-30 13:42:55,"Gak habis pikir sama orang yang mobilnya diderek terus marah2. Jelas2 ada plang dilarang stop, berenti aja gak boleh apalagi parkir gilak. Gua kalo bawa mobil tahan2 bgtt gak makan dipinggir jalan yg cuma bisa parkir dipinggir jalan. Mending pulang dulu dan ambil motor."
ferrafbryn,2021-05-30 10:57:06,Turut senang dan berbahagia dengan orang2 di ig first gua yang udah pada tunangan dan nikah....
ferrafbryn,2021-05-30 10:54:28,"@ohmybeautybank Bagi gue sih gak banget. Tapi gatau klo yg lain, ya selera aja sih"
ferrafbryn,2021-05-29 19:17:20,"@pipitmilkita Maaf, bukan org jkt kayaknya. Tadi di komenan ada yg bilang klo komunitas sepeda itu dari tangsel."
ferrafbryn,2021-05-29 16:43:44,Gua udah panik aja bulan ini belum mens. Padahal udah anjay pas 10 terakhir puasa WKWKWKW allahu sumpah. Gua ngehnya pas cek period tracker
ferrafbryn,2021-05-28 13:44:24,@collegemenfess Gua klo dosen gini mah rajin dah. Waktu kelas offline pun pernah yang masuk cuma 5 orang aja padahal mahasiswanya 40an gilss. Tapi dia jg cuma nanya gitu aja dan tetep ngajar. Walaupun ngantuk dan gua kurang menyimak seenggaknya gua tetep apreasi dengan hadir dikelas beliau.
ferrafbryn,2021-05-28 11:03:04,Sampe umur 22 ini gua gak minat samsek buat bikin rekening bank. Gua lebih milih apa2 lewat ovo/dana dan duit ditabung secara manual wkwkwk.
ferrafbryn,2021-05-28 11:01:19,@kochengfess Sate ayam dimana 13rb anjirr😭😭😭 sate ayam di jkt menangez
ferrafbryn,2021-05-28 10:05:52,@kochengfess Gatau mau sedih atau ngakak. Bener2 bingung :(
ferrafbryn,2021-05-28 09:14:17,Pusing bgt liat judul berita. 'Seorang wanita dibunuh teman pria' 'Suami bakar isteri' Dan lain2nya yg korbannya perempuan. Kenapa sih pada beraninya sama perempuan doang? Lu pada gak punya ibu ya? Atau lu kalo disuruh duel sesama laki2 juga melempem.
ferrafbryn,2021-05-28 09:11:42,Seneng bgt semenjak lulus kuliah. Gua lebih berguna dan full bantu usaha nyokap.
ferrafbryn,2021-05-28 05:33:03,"Banyak yg bahas2 kista atau miom. Gua jadi panik sendiri, karena perut makin buncit, terus telat (maret ini gak mens), dan sekarang bulan mei udah telat mau seminggu. Apa senin gua cek ya ke puskesmas yaa"
ferrafbryn,2021-05-27 23:06:45,Kira2 kalo nanti udah ada gopay dan gopaylater. Ovo masih ada gak yaa. Semoga aja masih ada. Jadi mau bayar banyak opsinya
ferrafbryn,2021-05-27 22:50:51,Kok sekarang panik bgt ya klo telat mens. Semoga gak kenapa2 deh.
ferrafbryn,2021-05-27 13:47:00,"Selalu kemana-kemana berdua, tidurpun bareng, sekarang 22nya udah sama-sama di surga juga💕💕 semoga kita bisa ketemu lagi yaaa... https://t.co/4jvhZ6lEvg"
ferrafbryn,2021-05-27 09:11:38,@txtdarigajelas WKWKWKWKWK
ferrafbryn,2021-05-26 10:51:30,@FOODFESS2 Wkwkkw menolak lupa
ferrafbryn,2021-05-25 07:17:23,@AREAJULID Hamil diluar nalar
ferrafbryn,2021-05-24 12:50:33,Konten dulu. Malu belakangan. Hshshhs https://t.co/SLXJJDEMGS
ferrafbryn,2021-05-24 05:14:32,Sumpah jelek bgt sinyal smartfren di daerah setu babakan. Demi apapun emosi gua
ferrafbryn,2021-05-23 07:56:54,@FOODFESS2 Jakarta area nyebutnya selalu daun bawang🙃👌
ferrafbryn,2021-05-23 07:22:58,Tadi jalan2 sampe ke jakbar dan jakut. Dan serius sih menurut gua better tinggal di jaksel anjay. Bersyukur bgt tinggal di jaksel 😥
ferrafbryn,2021-05-22 13:34:11,"@bertanyarl Selalu jadi 'vera' atau 'verra' 😊👍 Template gue ngeja nama ""Ferra, F fanta dan double R ya"""
ferrafbryn,2021-05-22 13:31:08,@srhryatii @eggrolllovers Sumpah iya. Bener2 ajeng wkwkwk
ferrafbryn,2021-05-22 01:27:32,@Paneelablue @bertanyarl WKWKWKWKWKWK PLSS
ferrafbryn,2021-05-21 08:45:53,@balsmm WKWKWKWKKWKW anjgg tp bnr jg ya
ferrafbryn,2021-05-21 08:41:42,Who killed sara? ✅ Move to heaven ✅ Sekarang lanjutin mouse gaspol sampe tamat karena emg udah tamat huhehe
ferrafbryn,2021-05-20 23:09:25,@collegemenfess Gua sih ngga bgt. Karena di kafe atau kopisyop gt berisik org2 pada haha hihi. Mending perpus lah
ferrafbryn,2021-05-20 23:01:40,"Kan diawal tuh pada bilangnya 'Minjem' bukan 'minta' apalagi 'gua bayarin deh'. Tapi malah gak balik. Walaupun bukunya gak penting tp kan soal kepercayaan orang yg minjemin. Harusnya kesadaran masing2 mesti ditingkatin sih, klo gak dari diri sendiri tuh susah"
ferrafbryn,2021-05-20 22:57:37,Kenapa ya orang2 klo minjem buku tuh suka bukunya gak balik lagi. Perasaan gua dulu klo minjem sama abang2an selalu pas tiap ada jadwal uasnya lgsg gua balikin ke yang punya.
ferrafbryn,2021-05-20 13:05:30,@sbripp @txtdrberseragam Lah iya juga yaa...
ferrafbryn,2021-05-20 12:58:39,ADUH BANGKE NANGIS BGT MOVE TO HEAVEN EPS 8 😭😭 *terakhir nangis di eps 1
ferrafbryn,2021-05-20 09:44:58,@kdrama_menfess YASSHHHHH🔥🔥
