username,created_at,text
fitriindy,2021-04-26 14:40:46,@jiioouu @martabuckkolor @auliasoebardi org dlm lebih ngefek yah bang 😂
fitriindy,2021-04-25 05:45:00,@radenrauf lebih baik jalani aja dulu tapi ga saling nyakitin dan berakhir dengan bahagia dibanding ada status tapi nyakitin dan berakhir kebencian
fitriindy,2021-04-24 13:09:41,@ecandowsky tapi orglain ga paham artinya patah hati cuma bisa membully
fitriindy,2021-04-24 13:08:51,@FiersaBesari diusia berap kamu sadar kalau yang baik bisa nusuk dari belakang
fitriindy,2021-04-18 08:41:18,@andihiyat udah ditahap berusaha semaksimal mungkin sisanya serahin semuanya sama Tuhan
fitriindy,2021-04-15 14:30:58,"@andihiyat barisan terdepan smp muak ngikutin nya jg haha liat org"" ko gampang bgt yah menang giveaway"
fitriindy,2021-04-15 14:29:26,@ianhugen tapi ga bisa kalau udh satu ya fokus dan ujungnya sakit deh kalau ga sesuai ekspetasi
fitriindy,2021-04-14 14:42:17,"@yaelahcan pernah , saking percaya nya dimafaatin trs""an padahal tau dia busuk setelah nyerah dan mutusin pergi dia nyesel smp mohon"" buat balik tapi sayangnya buat denger namanya aja udh muak"
fitriindy,2021-04-12 20:39:24,@dsuperboy maafin gampang tapi lupain susah apalagi buat ngulang
fitriindy,2021-04-12 15:15:02,"@indomilkyut @caesaratiensya @dickyosua_ @lalaaphonee abg kurirnya emg judes mukanya tapi ga pantes digituin, lagian aku yg langganan sama dia baik ko kasian pokonya, aamiin ka"
fitriindy,2021-04-12 15:14:05,"@intaanal @iasa_marssia @mmfmaungumpet @caesaratiensya @dickyosua_ @lalaaphonee ih nyebelin bgt yah ka, jailnya kebangetan kalau gitu kan rugiin bgt"
fitriindy,2021-04-12 11:00:14,"@fanthifa @mmfmaungumpet @iasa_marssia @caesaratiensya @dickyosua_ @lalaaphonee nah iya 3hari lalu sodara ga psn apa"" tiba"" ada paket bayar cod yg dirumah anaknya ya dia bayar aja emgsih ga seberapa cma mngkn krn kurirnya lagi cape jadi kurirnya marah"" bilang no nya ganti"" padahal orgnya beda tapi namanya sama untung yg punya paketnya tetangganya"
fitriindy,2021-04-12 10:58:30,@_Turunan @lalaaphonee alhamdulillah yah mas
fitriindy,2021-04-12 10:58:02,@intaanal @iasa_marssia @mmfmaungumpet @caesaratiensya @dickyosua_ @lalaaphonee namanya sama ga?
fitriindy,2021-04-12 10:57:31,"@maulbaebae @dickyosua_ @lalaaphonee entahlah mas tapi dia sering cod , kayanya gegara salah perkiraan kirim cpt deh kasian kurirnya udh cape dimarahin"
fitriindy,2021-04-12 10:56:12,"@caesaratiensya @dickyosua_ @lalaaphonee kayanya sih perkiraan estimasi dia ga secepat itu jadi pas dtg dia ga megang uang, kasian sih kurirnya dimarahin trs diviralin pula"
fitriindy,2021-04-12 10:54:56,"@iwishiwashappyy @lalaaphonee akupun kalau lazada seringnya cod dan biasanya titip uang ke org rumah jadi aman, kurirnya pun udh kenal jadi suka bilang kalau ga keburu suruh keep aja kasian kalau ujan"
