username,created_at,text
fridamayanti,2021-06-06 10:34:51,Random banget tetiba pengen lumpia semarang
fridamayanti,2021-06-01 09:02:10,Pengen mie goreng indom**
fridamayanti,2021-05-24 11:04:37,Followers ku di kantor https://t.co/mp4vkwgdkm
fridamayanti,2021-05-21 12:56:48,@TrinityTraveler Sheila on 7 ka
fridamayanti,2021-05-20 12:54:51,"@txtdarigajelas Aku posisi jadi yg ngajak salaman ke cwo, malu banget woy"
fridamayanti,2021-05-18 11:25:48,Mau makan yg manis-manis besok 😊
fridamayanti,2021-05-17 14:00:19,"Maskeran, malah mukanya kaya hulk"
fridamayanti,2021-05-17 09:46:48,So bad https://t.co/fZSZc5lZZs
fridamayanti,2021-05-17 09:22:45,"Udah frid fokus benerin muka aja, gak usah kepo lagi"
fridamayanti,2021-05-17 06:30:33,"Bisa2nya orang pke kerudung item, navy, abu, coklat jadi keliatan cantik, aku pake warna itu buluk banget"
fridamayanti,2021-05-16 14:02:36,Kakiku pegal
fridamayanti,2021-05-16 02:05:26,Kameranya terlalu jujur
fridamayanti,2021-05-15 10:04:50,"Jadi inget pertama kali pake pentul di kerudung, deg2an takut ketusuk"
fridamayanti,2021-05-15 08:32:16,Klo gk pergi : baju di lemari ko banyak yg gk kepake ya Pas mau pergi : ko kaya gk punya baju
fridamayanti,2021-05-15 05:42:06,Here’s an episode for you… kita gak bisa. episode of Rintik Sedu https://t.co/QDIuoRK29P
fridamayanti,2021-05-09 12:06:58,"Tiba-tiba sakit kepala, kerja ge kaga"
fridamayanti,2021-05-09 09:57:01,@PRIMAYANGPUTRI 🥺🥺
fridamayanti,2021-05-09 00:55:44,Ngerasa jadi orang yg paling jelek se office itu sungguh gk enak
fridamayanti,2021-05-07 13:01:24,@PRIMAYANGPUTRI Hidup di wkwkland gini banget
fridamayanti,2021-05-06 14:08:00,Nonton law school malah pusing
fridamayanti,2021-05-06 14:01:23,"@novegasuci Gabut pas lebaran, mentok2 cuma bisa video call, so sad 😭"
fridamayanti,2021-05-06 12:55:47,"@novegasuci Sama dong kita, terjebak disini 🤭"
fridamayanti,2021-05-06 12:49:38,@novegasuci Teteh teh cikarang?
fridamayanti,2021-05-06 12:48:54,"Bismillah , banda neira https://t.co/SIiRf2j2d6"
fridamayanti,2021-05-05 11:58:34,"@KuntoAjiW Aku mas, akan jadi tahun kedua lebaran di kosan"
fridamayanti,2021-05-05 11:57:31,"Cerita apa aja aku dengerin ko, mau gaje, garing, cerita yg diulang bahkan tapi asal dia yg cerita ya jadi nyenengin https://t.co/skmMHEHqiH"
fridamayanti,2021-05-04 14:20:34,"Beli kue nama bla bla cheese special, excited banget pas dicobain ini adalah adonan kue putri salju yg kejunya kerasa banget, sayangnya kue putri salju adalah salah satu kue yg aku gk suka 🙃"
fridamayanti,2021-05-04 13:55:27,"Klo kenangannya tiba2 datang gimana, ya biarin aja toh gk bisa digimana-gimanain lagi, biasanya yg tiba2 datang suka tiba2 pergi juga, ujung2 nya, yaudahlah"
fridamayanti,2021-05-04 03:07:20,@novegasuci Di aku wfh nya hanya mitos teh
fridamayanti,2021-05-03 23:40:56,@novegasuci 🙈🙈
