username,created_at,text
gorjesparkle,2020-11-03 14:28:41,"@pandakelelep_ Iyaa betul bgt, sampe ditulisin H-berapa di papan tulis kelas 😭"
gorjesparkle,2020-10-30 02:07:55,@yuventapareira Asiq bgt
gorjesparkle,2020-10-21 08:31:50,@BayuKresnaYoga @ainaadlin @iksTiddiesiks @tehhahaa @beautipulmee Boljug tuh
gorjesparkle,2020-09-22 14:04:36,@BayuKresnaYoga @tehhahaa @collegemenfess Lah kirain pake 😭
gorjesparkle,2020-09-22 06:46:48,@collegemenfess @tehhahaa @BayuKresnaYoga nih referensi buat yg pengen beli
gorjesparkle,2020-09-14 10:27:54,"Dari pagi org rumah gaada yg bisa ditelponin, gimana jak keadaan banjir di rumah"
gorjesparkle,2020-09-01 17:01:47,Pas bgt emg dengerin day6 yeppeosseo sblm tidur
gorjesparkle,2020-09-01 16:50:48,@yyxxvII Semangat dong qaqaa 😘
gorjesparkle,2020-08-17 17:31:54,@BerburuSale @tehhaahaha @beautipulmee
gorjesparkle,2020-08-10 17:10:36,@emilianahema Yey mangats!!
gorjesparkle,2020-08-06 00:56:59,Masih nyari asa
gorjesparkle,2020-07-30 09:18:11,@tehhaahaha Bangke ni anak
gorjesparkle,2020-07-29 17:59:02,@BayuKresnaYoga WKEKW bukan gitu anjer
gorjesparkle,2020-07-29 17:58:09,@yyxxvII Bertapa teros kau yoti
gorjesparkle,2020-07-29 17:57:24,@korneliaolga Bukan hanya aku ternyata ya
gorjesparkle,2020-07-29 15:47:22,Dah 4 bulan di putussibau ntar pas balik jogja pasti bakal sering keceplosan bahasa ulu wkwkw
gorjesparkle,2020-07-20 08:16:28,Yey kelar dah tu proker kkn onlen
gorjesparkle,2020-07-20 08:05:21,@BayuKresnaYoga @GhoziDafa @tehhaahaha @beautipulmee @michaelaichaa1 @dwiputrikusuma Begitu liat soal nya https://t.co/4Hvgkb5ywN
gorjesparkle,2020-07-08 11:50:19,Jalan jalan dan es krim emg moodbooster paling ampuh
gorjesparkle,2020-07-07 07:04:37,@yyxxvII Minimal tu maksudnya woy 🤣
gorjesparkle,2020-07-07 06:53:55,@yyxxvII Niatin dehh min skinkeran ntar seneng liat hasilnya wkwkkw
gorjesparkle,2020-07-06 17:43:48,@risa_saraswati @anast_natalia
gorjesparkle,2020-07-02 04:25:31,@BayuKresnaYoga @chalistonggg @infodrakor_id @tehhaahaha Bingo!
gorjesparkle,2020-07-02 04:24:19,@chalistonggg @tehhaahaha @infodrakor_id Jamet korea 😂
gorjesparkle,2020-07-01 09:17:32,@chalistonggg @infodrakor_id @tehhaahaha KOK MIRIP YA SAMA FOTO SESEORANG PAS DI AUDITORIUM 🤣🤣😭
gorjesparkle,2020-06-12 19:24:52,What goes around comes around
gorjesparkle,2020-06-09 12:27:28,@GhoziDafa Astaga ternyata bukan cuman aku
gorjesparkle,2020-06-07 16:27:44,@jesiichag @ranney67 @yyxxvII @_joannecl @Tipatcantokk1 @tehhaahaha @jeescl301 Hadeh pasti kaca nya di kos rusak
gorjesparkle,2020-06-07 03:38:05,@tehhaahaha @beautipulmee https://t.co/FxGdGpzlKN
gorjesparkle,2020-06-06 06:44:24,@atausasahayoo https://t.co/dg7cqsp5AB
gorjesparkle,2020-06-06 06:13:46,@Janise11 https://t.co/BXFuJuiYEi
gorjesparkle,2020-06-06 02:39:15,@GhoziDafa https://t.co/R2xM1HKQBo
gorjesparkle,2020-06-05 17:53:10,Nikmat bgt rebahan habis produktif seharian
gorjesparkle,2020-06-05 14:49:35,@jesiichag WOY SAMAA 😭😭😭
gorjesparkle,2020-06-01 15:57:26,@irenaeldryanti 😅😅
gorjesparkle,2020-06-01 15:51:57,@BayuKresnaYoga Ampun master
gorjesparkle,2020-06-01 15:51:46,@ranney67 Ga ketebak emg bapake
gorjesparkle,2020-06-01 13:17:08,Bapake nawarin aing amer kek nawarin kerupuk basah
gorjesparkle,2020-05-30 03:52:19,"@jesiichag Iya weh, mau balik susah tetap disini gak tenang"
gorjesparkle,2020-05-30 03:49:05,@BayuKresnaYoga Daebak prof 👏
gorjesparkle,2020-05-29 17:35:42,Mayan lah ngasah intel nonton drakor signal ni
gorjesparkle,2020-05-29 17:29:25,@dibasabitaa U ow ngp jak ni
gorjesparkle,2020-05-29 16:35:34,@Agusbudiarthaa Salah server
gorjesparkle,2020-05-28 11:19:03,@BayuKresnaYoga Jgn ngadi ngadi
gorjesparkle,2020-05-28 11:15:41,@tehhaahaha Ini sih mimpi buruk
gorjesparkle,2020-05-28 11:13:31,@GhoziDafa Bjirr
gorjesparkle,2020-05-28 11:13:22,@atausasahayoo Ketemu suho 🤭
gorjesparkle,2020-05-28 11:13:12,@Janise11 Ketemu seo kang jun 🤭
gorjesparkle,2020-05-28 06:17:50,Anjay bgt mimpi semalam
gorjesparkle,2020-05-25 12:44:16,@Janise11 @infodrakor_id @tehhaahaha Gils itumah bibit unggul semua
gorjesparkle,2020-05-17 16:48:52,@tehhaahaha @Reyeeeah @jesiichag Aku juga tau semua dongs yg disitu ehe
gorjesparkle,2020-05-13 03:43:48,@tehhaahaha @kapansarjana_ @michaelaichaa1 @Janise11 Hadehh
gorjesparkle,2020-05-12 03:28:47,@tehhaahaha Qaqanya imoet sich
gorjesparkle,2020-05-12 03:24:28,@BayuKresnaYoga @atausasahayoo GENRE FILM ASTAGAA 🤣🤣🤣
gorjesparkle,2020-05-12 00:33:52,"@BayuKresnaYoga @atausasahayoo Jangan salah yog, artis entikong dia dulu"
gorjesparkle,2020-05-11 17:17:19,@cancerush @atausasahayoo Iyaa husna nn gak yg foto 😭🤣
gorjesparkle,2020-05-11 16:01:35,@atausasahayoo https://t.co/k7XQnAowDN
gorjesparkle,2020-05-11 15:57:27,"Mata klo diajak nugas aja sampe merah nahan ngantuk, giliran main hp terang benderang kek liat oppa 🤩"
gorjesparkle,2020-05-11 15:49:51,@atausasahayoo Woi dasar sasaeng fans
gorjesparkle,2020-05-10 16:58:15,@tehhaahaha @soompi Itu aku ikutan foto juga te WKWK
gorjesparkle,2020-05-10 03:50:10,@GhoziDafa 😭😭
gorjesparkle,2020-05-10 03:20:41,@GhoziDafa Buruan nonton
gorjesparkle,2020-05-09 15:59:41,"Rewatching the haunting of hill house, 4 episode 1 hari mantep"
gorjesparkle,2020-05-06 16:34:21,@BayuKresnaYoga Kesyan :( makanya jan kebanyakan rebahan
gorjesparkle,2020-05-06 13:25:04,@BayuKresnaYoga Kalo kelompokku sih dapat AAS
gorjesparkle,2020-05-05 09:20:11,@Janise11 MATE AQUU
gorjesparkle,2020-05-05 09:17:16,Ada ada aja ya
gorjesparkle,2020-05-04 12:15:50,@tehhaahaha @AlberthaNovela Ini kayak @atausasahayoo sm @AlberthaNovela kelahi
gorjesparkle,2020-05-04 12:13:19,@michaelaichaa1 @collegemenfess @atausasahayoo @tehhaahaha @Janise11 @AlberthaNovela Kalian siapa eh
gorjesparkle,2020-05-01 12:40:21,@Agusbudiarthaa Haduh ngerti bgt om
gorjesparkle,2020-05-01 12:37:42,@atausasahayoo Bagi dong 1 juta nya buat beli
gorjesparkle,2020-05-01 12:03:38,Napasi gabisa nahan godaan hedon klo liat sepatu/sandal yg bagusan dikit
gorjesparkle,2020-04-30 17:14:27,Bener bener penyegaran mata nonton seo kang jun sebelum tidur
gorjesparkle,2020-04-29 08:08:07,@atausasahayoo @jesiichag Congrats papa muda :')
gorjesparkle,2020-04-23 15:48:00,@Janise11 @infodrakor_id @tehhaahaha @michaelaichaa1 @atausasahayoo Wihh mantap bang
gorjesparkle,2020-04-23 06:44:04,"@atausasahayoo Padahal situ pernah 1 ukf, dance bareng lagi aduhh"
gorjesparkle,2020-04-22 14:56:28,@BayuKresnaYoga @GhoziDafa @IsabelaAlfin Sembarang aja ni org
gorjesparkle,2020-04-22 14:39:50,"@BayuKresnaYoga @GhoziDafa Mention aja, biar triple emejing kebentuk juga di twitter"
gorjesparkle,2020-04-22 14:17:33,@BayuKresnaYoga Biasanya sih itu tanda2 gila
gorjesparkle,2020-04-22 11:56:45,@GhoziDafa Astagadragon 😭😭
gorjesparkle,2020-04-22 11:54:32,"@GhoziDafa Katsu gale, strawberry cheesecake, kupy, koki joni, boba time...."
gorjesparkle,2020-04-22 08:32:47,@GhoziDafa Goodjob 👏
gorjesparkle,2020-04-22 06:01:20,@K_DramaIndo https://t.co/DG0jjzFJEC
gorjesparkle,2020-04-20 02:45:32,@Janise11 Can relate jan 😭😭
gorjesparkle,2020-04-19 16:58:08,@tehhaahaha @ayamanaayam @AlberthaNovela @michaelaichaa1 @Janise11 @atausasahayoo Iya ishh itu bikin emosi
gorjesparkle,2020-04-19 09:11:06,@tehhaahaha @infodrakor_id Yuhuuu
gorjesparkle,2020-04-18 07:42:35,@ranney67 Sadar juga kau heheh
gorjesparkle,2020-04-18 05:38:02,@ranney67 Racunin terus ran wkwk
gorjesparkle,2020-04-15 16:01:43,@atausasahayoo Berisik ni coro satu
