username,created_at,text
hasinaNr,2021-03-20 07:35:20,@amrullah_gilang @annisapupa Heh gosah berspekulasi aneh2😭
hasinaNr,2021-03-19 23:18:08,@annisapupa Hey jangan ngadi2 bay wkwk
hasinaNr,2021-02-27 11:21:07,"@citrapkurniaa Ci, sehat2 ya!😭"
hasinaNr,2021-02-25 09:48:05,@lkioty Knp?
hasinaNr,2021-02-06 12:21:31,@lkioty Aamiin ya Rabb
hasinaNr,2021-01-01 14:02:16,Mo sewa mesin nya buat TA😭
hasinaNr,2021-01-01 14:01:42,Kenalin aku ke pengusaha boba dong plis
hasinaNr,2020-12-31 08:20:56,@gizipedia_id Oren
hasinaNr,2020-12-30 08:39:58,@FOOD_FESS Wkwk bener bgt
hasinaNr,2020-12-20 15:51:50,Bimbingan laporan pkl tengah malem bgt edun
hasinaNr,2020-12-17 04:45:16,@gizipedia_id done
hasinaNr,2020-12-07 12:47:00,😭 https://t.co/90sfihQaY4
hasinaNr,2020-10-25 09:53:27,Plis sp yg mau sponsorin buat skripsi aku😭
hasinaNr,2020-10-25 09:52:59,Pgn nangis bgt ketika ngliat harga persampel buat analisis lab😭
hasinaNr,2020-10-22 03:35:09,Selamat hari santri nasional🥺 https://t.co/UPrl5Yj4PP
hasinaNr,2020-10-03 09:43:23,@menungsaa Aku pilih yg boomerangin aja
hasinaNr,2020-09-30 23:04:17,@gadabadan 🙋 wkwk berasa najwa shihab
hasinaNr,2020-09-29 13:08:57,@gadabadan Wkwk 😂
hasinaNr,2020-09-29 07:54:08,@gizipedia_id Mau bgtt min
hasinaNr,2020-09-29 07:50:48,@collegemenfess Smg bawah
hasinaNr,2020-09-19 00:19:06,@ganjarpranowo Pak ganjar suka nyroto di pasar manis balekraksa mboten pak?😅
hasinaNr,2020-09-18 16:35:16,@annisapupa https://t.co/YAkveo5n8o
hasinaNr,2020-09-18 16:16:13,@yasekarr Ni @Anwarhm_ lo ski dr kmrn kan juga mencari 24/7 pas bgtt wkwk
hasinaNr,2020-09-15 12:06:52,@cursedkidd Bangun2 kek orang linglung gitu ga ka willy
hasinaNr,2020-09-14 12:54:23,@Anwarhm_ @peyeay @jawafess Purbalingga itu
hasinaNr,2020-09-14 11:23:40,"@peyeay @jawafess Iya pey, wkwk tp lagi kek gini juga gmn ya wkwk jd memancing kerumunan😂"
hasinaNr,2020-09-13 15:55:47,@peyeay @jawafess Sepertinya iya peyy
hasinaNr,2020-09-12 04:13:49,@Anwarhm_ Mamski @yasekarr tanggungjawab nih aan sukanya jadi ngomong 24/7 wkwk
hasinaNr,2020-09-12 03:10:05,@Anwarhm_ Bosen jomblo tp bebeh punya pacar ya an wkwk
hasinaNr,2020-09-04 09:50:04,@gizipedia_id Terimakasih min🙌 Btw sbnrnya masih bnyk bgt pertanyaan ttg itu min😂😭
hasinaNr,2020-09-02 20:26:23,"@gizipedia_id Boleh jelasin cara biar bisa dapetin sub spesial di bidang dietetik ga min ehe, misal ahli gizi buat peny. gagal ginjal sub spesialis yg disebabkan oleh DM. Soalnya kl ga salah pernah baca ada ahli gizi dg gelar yg dijelasin ampe detail ke sub spesialisnya wkwk nuhun min"
hasinaNr,2020-08-28 15:55:56,"@citrapkurniaa Ciii! Happy 21st birthday😚 lancar2 skripsiannya, smoga thn dpn bisa wisuda offline bareng! Aamiin💛💛💛"
hasinaNr,2020-08-27 04:40:28,@ansmtnbl Cup2😭
hasinaNr,2020-08-27 04:25:55,@ansmtnbl Percayalah gada yg sia2 mit ;) yg ptg terus berprosess *Pesan dariku yg ngerjainnya jg sambil nangis batin😭
hasinaNr,2020-08-22 13:26:10,@ceeelllinnee @sasssymiii Iya kupikir ga semini itu wkwk
hasinaNr,2020-08-22 13:22:35,@ceeelllinnee @sasssymiii The real adoh2 cm pesen aer putih😂
hasinaNr,2020-08-22 13:21:13,@Anwarhm_ @sasssymiii @ceeelllinnee Merasa terpanggil yg beneran mesen aer putih wkwk
hasinaNr,2020-08-22 13:20:51,@ceeelllinnee @sasssymiii Banyu gunung wkwk
hasinaNr,2020-08-22 13:06:55,@kentangkentunk Iya nyicil setengahnya dl sa wkk
hasinaNr,2020-08-22 13:04:44,@RStyaaa Iya captionnya salah maap wkwk
hasinaNr,2020-08-22 12:44:05,Hamdalah kesampean jg foto sm member👄 https://t.co/BSfjapF4O6
hasinaNr,2020-07-30 15:09:50,"@RStyaaa Weh alhamdulillah, perlu disyukurin res"
hasinaNr,2020-07-30 07:00:49,@remahremahciki Mantap wkwk siapapun nnti smoga yg terbaik sa aamiin
hasinaNr,2020-07-30 06:52:12,@remahremahciki Siapa sa? Wkwk kepo
hasinaNr,2020-07-23 10:19:37,Sorew https://t.co/QB9jpCMCF0
hasinaNr,2020-07-15 14:49:24,@subtanyarl Panas :( wkwk
hasinaNr,2020-07-12 10:20:32,"Dah sengaja2 bgt khususon cuma ke smg, tp lupa ga ambil hp sekalian tuh gmn ya -_- alias cuma ambil baju kotor caw balik gada sejam. Ksl ke diri sendiri"
hasinaNr,2020-07-10 07:49:28,"@W0MANFEEDS Kalo acnes diaku nyepetin jerawat buat mateng, ditotolin trs lama2 jerawatnya kering dan bnr2 ilang tanpa bekas, buat efek rasanya lupa tp nek ga salah ky mint2 gitu nder, g sakit. Dah lupa karna makenya kira2 1,5 thn yg lalu wkwk tp aku pribadi mmg mayan cocok sama produk2 rohto"
hasinaNr,2020-07-10 07:32:29,"@W0MANFEEDS Nyoba verile diaku mayan ngebantu ngeringin jerawat tapi ada sensasi agak perih dan setelah kering jadi mbekas coklat gitu, jadi ga terlalu suka nder ehe"
hasinaNr,2020-07-08 07:22:01,@jek___ @frida15utami Eh maap ami terbawa
hasinaNr,2020-07-08 07:21:08,@jek___ @frida15utami Hmm😭
hasinaNr,2020-07-08 06:25:57,@citrapkurniaa Udeh ci wkwk
hasinaNr,2020-07-02 06:18:29,@lidyanovega Cieh hbd lidd
hasinaNr,2020-07-01 04:58:43,"@ansmtnbl @alyanuref @remahremahciki Dan kalo tiap hari konsumsi lbh dari kebutuhan jg bisa jadi masalah kesehatan, hipertensi. Kebutuhan garam jg sbnr nya cuma 1sdt/hari hehe"
