username,created_at,text
hidadahida,2021-05-27 07:04:51,@mbakrubyy @mitayaw @FiersaBesari @JeromePolin Siaduh 🤣🤣🤣
hidadahida,2021-05-05 06:51:19,@rdhnrst @liariyaa Oya siap. Hahaha gemes cosrx tida terlalu ngaruh 🤣
hidadahida,2021-05-05 03:22:48,@rdhnrst Serumnya dah masuk ke keranjang beb. Tp blom cekout 🤣 ini baru pake 1x meni krasa pisan mantappppppp wow
hidadahida,2021-04-10 01:49:17,Plis lah 🥲 https://t.co/XHwwogmyzR
hidadahida,2020-12-29 14:01:47,AWKAOWKAOWKAOWKOAKWKA https://t.co/kNpypsHiIB
hidadahida,2020-12-16 09:20:04,@_0_diiiie @liariyaa Makasih yah *naon 🤣
hidadahida,2020-12-08 14:39:38,Edan. https://t.co/zVerimfBuP
hidadahida,2020-10-24 15:31:53,"@_0_diiiie Meningan buka pintunya, lalu keluar dan main daripada nungguin terus 😜"
hidadahida,2020-10-06 11:22:29,@_0_diiiie @liariyaa Ikutlah 🤣
hidadahida,2020-09-04 01:23:41,Bengek 🤣 https://t.co/DoNl06oLc9
hidadahida,2020-07-21 02:45:20,@liariyaa @0_diiiie Hiiii sieun 🤪
hidadahida,2020-07-20 14:48:08,@0_diiiie @liariyaa Suda lupaaaa 🤣
hidadahida,2020-07-20 13:42:20,@0_diiiie @liariyaa Pake aasted berapa ini bikinnya? 😂🤣
hidadahida,2020-07-04 06:55:09,@ohmybeautybank @0_diiiie ini yg kemarin 🤭
hidadahida,2020-06-11 14:18:40,Oh iya ga sengaja. Mantap https://t.co/36SOwZo7Xd
hidadahida,2020-06-03 15:13:26,Bebaslahhhhh https://t.co/tJcv5JfZiX
hidadahida,2020-05-25 01:15:18,"Harus jawab apa? Maap tante, ga main gapunya sendal. Maap tante, bensin mahal bbm ga turun2. Ya kira2 aja 😭"
hidadahida,2020-05-25 01:14:20,Masih aja ada keluarga yg tanya. Kok ngga jalan kesini? Ngga silaturahmi? Kemarin tante lolos2 aja di pemeriksaan
hidadahida,2020-05-13 21:20:32,"Segabisa gabisanya cewek masak, ketemu anak yg GTM pasti mau masak 😅 ga mungkin gonta ganti rasa promina cerelac milna terus khannn *curhatan buibu yg semasa gadis tara masak https://t.co/lkhs3Cda0Y"
hidadahida,2020-05-13 14:13:10,Mantap mantap https://t.co/E31iLfyHqJ
hidadahida,2020-05-04 06:09:35,"@SamsatSoetta min mau tanya. Mobil sy plat palembang, mau bayar pajak 5tahunan. Karena lagi pandemi, pelabuhan ditutup. Bisa dibantu cek fisik di samsat soetta ngga ya? Kalo bisa, syaratnya apa aja? Nuhun"
hidadahida,2020-05-02 13:42:20,Allahuakbar 😂 https://t.co/f4mAc80NnC
hidadahida,2020-05-01 14:11:35,Kemiripan. Emejing. Wow https://t.co/O21ddQN5cv
hidadahida,2020-04-21 09:29:59,Setdah https://t.co/csJoUetx24
hidadahida,2020-04-17 13:58:04,"@FirstMediaCares malam min, tolong folbek mau kirim DM. Makasih"
hidadahida,2020-04-16 08:57:57,Sehat? https://t.co/aUk3qSadVr
hidadahida,2020-04-06 00:40:02,@rdhnst21 @liariyaa Apa cenah ini teh nu selingkuh?
hidadahida,2020-03-31 11:23:04,@rdhnst21 @liariyaa @febbyalim03 @_fahmiah @zianova @netijenjulidz @deniheryanaa @gelarjaya @kakkoiimem Lockscreen homescreen : gambar bawaan ti samsung. Last song : dah tara denger musik 😂 Photo ke15 : capa keur buligir. Watir lamun di post. Nanti pas dia udah gede bisi era ahahahahhaha Watir membosankan kieu hp aku nya 🤣
hidadahida,2020-03-27 14:41:21,Ada kan uangnya ini. Ada. https://t.co/hxmTaWbTZa
hidadahida,2020-03-14 09:22:24,Ya Allah 😢 https://t.co/tTAQQ2u15w
hidadahida,2020-02-08 08:00:19,"Se se semuanyaaaa enakkkk. Sambil cap cip cup daun kuncup, kepilih yg mana aja juga ena. Dompet doang yg ga ena 🤣 https://t.co/14lweX5jI8"
hidadahida,2020-01-26 05:51:57,Persis capa kalo bangun tidur 🤣 https://t.co/BsWJB6o1k2
hidadahida,2019-12-30 07:36:48,@rdhnst21 Kok kzl bacanya 🤭
hidadahida,2019-12-27 11:21:13,Waaaaaawwwww https://t.co/VezuryjJyG
hidadahida,2019-10-23 00:24:35,"Orang yg ngerokok kalo mau cium bayi harusnya gosok gigi dulu, pake mouthwash, mandi, sampoan, sabunan, ganti baju, terus gausah ngerokok dulu sebulan sampe nafasnya bebas nikotin 😑😑😑😑😑"
hidadahida,2019-10-09 14:02:19,👏🏻👏🏻👏🏻👏🏻👏🏻 https://t.co/hYHzI2QRIe
hidadahida,2019-10-03 16:14:18,"Diusut di akhirat sajalah, ngadu ke Allah. Di sini mah mau ngadu ke siapa 😵 https://t.co/4adf59lPgg"
hidadahida,2019-10-03 13:38:22,"Ku ngalamin ini. Jauuuuhhhhh banget bedanya, yg hilang dan yg Allah ganti. https://t.co/QbIlSTD014"
hidadahida,2019-10-02 11:02:29,"Gucci, LV, seragamnya sisesa semua yaaa 🤪 makmur https://t.co/AHLFdQAw4i"
hidadahida,2019-10-01 13:42:57,Naon ateuhhh https://t.co/xYPVq9AspP
hidadahida,2019-10-01 12:33:55,Warbyazah https://t.co/lIDtKWvqPt
hidadahida,2019-09-30 22:36:26,Ini pas mukulin inget Allah ngga ya? Inget semua perbuatan ada tanggung jawabnya di akhirat nanti 🤔 https://t.co/vFgBwPHNzH
hidadahida,2019-09-27 01:36:25,Buka twitter ngadon napsu dan ingin berkata kasar.
hidadahida,2019-09-24 14:37:01,@liariyaa @rodiahns Ehem eak auuuu gog 🤪
hidadahida,2019-09-24 02:28:14,Tajeeeerrrrr amat yeeee 🤪 https://t.co/I5cv6CS048
hidadahida,2019-09-24 02:26:31,Oke https://t.co/UglWZRM84C
hidadahida,2019-09-21 17:10:42,Mantap https://t.co/3U7iWh8jFH
hidadahida,2019-09-19 09:43:28,Asoyyy https://t.co/2loFwMQbok
hidadahida,2019-08-31 00:33:11,Sosmed : Papua memanas TV : Pak Jokowi bersepeda 😭😭😭
hidadahida,2019-06-23 10:13:36,"Yoga hamil 1.5jam, pulangnya sakit, pusing, ga enak badan, kecapean. Muterin pvj berjamjam sampe kaki bengkak, pulangnya sehat2 aja 🤔"
hidadahida,2019-05-28 07:43:46,Efek LDM per 3 minggu sama suami : hamil 8 bulan masih kuat bawa motor sendiri. Mobil pun jadi mubazir dirumah 😞
hidadahida,2019-05-25 15:57:49,"Baru makan nasi kebuli jam 20.30, 23.00 sudah krubuk2 lagi. Nih bayi nyedot amat 👶🏻"
hidadahida,2019-04-21 13:23:12,Peuhlissssssssssss 😭😭😭 https://t.co/DBaIYLwV7a
hidadahida,2019-04-14 12:37:44,Lagi hamil mah emang segala sensi yah. Ngeliat twit org aja berasa diomongin dari belakang 😞
hidadahida,2019-01-30 09:54:07,@rodiahns Dan jan banyak pikiran 🤔
hidadahida,2019-01-21 23:16:38,"Minta dijaga mah ke Allah, bukan pake peniti atuhlah. Emang setan mah halus, bisa aja goda manusia lewat jalur ginian. Alesannya percaya ga percaya lah, disuruh ortu lah, dibilang takabur kalo gapake peniti lah 😵 https://t.co/EZ7pUaCMvZ"
hidadahida,2019-01-05 12:44:24,@rodiahns Aku pengangguran beb 🤪 pusing nu dibuka berita wiwi dan wowo wae 🙊
hidadahida,2019-01-05 10:21:22,@rodiahns Iya yang. Baik2 ya sayang ❤️🙈🙊
hidadahida,2018-10-04 08:05:43,@rodiahns @liariyaa Iya gan
hidadahida,2018-09-21 03:29:10,@rodiahns Apa atuhhhh nigalauuu 🤔
hidadahida,2018-07-06 04:58:51,Akan ada saatnya kamu bertemu orang yang akan memperlakukanmu seperti endog beubeureumna.
hidadahida,2018-07-01 12:42:26,@rodiahns Tar teh keluar pas ee lohhh 🤣
hidadahida,2018-06-30 10:08:37,@rodiahns Hmmmmmmmmm
hidadahida,2018-06-22 14:36:14,@rodiahns No 5 bisa langsung cek venuenya sist nanti oktober insyaAllah 🙈
hidadahida,2018-06-20 14:09:00,@rodiahns Mauk cendol 🤔
hidadahida,2018-06-20 13:28:13,😢 https://t.co/h2Qde2lMfQ
hidadahida,2018-05-22 11:17:30,Untung aku orangnya sabar. https://t.co/ZVSpTKdBPY
hidadahida,2018-05-10 00:24:20,😭 https://t.co/CBfkTKJEf8
hidadahida,2018-05-07 23:00:23,😢 https://t.co/rqVFNXktxg
hidadahida,2018-05-05 15:05:03,"Kalo minta ke Allah 10, Allah bisa kasih 6125154181621x lipatnya. Yang caranya bahkan ngga pernah kepikiran sama diri sendiri. Asalkan ikhlas, husnudzon sama Allah. Aslina lur."
hidadahida,2018-05-04 16:29:21,@rodiahns baca reply nya donggggg hahahahhahahaha 😂🤣 https://t.co/Ocv59c1ri2
hidadahida,2018-05-03 07:22:39,Yaa Rabb. Why? Why the beungeut why? https://t.co/zqjkSbmICP
hidadahida,2018-05-03 07:09:47,🤣🤣🤣 https://t.co/uQkEm6nSPs
hidadahida,2018-05-01 23:52:53,Horor gini reply an nya gusti 😂 https://t.co/809MAAHkyW
hidadahida,2018-04-27 10:25:52,Atuhlah ih 😭 https://t.co/jwPHk3VQPJ
hidadahida,2018-04-27 10:25:40,@rodiahns Nga bos. Arateul bos 😭
hidadahida,2018-04-27 08:47:55,@rodiahns KUMAU IKUT IH MENI KITU 😭
hidadahida,2018-04-26 13:06:08,Sia-sia kuotaku 😭 https://t.co/5sN21tvzvs
hidadahida,2018-04-25 22:36:03,"@rodiahns Ngeriii gitu. Spek gahar, harga murah. Kamari beli hp s mamah semsong yg rada low end aja udah 2,5 😩 itu asus gede pula 6 inch. Wow lah."
hidadahida,2018-04-25 22:30:14,@rodiahns Dual bokeh kamera? Wowwwww. Brahaan ini?
hidadahida,2018-04-25 13:47:31,Ih ❤️ https://t.co/McWq74srBc
hidadahida,2018-04-20 13:24:46,@rodiahns @nohara_vinosuke Tolong plis kalian. Akumau hidup tenang nyama dan damai.
hidadahida,2018-04-20 13:15:45,@rodiahns Butuh wang berapa dek? Sini kakak bantu. Ada banyak nih. Di rekening a celi 🤣
hidadahida,2018-04-18 11:46:03,Akumah kalo lagi sedi sedi tinggal liat pidio ini aja langsung senyum atuhhh ih ☺️ https://t.co/ino0s5OpdL
hidadahida,2018-04-15 09:23:53,"Kalo hidup udah dipasrahin sama Yang Paling Sayang ke kita, terus apa yang mesti dibikin khawatir?"
hidadahida,2018-04-14 03:05:15,@nohara_vinosuke Wah a cepi ngalaman?
hidadahida,2018-04-13 00:27:00,"Ngga tau aja padahal dibalik sakit, Allah selipin ‘nikmat’ yang ngga bisa didapet pas lagi seneng. Besar, ngga bisa dibeli, ngga semua orang Allah kasih."
hidadahida,2018-04-11 11:46:10,Sabar itu ada pada pukulan yang pertama.
hidadahida,2018-04-09 16:27:06,😭 https://t.co/KWMCdIxGdN
hidadahida,2018-04-08 10:24:12,@rodiahns MANCING. https://t.co/XRekz0GAJA
hidadahida,2018-04-08 10:20:32,@rodiahns Teuh nya teuhhhhhhhh ngadon curhatttttt 🤣
hidadahida,2018-04-08 10:15:01,@rodiahns Kalo calon udah suami punya? Deep. Seperti ngorong.
