username,created_at,text
igonovaldi,2021-06-04 12:19:05,"@mengeong_ @amewludin @kamalDT @JustAkhdan @DzikriDz widiii ena... 👏🏻 mention lg kak kalo jadi, keren ni 👍🏻"
igonovaldi,2021-05-20 13:45:44,"pilihannya membadut atau menjilat ludah sendiri, ya membadut lah 🤡 https://t.co/iZPGgT91ow"
igonovaldi,2021-05-05 00:59:02,untung ni artefak belom dibuang https://t.co/2lyCawP13C
igonovaldi,2021-04-30 09:28:23,babi ngepet dihakimi dewa_catur gadungan diagungkan
igonovaldi,2021-04-21 05:32:04,@rachmaindira @Cir_Ricky hai... cape ya? ampe bodo amat ama uang kuliah anjer
igonovaldi,2021-04-21 05:30:56,uninstall shopee karena promo dikit ❎ UI/UX jelek ❎ minim gratis ongkir ❎ NOTIFNYA BIKIN JANTUNGAN ☑️
igonovaldi,2021-04-08 17:59:02,Akhirnya kita menamatkan Attack on Titan Kita sebut nama dulu yok Yang ketik #ThankYouHajimeIsayama pake emot https://t.co/GBos6pTJqS
igonovaldi,2021-03-30 17:30:56,"taun lalu kaget hidung gabisa nyium apa2 sekarang malah kepikiran jangan2 dulu kena covid, tapi 15 menit langsung sembuh"
igonovaldi,2021-03-30 16:34:37,"@alvirahmyr wkwkwk asli dah kek aku mi, udah tau putus sebelah masih aj disimpan"
igonovaldi,2021-03-22 17:33:30,halo sobat Twitter https://t.co/bcYef7WHcN
igonovaldi,2021-03-17 17:45:37,You can't just die There's nothing there https://t.co/9d6yMZmrkX
igonovaldi,2021-03-14 07:17:48,woakwoakw kok ini statnya mirip2 stat chessku https://t.co/5voG70r1Mr
igonovaldi,2021-03-10 10:25:22,https://t.co/mLyDobL5DV
igonovaldi,2021-03-08 05:08:49,"first name : Rachel last name : True iCloud : can't set value ""true"" to property ""lastName"" https://t.co/8VelvzQtBa"
igonovaldi,2021-03-07 15:42:29,https://t.co/yxmWQJlx0V
igonovaldi,2021-03-07 15:41:55,cuaca hari ini adem https://t.co/rktY3YxNhu
igonovaldi,2021-03-05 12:32:20,"kalau SnK ""Final"" Season beneran tinggal 4 episode, ga cukup buat ngecover sampai ""Final"" keknya ni endingnya dibuat movie, mirip2 sama KnY, sebelum season 2 ada movienya harusnya bakalan keren sih ini movienya"
igonovaldi,2021-03-01 04:13:40,friendship ended with https://t.co/rtdMfkJOUY now https://t.co/QIElS1ffjU is my best friend https://t.co/VS409bYFD9
igonovaldi,2021-02-21 17:35:17,"orang buat catatan pakai ipad is the biggest flex, at least for me"
igonovaldi,2021-02-21 15:40:46,@silcotr hooo ini alibi baru follback ya?
igonovaldi,2021-02-18 18:21:32,@Rhinowcksn @gamasitumeangs https://t.co/iXRS8OLdWq
igonovaldi,2021-02-18 06:54:12,🤩🤩🤩 https://t.co/4QnvSEDsS8
igonovaldi,2021-02-11 15:16:19,@Cir_Ricky @BaayuAnugrah lg liatin ekky itu
igonovaldi,2021-02-10 17:22:22,@Cir_Ricky @silcotr @BaayuAnugrah @mzkalfarisi https://t.co/PjeTlSEE4l
igonovaldi,2021-02-01 18:02:50,tidak sabar menunggu Gabi berulah lg
igonovaldi,2021-01-29 17:07:43,Search Google for this image &gt; Search with Google Lens balikin fitur iniiii
igonovaldi,2021-01-22 17:26:27,@silcotr judul sii kliatannya sedi bat
igonovaldi,2021-01-15 17:50:17,twenty twenty one
igonovaldi,2021-01-12 12:15:42,"for ma fella weebs https://t.co/kItVixuTRJ netflix anime version, but better"
igonovaldi,2021-01-02 16:45:43,@BaayuAnugrah @alvirahmyr https://t.co/dBGXOqQMk8
igonovaldi,2020-12-31 12:11:14,gaya2 menutup 2020 rupanya besok tanggal 32
igonovaldi,2020-12-30 11:44:44,@BaayuAnugrah @Cir_Ricky @lilithkis emg yg ena2 ga halal bay
igonovaldi,2020-12-30 07:15:02,"@Cir_Ricky @Jihanlailatula_ @ekkyprastika habis slide ""Terima Kasih"" : Jangan lupa like, share, subscribe dan tekan loncengnya, ada pertanyaan silakan di komentar"
igonovaldi,2020-12-28 18:25:40,selama ini kmna aja baru tau Ferry Irwandi dari rewind Indonesia
igonovaldi,2020-12-24 17:38:05,@Rhinowcksn @gamasitumeangs udah jadi bungkus gorengan sih itu
igonovaldi,2020-12-23 17:49:40,@Rhinowcksn kalau main cyberpunk2077 https://t.co/aRYFr057bE
igonovaldi,2020-12-21 16:48:00,"tiap streaming viewsnya banyak, sampe skrg g pernah minta sawer 👍🏻 beda sama streamer geming sekarang, banyak yg abal2, asal bisa streaming minta sawer mulu https://t.co/GIJ7m7oRvx"
igonovaldi,2020-12-20 17:25:02,"parno banget liat lampu idup sebelah kamera batre hp low, lampunya idup, kirain kamera vidcon idup, padahal g buka vidcon"
igonovaldi,2020-12-20 15:58:24,@Cir_Ricky @kuratornastar gila sih anaknya 2 anjing
igonovaldi,2020-12-19 14:19:49,@silcotr @Cir_Ricky pasangannya scorpio ya
igonovaldi,2020-12-17 16:24:43,https://t.co/cGBajHCjry
igonovaldi,2020-12-12 17:15:30,jauh tak berjarak dekat tak bersentuh
igonovaldi,2020-12-07 16:01:21,semuanya senang kecuali ji-pyeong
igonovaldi,2020-12-07 02:22:32,@kuratornastar google colab
igonovaldi,2020-12-05 13:31:37,"liat kampanye di pasar : wow primitif, seperti pesona dunia sawit"
igonovaldi,2020-12-01 15:32:42,ternyata aku mirip Han Ji-pyeong menyia-nyiakan 3 tahun
igonovaldi,2020-12-01 15:30:17,@ekkyprastika @Cir_Ricky padahal ya kodingan di dramanya juga pendek banget
igonovaldi,2020-12-01 12:46:19,@rayferdinandd di tempat biasa udah hd
igonovaldi,2020-12-01 11:02:41,@rayferdinandd jadi judul bisa si itu
igonovaldi,2020-12-01 11:02:04,TENET got me like 👁️👄👁️👄👁️
igonovaldi,2020-11-30 17:00:38,"kelas jam 12.30 🧔🏻 ""Kita mulai jam 13.00 ya"" jam 13.00 🧔🏻""Ya langsung kita mulai aja karena sudah terlambat 30 menit"" tengah2 materi 🧔🏻""Saya kurang paham bagian ini. Hm... ya... pokoknya whatever it is lah saya juga kurang paham"""
igonovaldi,2020-11-29 17:06:19,@silcotr @collegemenfess hadeehhh gimana si
igonovaldi,2020-11-23 10:38:33,@Rhinowcksn @gamasitumeangs @cassava__ @kudila_ @fahmi_djatnika udah tanda2 mah itu
igonovaldi,2020-11-19 16:09:48,dulu dulu juga bilangnya susah kok sekarang di sini?
igonovaldi,2020-11-19 07:03:32,makan bersama : .... makan bersama + snapgram : selamat makan 🙏🏻
igonovaldi,2020-11-12 14:16:39,ok #MyTwitterAnniversary https://t.co/yC18LtHy1p
igonovaldi,2020-11-06 17:49:23,"intinya mah ga mampu, wkwkwk"
igonovaldi,2020-11-06 17:42:47,"tugas2 nlp for god sake harus mendedikasikan semua waktu yang ada, dikasih seminggu emg seminggu harus mikirin nlp like i shouldn't think of anything else but frikin tugas nlp 😡😡😡 https://t.co/S1U6hHGKFY"
igonovaldi,2020-11-04 16:45:49,memenuhi asupan _______mu hari ini https://t.co/fRbAypUFio
igonovaldi,2020-11-01 09:11:17,https://t.co/hg4O7TgRCw
igonovaldi,2020-11-01 08:26:12,pov point of view tiktok : momen ketika
igonovaldi,2020-10-31 10:47:48,@tidaksukadurian youmand
igonovaldi,2020-10-31 08:46:03,gim barbi https://t.co/8kcNehM9AB
igonovaldi,2020-10-31 06:53:11,@rayferdinandd keras bos
igonovaldi,2020-10-30 09:16:02,lagu WIB Tokped catchy dan annoying banget
igonovaldi,2020-10-29 10:24:39,YEET https://t.co/bIf24jvdCR
igonovaldi,2020-10-28 17:12:15,@rayferdinandd MANA ADA
igonovaldi,2020-10-26 17:29:34,"it's just you and a glass of water, nothing else"
igonovaldi,2020-10-24 16:25:57,Lisensi Adobe CC buat 2 tahun gratis kerjasama sama NatGeo https://t.co/bhNoGODp2n
igonovaldi,2020-10-23 05:15:32,nyantai dong mainnya @ichafrizki https://t.co/PFAgZo8z00
igonovaldi,2020-10-23 05:14:05,"hiyaa, mo retweet sekarang nambah effortnya ya"
igonovaldi,2020-10-21 07:25:39,"@mzkalfarisi gmna dong, raga bangun otak gw rebahan 🥴"
igonovaldi,2020-10-20 14:57:51,"mikirin tugas bikin dag dig dug, dah ga beress"
igonovaldi,2020-10-20 03:58:05,@Rhinowcksn raman rrembo
igonovaldi,2020-10-18 16:12:36,"@alvirahmyr @rayferdinandd mirip bat, wkwkek"
igonovaldi,2020-10-18 15:48:11,ga nyangka @rayferdinandd kelakuannya begini https://t.co/30mpHTqvIz
igonovaldi,2020-10-17 13:23:29,@tidaksukadurian kebanyakan main rp
igonovaldi,2020-10-12 17:35:04,"@mengeong_ rin &amp; len mafumfu soraru jin honeyworks eve IA gatau yg mana vocaloid, utaite, yg buat lagu, pokoknya kalau pengen denger lagi nyarinya di youtube ituu aja"
igonovaldi,2020-10-10 16:37:21,"@mzkalfarisi sudah benar Muzakki, 💯"
igonovaldi,2020-10-09 03:04:27,"&gt;orang2 demo &gt;klaster baru covid &lt;org ga percaya covid : ""bilangnya covid, pdahal gamau ada demo aja"" HEH, besok2 itu water cannon sebelum ditembak suruh ludahi dulu airnya sama yg positif covid. mampus mampus sono"
igonovaldi,2020-10-07 16:35:24,dipalakin anak rp ga tuh 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️
igonovaldi,2020-10-07 16:27:54,@tidaksukadurian biar bisa gelengin pala
igonovaldi,2020-10-07 12:05:38,@mzkalfarisi lakban
igonovaldi,2020-10-06 12:17:37,"@Rhinowcksn @lrlxn @gamasitumeangs suriname aj, kau kan jOwO"
igonovaldi,2020-10-05 16:58:57,ya ga gitu dong masa DPR disamain ma monyet jatuh martabat monyet jdnya https://t.co/Dlspx7hzMv
