username,created_at,text
jehademusa,2020-08-21 06:33:49,"@jek___ Suatu hari, kami berbahagia karena di sini ada ikatan suci telah terjalin. Please kindly check rekaman videonya guys: https://t.co/ACWdclQM7p"
jehademusa,2020-08-21 06:30:40,"@sherinasinna Suatu hari, kami berbahagia karena di sini ada ikatan suci telah terjalin. Please kindly check rekaman videonya guys: https://t.co/ACWdclQM7p"
jehademusa,2020-08-15 09:26:45,@jokowi https://t.co/X8ltNrOZI8
jehademusa,2020-08-15 09:24:34,@Fahrihamzah @fadlizon Jangan lupa singgah di channel YT kami ada rekaman bacaan Imam Shalat Tarawih :) https://t.co/X8ltNrOZI8
jehademusa,2020-08-14 15:15:29,"Jangan dikira gula pasir itu tidak ada yang haram. Simak titik kritis kehalalannya di channel YouTube ""Ruang Juru"" https://t.co/6eFwKa57Fm Dukung kami dengan klik like dan subscribe ya."
jehademusa,2020-08-13 10:50:38,"Jaringan @telkomsel yg lucu. Giliran saya switch ke kartuhalo, ada 4G. Tapi kalau pakai LOOP, yg ada 3G. Curang euy..!"
jehademusa,2020-08-09 00:37:48,Kiriman dari akh @yusufzaimh (rekaman suara imam tarawih) https://t.co/uzDwvAr5y5
jehademusa,2020-08-03 10:13:47,@mouldie_sep Saya turut berduka. Kamu hebat!
jehademusa,2020-07-21 06:11:32,"@adangdaradjatun Assalamu'alaikum Jenderal, apa kabar semoga sehat selalu..."
jehademusa,2020-07-18 23:46:16,"Hand sanitizer, banner, flyer dalam bahasa Indonesia apa ya kang @ivanlanin? Barangkali sdh ada di KBBI, mohon petunjuk. Tks."
jehademusa,2020-07-15 11:07:28,"@jokowi Maaf min @Puspen_TNI, mau nanya. Di RT saya ada oknum babinsa yg menerima insentif keamanan bulanan sebesar 500k yg dikumpulkan dari iuran warga per rumah. Apakah ini dibenarkan? cc. Pak @TjahjantoHadi dan Pak @jokowi @prabowo :)"
jehademusa,2020-07-13 16:11:25,"Maaf min, mau nanya. Di RT saya ada oknum babinsa yg menerima insentif keamanan bulanan sebesar 500k yg dikumpulkan dari iuran warga per rumah. Apakah ini dibenarkan? @Puspen_TNI @TjahjantoHadi"
jehademusa,2020-07-01 10:59:23,CUMA 50-an meninggal setiap hari. Aman! https://t.co/FLGi0O1ooq
jehademusa,2020-07-01 10:24:32,@berlianidris Maklumat kapolri sdh dicabut...
jehademusa,2020-06-29 09:41:57,"@ckrbwn @KemenkesRI iya udah aman, jumlah meninggal hanya 50-an orang tiap hari. Aman ya?"
jehademusa,2020-06-28 16:11:00,@txtdrberseragam Kalau kelakuan oknum babinsa yg menerima iuran keamanan bulanan dari warga gimana min?
jehademusa,2020-06-28 16:07:50,@suryadelalu @lukmansaifuddin Yes. Harusnya kan di Kalimantan yang sebentar lagi akan jadi pulau ibukota.
jehademusa,2020-06-27 10:21:52,Kecepatan internet berhubungan dengan tingkat kemajuan https://t.co/cS6YkhnwlL
jehademusa,2020-06-27 10:19:42,"Sekarang telah semakin jelas, ada upaya mengubah Pancasila versi 18 Agustus 1945 (Ketuhanan yang maha Esa di sila pertama) menjadi Pancasila versi lain. Waspadalah!"
jehademusa,2020-06-27 09:56:16,"@DivHumas_Polri Jangan cuma flyer pak, buktikan seterang-terangnya bahwa penegakan hukum dilakukan dgn seadil-adilnya terhadap owner korporasi perusak lingkungan."
jehademusa,2020-06-26 02:53:19,Saya belum melihat ada pengusaha bbshop yg disiplin. https://t.co/EFupSBhxc7
jehademusa,2020-06-25 23:50:30,"@KemenkesRI Tinggi. Tapi jangan-jangan karena perubahan SOP, sekali tes dengan hasil negatif langsung dianggap sembuh dan diperbolehkan keluar dari isolasi? SOP sebelumnya dua kali tes negatif kan?"
jehademusa,2020-06-23 07:10:11,"Tenaga kesehatan (nakes) yg tadinya ga mau nutup aurat karena gerah, panas, atau alasan ga modis, kini di era pandemi malah dipaksa bercadar sepanjang hari euy. Haha... #BerkahCovid19 😱🙏🏼"
jehademusa,2020-06-16 14:49:05,oh gitu... https://t.co/OeBLDJTAHf
jehademusa,2020-06-16 14:01:51,@BPJSKesehatanRI Mohon balas twit saya yang ini min. Cc. wakil rakyat @DPR_RI (kalau memang merasa sebagai wakil rakyat) :) https://t.co/C5kiVBwR1A
