username,created_at,text
kimsatgat2,2021-03-28 17:23:44,GEMES https://t.co/cjUTG4Z45s
kimsatgat2,2021-03-28 15:59:58,@K_DramaIndo Hah ga ngerti foto pertama kedua....
kimsatgat2,2021-03-28 15:54:55,"@subtanyarl Rp 0,- ngiha"
kimsatgat2,2021-03-28 15:34:33,The duality i relate the most https://t.co/IjNLo2J87t
kimsatgat2,2021-03-28 14:38:34,@dikshit999 @milkwaterie Makan sendiri aj peb km 👎
kimsatgat2,2021-03-28 13:16:41,@milkwaterie Makin haram makin nikmat
kimsatgat2,2021-03-28 13:13:20,"Gmn bos,,, apakah nanti tetap gas @milkwaterie https://t.co/qq6PppI6bN"
kimsatgat2,2021-03-28 11:57:18,@Yuhitme_ @tubirfess KENAPA FOTONYA KEANU 😭
kimsatgat2,2021-03-28 11:56:26,Kl winwin tiba2 nikah apa ga langsung serangan jantung.... berasa punya anak tp nikah diem2 ga minta restu... hue anakku 😢😢 https://t.co/XbcZvmcKR6
kimsatgat2,2021-03-28 11:47:22,Btw relate sm sendernya kl beli bahan pokok dikit tp beli jajan banyak wkwkwk asli ga makan berat berhari2 kuat asalkan ada jajan👍
kimsatgat2,2021-03-28 11:45:01,No one: Nenekku kl ngirim makanan buatku sendiri: https://t.co/7XDHCwdaPR
kimsatgat2,2021-03-28 11:43:37,"@subtanyarl Dikasih kulit ayam mekdi, trims kakakku &lt;3"
kimsatgat2,2021-03-27 15:42:30,Mamaku dan kakakku sedang bersitegang: https://t.co/IziHbq10uL
kimsatgat2,2021-03-27 13:18:39,@NCTsmtown_127 Ganteng kaya biasa kak😘👍
kimsatgat2,2021-03-27 13:13:14,@HAIKYUUFESS TAG AKU NDER PLSSSSS
kimsatgat2,2021-03-27 09:05:26,keselek ternyata ada kompilasinya https://t.co/0QkgQEkJ15
kimsatgat2,2021-03-27 08:56:07,rasanya lgsg sehat walafiat abis nonton penthouse
kimsatgat2,2021-03-27 06:10:57,Love u walopun babak belur https://t.co/2ITxy1f77u
kimsatgat2,2021-03-27 06:03:42,@ripmarippp Berisik
kimsatgat2,2021-03-26 16:10:47,"Me too, buck https://t.co/AN0wSVduJs"
kimsatgat2,2021-03-26 14:58:01,@ porco galliard https://t.co/TrePu5utR3
kimsatgat2,2021-03-26 12:29:43,@FOODFESS2 Take it tp makan 1 potong aja
kimsatgat2,2021-03-26 12:06:53,FR https://t.co/pYseedSArF
kimsatgat2,2021-03-26 12:05:35,@ustadchen Anying bah aku lg sakit gigi skrg hue jd makin sakit
kimsatgat2,2021-03-26 11:22:39,"@tubbirfess Pernah tubb. Ke temenku, akademiknya oke trs pinter bgt, daftar beasiswa beberapa kali lgsg keterima, daftar organisasi kampus sana sini keterima. Emg orgil tp iri bgt dia udah banyak pencapaian gtt ga kaya aq gini2 aj"
kimsatgat2,2021-03-26 10:06:51,Temen sendernya blm pernah dapet 50 karna plagiasi 45% awokawokawok *trauma* https://t.co/UuUHrsOi4a
kimsatgat2,2021-03-26 10:02:12,"Asli... kamar kotor bukan karna debu/pasir, tp karna rambut rontok... kek anjir botak jg lama2 https://t.co/cdmM4VLUhv"
kimsatgat2,2021-03-26 06:18:52,"@ubsansfess Ada, di fisip"
kimsatgat2,2021-03-25 09:53:35,"Capernya hyuck gajelas, tp lucu. https://t.co/Dhnfsxw4Wf https://t.co/H4QdOzy0Eq"
kimsatgat2,2021-03-25 06:37:42,"@ubsansfess Aku nder, minat hmu ajaa hihi"
kimsatgat2,2021-03-25 04:13:59,@moonkised Gakuat kalo yg pait.... tp yaud lah ntar nyoba
kimsatgat2,2021-03-25 03:36:42,@moonkised Makin lemes kl ngopi
kimsatgat2,2021-03-25 03:31:06,Kok bawaannya ngantuk terus ya anjrit
kimsatgat2,2021-03-25 03:30:08,"@subtanyarl Gaada, soalnya udah punya 22nya WKWKWK anjay flex bgt"
kimsatgat2,2021-03-25 03:25:25,Canon https://t.co/xwX5x4llpm
kimsatgat2,2021-03-24 15:56:05,"@FOODFESS2 3 udah pedes kalo aku, tp wuenux"
kimsatgat2,2021-03-24 15:53:17,Same energy with jelasin politik internasional pake contoh ibu2 pkk dan negosiasi pake belanja di warung dan pasar https://t.co/mTN3XTuKaF
