username,created_at,text
lailapurnamas,2020-06-28 17:29:24,"Semakin hari aku semakin belajar, apa itu memahami arti dewasa setiap part nya. Memahami memperhatikan dan mulai berbicara dengan diri sendiri. Semoga selalu disekelilingi orang orang baik tulus dan jujur..."
lailapurnamas,2020-06-28 17:26:27,28 juni 2020 Miss you dr.sally https://t.co/TTe1g2DhYW
lailapurnamas,2019-09-01 21:54:32,Karawang night
lailapurnamas,2019-05-22 00:27:19,Rabb.....
lailapurnamas,2018-08-27 16:30:10,"Boleh baik, jgn terlalu. Tidak smua orang bisa ada saat kau dihadapkan dengan suatu mslh besar. Tp satu yg tak pernah pergi RABB. Percaya*"
lailapurnamas,2018-02-08 08:35:13,@Yogie_biroe baik mas brooooo udh di bogor
lailapurnamas,2018-01-27 13:44:42,@Wie_Widjaya baik alhamdulilah mba udh brapa ini beby nya
lailapurnamas,2018-01-23 09:44:57,"What mostly save marriage is not love, but its understanding."
lailapurnamas,2018-01-23 03:02:13,@Wie_Widjaya hallo hallo halloooooooo
lailapurnamas,2018-01-22 01:58:28,@obbie_saxo bang dmn lo skrng
lailapurnamas,2018-01-21 07:23:50,"""@pethyaldelya: @lailapurnamas @lailapurnamas ya gak tau loh"" @pethyaldelya lo anter apa bawa pulang lg dia kakakakkaka"
lailapurnamas,2018-01-21 07:22:21,"""@pethyaldelya: @lailapurnamas Diem"" @pethyaldelya ini diem, marni dah brngkt belon dia ?"
lailapurnamas,2018-01-21 07:18:40,@pethyaldelya tidur sih
lailapurnamas,2018-01-21 07:16:50,@bagastsulasi tengelam
lailapurnamas,2018-01-21 07:12:22,"Ntah ujian yang seperti apa, saatnya terus berdoa dan hadapi terpaan batunya biarlah mengkikis sendiri dan diammu menjadi keributan."
lailapurnamas,2018-01-20 17:27:30,@pethyaldelya nikah sih
lailapurnamas,2018-01-20 17:26:48,@pethyaldelya diem lo
lailapurnamas,2018-01-20 04:31:14,Lagi di ambang ke bimbangan ketidakjelasan dan sedikit dilema kurang tau deh tepatnya apa.
lailapurnamas,2018-01-20 04:04:27,Sebenernya Doa yang mana yg akan di kabulkan pada saat seperti ini. Beneran ga tenang. Arrrh
lailapurnamas,2017-12-15 17:07:22,"gempa atuh 7,3 (2x) dentuman"
lailapurnamas,2017-12-15 17:05:13,@PratamaSarji soreh
lailapurnamas,2017-09-12 07:04:15,"Ngeberatin STR aja fix, Simpan tabungan."
lailapurnamas,2017-09-12 01:03:04,"Karna jk sy menjawab sejadinya , akan jadi sejadinya. Jk sy rubah sy akan menargetkan insya allah sesuai dgn alur puncakny. Allah everything"
lailapurnamas,2017-09-11 15:49:39,Relawan #amatir
lailapurnamas,2017-09-11 08:11:07,anggap ini melawan dilema yang tepat. Tidak hanya sekedar berani ambil keputusan saja.
lailapurnamas,2017-09-11 04:07:42,Ambigu🔁
lailapurnamas,2017-09-11 00:44:35,Coffe sebelum 7 jam ☕🍞
lailapurnamas,2017-09-10 06:02:13,@Kumham_Lampung yeay sudah. Terimakasi kakanda yomin yg cool. Maacih
lailapurnamas,2017-09-10 05:15:12,@say_supriadi19 @Kemenkumham_RI @humas_kumhamban udah di share di tweet sblmnya loh
lailapurnamas,2017-09-10 04:45:29,@Kumham_Lampung baik yomin harapan direspon ya min. Mksh min dan fighting buat yomin
