username,created_at,text
liawatii_,2021-03-22 10:53:39,Boba enak nih
liawatii_,2021-03-17 23:46:42,@cewehijrah Aaamiin
liawatii_,2021-03-15 00:00:36,😇🙏 https://t.co/tA2vMwjTHb
liawatii_,2021-03-13 12:35:39,kenapa senja kali ini dunia begitu jahat
liawatii_,2021-03-12 18:29:38,@Ina28Zzt Turu bund
liawatii_,2021-03-09 12:25:08,"@tangguhbn Lho, jangan jangan kita....."
liawatii_,2021-03-08 12:58:40,Aku selalu menjaga hubungan baik dengan mantan. Saking baiknya sampe sekarang balikan sama mantan 😂 https://t.co/z1A4CmcSkB
liawatii_,2021-03-08 12:01:19,Canda mati https://t.co/Gm70kf6pje
liawatii_,2021-03-04 13:57:25,"👧: tanggale apik lho, 4-3-21 🧒: aku 4-3-1 wae 👧: lah? 🧒: kan kaya kamu, nggak ada duanya ~#$$#@#@&amp;+😌😚🤗☺️"
liawatii_,2021-02-28 10:34:21,😌 https://t.co/7hzWOABZov
liawatii_,2021-02-28 10:01:16,"@tangguhbn Aaamiin, makasih ya pak❤️"
liawatii_,2021-02-28 07:24:26,Sampe kebawa mimpi kalo patch ku jadi :')
liawatii_,2021-02-26 14:51:20,@Ina28Zzt 😞😞😞
liawatii_,2021-02-23 13:27:29,Seru juga centang birunya dimatiin WKWKWK
liawatii_,2021-02-22 13:37:07,Walaupun sedikit berantakan tapi hari ini dipertemukan banyak orang baik2 ❤️
liawatii_,2021-02-21 10:33:54,Pusinkk bgt jadwal selalu bentrok2 hhhhh :(
liawatii_,2021-02-17 01:12:13,"Karena mau cerita sedetail apapun tetep gak akan ngerti. Jadi yaaa, diem lebih baik"
liawatii_,2021-02-10 14:54:06,"Mumet boleh, gila jangan"
liawatii_,2021-02-09 03:27:44,@Itsmedivaaaa Wkwk divaaaa 😂
liawatii_,2021-02-08 13:20:13,"Kemaren ransel jadi korban tumpahnya teh botol s*sro, terpaksa hari ini pakai totebag padahal bawaan bejibun, eh pulang2 ketumpahan teh pucuk har*m Kenapa si 😌"
liawatii_,2021-02-05 23:14:06,"@faraznk_ Ayaaaas, thanks 🧡"
liawatii_,2021-02-05 23:13:35,"@varddr Alhamdulillah manusianya masih aman deww, hanya motornya saja yang sedikit terluka wkwk"
liawatii_,2021-02-05 12:01:53,"Lembur ngelab disambi ujian, bali kunduran mobil Alhamdulillah jumat berkah🧡"
liawatii_,2021-02-02 11:26:29,@gunturnurtianto Sudah kudugaaaaaa
liawatii_,2021-02-02 01:45:56,"Dateng cuma pas butuh doang udah gitu gatau terimakasih, eh🤭"
liawatii_,2021-02-01 12:36:18,"Kalo lagi hectic gini, mandi aja udah berasa me time ya 😌"
liawatii_,2021-01-28 11:24:23,Jiaaaakhh https://t.co/2Z5TfXqzne
liawatii_,2021-01-27 23:14:47,Jajan 😭👌 https://t.co/wjC9o8ZEcD
liawatii_,2021-01-17 05:46:44,😂 https://t.co/8rTDonyDIQ
liawatii_,2021-01-10 15:22:02,Being ignored 🙂
liawatii_,2021-01-08 09:50:12,🙂 https://t.co/zbmuJpPCy2
liawatii_,2021-01-02 00:44:35,Sepertinya ini sejarah sepanjang aku kuliah. +-12 halaman folio tulis tangan ku takhlukan dalam semalam 🙂
liawatii_,2020-12-31 11:08:11,@varddr Apa kabarku yang masih punya tanggungan 3 laporan 😭
liawatii_,2020-12-29 02:06:17,"@AninPuspita Manteeeepppp, dari si oren juga kah ?"
liawatii_,2020-12-28 12:29:17,@sunnnieeee_ Latiah terbiasa di php in tentunya :')
liawatii_,2020-12-28 08:33:50,Rutinitas baru: buka tutup email sambil berdoa semoga ada draft dari dosen :'
liawatii_,2020-12-28 08:32:51,@Ina28Zzt Beda operator bun
liawatii_,2020-12-28 05:09:40,Beli kuota 70k diskon jadi 51k udh gitu masih dapet cash back 3k. Ya ampun monanges 😭❤️
liawatii_,2020-12-27 08:33:39,"Sabar, satu per satu :')"
liawatii_,2020-12-25 08:17:33,🌲 https://t.co/Djkbtpi8fa
liawatii_,2020-12-19 09:15:11,@Ina28Zzt Bersyukur beb karena masih diberi rezeki pekerjaan ❤️
liawatii_,2020-12-18 05:28:14,"Dandan dan tampil cantik itu kadang bisa jadi stres relief ya, ❤️"
liawatii_,2020-12-16 13:49:24,@tangguhbn Nek ngantuk turu mas 😎
liawatii_,2020-12-15 14:27:11,Deg2an-mules-repeat😩
liawatii_,2020-12-09 05:53:56,Kegabutanku berujung dengan check out keranjang shopee kemudian istighfar 🙂
liawatii_,2020-12-08 11:06:41,@jewels1598 Gini ya el tipsnya 😌😂
liawatii_,2020-12-07 18:12:36,Allah baik :') selalu baik :)
liawatii_,2020-12-05 11:10:27,@Ina28Zzt doakan wae beb 🙏
liawatii_,2020-12-02 23:33:52,@collegemenfess Beli cilok
liawatii_,2020-12-02 10:36:13,"Gapapa ikhlasin, semoga Allah ganti dengan yang lebih 😌"
liawatii_,2020-11-30 15:41:04,@Ina28Zzt @AninPuspita @chiyoakiraa Solutip sekali😂
liawatii_,2020-11-28 12:45:44,sek bakoh ✨
liawatii_,2020-11-27 07:08:01,Tau gitu kemaren gak usah ribet2 install aplikasinya 😂 https://t.co/6UzzJqbBBf
liawatii_,2020-11-25 09:03:04,@collegemenfess @Ina28Zzt @dagula24
liawatii_,2020-11-25 08:54:40,@Ina28Zzt Heeeekkk bener bgt 😩
liawatii_,2020-11-24 08:53:40,😂 https://t.co/36zvP7Xhms
liawatii_,2020-11-22 11:21:58,Muka emang gabisa boong kalo isi kepala sedang riuuuuhhh Ke gep juga wkwk
liawatii_,2020-11-21 00:02:49,@varddr Hoo wkwk
liawatii_,2020-11-20 19:09:49,@tangguhbn 🙂 https://t.co/XuW1UCdPmC
liawatii_,2020-11-20 19:06:45,@varddr Opone wik wkwk
liawatii_,2020-11-20 15:36:02,Revisian rasa nonton film 🤕 https://t.co/3S4X235X3Z
liawatii_,2020-11-20 02:32:41,Bengek 😩 https://t.co/i3PqQBz75b
liawatii_,2020-11-19 09:20:35,@Ina28Zzt Sego jangan lawuh tempe
liawatii_,2020-11-19 08:36:04,"Nggak kaleng-kaleng, bener2 bisa diandalkan emanggg 😂❤️ https://t.co/nWlz7UllYv"
liawatii_,2020-11-16 01:33:24,@collegemenfess Kuliah sambil kerja part time nder 💃
liawatii_,2020-11-13 17:09:39,"Ternyata sesederhana kata ""terimakasih"" punya impact yg besar. Tidak hanya kepada orang lain, terimakasih kepada diri sendiri juga perlu 🤗"
liawatii_,2020-11-12 13:50:07,Sakjembare segorooooooooo 🎵
liawatii_,2020-11-11 13:17:39,@sunnnieeee_ Semangat pejuang semester akhir intaaaaannn 😌
liawatii_,2020-11-11 13:16:26,@Ina28Zzt Rezeki anak baik hati
liawatii_,2020-11-11 11:48:27,"Padahal niatnya cuma mau cari wifi, ternyata ada diskon 11.11 jadi cuma 11rebuuuuu aja, 2in ga tuh 😚 https://t.co/9iIeSmUtVs"
liawatii_,2020-11-10 15:09:56,Pas makan liat ini 😭 https://t.co/AmZT6TyXTH
liawatii_,2020-11-09 14:18:33,@Ina28Zzt @dagula24 Aku ra trimo nk mik moco iki dewe makane tak ritwit nng kalian 😭
liawatii_,2020-11-09 13:38:53,Pipipipip~ @Ina28Zzt @dagula24 https://t.co/sIqVetaUtH
liawatii_,2020-11-09 09:10:34,Apakah cuma aku yang sama sekali belum menapakan kaki ke kampus semenjak awal pandemi 😂
liawatii_,2020-11-07 15:36:55,@jewels1598 Wuaaaaaa selamatttt ndooooo 😍🤗
liawatii_,2020-11-02 16:31:02,Insecure kalo gak sambil nangis blm sah emang 🤣
liawatii_,2020-11-02 14:45:23,"@varddr Aamiin ya Allah. ""meirose"" ya mb dewi tulisanya 🙃"
liawatii_,2020-11-02 10:55:22,@varddr Doakan aku wik huhuuuu
liawatii_,2020-11-02 10:45:07,@varddr Pak direktur tercinta dongggg :')
liawatii_,2020-11-01 05:29:02,@dagula24 Ben lebih aman tambah di backup nng google drive / email yakkk ben ndue cadangan👌
liawatii_,2020-10-30 16:03:37,@jewels1598 Nyampe di perempatan sedayu loh balihonya :')
liawatii_,2020-10-30 08:33:57,Butuh jasa untuk memparafrase kalimat 😩
liawatii_,2020-10-30 04:47:59,Kancamu @Ina28Zzt https://t.co/cjtz1uJgJX
liawatii_,2020-10-30 04:44:18,@AninPuspita @Ina28Zzt @jayakabajay Kabeh relateee 🤣
liawatii_,2020-10-29 00:53:15,Yok bisa yok https://t.co/jLEgvMyjTY
liawatii_,2020-10-28 16:35:54,@kdifficultas Prinsipnya selagi motor masih bisa jalan yaudah pake aja 🤭
liawatii_,2020-10-28 05:27:43,Ya ampun 😂 https://t.co/IERnBIInuj
liawatii_,2020-10-25 14:46:51,@sylvanihana Biar kalo kesenggol dikit gak baperan ya kan han 😝
liawatii_,2020-10-25 12:50:52,22 tahun ternyata tidak cukup di belajar megelola uang dan mengelola waktu saja. Belajar mengelola emosional ternyata jauh lebih penting 😌
liawatii_,2020-10-25 00:55:20,"Andaikan dalam sehari lebih dari 24 jam :"""
liawatii_,2020-10-23 03:08:46,Ngerti nggak https://t.co/3SGSxHrDnH
liawatii_,2020-10-22 23:12:46,@varddr @collegemenfess KTI
liawatii_,2020-10-21 15:12:03,@jewels1598 🙂🙂🙂
