username,created_at,text
liawrdhani,2021-06-08 11:59:54,@anitrim Pede tapi emang bener wkkw
liawrdhani,2021-06-06 15:52:07,Replynya ada² aja wkwkk https://t.co/cs6yhnw5Mx
liawrdhani,2021-06-06 13:21:33,Kayaknya asik ke kantor naik sepeda
liawrdhani,2021-06-06 13:19:30,Lalu kepikiran ingin beli sepeda
liawrdhani,2021-06-06 13:05:12,@HSDMaulana Yuk om hisda
liawrdhani,2021-06-06 12:52:12,Lagi mencari² hal apa yg harus dilakukan untuk me time selain tidur
liawrdhani,2021-06-06 12:04:18,Ditahap diri sendiri gatau maunya apa
liawrdhani,2021-06-06 07:59:58,@anitrim https://t.co/8dozdW2ruk
liawrdhani,2021-06-05 17:56:10,Udah curiga doi kemaren pulang cuma gamau berekspetasi takut kecewa dan ternyata pulang beneran. Ekspetasi sesuai realita https://t.co/STfDwt8sCX
liawrdhani,2021-06-04 12:18:48,"@Hujandisenja Kelar obat bius habis, bolak balik minta makan karna laper puasa dari malem sebelumnya. Berasa kayak bukan orang sakit 🤣"
liawrdhani,2021-06-04 05:39:08,@HSDMaulana https://t.co/c67HSjExn7
liawrdhani,2021-06-03 13:48:33,Antara ingin tapi geli kalau pake couple² gini 🤣 https://t.co/bVDtkcgGtV
liawrdhani,2021-06-02 13:36:09,"Banyak bengongnya kalau orang kantor pada ngobrol pake bahasa sunda serang, ga paham coyy"
liawrdhani,2021-06-01 14:51:43,"Ga kerasa banget memasuki umur seperempat abad, ngerasanya kayak masih 17 aja 🤣"
liawrdhani,2021-06-01 13:01:54,"Aku diam, aku jadi batu"
liawrdhani,2021-06-01 12:31:27,"Bener² seharian mager, kerjaan yg mau dicicil dirumah juga mager dikerjain"
liawrdhani,2021-05-30 12:08:05,Rapunzel pasti ribet banget ya kalau keramas
liawrdhani,2021-05-30 11:52:30,Makin panjang rambut makin mager keramas -_-
liawrdhani,2021-05-30 11:24:44,Kayak pingin rewel tapi ujung²nya cuma diem aja 🙃
liawrdhani,2021-05-29 13:30:58,@Hujandisenja Lekas pulih kak naj 🤗
liawrdhani,2021-05-29 12:08:57,"Dikira ga mikir pake otak apa, mikirin ini program, mikirin tugas apj yg seabrek. Bisa²nya kesel diomongin gitu"
liawrdhani,2021-05-29 12:07:51,Agak tersinggung sih coyy yg pada bilang 'enak ih kerjanya depan komputer' doang
liawrdhani,2021-05-28 14:26:55,Mood sedang jadi masker sensi
liawrdhani,2021-05-26 12:03:09,"Udh tau doi ga romantis, masih aja ngarep bakal romantis seenggaknya sehari doang https://t.co/QwDMqZhKSl"
liawrdhani,2021-05-26 03:15:23,"Tiba² dateng kurir barang, mikir lama gue beli apaan ya kemaren. Baru inget sebelum lebaran ikut PO, berasa dapet kado dari diri sendiri 🤣🤣"
liawrdhani,2021-05-24 14:03:20,Apasih li
liawrdhani,2021-05-24 14:03:01,Kan harusnya seimbang ya antara mengerti dan dimengerti
liawrdhani,2021-05-24 13:09:02,"Emang lebih enak diem, tapi lama² meledak juga"
liawrdhani,2021-05-23 10:33:56,@HSDMaulana Oh gitu
liawrdhani,2021-05-22 14:13:52,Suka sedih kadang dikantor ga ada temen sejawat buat diajak diskusi dgn problem yg dialamin :(
liawrdhani,2021-05-21 14:14:08,Gemes sama jerawat dijidat berasa kayak gunung mau meletus https://t.co/0ZC4HnQwnD
liawrdhani,2021-05-21 13:54:13,"Kok sama sih, biar ga keliatan nungguin banget chatnya padahal emang nungguin coyy 🤣🤣 https://t.co/Nhv8UQhHbp"
liawrdhani,2021-05-21 05:31:24,Gumushhh https://t.co/kSA6RzTGJG
liawrdhani,2021-05-19 13:42:15,Bisa²nya ditengah perdebatan 'yok syahadat dulu yok' kan gajadi marah kalau gini
liawrdhani,2021-05-18 13:05:44,Motifnya apa coba upload video atau foto korban kecelakaan ga disensor pula 😒
liawrdhani,2021-05-17 13:46:08,Mending gatau sekalian daripada tau ujung²nya overthinking sendiri
liawrdhani,2021-05-17 12:39:52,"Hari pertama kerja setelah libur lama, bawaannya laper mulu"
liawrdhani,2021-05-16 05:21:51,"Ini udh berasa latian ldr beda waktu berjam², yg satu tidur satunya sibuk ngapain 🥲"
liawrdhani,2021-05-15 18:06:20,"Telat banget rasanya baru ditutup hari ini, yaudhlah daripada ga sama sekali tapi minta dijulidin"
liawrdhani,2021-05-14 15:45:23,Kemudian bikin indomie lagi 😏
liawrdhani,2021-05-14 12:49:39,"Iseng nyoba cup noodle korea, tekstur mienya lumayan tapi rasanya ga suka baunya juga bukan selera 😖"
liawrdhani,2021-05-14 04:25:26,Bilang aja males olahraga li
liawrdhani,2021-05-14 04:25:03,"Ga usah olahraga kayaknya, makan siang pake sambel+minum teh panas juga udh lumayan kayak lari 😏"
liawrdhani,2021-05-13 13:19:12,Berasa dapet THR online https://t.co/DVcB2O1kHr
liawrdhani,2021-05-13 06:55:58,"Kegiatan lebaran hari pertama cuma tiduran dikamar/ruang tamu, ngabisin nastar sama opor gitu terus siklusnya :( kangen lebaran dirumah mbah 😭"
liawrdhani,2021-05-12 18:27:15,Kayak ga rela libur cepet berlalu
liawrdhani,2021-05-11 15:38:39,Kayaknya kalau malem ga gelisah ga asik jiwa ini 😏
liawrdhani,2021-05-10 13:43:27,Umur muda raga jompo wkwkwk https://t.co/ZwyUJlHqHa
liawrdhani,2021-05-09 11:23:27,Kangen bothoke simbah 😭 https://t.co/9XFAvDBGMI
liawrdhani,2021-05-08 14:34:05,@safirasrri Kalau rindu ketemu lek katanya
liawrdhani,2021-05-08 14:29:21,@Tan82702085 @hdyaningrum Amal masih polos ga paham 😔
liawrdhani,2021-05-08 11:51:57,@Tan82702085 @hdyaningrum Gimana tan ngomongnya? Ajarin dong
liawrdhani,2021-05-07 14:32:41,"Laper tapi ngantuk tapi laper tapi capek, dasar manusia"
liawrdhani,2021-05-07 14:11:13,Yok ekspetasinya jgn tinggi² yokk
liawrdhani,2021-05-06 15:23:54,Aku tiap naik motor https://t.co/OOcIHpy6DI
liawrdhani,2021-05-06 15:17:21,@wincep Mau jadi boneka berbie aja deh win wkwkwk
