username,created_at,text
liayurh_,2021-06-07 06:54:23,hwaaa https://t.co/5aAsBjOkEy
liayurh_,2021-06-07 02:56:25,@KikilFauzie i feel kak kil😭
liayurh_,2021-06-07 02:30:03,"@radenrauf akhirnyaa, setelah sekian lama"
liayurh_,2021-06-07 02:23:09,"@DitameliaDitam1 apa km, dimana mana ada"
liayurh_,2021-06-06 16:40:52,https://t.co/5A5aPZXX6D
liayurh_,2021-06-05 16:25:21,kaki ku ga ada estetik estetik nya:( https://t.co/cr2b5JSDUz
liayurh_,2021-06-05 16:22:10,juni https://t.co/Y0GCiyvGII
liayurh_,2021-06-04 21:01:32,@morganoey @ernestprakasa 💛
liayurh_,2021-05-29 09:45:40,"@andihiyat aku yang kedua:"""
liayurh_,2021-05-27 04:45:21,@DitameliaDitam1 Oiya dongg
liayurh_,2021-05-26 11:58:10,.. https://t.co/Hu4MEP6f0s
liayurh_,2021-05-25 18:39:45,@bertanyarl .....
liayurh_,2021-05-25 18:37:57,@morganoey Whooooa happy birthday to u💛
liayurh_,2021-05-25 04:35:31,4 bh kurma 1 bh tomat 1 sachet skm 200ml air Seenak ini ternyata https://t.co/RJEjmlOOLc
liayurh_,2021-05-24 13:22:31,Masih banyak orang-orang baik yang pengen aku temuin..
liayurh_,2021-05-24 13:04:55,@d2nw_ F pasti banyak yang samaa
liayurh_,2021-04-19 22:19:03,@ohmybeautybank Tim 1 tapi susah buat nyamain keduanya😭
liayurh_,2021-04-15 00:59:51,"rasanya seneng banget bisa ketemu bapak dalam mimpi:"""
liayurh_,2021-04-10 02:22:58,@UjangSlametNug1 Bukaan
liayurh_,2021-04-10 02:21:30,Ingat saat kalian bergabung dengan Twitter? Saya ingat! #HariJadiTwitterSaya https://t.co/aFgAj9SNxR
liayurh_,2021-04-06 02:05:19,"Bagus ga ada harganya, jelek dipojokin abis abisan lelah yang ga kepake"
liayurh_,2021-04-02 03:54:30,"Apa yang orang lakuin ke kamu yang engga semestinya, Kasih apa yang mrk mau"
liayurh_,2021-04-01 11:17:35,yaallah😳😳
liayurh_,2021-03-27 02:47:21,"Terimakasih teruntuk teman teman semua:' ibu dan bapak yang udah ngajarin aku, bersyukur bisa ketemu orang orang baik😊"
liayurh_,2021-03-23 17:45:59,Yaallah..
liayurh_,2021-03-20 15:56:24,@KDesandria @shitlicious G bolehh
liayurh_,2021-03-20 15:55:56,@toekangkuliner @shitlicious Iyaa
liayurh_,2021-03-20 15:31:11,@aksaraku_ Jangan lupa bersyukur😊
