username,created_at,text
mautongue,2021-03-24 17:47:52,Dasar webtoon gajelas😡 https://t.co/L2ldLDuIPR
mautongue,2021-03-24 17:37:19,"Jam segini belum tidur, gak sempet biki bekall"
mautongue,2021-03-24 17:35:03,LUCU BANGET 😭😭😭
mautongue,2021-03-24 09:34:09,@DitjenPajakRI kak untuk aktivasi efin gimana ya?
mautongue,2021-03-14 15:49:59,"Udah ah gua capek, males hehehe"
mautongue,2021-03-13 12:34:09,Kayanya gua besok harus ke dufan
mautongue,2021-03-09 13:34:53,@tubirfess loh dia pas remaja pernah ngalaim datang bulan gakk?
mautongue,2021-03-05 13:44:10,KETAWA https://t.co/YYkBRUBiww
mautongue,2021-03-05 12:40:00,Orang orang mah pacaran gak direstuin bapaknya. Kalo gua temenan gak direstuin bapaknya wkwkwk
mautongue,2021-03-04 04:36:08,"@bareksacom halo kak, saya mau dm. Boleh open dm nya?"
mautongue,2021-02-27 03:53:55,@indopremier kak tolong cek dm ya🙏🏾
mautongue,2021-02-24 04:55:27,Bukan teddy😭 https://t.co/Yb9zX8YhOg
mautongue,2021-02-17 15:41:18,Saking senengnya sampe gua kirim di grup malem malem begini😭😭 https://t.co/YcrbL2XQtC
mautongue,2021-02-17 15:38:01,SENENG BANGET BISA PAKE LAGU DAY6 EOD BUAT LOMBA VIDEO KANTOR
mautongue,2021-02-15 15:26:02,Ya Allah jam segini dapet pertanyasn susah bgttt
mautongue,2021-02-13 13:00:23,Pengen upload di ig tapi takut ketawan rang kantor kalo gua jalan jalan😭😭 https://t.co/7nqy1OepSg
mautongue,2021-02-13 12:58:58,So much fun!! &lt;3 https://t.co/CUNKe0AbdV
mautongue,2021-02-12 19:04:26,Jam segini dengerin beginian. Berasa dikonser tapi dikejar kejar doun https://t.co/06367qs6Gw
mautongue,2021-02-09 15:26:39,"@moonicatcp Emang SM gapernah gagal.. Tapi kalo dibilang berisik, RBB lah paling berisik 👍🏽"
mautongue,2021-02-09 15:24:40,Mangga dua vibe kalo hari minggu https://t.co/dKvDcd9VOG
mautongue,2021-02-09 15:18:57,"Sebenernya beli eps webtoon pake koin itu bukan perkara males dibilang sultan, tapi males pas mood baca webtoon tapi udah gada yang bisa dibaca👍🏽👎🏾"
mautongue,2021-02-09 04:08:24,@23flowery_ Lesgow tangkap pembunuhnya
