username,created_at,text
melyst94,2021-06-11 05:20:37,@mpokmod @indsane @maudyayunda Salah server mas nyaa....
melyst94,2021-06-10 03:11:37,@AREAJULID @jokowi @KementerianESDM @Kemendag @PerekonomianRI @Kemenkumham_RI @KemenBUMN @kementan @KemenLHK
melyst94,2021-06-02 14:32:13,@aanswikrz @AnakPaAmin @khansaneira Walaupun aku bukan penyuka KPOP dan gaktau menau soal KPOP...tapi setelah gue liat perbandingan fotonya...Jelas Beda Jauh Banget Woy...Matanya pada ketutupan debu vulkanik apa yaa...
melyst94,2021-05-31 10:41:33,"@Csubagja069 @rioyusa_ Pas nikahnyaaa...juga pada modal makan doang, nambah lagi...ampLop aLa kadarnyaa"
melyst94,2021-05-31 00:17:02,"@RENJUNMOONMIlIN @xouterspacesx @tubirfess Ohh yg rame2 rachel itu..penyebabnya ini..lagi napa sih orang2/netijen suka enteng bgt mulutnya ngatain oranglain..ibarat kita ngecengin temen/org terdekat aja msh mikir,bikin tersinggung atau enggak..ini org gak kenal maen ngatain aja 🤦‍♀️"
melyst94,2021-05-24 13:53:12,@pokamimii Kaya semprotan aer DAMKAARRR
melyst94,2021-05-24 06:14:35,"@pemujaoppa2 @kvproy @haaymill @dwikimic Kami Segenap netizen twitter, menunggu From this to this nya ya mbak mas...😅"
melyst94,2021-05-11 02:31:02,@TyongieTyf @AREAJULID ini kak yg sdh di share sebelumnya https://t.co/pybJ3CJ4px
melyst94,2021-05-10 00:57:05,"@orioniswin @seoayya @nadyaamps @mellonioo @bertanyarl iya sih teknologi psti ada + - nya , soalnya cmiiw Badan Tenaga Nuklir Nasional pernah jelasin ☀️ buatan China bs melelehkan Bumi jk alami kebocoran. Energi yg dihasilkan ☀️ buatan ini melebihi 15 kali panas inti ☀️ sesungguhnya, tp smoga kejadian kaya gitu terhindari"
melyst94,2021-05-09 01:22:46,@seoayya @nadyaamps @mellonioo @bertanyarl dia tuh mau bikin kiamat lebih cepat apa gimana sih ya???
melyst94,2021-05-09 01:07:27,@Chovifah_ @bukanaltertitik @e100ss @DivHumas_Polri @KPAI_official @HumasPoldaJatim @Dindik_Jatim @KominfoJatim
melyst94,2021-05-08 15:34:48,"@pantungalimar Untung gue udh naro tulisan di bio IG kalo gue ""cewek yg gak suka dituduh tiktokan pas gabut"", mudah2an temen2 gue jd mikir 2 kali buat ngajak2 download beginian..."
melyst94,2021-05-02 13:29:20,jiah suara gue jd mendem 🤣..kedengeran bgt keserimpet senar..ah bodoamatLah gaass... https://t.co/KLojI2gZCm
melyst94,2021-05-01 02:31:42,"@radeon04 @hartatahtagitta @lahiyabay PercayaLah...pedagang2 dipasar itu...kalo ke bank...setor duitnya bergepok-gepok walaupun dikaretin, dikantongin kantong kresek..dan mbak2 teller nya udah hafal sama orangnya.."
melyst94,2021-04-27 03:19:41,@panyaae1 @Suxgab @eventsurabaya @detikSBY @LMsurabaya
melyst94,2021-04-17 10:32:29,@willdahamid Tapi manusia sekarang pinter2 kak...ada kasus yg sebelum nikah udh di test emosional ini ono pun dia lulus kak mksdnya gak terlihat sifat aslinya..eh ternyata pas udah nikah berubah 180 derajat..
melyst94,2021-04-14 11:08:45,@txtdrstoryWA https://t.co/MAKvqDDFcZ
melyst94,2021-04-11 14:51:50,@PHE_YAA Selamat ya Pak Hartawan...yoook geLar syukuran yookk...
melyst94,2021-04-08 06:13:12,@Jejes03852385 @dsuperboy Jawabannya prilly nihh 👍
melyst94,2021-04-07 20:50:45,@Aullyaaa25 @AUlqulub @mhmn_26 @FiersaBesari Dari sini terlihat tujuan dari iklan yg nongol di sinetron itu ya...
melyst94,2021-04-07 06:44:07,@pantungalimar Sedih banget kalo pas momen berharga kaya gini orang terdekat udah gak ada..apalagi kehilangan kedua ortu di usia yg masih muda..semoga mbaknya dikuatkan selalu dan tolong jaga adik2nya ya mba...
melyst94,2021-04-05 14:08:14,#IkatanCintaEp227 Apakah Mama Sarah tidak iri melihat keakraban Mama Rosa sama Andin .... Bismillah Punya Mama Mertua kaya Mama Rosa 🤲 https://t.co/sepDpFCkX7
melyst94,2021-04-02 11:27:53,@txtdrberseragam Ilustrasi gambar : ketika tampangmu lebih oke dari mas baju Loreng tp profesi/pekerjaan mu gak lebih tinggi dari mas baju Loreng...ingaatt kamu gak selevel..gitu kan?
melyst94,2021-04-02 11:11:48,"@DuniaKuli @txtdrberseragam Bang Jarwo...""si sopo gue suruh beli nasi padang di depan gang aja gak balik2..Suee.."""
melyst94,2021-04-01 09:31:44,"@evi_kiswah @refichanu iyaa...tergantung kompromi sama suami nya aja bagaimana, selama semua its oke..orang lain sih bodoamat..karena oranglain yg nyindir itu juga belum tentu bahagia sama pilihan jalan hidupnya kak"
melyst94,2021-03-29 05:38:30,@ansiboi Dia yang bawa bom tp aku yang deg deg kan..mikir pas di alam kubur nnti ditanya sama malaikat munkar dan nakir...
melyst94,2021-03-27 23:31:24,@Lamekhh @popolmalesmandi https://t.co/vNyo0qbTO7
melyst94,2021-03-27 08:36:00,"@syafald @Jualkeripikenak @dekusa712 @ndagels Oiaa kdg jugaa rasa sayang yg abang maksud mungkin karena adanya rasanya tanggung jawab aja sebenernya, tp memang ortu kalo ke anak biasanya rasa sayangnya beda, gak pudar, walau bapak ini udah gak sayang sama istrinya..."
melyst94,2021-03-26 21:01:28,"@Rnnaaat Paaaraaah emang prilly tuh, kriteria wanita idaman diambil semuaaa...gils gue baru tau followersnya 40 juta 😯 https://t.co/neQ77eObKb"
melyst94,2021-03-26 20:50:08,"@ghaniafelishaa iyaa suka iri kalo liat tayangan yg anak pesantren yg pada msh kecil2 pakein mahkota ke orangtuanya, sekilas tp maknanya jLeb bgt.."
melyst94,2021-03-26 12:09:52,@sibrowny @meiyrina @NugrahaRM17 @phee_nophee @ridwanhr Se-fruit solusi ya mas browny
melyst94,2021-03-26 06:22:03,"@NugrahaRM17 @phee_nophee @sibrowny @ridwanhr Kdg bingung jg sih,klo gak kredit gak punya,misalnya kasus dr awal niat mw beli mobil ga punya uang cash,akhirnya kredit ambil 5 thn, jalan 1-2 thn badan msh sehat,kerja keras,pas tahun ke 3, tiba2 kesehatan drop, umur gak ada yg tau, lalu meninggal dgn meninggalkan utang 😪"
melyst94,2021-03-24 08:47:32,@dheandelion Cek dm sist...
melyst94,2021-03-23 15:11:21,@katakinin_ @briankhrisna kaya gini maksudnya kak https://t.co/fuIR1XRwOd
melyst94,2021-03-23 03:36:20,"@Sinemargh_JKT48 Mon maap ini keributan kaya gini, bukan karena doa mantan yg ditinggal nikah kan yaa..apa karena di menu kondangan gak ada zuppa soup nyaa??"
melyst94,2021-03-17 05:40:25,@diazzahmad @recehtapisayng Keliatan bgt dari awal2 video...itu anak kecil nafasnya cepet gitu..dia mau nangis tp ditahan bercampur rasa takut dan nahan sakit...
melyst94,2021-03-11 08:19:16,https://t.co/K0pheunzQv
melyst94,2021-03-11 07:23:48,Nyayiin lagu yg chord nya gampang2 aja... https://t.co/dKeyoatgsg
melyst94,2021-03-08 06:45:35,@skandaljepitt @collegemenfess Gaosah sedih Ngab..Jangankan cowok..gue yg cewe aja gak gitu Ngab..
melyst94,2021-02-28 14:00:20,@Whyhidayat____ Jangan kan video...kalo mau post info aja mikir juga takut hoax..jd cari kebenaran beritanya duli
melyst94,2021-02-26 15:35:33,@andihiyat Hebat banget Lu Ngab..bs gak baperan sama omongan dan kata2 orang yg ngeremehin lu itu...
melyst94,2021-02-26 14:45:51,@akuuuuamel @kikysaputrii @aciresti @ernestprakasa ihh seriusan cm 12 episode...trakhir nonton episode 10..sediihh..tapi ponakan gue umur 8 thn jadi suka nonton ini gara2 awalnya denger gue ngakak muLu dikamar..dia penasaran..ehh dia ketularan ngakak doong...
melyst94,2021-02-22 11:09:19,@RacunBelanja Beli ginian kudu diliat daya watt nya berapa???makin rendah makin hemat biaya listrik..drpd barang murah tp bikin tagihan listrik bengkak
melyst94,2021-02-21 15:27:18,@lauradchels @andihiyat Haha...tipis2 biar tidak terlihat kesan kasarnya..
melyst94,2021-02-21 14:26:21,"@minhyunglee_ily @andihiyat Haha iya kocak itu...ngapain dia klarifikasi, kan percuma, cuma nambah malu doang.."
melyst94,2021-02-21 11:52:31,@andihiyat Kadang2 orang2 kek gini klarifikasi perselingkuhan dengan bilang itu KHILAF... gak gunaaaaa go block...gaosah klarifikasi klo gitu mah..
melyst94,2021-02-21 07:45:22,@kegblgnunfaedh akun2 kek gini terlalu lebay..Sok sok an fikday garis keras... Lebay..eLu dirumah aja masih bangun siang...
melyst94,2021-02-21 00:31:30,@Setyawan2412 @ridjac12 hahaha njiirr kode apaan Ngab..gue cm terharu krna gue yg masih muda aja msh suka maLes tahajud..
melyst94,2021-02-19 23:31:03,@ridjac12 Semoga emak Lu sehat2 terus ya Ngab...
melyst94,2021-02-19 05:27:41,@FiersaBesari Jangan JuLiiid....ingat ini hari jumat.....
melyst94,2021-02-18 16:51:50,@sooperjey @AREAJULID @revalita_m Lagi coba fokus liatin komentar netizen ke gosip utama...Bisa2nyaaa ada spill-an kaya gini wooyy.... matanya dan jarinya netizen aktif banget ya Bun....
melyst94,2021-02-18 14:38:11,@MrKumel Ngakakkkk..
melyst94,2021-02-05 09:26:44,@youlovemyname @alicia_alice @SeputarTetangga Mon maap kak...Kokkk ini ceritanya Lucuu yaaaa....plot twist..
melyst94,2021-02-04 13:17:12,@niesya_a Dapet dri IG https://t.co/acizluOcWP
melyst94,2021-02-03 11:14:24,"@RezkaR29 @Taritaritaa hasrat cowok nafsu sm cewek lain wlwpun dia punya pasangan pasti adaLah (sifat manusia kan) tapiiiii kalo selingkuh itu pilihan (event itu laki mau selingkuh atau gak, bs pilih melakukan kesalahan itu atau gak)"
melyst94,2021-01-27 15:16:45,@xuma_sa All in ya Bun....
melyst94,2021-01-26 03:32:49,"@guecw Bisa bisanya Pak PoL yg hidupnya adem ayem tentram damai....ada yg bikin akun fake atas nama dia dan warganet tergiring opini buruk ke Pak PoL...semoga diusut yg pelaku jahat, dan diberikan jalan keluar dri bagi yg mjd korban.."
melyst94,2021-01-18 14:12:33,anak2 barisan no. 1.. yuk ngumpul sini makan seblak bareng .. https://t.co/kBaWC3XpnI
melyst94,2021-01-18 09:37:03,@tubirfess jadi inget kejadian babang @nicsap .. https://t.co/trifhptnyN
melyst94,2021-01-18 09:11:56,"@tubirfess Sebenernyaa klo buLe2nya berkontribusi buat Indo yagapapa sih mksdnya dgn cara LegaL, taat bayar pajak, tourist2 yg jd reLawan atau misal dia kerja di Indo dgn skill yg memang berkompeten dibidangnya (istilahnya gak nyampah, ada feedback baik buat pembangunan&amp;kesejahteraan Indo)"
melyst94,2021-01-16 23:51:00,@harisfirdaus @YogyakartaCity @JogjaUpdate @Jogja24Jam @jogjamedia
melyst94,2021-01-16 14:32:24,"@SuryaPrase @aMrazing Selamat ulang tahun Kak Surya, Semoga panjang umur &amp; dimudahkan segala urusannya dan bisnisnya.. Dan klo boleh ikutan giveaway...aku pilih kain boleh ya kak 😁...makasih kak"
melyst94,2021-01-15 11:42:13,@du2gong0 gakkk gitu dooooong...haeLaahh jogetin jugakk nihhh https://t.co/9dUWK9PvFo
melyst94,2021-01-15 11:38:28,@fokusdulu @SeputarTetangga Yassalam...sungguh dakjaL sekali dia...
melyst94,2021-01-15 09:01:49,"@dsuperboy bener..w mikirnya..kalo kamu masih dikasih umur dikasih kehidupan, brarti masih ada tanggungjawab yg kamu harus kerjakan..buat diri kamu, mungkin juga buat org lain (keluarga atau sanak sodara) yg kiranya sadar gak sadar..rezeki mereka lewat pekerjaan kamu"
melyst94,2021-01-15 05:14:26,@fokusdulu @SeputarTetangga Dari pagi sampai malam...??apakah dia hidup sebatangkara seperti hatci gan??
melyst94,2021-01-14 10:46:54,"@kopiganja Emang paling bener, klo ada berita2 kek gini liat pro dan kontranya (disetiap komen)...selain seru liat perdebatan tp dapat ilmu bljr analisis masalah..manteb emg warga twitter"
melyst94,2021-01-09 03:52:18,"@asumsico sayang bgt sii...apa gua doang yg baru tau, seorang donald trump follower twitternya 88juta"
melyst94,2021-01-09 01:30:08,@CNNIndonesia https://t.co/LgpYgXSgDW
melyst94,2021-01-09 01:14:05,@aMrazing SebLakkk koooh pake nasiii...
melyst94,2021-01-05 08:26:51,@tubirfess Buka twitter tuh semangat baca komennyaa....
melyst94,2021-01-04 08:15:30,@siochoy https://t.co/kyoJmUPg8V
melyst94,2021-01-04 08:06:15,"@aMrazing Kalau HP mu bisa copy ini, ganti pilotnya coba, Nggak boleh sama ya.. ▂▄▄▓▄▄▂ ◢▀███▄▄▄▄▄▄◢◤ █ 🦖▄█▀▀▀▀▀▀▀╬ ◥█████◤ ══╩══╩══"
melyst94,2020-12-25 07:00:48,@WeTVIndonesia Ini hari jumat yaa...yok yok semangat nunggu episode ke 5
melyst94,2020-12-25 06:17:04,@ogiklo ☝️ penggemar masakan tempeee.... (kecuali di bacem)
melyst94,2020-12-23 15:13:52,@miss7sins giLaaaak ikut merindiiing...
melyst94,2020-12-20 23:20:21,"@handokotjung nyetrika emg paling bikin mager..w nyetrika paling cm utk kemeja2, baju kerja atau baju2 buat pergi trus digantung deh gak dilipet, kalo model kek kaos2 biasa mah udh aja dri jemuran lgsg dilipetin taro lemari.."
melyst94,2020-12-19 08:11:42,@habibaahnurull GWS bib...semangaattt....
melyst94,2020-12-18 08:16:54,@monsouleil Masih sopanan SPAM sms di hape gue....pake saLam dooong... https://t.co/eYxSIfGyy1
melyst94,2020-12-18 00:10:56,@ASAP_Rockok @DivHumas_Polri
melyst94,2020-12-17 03:03:34,@jagadhj yaa gak gitu doong bambwaaaang......
melyst94,2020-12-16 11:08:02,@rutherfrodd @asumsico Kaya ibadah haji...?
melyst94,2020-12-14 13:52:35,@pawpatrolss @debrisumule mon maap kak aku shift work...
melyst94,2020-12-14 08:29:36,@andihiyat ternyata eLu bs baca pikiran gue Ngaabb....
melyst94,2020-12-06 02:16:30,@Siskameilind @DivHumas_Polri
melyst94,2020-12-03 03:40:34,@KAI121 thanks FYI min...
melyst94,2020-12-03 03:26:33,@KAI121 min mau tanya kalo sebaliknya gambir - tugu ?? adakah dgn harga segitu juga kah??
melyst94,2020-12-01 07:14:46,"@kayaknya_kenal @karfianda BetuL bet mas nyaa..pesepeda musiman bangkek..maLah ada di dalam rombongan, ada yg sengaja adu kebut (filling w mah : sekedar gaya2an)..walaupun di jalurnya sendiri, mereka tetep ganggu Lah..ngapain adu kebut lu pikir ini track balapan sentuL..."
melyst94,2020-11-28 04:48:40,@Bungacitraherr hahaha ngakak baca reply nyaa
melyst94,2020-11-27 08:05:08,@hrdbacot Untungnya Group WA kantor..kalo diluar jam kerja ga ada yg ngusik..semua TAU DIRI...
melyst94,2020-11-27 04:50:31,@recehtapisayng Nahh inihh...pas iklan...kok guest starnya blackpink..bukannya blackpink ambasador si oyen...
