username,created_at,text
meniaclosia,2021-06-08 15:19:36,"@muftsy Yooong trims buat infonya:"") bisa jadi bekalku nanti biar ga ikutan dipungliin buat ngurus wedding"
meniaclosia,2021-06-08 15:16:32,@riyadhghifari Astaga gue kira pantun. Maaf ya bang😂
meniaclosia,2021-06-08 13:54:29,@aristadwp @dhikadolly @destide Iya kak
meniaclosia,2021-06-08 13:53:24,"Masih kepikiran micellar water drugstore ada yg worth it ga siy selain bioderma? *tapi jgn garnier, pernah pake ga cocok☹"
meniaclosia,2021-06-08 13:38:52,@Natureattack Tergemash😍
meniaclosia,2021-06-08 13:34:24,@destide Mukanya makin mirip!🥰
meniaclosia,2021-06-08 13:32:04,@dhikadolly @destide @aristadwp Diborong yaa mentionnya😂 iya ini aku udh liat hmm kalo presiden negara sini udh dibawa ke isilop pasti
meniaclosia,2021-06-08 11:54:06,"@ryan_nus @gojekindonesia Wah besok pasti akan kaya apa tau ini ramenya🥲 mikir2 lagi mau cobain soalnya beda di saus doang, kecuali beli merchandise nah baru deh worth the wait #BTS"
meniaclosia,2021-06-08 04:39:59,Lindungilah para kucing dan merpati di sana😿 so sad to know this.. https://t.co/cOA0SLS5Kt
meniaclosia,2021-06-07 14:31:09,L'Oréal keren juga ini perlahan mulai menggeser Korean brands kesukaanku. Yuk bisa semulus mba Davika🤣
meniaclosia,2021-06-07 14:21:57,Cruella👏🏻👏🏻👏🏻 Dariku yg masih mikir2 buat conjuring 3🤔
meniaclosia,2021-06-07 04:43:28,"""You will face many defeats in life, but never let yourself be defeated."" Lagi sering-seringnya nanamin mindset ini ke diri sendiri🌻"
meniaclosia,2021-06-06 14:33:44,"Jam segini sudah skincarean, sip waktunya tidur. *taunya ngeyoutube dulu buat pengantar tidur*"
meniaclosia,2021-06-06 10:47:10,@MoeloekRenatta Damagenya astagaa🥰
meniaclosia,2021-06-06 04:18:25,"Kangen, pengen ke perpus2 umum dan toko buku. Hopefully nanti ada waktunya buat main ke sana lagi📚 Salah satu me time yg paling menyenangkan buat gue personally. Berkontemplasi dgn baca buku tuh sgt efektif to enlighten my soul, calm my mind yet broaden my horizons📚"
meniaclosia,2021-06-05 17:22:06,"Sabar, sabar. Maybe it's just not the perfect timing. Believe in Him, cause His plans are better than what I've been going through these times🍁"
meniaclosia,2021-06-05 13:30:41,"Ya ampun serem bgt ini udah ada zona merah lagi:"" stay safe and keep healthy semuanya"
meniaclosia,2021-06-05 07:40:37,"@gilbhas Kaya gini mau ngimpi bangun Silicon Valley, bye ajalah👋🏼"
meniaclosia,2021-06-05 05:57:06,@dhikadolly Ada lah mak~
meniaclosia,2021-06-05 05:06:40,Untung aja gue telfon orang dulunya alias mantan yg pernah di situ. Bener aja kan environment-nya toxic😅
meniaclosia,2021-06-04 14:53:14,Kaya ini nih kan bener2 aesthetically pleasing bgt☺ https://t.co/HHcXSiVX9V
meniaclosia,2021-06-04 13:33:14,"Satisfying bgt liat fat macarons, dari proses pembuatan sampe hasilnya yg gemesh2 sayang dimakan😍 I am not a sweet tooth btw, but it seems alluring aja gitu liat dessert2 estetik🥮🧁🍮"
meniaclosia,2021-06-04 11:23:16,Alhamdulillah hujannya pas kusudah di rumah🌧
meniaclosia,2021-06-04 10:15:14,@BonnieTriyana Can't no more agree than this✅
meniaclosia,2021-06-04 10:13:07,Tau kan rasanya enggan berharap? Nah yaudah jgn nanya2 gue kalo gitu🦊 atau gausah coba nge-test gue dgn pertanyaan yg lu tau sendiri jawabannya🐺
meniaclosia,2021-06-04 07:26:47,"Udah lama ga naik bus arah kuningan, pas transit situ kaget gue kok gedung kejaksaan dirubuhin🤔"
meniaclosia,2021-06-04 03:18:57,@muftsy Ketebak yaa pemerannya diganti tapi alur ceritanya mah teteup poligami. Padahal alurnya kan diprotes jg haha
meniaclosia,2021-06-04 02:56:06,"Udahlah seharian akan nunggu aja kalo gini ceritanya:"")"
meniaclosia,2021-06-04 02:55:18,@muftsy Bisa bisanya lu yong nonton itu🤣 gue aja tau dari netijen doang
meniaclosia,2021-06-03 16:41:07,"@budimandjatmiko Kebayang nih ada Benzema, Pogba, Ozil, dkk yg pada naik haji. Kalo ngga minimal WNA keturunan muslim yg punya residence permit di 11 negara itu🤗"
meniaclosia,2021-06-03 14:18:45,@asumsico Yah sama dagelannya kaya di sini:(
meniaclosia,2021-06-03 12:29:22,@dhikadolly Ini emaknya jg salah ga siy? Pernah liat kayanya definisi mau cantik tinggal suntik putih (biarpun buat endorse)
meniaclosia,2021-06-03 10:57:28,Appreciate every little thing and never take someone for granted. A note to myself for being blessed by Him every single day🙏🏻
meniaclosia,2021-06-03 08:09:13,Mulai terkantuk-kantuk depan laptop. But I am too scared to get more caffeine..
meniaclosia,2021-06-02 16:19:02,Stay normal in this abnormal situation. Still keep embracing and motivating myself that I can pass through all of this shit like omg.
meniaclosia,2021-06-02 12:55:39,Menggoda banget rose tteokbokki sama rose pasta astagaaa🤤
meniaclosia,2021-06-02 11:02:10,@putciputricia Derita hidup di ibukota🤣 apalagi kalo banjir kiriman ya Allah sedih bats
meniaclosia,2021-06-02 10:58:42,@putciputricia Tapi bingung jg ya udah bulan segini masih musim hujan gituu
meniaclosia,2021-06-02 10:48:40,@putciputricia Haha kujuga depan rumah doang menggenang
meniaclosia,2021-06-02 08:38:18,Hujannya awet yaa😇
meniaclosia,2021-06-01 13:32:39,Salah nih jam segini pengen pasta oma elly😶
meniaclosia,2021-06-01 12:29:42,"Yuk bisa yuk kerja cerdas, nikah sama WN sana kemudian naturalisasi🤣 Biar hidup ga kebanyakan dagelan"
meniaclosia,2021-06-01 12:28:08,"Kadang terpikirkan, kenapa pula aku ga terlahir jadi WN negara singa aja🤔"
