username,created_at,text
messylusmitha,2021-03-23 16:57:59,"Wahh ternyata logika ku masih belum berubah🤫 masih lebih kuat logika daripada perasaan, so proud 💫"
messylusmitha,2021-03-07 14:18:14,@AisyaahNasution KAKAKKKK BESOK KE MALANG YAAA? 🥺🥺🥺🥺
messylusmitha,2021-03-07 13:52:20,Heeeee Mas Kaesang...kaesang....
messylusmitha,2021-03-05 07:46:21,@BTS_twt Wahhh jiminnnn
messylusmitha,2021-02-15 04:23:58,@salbiylaazzara I know this apk
messylusmitha,2021-02-11 16:14:54,Sering banget ngerasa ngga pantes buat orang
messylusmitha,2021-02-10 07:22:16,@eskwimchoco @tiorarsqaalfn 🐙
messylusmitha,2021-02-10 05:49:20,@tiorarsqaalfn Hati sm fisik makin sama sama kuat ya bund 😍
messylusmitha,2021-02-08 14:11:31,@BTS_twt Luv u 🌻
messylusmitha,2021-01-30 02:25:19,Incaran buibu https://t.co/gHMI7FCQzk
messylusmitha,2021-01-30 02:20:34,@tiorarsqaalfn 😃😃😃
messylusmitha,2021-01-30 02:20:19,Malang dingin banget woyyyy🥶
messylusmitha,2021-01-30 02:02:30,"@mlgcollegefess Langsung bayar ke atm aja nder, dulu aku pernah lupa juga, terus langsung bayar ke atm, masih bisa ternyata 👌"
messylusmitha,2021-01-29 15:19:32,Otw gendud https://t.co/fk3F5NmagN
messylusmitha,2021-01-22 11:02:58,Waktunya receh receh 😆😆 https://t.co/bOUr0Tzs89
messylusmitha,2021-01-22 05:08:33,@myyzd BAHAGIA!!! KALO MAU NANGIS PUN AGAK-AGAK NANGIS DIDEPAN MENARA EIFEL LAH MINIMAL https://t.co/lipu703xJq
messylusmitha,2021-01-16 19:46:54,Nyeselll minum kopiiii gabisa tidoooooo 🙃🙃🙃
messylusmitha,2021-01-16 14:53:52,@mlgcollegefess https://t.co/k05Yld3Ypi
messylusmitha,2021-01-15 11:00:30,@sabekrina Sahammm
messylusmitha,2021-01-12 04:27:42,@aMrazing Wii menarikkk
messylusmitha,2021-01-08 16:42:13,@dwihandaanda Benerrrrr bunnnn
messylusmitha,2021-01-06 15:08:05,@nadiaik_ 💜💜💜
messylusmitha,2021-01-06 14:37:25,@nadiaik_ Semangatttttttttt woiiii
messylusmitha,2021-01-03 20:29:27,@IndahPutryyy 🌻🌻🌻🌻🌻
messylusmitha,2020-12-31 18:13:53,Kabar dispatch kapan munculll weeey
messylusmitha,2020-12-31 16:34:25,Ehh belum jam 12 kirain udh kwkwk efek nonton konser yang udah new year dari 2 jam yang lalu 🤣
messylusmitha,2020-12-31 16:34:17,Huaaaaaa 💜💜💜 #HappyNewYear2021 #bangtan #BigHitNewYearsEveLive https://t.co/pjxtb6fanS
messylusmitha,2020-12-31 16:30:54,@BTS_twt still cute💜
messylusmitha,2020-12-31 12:43:12,Uwuwuwuwuwu https://t.co/rEfbM3eloH
messylusmitha,2020-12-30 14:30:48,💜💜💜💜💜💜💜💜💜💜🥺 https://t.co/MS0TyVMo5a
messylusmitha,2020-12-30 14:17:09,Finallyy
messylusmitha,2020-12-30 05:13:47,Kalem nya jodoh oranggg 💜💜 #Taehyungbirthday https://t.co/vFM5QFpAhi
messylusmitha,2020-12-30 05:06:46,V liveeeeeeee
messylusmitha,2020-12-30 05:05:59,@wohcuIt 💜
messylusmitha,2020-12-29 20:16:42,Gak bisaaa tidooooooo😫
messylusmitha,2020-12-27 14:38:15,@ZOO_FESS Penjaga pagar rumah https://t.co/EJXTKwZQjb
messylusmitha,2020-12-26 07:11:47,@StafKhususGenZ Kayana Daya Sadajiwa 🥰
messylusmitha,2020-12-25 07:36:55,@liIjiminvert Ganteng bgt jin 💜
messylusmitha,2020-12-22 14:32:45,@NetflixID @lalaulalaaa @eigaxtabi Huhu pengen nonton film ini tapi lupa terus
messylusmitha,2020-12-22 14:26:30,@eskwimchoco Wkwkw kamprettt ulannn
messylusmitha,2020-12-22 09:29:54,@tiorarsqaalfn Omegooooo wkwkwk
messylusmitha,2020-12-22 05:40:13,"@tiorarsqaalfn Tapi belum bisa banyk dekornya, nanti mo dibongkar jg wkkwk mo buat atas"
messylusmitha,2020-12-22 05:39:23,@tiorarsqaalfn Iyaa raa ga kuaddd 🥰🥰🥰
messylusmitha,2020-12-22 05:38:41,@tiorarsqaalfn Belommm datengggggg nanti acu pap🤪
messylusmitha,2020-12-22 05:38:26,@tiorarsqaalfn Ganteng beuddssssss om om
messylusmitha,2020-12-22 01:34:06,Mampus w seojun ternyata udah om om 🤣🤣 g nyangka kwkwk
messylusmitha,2020-12-21 15:29:21,Gewla hari ini aku ga ngapa ngapain tidur terus seharian
messylusmitha,2020-12-21 14:43:55,@B_hundred_Hyun 🥰🥰🥰
messylusmitha,2020-12-21 08:31:02,@dhiyafifah Kurang item 🖤
messylusmitha,2020-12-21 08:30:46,@dhiyafifah Wkwkw oke ralattttt l green white u tiurrr💚🤍
messylusmitha,2020-12-21 08:25:23,@dhiyafifah Semangatttt tiurrr!! I purple u 💜
messylusmitha,2020-12-21 07:52:27,Lets goo mempercantik kamarr🥰 https://t.co/UNXoDaY0Ze
messylusmitha,2020-12-21 07:49:38,Oke🥺 aku akan otw lebih giat mencari voucher https://t.co/2Cf6kWBM0W
messylusmitha,2020-12-21 07:48:20,Oke otw jadi sultannnn https://t.co/QVutxdBEGB
messylusmitha,2020-12-21 06:46:04,Bangun-bangun laperr
messylusmitha,2020-12-21 06:44:55,@mlgcollegefess Semoga ada kabar baik
messylusmitha,2020-12-21 06:42:13,Mimpi ku udah kaya di film film
messylusmitha,2020-12-21 06:33:17,@salbiylaazzara Luv u jg kak bell💜
messylusmitha,2020-12-20 15:00:23,The penthouse bikin kesabaran ku hilangggggg
messylusmitha,2020-12-19 10:30:03,"You keep yours, I’ll keep mine"
messylusmitha,2020-12-19 08:27:33,"@dhiyafifah Bilang tiur sama dia, aku ndud aja cantik apa lagi kurus 😏"
messylusmitha,2020-12-18 16:26:30,@xxploxion @YBRAP Wkekwk
messylusmitha,2020-12-18 02:42:56,@tiorarsqaalfn @bts_bighit Hihihi
messylusmitha,2020-12-17 11:12:06,@bts_bighit Aduh diabetes
messylusmitha,2020-12-17 11:09:59,@menteridigital Omegooo
messylusmitha,2020-12-15 08:26:51,@BTS_twt 💜💜💜💜
messylusmitha,2020-12-12 14:41:33,@nkmborahaee Part 2 plisss
messylusmitha,2020-12-12 08:55:21,@BTS_twt 💜💜💜💜💜💜💜💜
messylusmitha,2020-12-11 07:52:52,Omegooo https://t.co/i9yzjiwBvp
messylusmitha,2020-12-08 12:14:59,Aku harus selalu semangat belajar!
messylusmitha,2020-12-06 16:18:07,@BTS_twt 💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
messylusmitha,2020-12-03 23:33:17,Mimpi nya nyata banget ya😆
messylusmitha,2020-12-01 18:18:22,@meekerkon iii ini dmn bid?
messylusmitha,2020-12-01 11:42:15,@eskwimchoco https://t.co/mw5dN85otu
messylusmitha,2020-12-01 11:40:50,@eskwimchoco Udaaa order Kemaren 😔
messylusmitha,2020-12-01 11:38:46,Lelah pressure.
messylusmitha,2020-11-30 17:06:04,Bts Vibes nya positif bgttt!!!
messylusmitha,2020-11-26 13:14:54,Ini kenapa jam segini udah ngantuuuukkk 🤬
messylusmitha,2020-11-25 10:56:45,@hanbityi_58 Hi cute i found you
messylusmitha,2020-11-24 11:45:37,Yahh kenapa web nya error:((( nyesel ga nyatet data dari kemariiiinnnnm😌
messylusmitha,2020-11-22 17:14:46,@meekerkon Aku si fix😆
messylusmitha,2020-11-22 17:07:52,@meekerkon iiii bida nonton jg wkwk ga nyangka ga siiii dia bisa kaya gitu
messylusmitha,2020-11-22 17:02:04,HAHAHA TRUE!! https://t.co/V6hRoczhI2
messylusmitha,2020-11-22 03:14:08,Gapapa yaa gapapa 😊
messylusmitha,2020-11-19 06:31:31,@salbiylaazzara Yuk
messylusmitha,2020-11-14 15:27:01,Aduhhh terspoiler https://t.co/Tv99mkRVvk
messylusmitha,2020-11-11 05:56:38,@AREAJULID @assteuthic woy roichannnn viralll
messylusmitha,2020-11-11 05:35:26,@kaesangp Ihiy mas kaesang
messylusmitha,2020-11-11 02:42:37,True!!! https://t.co/Rqg5Mq7PcK
messylusmitha,2020-11-10 14:48:02,"Pusing sm kelompok :( ga berkaca Dr kesalahan Kemaren, capek ngingetin"
messylusmitha,2020-11-10 14:06:34,Alamat gak selesai lagi nih
messylusmitha,2020-11-10 09:39:58,Bener-bener ngikutin arus sampe pusing sendiri harus gmn
messylusmitha,2020-11-08 17:03:58,@restiadiniaa Setuju bgt!!!
messylusmitha,2020-11-08 15:34:34,Cukup bahagia malam ini ya #StartUpEp8 https://t.co/C7ocqUK4g3
messylusmitha,2020-11-07 20:00:25,@gnurpiyani Astaga tolonkkkk kesel bgtt😭
messylusmitha,2020-11-03 13:02:37,BISA GILAAA
messylusmitha,2020-11-01 15:00:18,@DeLuvnaa @aMrazing Sampe sesegukkan :)
messylusmitha,2020-10-31 03:42:08,@LiaFadli5 @HabisNontonFilm Setuju bgtttt!!
messylusmitha,2020-10-31 03:41:08,@HabisNontonFilm @NaflaKhairani Dukung sama pak si anak baik!!! Omegoooo
messylusmitha,2020-10-26 06:39:35,Baru sadar ternyata banyak foto aesthetics di galeri
messylusmitha,2020-10-25 11:40:57,@bananafreshmilk @rlthingy Iyakannn sebel bgttt
messylusmitha,2020-10-25 11:38:51,Suka bgttt series Emily Paris🥺
messylusmitha,2020-10-23 21:05:08,Gemezz https://t.co/Z6dGXA3L6b
messylusmitha,2020-10-22 18:50:03,👌 https://t.co/bk8gh188BN
messylusmitha,2020-10-22 18:36:19,Suka sedih aja ~
messylusmitha,2020-10-19 05:44:31,🤣 sa ae twitter https://t.co/nEo2WOaeCc
messylusmitha,2020-10-16 15:55:40,@fajar17 @b_tterc0okie
