username,created_at,text
nneninot1996,2021-06-12 12:49:45,Mo ngrengek tp udh gede
nneninot1996,2021-06-10 14:02:27,Jangan sampeee nih album datengnya pada barengan pas aku lagi gak di rumah 🙃
nneninot1996,2021-06-08 23:07:54,@aeribase Pak Chanyeol maaf kumengakak 😂 https://t.co/0HEoImZm6C
nneninot1996,2021-06-07 09:34:48,"Bagaimana bisa tidak terkejut terkamcagiaaa, come back ber7 😭😭👍👍 EXO SPECIAL ALBUM OUT NOW 🖇️https://t.co/aIoQAVbHl6 #EXO_DFTFOutNow #ToExoPlanetAndBeyond #DONT_FIGHT_THE_FEELING @weareoneEXO"
nneninot1996,2021-06-07 05:31:12,Berawal dari album ghoib and didn't listen to @B_hundred_Hyun 😌👍 EXO 엑소 Special Album [DON'T FIGHT THE FEELING] 🎧 2021.06.07. 6PM KST #엑소 #EXO #weareoneEXO #DONT_FIGHT_THE_FEELING #드디어_나왔다_엑소_멈추지도마 https://t.co/ayG70ikGNT
nneninot1996,2021-06-06 15:09:15,EXO 엑소 'Don't fight the feeling' MV Teaser EXO 엑소 Special Album [DON'T FIGHT THE FEELING] 🎧 2021.06.07. 6PM KST #엑소 #EXO #weareoneEXO #DONT_FIGHT_THE_FEELING #드디어_나왔다_엑소_멈추지도마 https://t.co/OSJt40p2wP
nneninot1996,2021-06-06 15:07:59,EXO 엑소 'Don't fight the feeling' MV Teaser EXO 엑소 Special Album [DON'T FIGHT THE FEELING] 🎧 2021.06.07. 6PM KST #엑소 #EXO #weareoneEXO #DONT_FIGHT_THE_FEELING #드디어_나왔다_엑소_멈추지도마 https://t.co/NFFwVhQ5SI https://t.co/yQdxYrxMIl
nneninot1996,2021-06-06 04:38:37,@desitaaulia1112 https://t.co/PIB8U1b08K
nneninot1996,2021-06-06 00:38:41,cr: nemu di base Dia adalah Temanku 1993 https://t.co/SM5VA3K7hS
nneninot1996,2021-06-05 23:45:47,@AlSfr_ Heol https://t.co/89Eb3qLg1v
nneninot1996,2021-06-05 14:33:15,Playing Coldplay's song when i miss you.
