username,created_at,text
okkyskripsi,2021-03-23 16:55:23,#onedayonedrawing portrait illustration https://t.co/qaJ01Eylfk
okkyskripsi,2021-03-22 22:30:28,#onedayonedrawing challenge!!! Freee illustration portrait. Buat triggerku belajar nggambar https://t.co/AqRtaDe2NQ
okkyskripsi,2021-03-22 22:27:58,Sekip apdet #onedayonedrawing ku ditwitter selama 2 hari 😭😭😭
okkyskripsi,2021-03-20 16:59:40,#onedayonedrawing https://t.co/ySBvBw3i1T
okkyskripsi,2021-03-18 18:26:52,#onedayonedrawing illustration portrait https://t.co/2LYbrDVzxG
okkyskripsi,2021-03-17 15:35:19,"#onedayonedrawing Susah ternyata kalo ngespreading dibeberapa media sosial, karena aku orang sing sering yowislah.. sering skip untuk upload ditwitter wkwkwk https://t.co/KGuom4sQAv"
okkyskripsi,2021-03-16 15:28:26,#onedayonedrawing https://t.co/mXZea1ANEd
okkyskripsi,2021-03-15 14:17:45,#onedayonedrawing FREE ILLUSTRATION PHOTO https://t.co/mKCF4VTcWN
okkyskripsi,2021-03-14 21:42:34,#onedayonedrawing challenge https://t.co/8a7qQXBj4c
okkyskripsi,2021-03-13 21:57:52,#onedayonedrawing https://t.co/tk1El57SOh
okkyskripsi,2021-03-12 21:53:11,#onedayonedrawing challenge! Fakk akibat telat apdet merusak challenge ku 😭😭 https://t.co/if2awLq4lD
okkyskripsi,2021-03-12 05:28:36,@sbyfess kon golek ilmu opo golek iwak nder kok nggowo waistbag e arek mancing
okkyskripsi,2021-03-12 05:17:34,@Irfansayudi @sbyfess Lho cok bener!!!
okkyskripsi,2021-03-11 14:09:11,#onedayonedrawingchallenge Free illustration portrait! https://t.co/XFMSiq9r0p
okkyskripsi,2021-03-11 14:08:07,@risahree Bakeri
okkyskripsi,2021-03-10 13:03:04,#onedayonedrawing Free illustration portrait photo. To challenge myself creating a good ilustration.. https://t.co/o7VmOhcFfp
okkyskripsi,2021-03-09 15:22:14,"#onedayonedrawing challenge Buat temen temen yang mau dibuatin ilustrasi silahkan reply, nanti aku dm.. ini free yaa temen temen 😉 https://t.co/xbFdFIvpE7"
okkyskripsi,2021-03-08 20:21:16,#onedayonedrawing https://t.co/rQUgEltW5m
okkyskripsi,2021-03-06 18:32:34,#onedayonedrawingchallenge Telat ngepost jadi sekip 😴😭 https://t.co/TsYKQ4n03u
okkyskripsi,2021-03-05 15:51:49,"#onedayonedrawing challenge, setiap hari ngebuat satu foto portrait drawing buat ngeimprove skill ku yang masih ngentang dalam menggambar. Barangkali ada yang mau dibikinin, boleh reply atau dm aku.. ini free ya temen temen https://t.co/PoCBb8c0Rb"
okkyskripsi,2021-03-03 17:53:59,@risahree Hampir ae ninggal perasaan ambek sing biyen #eh
okkyskripsi,2021-03-03 17:53:08,#onedayonedrawing https://t.co/LncT5MOwnU
okkyskripsi,2021-03-03 14:33:56,"@irsankawuq @sbyfess Remek ijen, Mrotolli wok..."
okkyskripsi,2021-03-02 13:14:01,"@sbyfess Cul nder Mending balik teko nol karo wong sing anyar.. timbang pegel sak ben dino, gak tau fitness tapi awak rasane remek"
okkyskripsi,2021-03-02 13:02:45,"@sbyfess Biasane aku ngecor omahe tonggoku, tak tingkat"
okkyskripsi,2021-03-02 12:44:22,"#onedayonedrawing challenge! Mau nerusin ini sampe pegel wkwkwk sehari bikin satu ilustrasi portrait, guna men-challenge diriku untuk menggambar.. kalo ada yang minat bisa reply atau dm juga gapapa.. cause it's FREE https://t.co/kkwGgsacG2"
okkyskripsi,2021-03-01 15:52:06,#onedayonedrawingchallenge Buat temen temen yang mau dibikinin ilustrasi portrait secara gratis bisa reply atau dm aku yaa https://t.co/UFBgDC7YGJ
okkyskripsi,2021-02-28 14:32:40,"#onedayonedrawing for today, Buat temen temen yang kebetulan ngeliat, kalo mau bikin ilustrasi kayak gini.. bisa reply atau dm aku, FREE yaa ini. Cuma pingin bikin satu gambar dalam sehari.. https://t.co/ubdAEp8E9v"
okkyskripsi,2021-02-28 10:22:54,Sekian dari aku.. #onedayonedraw ini bakal aku posting setiap hari. https://t.co/hPh1h3I0eV
okkyskripsi,2021-02-28 10:14:00,"Ngga ada slot sih, cuma yang pasti mau bikin #onedayonedraw tiap hari, dan itu FREE. https://t.co/iZjEztPDhw"
okkyskripsi,2021-02-28 10:12:17,"I wanna start #onedayonedraw Buat temen temen yang mau digambarin bisa reply atau dm, https://t.co/o12Th7pJiX"
okkyskripsi,2021-02-08 05:00:23,"@sbyfess kudue takon kera ngalam sing luwih paham, ga nang kene"
okkyskripsi,2020-11-15 09:34:10,@davidbayu Hiyeeeeee
okkyskripsi,2020-10-24 10:37:53,@maulina_dyn Okee sipp !
okkyskripsi,2020-10-24 03:34:23,@maulina_dyn Langsunggg Nambah experiences dalam mixing indomie with kearifan lokal hahahaha
okkyskripsi,2020-10-23 20:25:28,@maulina_dyn Enak! Dulu indomienya aku jadiin pengganti nasi 🤣🤣
okkyskripsi,2020-10-23 19:44:13,@maulina_dyn Pernah 😂😂 Sama bumbu sate juga kayaknya aku pernah 😅
okkyskripsi,2020-10-23 19:41:56,@pajekpenyok @irnugroho_ mana saya tahu saya kan ikan
okkyskripsi,2020-10-23 07:43:10,@pajekpenyok @irnugroho_ Koyoke 2 ambek 3 deh din hahahaha
okkyskripsi,2020-10-21 11:41:57,"Dah ga pake diksi ""digeser"", Langsung gusur ya sekarang wkwk https://t.co/2sl0XUVykl"
okkyskripsi,2020-10-21 11:40:20,@abdlrzzq Kalo salah tinggal klarifikasi 🤣 Jurnalis nowadays :')
okkyskripsi,2020-10-07 06:41:58,Time flies but our memories don't https://t.co/9iDDc1xXsd
okkyskripsi,2020-10-03 22:29:25,When everyone can chill with their conversation who needs netflix? https://t.co/89N38bgjWT
okkyskripsi,2020-10-03 04:55:48,Jadi ini gemini apa pisces fakk https://t.co/gZU0BN5egn
okkyskripsi,2020-09-30 19:23:01,@hananaonanaa @subtanyarl Pinter apa dulu nih? Pinter mendidik anak anakku? :p
okkyskripsi,2020-09-28 19:58:58,"@pajekpenyok @DiegoKamandanu Cuk minta maap sungkan, tak tapuk lambene bang mat lho nyok 😅😅"
okkyskripsi,2020-09-25 16:46:50,@aaamerta @PenaNetizen .-.
okkyskripsi,2020-09-24 19:16:37,"""Masi aku liatinn, bentar lagi ak sliding"". https://t.co/XKnpxOH32T"
okkyskripsi,2020-09-24 19:13:01,Kurleb setelah pewarnaan.. Lama ya.. ngewarnaiin butuh semingguan .-. https://t.co/ygPRtOm7lh
okkyskripsi,2020-09-23 09:31:01,Ngimpi apa kamu bang? https://t.co/Fj8x4h6ZpG
okkyskripsi,2020-09-18 04:19:03,"@DiegoKamandanu Isok njaluk maneh bang tapi lewat wong liyo. The power of ""njaluk dungane yo"" wkwkwk"
okkyskripsi,2020-09-16 17:14:43,"Using an iphone SE as a tool to made this illustration is soooo fascinating, But also exhausted. https://t.co/OkgsNzQSu4"
okkyskripsi,2020-09-16 17:00:41,@DiegoKamandanu Wassalamualaikum warohmatullohi wabarokatuh
okkyskripsi,2020-09-12 04:09:28,"Karena biasanya, orang yang mencintai dirinya sendiri punya refleksi aura yang baik dan hal itu bisa dirasakan orang yang berada disekitar dia.. he/she will bring happiness to them."
