username,created_at,text
pipaaw,2014-08-05 12:06:02,@risthaingrid uucccchh. Ada apa tanteee?
pipaaw,2014-04-20 15:49:18,@enyrah @risthaingrid hahaha tantee enih :* iya yg penting baik duluu
pipaaw,2014-04-20 15:35:18,"@enyrah @risthaingrid hahha ga ngerti tante, nyambungin omongan ristha aja :p orang cueeek ituu kamyuu tante risthaaa :p"
pipaaw,2014-04-20 15:20:22,@enyrah @risthaingrid ahihihi thaa siraman rohani sm tante enih tuuh.. kl ga ditunjukin itu dipendem?
pipaaw,2014-04-20 15:15:02,@enyrah @risthaingrid kalo orang ga pernah marah itu gimana tante enii?
pipaaw,2014-04-20 15:03:41,"@risthaingrid @enyrah sabaaar thaa, semuanya indah pada waktunya *tsaah*"
pipaaw,2014-04-19 16:15:25,"@risthaingrid huahaha kodee bangeeet -,-"
pipaaw,2014-04-19 16:06:04,@risthaingrid kan lo ngirimin foto teddy tha ._.
pipaaw,2014-04-19 15:57:13,@risthaingrid aaaaaa maaaauuuuuuuuu
pipaaw,2014-04-12 14:58:37,@risthaingrid @enyrah ceban dulu hahaha
pipaaw,2014-04-12 14:49:46,@risthaingrid @enyrah lagii laagiiii http://t.co/NuNdcLtTI9
pipaaw,2014-03-31 12:20:46,@risthaingrid hahahaha. minta berapaaa siiiih?
pipaaw,2014-03-31 12:18:09,@risthaingrid laporan keuangan hahahahaaaa. belum tha... blm apa2
pipaaw,2014-03-31 12:14:11,"@risthaingrid belum nduk, kebanyakan libur iya haha pusing gw"
pipaaw,2014-03-31 12:03:04,@risthaingrid mayes bingitsssssss...
pipaaw,2014-03-31 12:01:21,@risthaingrid hahahahaa aa kemanaaa?
pipaaw,2014-03-31 12:00:16,@risthaingrid huahahahahahaahahaha eyke syibuuuukkkkk.. anak2 syibukkk :p suruh aa sendiri ajaaa
pipaaw,2014-03-31 11:50:34,@risthaingrid hahahaa. 8 april ada apaan? ky ga ada yg penting deh.. wookey siiip
pipaaw,2014-03-31 11:46:04,"@risthaingrid aiiiisssh, minta sama aa ajaa deeeh haha. 8 april apaan sih? pemilu?"
pipaaw,2014-03-31 11:40:22,"8 juli? Ya ya ya haha. Atuuuh ga blg dr siang RT @risthaingrid:hih males, td gue mau nebeng mpok hhahahaa kangennya nanti pas tgl 8 ya :D"
pipaaw,2014-03-31 11:07:10,@risthaingrid baru aja nduk. nopo? kangen sama gw yaa :D
pipaaw,2014-03-04 23:49:43,@rynton ada mas hehe
pipaaw,2014-02-23 01:26:20,@risthaingrid zzzzz berlebihaaaaaan deh kamuuuuuu hahaha
pipaaw,2014-02-23 01:20:06,"@risthaingrid nduuuk jgn diperjelas jugaa doong haha. siap, iya nti kl udh sampe cirendeu yaaa thooo"
pipaaw,2014-02-23 01:02:31,"hey kamu yg disana, aku rindu :D"
pipaaw,2014-02-23 00:56:12,@risthaingrid @liandadwia ketawaaaa lo thaa wooooo... eh kapan ke ciputat?
pipaaw,2014-02-23 00:46:25,"@liandadwia hahahaa astutiii jeleeek. terus aja nduul, gajah,kudanil,apalagi apalagi --__--"""
pipaaw,2014-02-13 15:03:49,@RizkiSilva21 iyooo dek. haha
pipaaw,2014-01-23 13:48:25,@risthaingrid apeeelaaauuu ikut2 :p
pipaaw,2014-01-23 13:09:57,"Najooongg,itu beda dgn kenyataan ndul haha RT @liandadwia: gw tau kok, mengakui sesuatu yg pahit emang sulit, pelan2 aja mpok, pasti bisa :3"
pipaaw,2014-01-23 12:57:02,"Astutiiii aseeeeeeem -,- dikira gw kuda nil kaliiiiiii RT @liandadwia: emang iya mpok ? baru tau gw lu kaya gitu ckck -,- RT Kuda Nil kentut"
pipaaw,2014-01-03 15:15:28,"Krn gue selalu memberikan kenyamanan huaha RT @liandadwia: &lt;&lt; orang ini suka sekali tidur dimotor, apalagi kalo dibonceng @pipaaw -,-"
pipaaw,2014-01-01 02:48:35,Gue baru liat. Hahaha. Lo jagain makanan en :p RT @liandashasyli: -_________- RT @enyrah: emg ditmpat resepsi ngga ada pager? mosoo
pipaaw,2013-12-30 14:43:03,@liandashasyli @enyrah mayyees beuut ndul -_-
pipaaw,2013-12-30 14:28:41,@risthaingrid ente kan udh dibbm cantik haha
pipaaw,2013-12-30 14:22:16,@enyrah @liandashasyli bantuin arifa dongs. kalian mau jd pager ayu ga? Mau yaaa
pipaaw,2013-12-29 06:24:08,@Evdeea ahaha aamiin :)
pipaaw,2013-12-29 02:17:34,Wanita cantik dalam kesederhanaannya itu... :D
pipaaw,2013-12-27 15:09:37,Hatchim RT @liandashasyli: bodo yg penting seksiiii :3 RT @diospada12: Masih kecil lo itu nda diem aja WKα°˚˚°=)) wkα°˚˚°wkα
pipaaw,2013-12-27 15:09:01,@liandashasyli @ristaaristaa @enyrah ampun mbah ampun haha
pipaaw,2013-12-27 15:06:22,"Tuuuut -__-"" RT @liandashasyli: sama kaya ipeh, suka ga ngakuk! RT @diospada12: Fitnah RT""@liandashasyli:"
pipaaw,2013-12-27 15:05:58,@liandashasyli @ristaaristaa @enyrah abis telponan sm aa :p
pipaaw,2013-12-27 14:39:13,@diospada12 hmmm aamiin-kan aja ya yo hahaha
pipaaw,2013-12-27 14:36:23,@diospada12 harus dipikirkaaan yoooo :p hahaha
pipaaw,2013-12-27 14:34:49,@risthaingrid @liandashasyli @enyrah maunyaaaaaa?
pipaaw,2013-12-27 14:34:28,@jhe_7 cebuuu bica gaa cebuu duyu?
pipaaw,2013-12-27 14:33:42,@jhe_7 beeeliii ndiriiii
pipaaw,2013-12-27 14:33:26,@diospada12 @liandashasyli haha kayanya sih begitu yoo. Apa lo duluan?
pipaaw,2013-12-27 14:29:40,Doain aja :D haha RT @diospada12: Нåнåнå jadi kapan nih?? RT@pipaaw: @diospada12 diiiihhh dio ikut2 :p
pipaaw,2013-12-27 14:28:28,@jhe_7 martabak jiii
pipaaw,2013-12-27 14:27:45,@risthaingrid @liandashasyli @enyrah pd ngerjain proposal skripsi tha
pipaaw,2013-12-27 14:27:15,@jhe_7 selamat menikmati haha
pipaaw,2013-12-27 14:25:45,@jhe_7 selamat yaaaa
pipaaw,2013-12-27 14:25:30,@diospada12 diiiihhh dio ikut2 :p
